date,betten_belegt,betten_frei
2020-04-24,32,34
2020-04-25,34,32
2020-04-26,37,31
2020-04-27,34,34
2020-04-28,39,29
2020-04-29,34,34
2020-04-30,33,35
2020-05-01,34,34
2020-05-02,31,37
2020-05-03,36,32
2020-05-04,38,30
2020-05-05,39,29
2020-05-06,39,29
2020-05-07,37,31
2020-05-08,40,28
2020-05-09,33,35
2020-05-10,35,33
2020-05-11,38,30
2020-05-12,41,27
2020-05-13,41,27
2020-05-14,38,30
2020-05-15,36,32
2020-05-16,34,34
2020-05-17,32,36
2020-05-18,35,33
2020-05-19,35,33
2020-05-20,35,33
2020-05-21,31,37
2020-05-22,34,34
2020-05-23,35,33
2020-05-24,34,34
2020-05-25,34,34
2020-05-26,34,34
2020-05-27,34,34
2020-05-28,36,32
2020-05-29,37,33
2020-05-30,30,38
2020-05-31,35,33
2020-06-01,35,33
2020-06-02,36,32
2020-06-03,39,29
2020-06-04,32,36
2020-06-05,31,37
2020-06-06,38,30
2020-06-07,38,30
2020-06-08,35,33
2020-06-09,34,34
2020-06-10,30,38
2020-06-11,33,35
2020-06-12,34,34
2020-06-13,36,35
2020-06-14,41,30
2020-06-15,35,33
2020-06-16,35,33
2020-06-17,38,30
2020-06-18,37,31
2020-06-19,41,26
2020-06-20,33,35
2020-06-21,36,32
2020-06-22,34,34
2020-06-23,33,35
2020-06-24,35,33
2020-06-25,35,33
2020-06-26,35,36
2020-06-27,35,33
2020-06-28,39,29
2020-06-29,38,30
2020-06-30,34,34
2020-07-01,38,30
2020-07-02,34,34
2020-07-03,38,32
2020-07-04,34,34
2020-07-05,34,34
2020-07-06,33,35
2020-07-07,37,31
2020-07-08,34,34
2020-07-09,33,35
2020-07-10,32,36
2020-07-11,34,34
2020-07-12,41,27
2020-07-13,39,27
2020-07-14,36,30
2020-07-15,33,33
2020-07-16,33,33
2020-07-17,36,32
2020-07-18,37,29
2020-07-19,37,29
2020-07-20,37,29
2020-07-21,37,29
2020-07-22,38,28
2020-07-23,38,28
2020-07-24,36,30
2020-07-25,35,31
2020-07-26,35,31
2020-07-27,33,33
2020-07-28,34,32
2020-07-29,33,33
2020-07-30,34,32
2020-07-31,34,32
2020-08-01,35,31
2020-08-02,35,31
2020-08-03,30,36
2020-08-04,36,30
2020-08-05,33,33
2020-08-06,40,26
2020-08-07,37,29
2020-08-08,37,29
2020-08-09,40,26
2020-08-10,36,30
2020-08-11,33,33
2020-08-12,34,32
2020-08-13,45,37
2020-08-14,42,40
2020-08-15,41,41
2020-08-16,43,39
2020-08-17,46,36
2020-08-18,42,40
2020-08-19,40,42
2020-08-20,39,43
2020-08-21,38,44
2020-08-22,42,40
2020-08-23,39,43
2020-08-24,36,46
2020-08-25,35,47
2020-08-26,33,49
2020-08-27,40,42
2020-08-28,37,45
2020-08-29,37,45
2020-08-30,38,44
2020-08-31,41,41
2020-09-01,39,43
2020-09-02,31,51
2020-09-03,34,48
2020-09-04,32,50
2020-09-05,29,53
2020-09-06,36,46
2020-09-07,35,47
2020-09-08,36,46
2020-09-09,33,49
2020-09-10,33,49
2020-09-11,32,50
2020-09-12,31,54
2020-09-13,33,51
2020-09-14,37,47
2020-09-15,34,48
2020-09-16,32,50
2020-09-17,36,46
2020-09-18,34,48
2020-09-19,34,48
2020-09-20,31,51
2020-09-21,32,50
2020-09-22,30,52
2020-09-23,33,49
2020-09-24,31,51
2020-09-25,28,54
2020-09-26,30,52
2020-09-27,31,51
2020-09-28,35,47
2020-09-29,32,50
2020-09-30,32,50
2020-10-01,35,47
2020-10-02,34,48
2020-10-03,40,42
2020-10-04,40,42
2020-10-05,36,46
