date,betten_belegt,betten_frei
2020-04-24,21,16
2020-04-25,20,17
2020-04-26,17,20
2020-04-27,17,20
2020-04-28,19,18
2020-04-29,24,13
2020-04-30,25,12
2020-05-01,24,13
2020-05-02,22,15
2020-05-03,22,15
2020-05-04,21,16
2020-05-05,26,11
2020-05-06,19,18
2020-05-07,19,18
2020-05-08,22,15
2020-05-09,23,14
2020-05-10,15,21
2020-05-11,20,17
2020-05-12,97,44
2020-05-13,98,41
2020-05-14,90,46
2020-05-15,92,47
2020-05-16,96,43
2020-05-17,97,40
2020-05-18,83,58
2020-05-19,88,53
2020-05-20,96,46
2020-05-21,94,48
2020-05-22,91,51
2020-05-23,91,51
2020-05-24,99,43
2020-05-25,95,47
2020-05-26,93,49
2020-05-27,16,21
2020-05-28,15,22
2020-05-29,17,20
2020-05-30,18,19
2020-05-31,19,18
2020-06-01,13,24
2020-06-02,15,22
2020-06-03,18,19
2020-06-04,20,17
2020-06-05,25,12
2020-06-06,23,14
2020-06-07,16,21
2020-06-08,16,21
2020-06-09,20,17
2020-06-10,25,12
2020-06-11,20,17
2020-06-12,18,19
2020-06-13,19,18
2020-06-14,18,19
2020-06-15,17,20
2020-06-16,21,16
2020-06-17,19,18
2020-06-18,104,23
2020-06-19,118,21
2020-06-20,113,26
2020-06-21,107,32
2020-06-22,103,36
2020-06-23,111,28
2020-06-24,111,28
2020-06-25,103,36
2020-06-26,102,37
2020-06-27,110,29
2020-06-28,98,41
2020-06-29,98,41
2020-06-30,98,41
2020-07-01,102,37
2020-07-02,106,35
2020-07-03,113,28
2020-07-04,100,41
2020-07-05,103,38
2020-07-06,103,38
2020-07-07,108,33
2020-07-08,104,37
2020-07-09,101,40
2020-07-10,113,28
2020-07-11,112,29
2020-07-12,106,35
2020-07-13,100,41
2020-07-14,113,28
2020-07-15,116,25
2020-07-16,106,35
2020-07-17,112,29
2020-07-18,111,30
2020-07-19,110,31
2020-07-20,99,40
2020-07-21,99,40
2020-07-22,109,30
2020-07-23,115,24
2020-07-24,108,31
2020-07-25,105,34
2020-07-26,104,35
2020-07-27,105,36
2020-07-28,103,38
2020-07-29,108,33
2020-07-30,104,37
2020-07-31,101,40
2020-08-01,112,28
2020-08-02,101,28
2020-08-03,102,36
2020-08-04,107,22
2020-08-05,93,20
2020-08-06,94,27
2020-08-07,98,23
2020-08-08,89,24
2020-08-09,82,31
2020-08-10,83,30
2020-08-11,96,17
2020-08-12,95,18
2020-08-13,92,21
2020-08-14,90,23
2020-08-15,94,19
2020-08-16,94,22
2020-08-17,95,18
2020-08-18,89,24
2020-08-19,91,22
2020-08-20,92,21
2020-08-21,95,18
2020-08-22,93,20
2020-08-23,85,28
2020-08-24,81,32
2020-08-25,87,26
2020-08-26,90,23
2020-08-27,90,23
2020-08-28,92,21
2020-08-29,86,27
2020-08-30,92,21
2020-08-31,82,31
2020-09-01,88,25
2020-09-02,88,25
2020-09-03,87,26
2020-09-04,84,29
2020-09-05,85,28
2020-09-06,81,32
2020-09-07,84,29
2020-09-08,92,21
2020-09-09,96,17
2020-09-10,93,20
2020-09-11,85,28
2020-09-12,89,24
2020-09-13,93,20
2020-09-14,93,20
2020-09-15,95,18
2020-09-16,102,11
2020-09-17,101,12
2020-09-18,103,10
2020-09-19,108,5
2020-09-20,105,8
2020-09-21,102,11
2020-09-22,101,12
2020-09-23,102,11
2020-09-24,104,9
2020-09-25,103,10
2020-09-26,95,18
2020-09-27,92,21
2020-09-28,97,16
2020-09-29,100,13
2020-09-30,106,7
2020-10-01,106,7
2020-10-02,106,7
2020-10-03,98,15
2020-10-04,88,25
2020-10-05,89,24
2020-10-06,86,27
2020-10-07,97,16
2020-10-08,88,25
2020-10-09,92,21
2020-10-10,93,20
2020-10-11,91,22
2020-10-12,89,24
2020-10-13,88,25
2020-10-14,91,22
2020-10-15,85,28
2020-10-16,83,30
2020-10-17,89,24
2020-10-18,90,23
2020-10-19,90,23
2020-10-20,98,15
2020-10-21,94,19
2020-10-22,90,23
2020-10-23,88,25
2020-10-24,96,17
2020-10-25,91,22
2020-10-26,88,25
2020-10-27,91,22
2020-10-28,90,23
2020-10-29,88,25
2020-10-30,92,21
2020-10-31,92,21
2020-11-01,96,17
2020-11-02,94,19
2020-11-03,96,17
2020-11-04,99,14
2020-11-05,92,21
2020-11-06,97,16
2020-11-07,96,17
2020-11-08,97,16
2020-11-09,94,19
2020-11-10,94,19
2020-11-11,98,15
2020-11-12,101,12
2020-11-13,98,15
2020-11-14,101,12
2020-11-15,96,17
2020-11-16,101,12
2020-11-17,101,12
2020-11-18,101,12
2020-11-19,96,17
2020-11-20,97,16
2020-11-21,97,16
2020-11-22,98,15
2020-11-23,99,14
2020-11-24,100,13
2020-11-25,103,10
2020-11-26,99,14
2020-11-27,101,12
2020-11-28,99,14
2020-11-29,97,16
2020-11-30,98,15
2020-12-01,98,15
2020-12-02,96,17
2020-12-03,94,19
2020-12-04,95,18
2020-12-05,104,9
2020-12-06,100,13
2020-12-07,103,10
2020-12-08,104,7
2020-12-09,106,5
2020-12-10,107,2
2020-12-11,104,5
2020-12-12,101,8
2020-12-13,101,8
2020-12-14,101,8
2020-12-15,104,8
2020-12-16,106,6
2020-12-17,106,6
2020-12-18,108,4
2020-12-19,103,9
2020-12-20,102,10
2020-12-21,102,10
2020-12-22,100,12
2020-12-23,103,9
2020-12-24,99,13
2020-12-25,100,12
2020-12-26,98,14
2020-12-27,98,14
2020-12-28,101,11
2020-12-29,104,6
2020-12-30,103,7
2020-12-31,103,7
2021-01-01,102,8
2021-01-02,103,11
2021-01-03,106,8
2021-01-04,103,11
2021-01-05,104,13
2021-01-06,108,11
2021-01-07,108,11
2021-01-08,101,18
2021-01-09,108,11
2021-01-10,108,11
2021-01-11,94,25
2021-01-12,99,20
2021-01-13,107,12
2021-01-14,104,15
2021-01-15,99,20
2021-01-16,101,16
2021-01-17,95,24
2021-01-18,102,17
2021-01-19,101,18
2021-01-20,99,20
2021-01-21,107,12
2021-01-22,108,11
2021-01-23,111,8
2021-01-24,102,17
2021-01-25,101,18
2021-01-26,105,14
2021-01-27,106,13
2021-01-28,108,11
2021-01-29,110,9
2021-01-30,109,10
2021-01-31,104,15
2021-02-01,105,10
2021-02-02,105,12
2021-02-03,108,9
2021-02-04,106,11
2021-02-05,107,10
2021-02-06,100,17
2021-02-07,98,19
2021-02-08,95,22
2021-02-09,103,14
2021-02-10,102,15
2021-02-11,109,8
2021-02-12,108,9
2021-02-13,106,11
2021-02-14,103,14
2021-02-15,108,9
2021-02-16,107,7
2021-02-17,106,8
2021-02-18,106,8
2021-02-19,107,7
2021-02-20,104,9
2021-02-21,101,12
2021-02-22,102,12
2021-02-23,107,7
2021-02-24,104,10
2021-02-25,106,8
2021-02-26,104,8
2021-02-27,103,9
2021-02-28,100,12
2021-03-01,104,8
2021-03-02,104,8
2021-03-03,102,11
2021-03-04,104,9
2021-03-05,105,8
2021-03-06,98,15
2021-03-07,101,12
2021-03-08,96,17
2021-03-09,93,20
2021-03-10,97,14
2021-03-11,98,13
2021-03-12,97,14
2021-03-13,97,14
2021-03-14,92,19
2021-03-15,98,13
2021-03-16,103,8
2021-03-17,100,11
2021-03-18,100,12
2021-03-19,104,8
2021-03-20,100,11
2021-03-21,99,12
2021-03-22,99,13
2021-03-23,101,10
2021-03-24,101,10
2021-03-25,100,11
2021-03-26,102,9
2021-03-27,102,9
2021-03-28,99,12
2021-03-29,93,18
2021-03-30,99,12
2021-03-31,100,11
2021-04-01,101,10
2021-04-02,100,10
2021-04-03,94,16
2021-04-04,96,14
2021-04-05,96,14
2021-04-06,98,12
2021-04-07,96,12
2021-04-08,100,9
2021-04-09,97,11
2021-04-10,101,9
2021-04-11,102,8
2021-04-12,101,9
2021-04-13,100,11
2021-04-14,101,10
2021-04-15,101,10
2021-04-16,98,15
2021-04-17,93,20
2021-04-18,97,16
2021-04-19,101,12
2021-04-20,101,12
2021-04-21,101,12
2021-04-22,106,7
2021-04-23,104,9
