date,betten_belegt,betten_frei
2020-04-24,16,6
2020-04-25,14,10
2020-04-26,16,9
2020-04-27,14,11
2020-04-28,14,13
2020-04-29,14,11
2020-04-30,12,13
2020-05-01,12,14
2020-05-02,11,15
2020-05-03,11,15
2020-05-04,12,14
2020-05-05,11,15
2020-05-06,14,12
2020-05-07,14,13
2020-05-08,13,14
2020-05-09,13,12
2020-05-10,12,13
2020-05-11,11,14
2020-05-12,10,16
2020-05-13,10,16
2020-05-14,11,17
2020-05-15,13,15
2020-05-16,12,16
2020-05-17,12,16
2020-05-18,13,15
2020-05-19,11,15
2020-05-20,11,15
2020-05-21,11,17
2020-05-22,14,14
2020-05-23,14,14
2020-05-24,10,18
2020-05-25,10,18
2020-05-26,13,15
2020-05-27,10,18
2020-05-28,10,17
2020-05-29,14,13
2020-05-30,14,13
2020-05-31,16,11
2020-06-01,15,12
2020-06-02,16,11
2020-06-03,16,11
2020-06-04,15,12
2020-06-05,17,10
2020-06-06,17,10
2020-06-07,17,10
2020-06-08,17,10
2020-06-09,17,10
2020-06-10,16,11
2020-06-11,5,13
2020-06-12,5,13
2020-06-13,7,11
2020-06-14,7,11
2020-06-15,9,11
2020-06-16,9,11
2020-06-17,9,11
2020-06-18,10,10
2020-06-19,7,13
2020-06-20,7,13
2020-06-21,7,13
2020-06-22,6,21
2020-06-23,6,21
2020-06-24,8,19
2020-06-25,10,17
2020-06-26,8,19
2020-06-27,11,18
2020-06-28,10,19
2020-06-29,10,19
2020-06-30,12,17
2020-07-01,10,19
2020-07-02,10,19
2020-07-03,9,20
2020-07-04,5,22
2020-07-05,2,16
2020-07-06,3,24
2020-07-07,8,19
2020-07-08,7,20
2020-07-09,7,17
2020-07-10,10,16
2020-07-11,11,15
2020-07-12,11,16
2020-07-13,10,17
2020-07-14,5,19
2020-07-15,11,13
2020-07-16,9,15
2020-07-17,8,16
2020-07-18,10,14
2020-07-19,10,12
2020-07-20,12,13
2020-07-21,10,15
2020-07-22,10,12
2020-07-23,6,12
2020-07-24,9,9
2020-07-25,6,12
2020-07-26,9,9
2020-07-27,10,8
2020-07-28,12,7
2020-07-29,12,7
2020-07-30,13,6
2020-07-31,13,6
2020-08-01,10,9
2020-08-02,10,9
2020-08-03,10,9
2020-08-04,12,14
2020-08-05,13,13
2020-08-06,14,12
2020-08-07,14,10
2020-08-08,11,13
2020-08-09,10,14
2020-08-10,10,14
2020-08-11,11,13
2020-08-12,10,14
2020-08-13,11,13
2020-08-14,13,11
2020-08-15,13,11
2020-08-16,13,11
2020-08-17,14,10
2020-08-18,10,14
2020-08-19,11,13
2020-08-20,12,12
2020-08-21,12,12
2020-08-22,15,9
2020-08-23,14,10
2020-08-24,14,10
2020-08-25,16,8
2020-08-26,14,10
2020-08-27,16,8
2020-08-28,11,13
2020-08-29,10,14
2020-08-30,8,16
2020-08-31,7,17
2020-09-01,11,13
2020-09-02,8,16
2020-09-03,12,12
2020-09-04,10,14
2020-09-05,9,15
2020-09-06,9,15
2020-09-07,10,12
2020-09-08,10,12
2020-09-09,10,14
2020-09-10,10,14
2020-09-11,12,12
2020-09-12,11,13
2020-09-13,13,11
2020-09-14,11,13
2020-09-15,11,13
2020-09-16,10,14
2020-09-17,11,13
2020-09-18,10,14
2020-09-19,11,13
2020-09-20,10,14
2020-09-21,10,14
2020-09-22,12,12
2020-09-23,12,12
2020-09-24,10,14
2020-09-25,10,14
2020-09-26,9,15
2020-09-27,10,14
2020-09-28,11,13
2020-09-29,7,17
2020-09-30,8,16
2020-10-01,8,16
2020-10-02,9,15
2020-10-03,9,15
2020-10-04,10,14
2020-10-05,10,14
2020-10-06,13,11
2020-10-07,14,10
2020-10-08,14,10
2020-10-09,14,10
2020-10-10,13,11
2020-10-11,14,10
2020-10-12,9,15
2020-10-13,10,14
2020-10-14,12,12
2020-10-15,12,12
2020-10-16,15,9
2020-10-17,14,10
2020-10-18,16,8
2020-10-19,14,10
2020-10-20,13,11
2020-10-21,13,11
2020-10-22,11,13
2020-10-23,10,7
2020-10-24,10,5
2020-10-25,11,4
2020-10-26,11,4
2020-10-27,13,2
2020-10-28,14,1
2020-10-29,14,1
2020-10-30,14,1
2020-10-31,15,0
2020-11-01,16,0
2020-11-02,14,1
2020-11-03,12,3
2020-11-04,13,2
2020-11-05,13,2
2020-11-06,10,2
2020-11-07,10,2
2020-11-08,10,2
2020-11-09,11,4
2020-11-10,10,6
2020-11-11,9,7
2020-11-12,13,1
2020-11-13,9,5
2020-11-14,9,5
2020-11-15,10,0
2020-11-16,9,2
2020-11-17,9,2
2020-11-18,9,2
2020-11-19,10,1
2020-11-20,10,1
2020-11-21,10,1
2020-11-22,9,2
2020-11-23,8,4
2020-11-24,8,4
2020-11-25,12,4
2020-11-26,11,5
2020-11-27,12,0
2020-11-28,11,1
2020-11-29,12,0
2020-11-30,11,1
2020-12-01,11,1
2020-12-02,9,1
2020-12-03,10,0
2020-12-04,7,3
2020-12-05,7,1
2020-12-06,5,3
2020-12-07,10,0
2020-12-08,6,3
2020-12-09,7,2
2020-12-10,6,3
2020-12-11,7,2
2020-12-12,7,2
2020-12-13,7,2
2020-12-14,6,3
2020-12-15,7,2
2020-12-16,8,2
2020-12-17,7,3
2020-12-18,6,2
2020-12-19,8,1
2020-12-20,8,0
2020-12-21,8,0
2020-12-22,7,1
2020-12-23,5,3
2020-12-24,6,2
2020-12-25,7,1
2020-12-26,6,2
2020-12-27,8,0
