date,betten_belegt,betten_frei
2020-04-24,15,22
2020-04-25,13,24
2020-04-26,13,24
2020-04-27,15,22
2020-04-28,14,23
2020-04-29,16,21
2020-04-30,15,22
2020-05-01,13,24
2020-05-02,17,20
2020-05-03,16,21
2020-05-04,15,22
2020-05-05,15,26
2020-05-06,15,22
2020-05-07,12,25
2020-05-08,15,26
2020-05-09,16,25
2020-05-10,11,26
2020-05-11,11,26
2020-05-12,9,28
2020-05-13,4,36
2020-05-14,14,26
2020-05-15,9,27
2020-05-16,9,28
2020-05-17,7,30
2020-05-18,8,29
2020-05-19,11,26
2020-05-20,14,23
2020-05-21,9,28
2020-05-22,10,27
2020-05-23,12,25
2020-05-24,13,24
2020-05-25,10,27
2020-05-26,11,26
2020-05-27,11,26
2020-05-28,12,25
2020-05-29,9,28
2020-05-30,8,25
2020-05-31,10,27
2020-06-01,8,29
2020-06-02,10,27
2020-06-03,12,26
2020-06-04,13,25
2020-06-05,20,20
2020-06-06,11,26
2020-06-07,11,25
2020-06-08,15,21
2020-06-09,25,12
2020-06-10,22,14
2020-06-11,24,12
2020-06-12,23,14
2020-06-13,17,20
2020-06-14,13,24
2020-06-15,16,21
2020-06-16,19,18
2020-06-17,15,22
2020-06-18,11,26
2020-06-19,18,19
2020-06-20,21,16
2020-06-21,19,24
2020-06-22,16,23
2020-06-23,19,18
2020-06-24,15,22
2020-06-25,18,19
2020-06-26,14,23
2020-06-27,15,22
2020-06-28,18,19
2020-06-29,19,18
2020-06-30,17,20
2020-07-01,20,17
2020-07-02,16,21
2020-07-03,21,16
2020-07-04,18,18
2020-07-05,20,17
2020-07-06,18,19
2020-07-07,18,19
2020-07-08,18,19
2020-07-09,22,15
2020-07-10,16,25
2020-07-11,15,22
2020-07-12,14,23
2020-07-13,18,19
2020-07-14,15,21
2020-07-15,15,22
2020-07-16,18,19
2020-07-17,16,21
2020-07-18,10,27
2020-07-19,15,22
2020-07-20,15,22
2020-07-21,10,27
2020-07-22,11,26
2020-07-23,11,26
2020-07-24,19,18
2020-07-25,19,18
2020-07-26,14,23
2020-07-27,19,17
2020-07-28,15,18
2020-07-29,10,27
2020-07-30,18,19
2020-07-31,15,22
2020-08-01,14,23
2020-08-02,16,21
2020-08-03,15,22
2020-08-04,15,21
2020-08-05,11,24
2020-08-06,15,13
2020-08-07,20,8
2020-08-08,18,10
2020-08-09,12,16
2020-08-10,14,14
2020-08-11,11,17
2020-08-12,9,19
2020-08-13,15,13
2020-08-14,15,13
2020-08-15,15,13
2020-08-16,15,13
2020-08-17,18,10
2020-08-18,16,12
2020-08-19,13,15
2020-08-20,14,14
2020-08-21,19,9
2020-08-22,20,8
2020-08-23,19,9
2020-08-24,20,8
2020-08-25,15,13
2020-08-26,18,10
2020-08-27,19,9
2020-08-28,22,6
2020-08-29,21,7
2020-08-30,18,10
2020-08-31,17,11
2020-09-01,19,9
2020-09-02,15,13
2020-09-03,17,11
2020-09-04,21,7
2020-09-05,17,11
2020-09-06,16,12
2020-09-07,15,12
2020-09-08,15,13
2020-09-09,11,17
2020-09-10,14,14
2020-09-11,16,12
2020-09-12,14,14
2020-09-13,13,15
2020-09-14,15,13
2020-09-15,18,10
2020-09-16,16,12
2020-09-17,19,9
2020-09-18,12,16
2020-09-19,17,11
2020-09-20,14,14
2020-09-21,16,12
2020-09-22,14,14
2020-09-23,17,11
2020-09-24,14,14
2020-09-25,14,14
2020-09-26,11,17
2020-09-27,12,16
2020-09-28,16,12
2020-09-29,22,6
2020-09-30,15,13
2020-10-01,18,10
2020-10-02,17,11
2020-10-03,15,13
2020-10-04,14,14
2020-10-05,18,10
2020-10-06,17,11
2020-10-07,21,7
2020-10-08,18,10
2020-10-09,11,17
2020-10-10,14,14
2020-10-11,15,13
2020-10-12,18,10
2020-10-13,20,8
2020-10-14,18,10
2020-10-15,20,8
2020-10-16,22,6
2020-10-17,21,7
2020-10-18,19,9
2020-10-19,20,8
2020-10-20,22,6
2020-10-21,22,6
2020-10-22,17,11
2020-10-23,16,12
2020-10-24,13,15
2020-10-25,16,12
2020-10-26,15,13
2020-10-27,19,9
2020-10-28,19,9
2020-10-29,18,10
2020-10-30,16,12
2020-10-31,17,11
2020-11-01,15,13
2020-11-02,16,12
2020-11-03,15,13
2020-11-04,16,12
2020-11-05,17,11
2020-11-06,15,13
2020-11-07,16,12
2020-11-08,14,14
