date,betten_belegt,betten_frei
2020-04-24,19,25
2020-04-25,15,29
2020-04-26,17,27
2020-04-27,17,27
2020-04-28,12,32
2020-04-29,18,26
2020-04-30,16,28
2020-05-01,20,24
2020-05-02,18,27
2020-05-03,17,28
2020-05-04,14,31
2020-05-05,17,28
2020-05-06,14,31
2020-05-07,18,27
2020-05-08,19,26
2020-05-09,16,29
2020-05-10,20,25
2020-05-11,14,31
2020-05-12,17,28
2020-05-13,14,31
2020-05-14,16,30
2020-05-15,16,30
2020-05-16,18,26
2020-05-17,18,26
2020-05-18,19,25
2020-05-19,19,27
2020-05-20,21,25
2020-05-21,19,25
2020-05-22,19,27
2020-05-23,18,28
2020-05-24,6,30
2020-05-25,14,32
2020-05-26,16,30
2020-05-27,16,30
2020-05-28,15,30
2020-05-29,17,28
2020-05-30,21,25
2020-05-31,16,24
2020-06-01,20,23
2020-06-02,13,32
2020-06-03,14,31
2020-06-04,18,27
2020-06-05,18,27
2020-06-06,17,28
2020-06-07,17,28
2020-06-08,18,27
2020-06-09,11,34
2020-06-10,18,27
2020-06-11,20,30
2020-06-12,19,26
2020-06-13,17,29
2020-06-14,14,32
2020-06-15,16,31
2020-06-16,17,30
2020-06-17,20,26
2020-06-18,17,33
2020-06-19,12,38
2020-06-20,15,35
2020-06-21,14,36
2020-06-22,15,36
2020-06-23,16,36
2020-06-24,16,36
2020-06-25,18,33
2020-06-26,21,30
2020-06-27,18,34
2020-06-28,18,32
2020-06-29,22,25
2020-06-30,20,27
2020-07-01,20,29
2020-07-02,22,26
2020-07-03,23,25
2020-07-04,23,25
2020-07-05,23,24
2020-07-06,22,25
2020-07-07,22,26
2020-07-08,21,27
2020-07-09,20,27
2020-07-10,19,28
2020-07-11,19,28
2020-07-12,13,33
2020-07-13,19,27
2020-07-14,18,28
2020-07-15,19,28
2020-07-16,22,26
2020-07-17,21,29
2020-07-18,21,31
2020-07-19,12,40
2020-07-20,12,41
2020-07-21,17,37
2020-07-22,19,35
2020-07-23,19,30
2020-07-24,18,31
2020-07-25,17,31
2020-07-26,19,29
2020-07-27,18,35
2020-07-28,18,36
2020-07-29,24,25
2020-07-30,17,32
2020-07-31,21,28
2020-08-01,23,26
2020-08-02,23,26
2020-08-03,19,30
2020-08-04,31,15
2020-08-05,29,17
2020-08-06,30,16
2020-08-07,28,18
2020-08-08,29,17
2020-08-09,31,15
2020-08-10,37,9
2020-08-11,39,7
2020-08-12,32,13
2020-08-13,37,9
2020-08-14,28,18
2020-08-15,29,17
2020-08-16,21,25
2020-08-17,23,23
2020-08-18,24,22
2020-08-19,25,21
2020-08-20,24,22
2020-08-21,27,19
2020-08-22,31,15
2020-08-23,30,16
2020-08-24,20,26
2020-08-25,22,24
2020-08-26,23,23
2020-08-27,20,26
2020-08-28,19,27
2020-08-29,19,27
2020-08-30,18,28
2020-08-31,20,26
2020-09-01,24,22
2020-09-02,26,20
2020-09-03,27,19
2020-09-04,26,20
2020-09-05,23,23
2020-09-06,22,24
2020-09-07,25,21
2020-09-08,24,22
2020-09-09,27,19
2020-09-10,27,19
2020-09-11,21,25
2020-09-12,24,22
2020-09-13,26,20
2020-09-14,27,19
2020-09-15,25,21
2020-09-16,24,22
2020-09-17,25,21
2020-09-18,14,32
2020-09-19,20,26
2020-09-20,27,19
2020-09-21,26,20
2020-09-22,30,16
2020-09-23,27,19
2020-09-24,22,24
2020-09-25,23,23
2020-09-26,20,26
2020-09-27,18,28
2020-09-28,23,23
2020-09-29,21,25
2020-09-30,19,27
2020-10-01,20,26
2020-10-02,27,19
2020-10-03,27,19
2020-10-04,24,22
2020-10-05,20,26
2020-10-06,22,24
2020-10-07,22,24
2020-10-08,23,23
2020-10-09,23,23
2020-10-10,20,26
2020-10-11,18,28
2020-10-12,20,26
2020-10-13,21,25
2020-10-14,22,24
2020-10-15,19,27
2020-10-16,18,28
2020-10-17,13,33
2020-10-18,14,32
2020-10-19,16,30
2020-10-20,16,30
2020-10-21,22,24
2020-10-22,21,25
2020-10-23,21,17
2020-10-24,16,22
2020-10-25,23,15
2020-10-26,26,12
2020-10-27,24,14
2020-10-28,20,18
2020-10-29,23,15
2020-10-30,21,17
2020-10-31,22,16
2020-11-01,25,13
2020-11-02,20,18
2020-11-03,19,19
2020-11-04,21,17
2020-11-05,25,13
2020-11-06,18,20
2020-11-07,19,19
2020-11-08,19,19
2020-11-09,17,21
2020-11-10,21,17
2020-11-11,17,21
2020-11-12,18,20
2020-11-13,22,16
2020-11-14,26,12
2020-11-15,20,18
2020-11-16,20,18
2020-11-17,25,13
2020-11-18,23,10
2020-11-19,25,8
2020-11-20,24,9
2020-11-21,25,7
2020-11-22,27,5
2020-11-23,25,4
2020-11-24,22,8
2020-11-25,20,5
2020-11-26,16,10
2020-11-27,16,10
2020-11-28,16,10
2020-11-29,13,13
2020-11-30,15,11
2020-12-01,16,10
2020-12-02,18,5
2020-12-03,13,10
2020-12-04,17,6
2020-12-05,16,7
2020-12-06,13,10
2020-12-07,13,10
2020-12-08,11,12
2020-12-09,12,21
2020-12-10,10,23
2020-12-11,11,22
2020-12-12,14,19
2020-12-13,18,15
2020-12-14,18,15
2020-12-15,17,18
2020-12-16,18,17
2020-12-17,16,19
2020-12-18,22,13
2020-12-19,20,15
2020-12-20,21,14
2020-12-21,25,10
2020-12-22,21,14
2020-12-23,16,19
2020-12-24,20,15
2020-12-25,18,17
2020-12-26,18,17
2020-12-27,22,13
2020-12-28,20,15
2020-12-29,17,21
2020-12-30,16,17
2020-12-31,25,13
