date,betten_belegt,betten_frei
2020-04-24,53,25
2020-04-25,55,23
2020-04-26,55,22
2020-04-27,52,26
2020-04-28,56,22
2020-04-29,57,27
2020-04-30,62,44
2020-05-01,69,38
2020-05-02,62,50
2020-05-03,62,48
2020-05-04,57,55
2020-05-05,64,36
2020-05-06,67,34
2020-05-07,67,34
2020-05-08,66,35
2020-05-09,56,29
2020-05-10,53,32
2020-05-11,60,32
2020-05-12,66,26
2020-05-13,68,25
2020-05-14,59,26
2020-05-15,66,26
2020-05-16,57,34
2020-05-17,59,33
2020-05-18,56,36
2020-05-19,54,38
2020-05-20,54,38
2020-05-21,56,36
2020-05-22,57,33
2020-05-23,62,31
2020-05-24,59,35
2020-05-25,56,34
2020-05-26,60,31
2020-05-27,65,27
2020-05-28,63,29
2020-05-29,63,29
2020-05-30,52,39
2020-05-31,52,42
2020-06-01,52,40
2020-06-02,57,35
2020-06-03,58,34
2020-06-04,63,29
2020-06-05,66,26
2020-06-06,54,30
2020-06-07,54,37
2020-06-08,55,37
2020-06-09,62,30
2020-06-10,63,30
2020-06-11,68,26
2020-06-12,58,34
2020-06-13,49,42
2020-06-14,47,44
2020-06-15,49,43
2020-06-16,51,34
2020-06-17,63,30
2020-06-18,59,33
2020-06-19,54,38
2020-06-20,59,33
2020-06-21,51,41
2020-06-22,50,42
2020-06-23,54,38
2020-06-24,51,41
2020-06-25,60,32
2020-06-26,57,35
2020-06-27,62,29
2020-06-28,57,33
2020-06-29,57,33
2020-06-30,57,35
2020-07-01,55,37
2020-07-02,59,33
2020-07-03,63,29
2020-07-04,56,35
2020-07-05,52,39
2020-07-06,52,40
2020-07-07,57,34
2020-07-08,60,32
2020-07-09,55,35
2020-07-10,59,29
2020-07-11,58,31
2020-07-12,57,31
2020-07-13,54,35
2020-07-14,52,37
2020-07-15,48,42
2020-07-16,58,30
2020-07-17,51,37
2020-07-18,54,35
2020-07-19,45,43
2020-07-20,48,41
2020-07-21,58,31
2020-07-22,60,29
2020-07-23,67,39
2020-07-24,67,35
2020-07-25,66,35
2020-07-26,63,38
2020-07-27,61,40
2020-07-28,66,36
2020-07-29,69,33
2020-07-30,66,36
2020-07-31,67,35
2020-08-01,64,37
2020-08-02,60,41
2020-08-03,67,35
2020-08-04,64,28
2020-08-05,69,23
2020-08-06,73,19
2020-08-07,73,19
2020-08-08,74,18
2020-08-09,71,21
2020-08-10,71,21
2020-08-11,76,16
2020-08-12,75,17
2020-08-13,74,20
2020-08-14,71,21
2020-08-15,69,23
2020-08-16,72,20
2020-08-17,71,21
2020-08-18,73,19
2020-08-19,71,22
2020-08-20,75,17
