date,betten_belegt,betten_frei
2020-04-24,48,43
2020-04-25,49,44
2020-04-26,42,51
2020-04-27,51,42
2020-04-28,44,49
2020-04-29,45,48
2020-04-30,44,49
2020-05-01,45,48
2020-05-02,48,45
2020-05-03,46,47
2020-05-04,43,50
2020-05-05,49,44
2020-05-06,47,46
2020-05-07,41,52
2020-05-08,41,52
2020-05-09,47,46
2020-05-10,43,50
2020-05-11,46,46
2020-05-12,50,43
2020-05-13,53,40
2020-05-14,43,50
2020-05-15,42,51
2020-05-16,48,45
2020-05-17,47,47
2020-05-18,44,49
2020-05-19,45,48
2020-05-20,45,47
2020-05-21,47,46
2020-05-22,44,49
2020-05-23,48,45
2020-05-24,45,48
2020-05-25,41,52
2020-05-26,49,44
2020-05-27,46,47
2020-05-28,46,47
2020-05-29,44,49
2020-05-30,45,48
2020-05-31,43,50
2020-06-01,44,49
2020-06-02,41,51
2020-06-03,41,51
2020-06-04,44,48
2020-06-05,50,43
2020-06-06,49,44
2020-06-07,45,47
2020-06-08,42,50
2020-06-09,49,44
2020-06-10,50,43
2020-06-11,45,50
2020-06-12,45,48
2020-06-13,50,43
2020-06-14,47,46
2020-06-15,40,53
2020-06-16,40,53
2020-06-17,41,52
2020-06-18,41,52
2020-06-19,44,49
2020-06-20,52,41
2020-06-21,47,46
2020-06-22,43,50
2020-06-23,51,44
2020-06-24,51,42
2020-06-25,58,35
2020-06-26,50,43
2020-06-27,50,43
2020-06-28,47,46
2020-06-29,52,41
2020-06-30,48,45
2020-07-01,51,42
2020-07-02,50,43
2020-07-03,54,39
2020-07-04,71,22
2020-07-05,57,36
2020-07-06,48,45
2020-07-07,51,42
2020-07-08,50,43
2020-07-09,44,49
2020-07-10,51,42
2020-07-11,44,49
2020-07-12,44,49
2020-07-13,40,53
2020-07-14,45,48
2020-07-15,54,43
2020-07-16,54,41
2020-07-17,53,40
2020-07-18,54,39
2020-07-19,59,34
2020-07-20,52,41
2020-07-21,54,39
2020-07-22,54,39
