date,betten_belegt,betten_frei
2020-04-24,19,12
2020-04-25,21,10
2020-04-26,23,8
2020-04-27,22,9
2020-04-28,21,10
2020-04-29,19,12
2020-04-30,19,12
2020-05-01,19,12
2020-05-02,15,16
2020-05-03,15,16
2020-05-04,17,14
2020-05-05,20,11
2020-05-06,19,12
2020-05-07,19,12
2020-05-08,19,12
2020-05-09,18,13
2020-05-10,18,13
2020-05-11,22,9
2020-05-12,21,10
2020-05-13,18,13
2020-05-14,21,10
2020-05-15,19,12
2020-05-16,24,7
2020-05-17,22,9
2020-05-18,18,13
2020-05-19,19,12
2020-05-20,22,9
2020-05-21,23,8
2020-05-22,22,9
2020-05-23,19,12
2020-05-24,17,14
2020-05-25,21,10
2020-05-26,27,4
2020-05-27,20,11
2020-05-28,24,7
2020-05-29,22,12
2020-05-30,25,9
2020-05-31,24,10
2020-06-01,22,12
2020-06-02,23,11
2020-06-03,21,13
2020-06-04,20,14
2020-06-05,27,7
2020-06-06,20,14
2020-06-07,19,15
2020-06-08,19,15
2020-06-09,19,15
2020-06-10,16,18
2020-06-11,25,9
2020-06-12,21,13
2020-06-13,19,18
2020-06-14,32,12
2020-06-15,34,10
2020-06-16,35,9
2020-06-17,32,12
2020-06-18,30,14
2020-06-19,30,14
2020-06-20,32,12
2020-06-21,32,12
2020-06-22,33,11
2020-06-23,38,6
2020-06-24,33,11
2020-06-25,33,11
2020-06-26,31,13
2020-06-27,32,12
2020-06-28,32,12
2020-06-29,31,13
2020-06-30,33,11
2020-07-01,35,9
2020-07-02,31,13
2020-07-03,37,7
2020-07-04,32,12
2020-07-05,35,9
2020-07-06,36,8
2020-07-07,37,7
2020-07-08,33,11
2020-07-09,38,6
2020-07-10,36,8
2020-07-11,32,12
2020-07-12,31,13
2020-07-13,33,11
2020-07-14,32,12
2020-07-15,33,11
2020-07-16,33,11
2020-07-17,30,14
2020-07-18,36,8
2020-07-19,36,8
2020-07-20,38,6
2020-07-21,44,8
2020-07-22,42,10
2020-07-23,43,11
2020-07-24,42,12
2020-07-25,34,10
2020-07-26,36,8
2020-07-27,31,13
2020-07-28,34,10
2020-07-29,37,7
2020-07-30,35,9
2020-07-31,32,12
2020-08-01,33,11
2020-08-02,32,12
2020-08-03,33,11
2020-08-04,34,10
2020-08-05,31,13
2020-08-06,22,6
2020-08-07,23,5
2020-08-08,23,7
2020-08-09,27,3
2020-08-10,30,0
2020-08-11,25,5
2020-08-12,25,5
2020-08-13,22,8
2020-08-14,29,1
2020-08-15,29,1
2020-08-16,29,1
2020-08-17,27,3
2020-08-18,29,1
2020-08-19,27,3
2020-08-20,26,4
2020-08-21,28,2
2020-08-22,30,0
2020-08-23,28,2
2020-08-24,27,3
2020-08-25,27,3
2020-08-26,24,6
2020-08-27,28,2
2020-08-28,24,6
2020-08-29,24,6
2020-08-30,26,4
2020-08-31,28,2
2020-09-01,27,3
2020-09-02,27,3
2020-09-03,25,5
2020-09-04,27,3
2020-09-05,25,5
2020-09-06,25,5
2020-09-07,27,3
2020-09-08,26,4
2020-09-09,28,2
2020-09-10,28,2
2020-09-11,29,1
2020-09-12,29,1
2020-09-13,30,0
2020-09-14,27,3
2020-09-15,25,5
2020-09-16,30,1
2020-09-17,28,2
2020-09-18,26,4
2020-09-19,28,2
2020-09-20,28,2
2020-09-21,27,3
2020-09-22,27,3
2020-09-23,29,1
2020-09-24,27,3
2020-09-25,27,3
2020-09-26,25,5
2020-09-27,28,2
2020-09-28,27,3
2020-09-29,28,2
2020-09-30,28,2
2020-10-01,28,2
2020-10-02,27,3
2020-10-03,28,2
2020-10-04,27,3
2020-10-05,25,5
2020-10-06,26,4
2020-10-07,26,4
2020-10-08,27,3
2020-10-09,25,5
2020-10-10,24,6
2020-10-11,28,2
2020-10-12,28,2
2020-10-13,26,4
2020-10-14,28,2
2020-10-15,27,3
2020-10-16,27,3
2020-10-17,28,2
2020-10-18,29,1
2020-10-19,29,1
2020-10-20,30,0
2020-10-21,29,1
2020-10-22,27,3
2020-10-23,28,2
2020-10-24,28,2
2020-10-25,26,4
2020-10-26,27,3
2020-10-27,27,3
2020-10-28,24,6
2020-10-29,26,4
2020-10-30,27,3
2020-10-31,28,2
2020-11-01,29,2
2020-11-02,29,1
2020-11-03,28,2
2020-11-04,29,1
2020-11-05,28,2
2020-11-06,27,3
2020-11-07,27,3
2020-11-08,25,4
2020-11-09,25,4
2020-11-10,25,4
2020-11-11,28,1
2020-11-12,28,1
2020-11-13,26,3
2020-11-14,25,2
2020-11-15,25,2
2020-11-16,23,6
2020-11-17,24,5
2020-11-18,25,5
2020-11-19,26,4
2020-11-20,28,2
2020-11-21,28,2
2020-11-22,27,3
2020-11-23,28,2
2020-11-24,24,4
2020-11-25,26,2
2020-11-26,25,3
2020-11-27,27,1
2020-11-28,29,2
2020-11-29,25,3
2020-11-30,25,3
2020-12-01,26,3
2020-12-02,27,1
2020-12-03,24,4
2020-12-04,26,2
2020-12-05,24,4
2020-12-06,23,5
2020-12-07,26,2
2020-12-08,25,3
2020-12-09,27,1
2020-12-10,29,0
2020-12-11,26,2
2020-12-12,23,5
2020-12-13,26,2
2020-12-14,27,1
2020-12-15,27,1
2020-12-16,29,0
2020-12-17,26,2
2020-12-18,27,1
2020-12-19,26,2
2020-12-20,27,1
2020-12-21,28,0
2020-12-22,28,0
2020-12-23,27,1
2020-12-24,26,2
2020-12-25,26,2
2020-12-26,27,1
2020-12-27,27,1
2020-12-28,25,3
2020-12-29,29,0
2020-12-30,28,0
2020-12-31,24,4
2021-01-01,27,1
2021-01-02,25,3
2021-01-03,25,3
2021-01-04,29,0
2021-01-05,27,1
2021-01-06,27,1
2021-01-07,27,1
2021-01-08,26,2
2021-01-09,27,1
2021-01-10,27,1
2021-01-11,27,1
2021-01-12,25,3
2021-01-13,28,0
2021-01-14,24,4
2021-01-15,26,2
2021-01-16,28,0
2021-01-17,28,0
2021-01-18,25,3
2021-01-19,27,1
2021-01-20,31,0
2021-01-21,28,0
2021-01-22,26,2
2021-01-23,28,1
2021-01-24,28,1
2021-01-25,29,0
2021-01-26,27,1
2021-01-27,28,0
2021-01-28,29,0
2021-01-29,27,0
2021-01-30,27,0
2021-01-31,26,0
2021-02-01,25,1
2021-02-02,24,2
2021-02-03,23,3
2021-02-04,24,3
2021-02-05,27,1
2021-02-06,26,2
2021-02-07,23,5
2021-02-08,25,3
2021-02-09,23,5
2021-02-10,25,3
2021-02-11,25,3
2021-02-12,26,2
2021-02-13,27,1
2021-02-14,24,4
2021-02-15,24,6
2021-02-16,30,0
2021-02-17,27,3
2021-02-18,26,4
2021-02-19,29,1
2021-02-20,28,2
