date,betten_belegt,betten_frei
2020-04-24,105,36
2020-04-25,103,38
2020-04-26,98,43
2020-04-27,99,42
2020-04-28,104,37
2020-04-29,101,40
2020-04-30,104,37
2020-05-01,99,42
2020-05-02,99,42
2020-05-03,97,44
2020-05-04,101,40
2020-05-05,98,41
2020-05-06,102,44
2020-05-07,99,47
2020-05-08,105,41
2020-05-09,100,46
2020-05-10,101,45
2020-05-11,99,47
2020-05-12,96,51
2020-05-13,93,53
2020-05-14,91,55
2020-05-15,105,41
2020-05-16,93,50
2020-05-17,80,63
2020-05-18,89,54
2020-05-19,97,46
2020-05-20,101,42
2020-05-21,104,39
2020-05-22,96,47
2020-05-23,104,39
2020-05-24,100,43
2020-05-25,109,34
2020-05-26,97,46
2020-05-27,100,43
2020-05-28,101,42
2020-05-29,110,33
2020-05-30,101,42
2020-05-31,98,45
2020-06-01,95,48
2020-06-02,99,44
2020-06-03,98,45
2020-06-04,107,36
2020-06-05,106,37
2020-06-06,95,48
2020-06-07,99,44
2020-06-08,102,41
2020-06-09,112,31
2020-06-10,105,38
2020-06-11,101,42
2020-06-12,96,46
2020-06-13,103,40
2020-06-14,97,46
2020-06-15,96,47
2020-06-16,98,45
2020-06-17,103,44
2020-06-18,97,50
2020-06-19,108,39
2020-06-20,103,44
2020-06-21,101,46
2020-06-22,97,50
2020-06-23,100,47
2020-06-24,96,51
2020-06-25,99,48
2020-06-26,97,50
2020-06-27,103,44
2020-06-28,100,47
2020-06-29,102,46
2020-06-30,109,39
2020-07-01,95,59
2020-07-02,100,54
2020-07-03,103,51
2020-07-04,97,57
2020-07-05,88,66
2020-07-06,96,58
2020-07-07,102,52
2020-07-08,104,48
2020-07-09,106,44
2020-07-10,102,46
2020-07-11,108,40
2020-07-12,95,53
2020-07-13,101,46
2020-07-14,102,45
2020-07-15,103,44
2020-07-16,94,54
2020-07-17,108,40
2020-07-18,104,46
2020-07-19,98,52
2020-07-20,104,46
2020-07-21,106,44
2020-07-22,98,52
2020-07-23,89,61
2020-07-24,104,46
2020-07-25,98,52
2020-07-26,88,62
2020-07-27,100,50
2020-07-28,102,48
2020-07-29,103,62
2020-07-30,112,53
2020-07-31,113,52
2020-08-01,113,52
2020-08-02,99,66
2020-08-03,109,56
2020-08-04,212,67
2020-08-05,201,78
2020-08-06,192,87
2020-08-07,206,73
2020-08-08,204,60
2020-08-09,200,64
2020-08-10,193,71
2020-08-11,194,70
2020-08-12,187,77
2020-08-13,203,61
2020-08-14,207,57
2020-08-15,204,60
2020-08-16,196,68
2020-08-17,199,65
2020-08-18,201,63
2020-08-19,207,60
2020-08-20,208,59
2020-08-21,194,73
2020-08-22,200,67
2020-08-23,198,69
2020-08-24,201,66
2020-08-25,209,58
2020-08-26,205,62
2020-08-27,199,68
2020-08-28,189,78
2020-08-29,196,71
2020-08-30,193,74
2020-08-31,191,76
2020-09-01,204,63
2020-09-02,196,71
2020-09-03,199,68
2020-09-04,198,69
2020-09-05,199,68
2020-09-06,181,86
2020-09-07,180,87
2020-09-08,196,71
2020-09-09,193,74
2020-09-10,193,74
2020-09-11,198,69
2020-09-12,187,80
2020-09-13,191,76
2020-09-14,186,81
2020-09-15,201,66
2020-09-16,207,60
2020-09-17,204,63
2020-09-18,196,78
2020-09-19,198,76
2020-09-20,199,75
2020-09-21,205,69
2020-09-22,205,69
2020-09-23,210,64
2020-09-24,198,76
2020-09-25,203,71
2020-09-26,195,79
2020-09-27,188,83
2020-09-28,191,83
2020-09-29,206,70
2020-09-30,205,71
2020-10-01,196,80
2020-10-02,200,76
2020-10-03,198,78
2020-10-04,194,82
2020-10-05,194,82
2020-10-06,198,78
2020-10-07,206,70
2020-10-08,204,72
2020-10-09,203,73
2020-10-10,208,68
2020-10-11,195,81
2020-10-12,204,72
2020-10-13,204,72
2020-10-14,213,63
2020-10-15,205,71
2020-10-16,211,65
2020-10-17,201,75
2020-10-18,185,91
2020-10-19,189,87
2020-10-20,193,83
2020-10-21,199,77
2020-10-22,204,72
2020-10-23,205,71
2020-10-24,199,77
2020-10-25,198,78
2020-10-26,198,78
2020-10-27,211,52
2020-10-28,209,54
2020-10-29,214,49
2020-10-30,218,45
2020-10-31,208,54
2020-11-01,210,52
2020-11-02,197,65
2020-11-03,217,28
2020-11-04,207,38
2020-11-05,205,37
2020-11-06,214,28
2020-11-07,202,38
2020-11-08,198,42
2020-11-09,193,45
2020-11-10,203,35
2020-11-11,206,29
2020-11-12,214,21
2020-11-13,208,25
2020-11-14,199,30
2020-11-15,199,30
2020-11-16,197,29
2020-11-17,196,30
2020-11-18,198,33
2020-11-19,200,29
2020-11-20,200,27
2020-11-21,202,22
2020-11-22,189,35
2020-11-23,199,27
2020-11-24,196,32
2020-11-25,202,26
2020-11-26,204,24
2020-11-27,195,32
2020-11-28,196,31
2020-11-29,191,36
2020-11-30,193,36
2020-12-01,198,31
2020-12-02,205,24
2020-12-03,201,29
2020-12-04,205,25
2020-12-05,211,18
2020-12-06,205,25
2020-12-07,202,27
2020-12-08,205,24
2020-12-09,210,20
2020-12-10,214,18
2020-12-11,207,23
2020-12-12,215,21
2020-12-13,204,30
2020-12-14,197,30
2020-12-15,192,33
2020-12-16,198,30
2020-12-17,209,24
2020-12-18,197,30
2020-12-19,188,32
2020-12-20,191,32
2020-12-21,192,29
2020-12-22,196,26
2020-12-23,192,33
2020-12-24,190,34
2020-12-25,177,46
2020-12-26,178,47
2020-12-27,184,40
2020-12-28,188,38
2020-12-29,185,38
2020-12-30,189,36
2020-12-31,192,31
2021-01-01,192,31
2021-01-02,187,37
2021-01-03,185,36
2021-01-04,180,43
2021-01-05,198,28
2021-01-06,198,30
2021-01-07,200,32
2021-01-08,199,30
2021-01-09,192,36
2021-01-10,186,39
2021-01-11,203,25
2021-01-12,209,21
2021-01-13,199,27
2021-01-14,202,27
2021-01-15,195,30
2021-01-16,194,27
2021-01-17,192,39
2021-01-18,192,38
2021-01-19,191,42
2021-01-20,196,35
2021-01-21,193,32
2021-01-22,200,31
2021-01-23,201,24
2021-01-24,192,33
2021-01-25,191,32
2021-01-26,204,21
2021-01-27,202,23
2021-01-28,198,27
2021-01-29,201,23
2021-01-30,199,21
2021-01-31,194,26
2021-02-01,191,33
2021-02-02,200,21
2021-02-03,194,27
2021-02-04,202,19
2021-02-05,195,24
2021-02-06,192,28
2021-02-07,192,28
2021-02-08,186,34
2021-02-09,197,21
2021-02-10,189,27
2021-02-11,192,22
2021-02-12,198,20
2021-02-13,196,29
2021-02-14,190,31
2021-02-15,188,32
2021-02-16,194,30
2021-02-17,204,22
2021-02-18,205,21
2021-02-19,194,30
2021-02-20,193,31
2021-02-21,187,37
2021-02-22,193,30
2021-02-23,192,28
2021-02-24,193,31
2021-02-25,199,25
2021-02-26,197,26
2021-02-27,188,34
2021-02-28,186,36
2021-03-01,184,37
2021-03-02,195,25
2021-03-03,206,19
2021-03-04,202,23
2021-03-05,205,20
2021-03-06,199,24
2021-03-07,185,40
2021-03-08,204,24
2021-03-09,201,24
2021-03-10,204,23
2021-03-11,202,26
2021-03-12,202,22
2021-03-13,190,33
2021-03-14,197,27
2021-03-15,200,27
2021-03-16,204,22
2021-03-17,206,19
2021-03-18,208,19
2021-03-19,206,19
2021-03-20,199,26
2021-03-21,196,29
2021-03-22,202,23
2021-03-23,204,21
2021-03-24,205,20
2021-03-25,201,29
2021-03-26,205,23
2021-03-27,201,25
2021-03-28,198,28
2021-03-29,199,30
2021-03-30,205,21
2021-03-31,205,20
2021-04-01,209,16
2021-04-02,209,17
2021-04-03,197,27
2021-04-04,194,31
2021-04-05,202,23
2021-04-06,198,25
2021-04-07,200,17
2021-04-08,196,17
2021-04-09,197,22
2021-04-10,190,28
2021-04-11,183,35
2021-04-12,186,30
2021-04-13,189,28
2021-04-14,188,27
2021-04-15,191,27
2021-04-16,200,18
2021-04-17,192,28
2021-04-18,189,32
2021-04-19,190,32
2021-04-20,196,23
2021-04-21,195,27
2021-04-22,195,25
2021-04-23,194,25
2021-04-24,196,22
2021-04-25,185,33
2021-04-26,188,30
2021-04-27,205,14
