date,betten_belegt,betten_frei
2020-04-24,47,22
2020-04-25,41,29
2020-04-26,35,34
2020-04-27,33,35
2020-04-28,34,35
2020-04-29,38,31
2020-04-30,33,36
2020-05-01,31,38
2020-05-02,32,46
2020-05-03,38,33
2020-05-04,35,36
2020-05-05,34,37
2020-05-06,31,40
2020-05-07,33,38
2020-05-08,38,34
2020-05-09,33,38
2020-05-10,28,43
2020-05-11,32,39
2020-05-12,39,32
2020-05-13,35,36
2020-05-14,38,33
2020-05-15,34,37
2020-05-16,35,36
2020-05-17,30,41
2020-05-18,30,41
2020-05-19,29,42
2020-05-20,30,41
2020-05-21,32,39
2020-05-22,35,36
2020-05-23,32,39
2020-05-24,30,41
2020-05-25,32,39
2020-05-26,33,38
2020-05-27,38,33
2020-05-28,39,32
2020-05-29,40,31
2020-05-30,42,29
2020-05-31,43,28
2020-06-01,44,27
2020-06-02,46,25
2020-06-03,40,31
2020-06-04,42,24
2020-06-05,45,26
2020-06-06,39,32
2020-06-07,36,35
2020-06-08,38,33
2020-06-09,41,30
2020-06-10,41,30
2020-06-11,44,27
2020-06-12,40,31
2020-06-13,38,33
2020-06-14,30,41
2020-06-15,29,42
2020-06-16,32,39
2020-06-17,32,39
2020-06-18,34,37
2020-06-19,38,33
2020-06-20,35,36
2020-06-21,41,39
2020-06-22,34,37
2020-06-23,26,45
2020-06-24,29,42
2020-06-25,32,39
2020-06-26,32,39
2020-06-27,38,33
2020-06-28,35,36
2020-06-29,39,32
2020-06-30,38,33
2020-07-01,39,32
2020-07-02,37,34
2020-07-03,35,36
2020-07-04,32,39
2020-07-05,31,40
2020-07-06,26,45
2020-07-07,41,30
2020-07-08,38,32
2020-07-09,39,31
2020-07-10,40,31
2020-07-11,41,30
2020-07-12,37,34
2020-07-13,38,33
2020-07-14,37,34
2020-07-15,43,28
2020-07-16,48,23
2020-07-17,42,29
2020-07-18,40,31
2020-07-19,33,38
2020-07-20,34,37
2020-07-21,33,50
2020-07-22,36,47
2020-07-23,41,42
2020-07-24,40,42
2020-07-25,42,40
2020-07-26,36,46
2020-07-27,40,42
2020-07-28,40,42
2020-07-29,44,38
2020-07-30,37,45
2020-07-31,30,52
2020-08-01,35,47
2020-08-02,37,45
2020-08-03,35,47
2020-08-04,34,35
2020-08-05,30,27
2020-08-06,32,25
2020-08-07,35,22
2020-08-08,33,23
2020-08-09,35,24
2020-08-10,33,25
2020-08-11,39,18
2020-08-12,42,15
2020-08-13,40,17
2020-08-14,36,21
2020-08-15,38,18
2020-08-16,37,19
2020-08-17,36,21
2020-08-18,34,23
2020-08-19,34,23
2020-08-20,30,28
2020-08-21,39,18
2020-08-22,38,19
2020-08-23,38,19
2020-08-24,35,21
2020-08-25,30,28
2020-08-26,33,25
2020-08-27,36,22
2020-08-28,36,21
2020-08-29,37,19
2020-08-30,34,22
2020-08-31,34,23
2020-09-01,39,18
2020-09-02,42,16
2020-09-03,37,20
2020-09-04,40,17
2020-09-05,38,19
2020-09-06,40,17
2020-09-07,34,23
2020-09-08,38,20
2020-09-09,39,19
2020-09-10,40,18
2020-09-11,37,21
2020-09-12,41,17
2020-09-13,40,18
2020-09-14,35,23
2020-09-15,40,18
2020-09-16,38,20
2020-09-17,37,21
2020-09-18,40,18
2020-09-19,44,14
2020-09-20,44,14
2020-09-21,43,15
2020-09-22,42,16
2020-09-23,39,19
2020-09-24,37,21
2020-09-25,42,16
2020-09-26,36,22
2020-09-27,34,24
2020-09-28,35,23
2020-09-29,29,29
2020-09-30,32,26
2020-10-01,33,25
2020-10-02,36,22
2020-10-03,32,26
2020-10-04,30,28
2020-10-05,33,25
2020-10-06,35,23
2020-10-07,40,18
2020-10-08,38,20
2020-10-09,42,16
2020-10-10,38,20
2020-10-11,36,22
2020-10-12,34,24
2020-10-13,29,29
2020-10-14,34,24
2020-10-15,37,21
2020-10-16,39,19
2020-10-17,36,22
2020-10-18,36,22
2020-10-19,42,16
2020-10-20,40,18
2020-10-21,44,14
2020-10-22,40,18
2020-10-23,36,22
2020-10-24,40,18
2020-10-25,29,29
2020-10-26,27,31
2020-10-27,33,25
2020-10-28,39,18
2020-10-29,37,20
2020-10-30,34,23
2020-10-31,45,12
2020-11-01,39,18
2020-11-02,43,14
2020-11-03,41,16
2020-11-04,39,18
2020-11-05,37,15
2020-11-06,43,9
2020-11-07,36,16
2020-11-08,40,12
2020-11-09,33,19
2020-11-10,40,12
2020-11-11,36,14
2020-11-12,39,13
2020-11-13,40,9
2020-11-14,40,9
2020-11-15,36,13
2020-11-16,41,10
2020-11-17,35,14
2020-11-18,44,6
2020-11-19,40,9
2020-11-20,38,11
2020-11-21,39,10
2020-11-22,37,12
2020-11-23,44,6
2020-11-24,43,6
2020-11-25,43,7
2020-11-26,40,10
2020-11-27,41,9
2020-11-28,37,13
2020-11-29,41,9
2020-11-30,39,11
2020-12-01,43,6
2020-12-02,43,7
2020-12-03,45,6
2020-12-04,46,6
2020-12-05,49,4
2020-12-06,47,6
2020-12-07,50,3
2020-12-08,45,7
2020-12-09,40,13
2020-12-10,50,2
2020-12-11,49,3
2020-12-12,43,10
2020-12-13,40,12
2020-12-14,44,8
2020-12-15,46,6
2020-12-16,46,6
2020-12-17,44,8
2020-12-18,46,5
2020-12-19,44,6
2020-12-20,48,3
2020-12-21,47,5
2020-12-22,48,4
2020-12-23,40,12
2020-12-24,41,11
2020-12-25,41,11
2020-12-26,46,6
2020-12-27,42,10
2020-12-28,43,4
2020-12-29,48,0
2020-12-30,45,3
2020-12-31,46,2
2021-01-01,44,4
2021-01-02,48,1
2021-01-03,43,4
2021-01-04,45,3
2021-01-05,47,4
2021-01-06,46,3
2021-01-07,48,2
2021-01-08,48,2
2021-01-09,47,3
2021-01-10,43,8
2021-01-11,45,6
2021-01-12,50,4
2021-01-13,48,6
2021-01-14,46,5
2021-01-15,46,5
2021-01-16,50,1
2021-01-17,46,5
2021-01-18,45,6
2021-01-19,45,6
2021-01-20,46,5
2021-01-21,45,6
2021-01-22,47,4
2021-01-23,40,11
2021-01-24,38,13
2021-01-25,44,7
2021-01-26,46,6
2021-01-27,44,7
2021-01-28,47,5
2021-01-29,46,3
2021-01-30,43,7
2021-01-31,43,6
2021-02-01,42,7
2021-02-02,47,3
2021-02-03,45,7
2021-02-04,49,3
2021-02-05,46,4
2021-02-06,48,2
2021-02-07,43,7
2021-02-08,45,5
2021-02-09,44,6
2021-02-10,44,6
2021-02-11,42,8
2021-02-12,46,5
2021-02-13,47,4
2021-02-14,45,6
2021-02-15,44,6
2021-02-16,49,1
2021-02-17,45,5
2021-02-18,46,5
2021-02-19,46,4
2021-02-20,46,4
2021-02-21,47,3
2021-02-22,48,2
2021-02-23,47,3
2021-02-24,45,6
2021-02-25,46,6
2021-02-26,42,9
