date,betten_belegt,betten_frei
2020-04-24,18,27
2020-04-25,13,32
2020-04-26,15,30
2020-04-27,20,25
2020-04-28,18,27
2020-04-29,19,26
2020-04-30,22,23
2020-05-01,24,21
2020-05-02,21,24
2020-05-03,19,26
2020-05-04,23,22
2020-05-05,18,27
2020-05-06,18,27
2020-05-07,22,23
2020-05-08,18,27
2020-05-09,17,28
2020-05-10,18,27
2020-05-11,20,24
2020-05-12,16,28
2020-05-13,16,22
2020-05-14,18,21
2020-05-15,18,21
2020-05-16,18,21
2020-05-17,19,20
2020-05-18,16,23
2020-05-19,14,25
2020-05-20,19,20
2020-05-21,22,17
2020-05-22,18,21
2020-05-23,17,22
2020-05-24,18,21
2020-05-25,21,18
2020-05-26,23,16
2020-05-27,19,20
2020-05-28,16,23
2020-05-29,12,27
2020-05-30,16,23
2020-05-31,16,23
2020-06-01,13,26
2020-06-02,14,25
2020-06-03,15,24
2020-06-04,18,21
2020-06-05,23,16
2020-06-06,22,17
2020-06-07,23,13
2020-06-08,23,16
2020-06-09,22,17
2020-06-10,21,18
2020-06-11,21,18
2020-06-12,17,22
2020-06-13,21,18
2020-06-14,20,19
2020-06-15,22,17
2020-06-16,19,20
2020-06-17,20,19
2020-06-18,17,22
2020-06-19,17,22
2020-06-20,16,23
2020-06-21,16,23
2020-06-22,16,23
2020-06-23,21,18
2020-06-24,17,22
2020-06-25,15,24
2020-06-26,15,23
2020-06-27,18,21
2020-06-28,14,25
2020-06-29,13,26
2020-06-30,19,20
2020-07-01,18,21
2020-07-02,18,19
2020-07-03,16,31
2020-07-04,15,24
2020-07-05,15,24
2020-07-06,16,21
2020-07-07,18,19
2020-07-08,18,19
2020-07-09,19,18
2020-07-10,23,14
2020-07-11,21,15
2020-07-12,18,15
2020-07-13,21,16
2020-07-14,21,15
2020-07-15,23,16
2020-07-16,24,15
2020-07-17,21,16
2020-07-18,20,17
2020-07-19,15,18
2020-07-20,15,18
2020-07-21,15,24
2020-07-22,15,22
2020-07-23,23,14
2020-07-24,22,15
2020-07-25,21,16
2020-07-26,20,17
2020-07-27,20,17
2020-07-28,18,19
2020-07-29,18,19
2020-07-30,19,18
2020-07-31,15,22
2020-08-01,14,19
2020-08-02,14,17
2020-08-03,16,17
2020-08-04,16,11
2020-08-05,20,7
2020-08-06,22,5
2020-08-07,22,5
2020-08-08,21,6
2020-08-09,22,5
2020-08-10,16,7
2020-08-11,20,7
2020-08-12,17,10
2020-08-13,21,6
2020-08-14,20,7
2020-08-15,17,10
2020-08-16,16,11
2020-08-17,17,6
2020-08-18,17,10
2020-08-19,20,7
2020-08-20,20,7
2020-08-21,19,8
2020-08-22,14,13
2020-08-23,13,14
2020-08-24,13,10
2020-08-25,18,9
2020-08-26,18,9
2020-08-27,16,11
2020-08-28,18,9
2020-08-29,15,8
2020-08-30,17,6
2020-08-31,17,10
2020-09-01,17,10
2020-09-02,15,12
2020-09-03,14,13
2020-09-04,13,14
2020-09-05,14,13
2020-09-06,15,12
2020-09-07,17,10
2020-09-08,18,9
2020-09-09,19,9
2020-09-10,22,5
2020-09-11,18,9
2020-09-12,17,6
2020-09-13,20,3
2020-09-14,16,7
2020-09-15,15,8
2020-09-16,17,10
2020-09-17,17,10
2020-09-18,13,14
2020-09-19,18,5
2020-09-20,19,4
2020-09-21,17,6
2020-09-22,17,10
2020-09-23,17,10
2020-09-24,22,5
2020-09-25,24,3
2020-09-26,19,4
2020-09-27,21,2
2020-09-28,17,9
2020-09-29,17,11
2020-09-30,19,9
2020-10-01,22,6
2020-10-02,20,6
2020-10-03,20,4
2020-10-04,20,4
2020-10-05,18,6
2020-10-06,20,8
2020-10-07,23,5
2020-10-08,15,9
2020-10-09,22,6
2020-10-10,17,11
2020-10-11,17,11
2020-10-12,18,10
2020-10-13,15,13
2020-10-14,14,14
2020-10-15,14,14
2020-10-16,19,9
2020-10-17,15,9
2020-10-18,17,7
2020-10-19,16,12
2020-10-20,20,8
2020-10-21,19,9
2020-10-22,19,9
2020-10-23,21,7
2020-10-24,21,7
2020-10-25,21,7
2020-10-26,18,10
2020-10-27,22,6
2020-10-28,21,7
2020-10-29,19,9
2020-10-30,19,9
2020-10-31,18,3
2020-11-01,20,1
2020-11-02,19,9
2020-11-03,18,10
2020-11-04,20,8
2020-11-05,23,4
2020-11-06,23,4
2020-11-07,20,7
2020-11-08,21,6
2020-11-09,20,7
2020-11-10,20,7
2020-11-11,23,4
2020-11-12,21,6
2020-11-13,20,7
2020-11-14,15,5
2020-11-15,17,3
2020-11-16,19,7
2020-11-17,16,10
2020-11-18,16,10
2020-11-19,19,7
2020-11-20,18,8
2020-11-21,20,6
2020-11-22,17,9
2020-11-23,19,7
2020-11-24,20,6
2020-11-25,23,3
2020-11-26,25,1
2020-11-27,23,3
2020-11-28,19,3
2020-11-29,19,5
2020-11-30,17,9
2020-12-01,18,8
2020-12-02,20,6
2020-12-03,13,13
2020-12-04,17,9
2020-12-05,22,4
2020-12-06,22,4
2020-12-07,21,5
2020-12-08,24,2
2020-12-09,24,2
2020-12-10,24,2
2020-12-11,25,1
2020-12-12,20,2
2020-12-13,20,2
2020-12-14,20,6
2020-12-15,18,8
2020-12-16,18,8
2020-12-17,16,10
2020-12-18,16,10
2020-12-19,19,7
2020-12-20,19,7
2020-12-21,22,4
2020-12-22,21,5
2020-12-23,20,6
2020-12-24,20,6
2020-12-25,19,7
2020-12-26,19,7
2020-12-27,19,7
2020-12-28,18,8
2020-12-29,17,9
2020-12-30,17,9
2020-12-31,19,7
2021-01-01,19,7
2021-01-02,20,6
2021-01-03,18,8
2021-01-04,18,8
2021-01-05,18,8
2021-01-06,27,0
2021-01-07,23,3
2021-01-08,24,2
2021-01-09,26,1
2021-01-10,24,1
2021-01-11,25,1
2021-01-12,24,2
2021-01-13,24,2
2021-01-14,24,2
2021-01-15,25,1
2021-01-16,24,2
2021-01-17,21,5
2021-01-18,23,3
2021-01-19,24,2
2021-01-20,25,1
2021-01-21,24,2
2021-01-22,24,2
2021-01-23,20,6
2021-01-24,19,7
2021-01-25,18,8
2021-01-26,20,6
2021-01-27,19,7
2021-01-28,21,5
2021-01-29,20,6
2021-01-30,20,6
2021-01-31,20,6
2021-02-01,19,7
2021-02-02,17,9
2021-02-03,17,9
2021-02-04,19,7
2021-02-05,21,5
2021-02-06,20,6
2021-02-07,21,5
2021-02-08,20,6
2021-02-09,17,9
2021-02-10,19,7
2021-02-11,18,8
2021-02-12,20,6
2021-02-13,21,4
2021-02-14,20,5
2021-02-15,23,3
2021-02-16,22,4
2021-02-17,19,7
2021-02-18,23,7
2021-02-19,25,5
2021-02-20,19,7
2021-02-21,19,7
2021-02-22,19,7
2021-02-23,21,5
2021-02-24,20,6
2021-02-25,24,6
2021-02-26,22,8
2021-02-27,22,8
2021-02-28,17,9
2021-03-01,17,9
2021-03-02,17,13
2021-03-03,20,10
2021-03-04,19,11
2021-03-05,20,10
2021-03-06,20,5
2021-03-07,20,5
2021-03-08,21,4
2021-03-09,23,6
2021-03-10,21,9
2021-03-11,16,14
2021-03-12,20,6
2021-03-13,19,7
2021-03-14,17,9
2021-03-15,18,8
2021-03-16,17,9
2021-03-17,19,11
2021-03-18,18,12
2021-03-19,18,8
2021-03-20,16,10
2021-03-21,16,10
