date,betten_belegt,betten_frei
2020-04-24,70,64
2020-04-25,77,58
2020-04-26,77,54
2020-04-27,86,48
2020-04-28,86,54
2020-04-29,90,48
2020-04-30,81,57
2020-05-01,82,49
2020-05-02,76,39
2020-05-03,70,51
2020-05-04,76,45
2020-05-05,76,47
2020-05-06,78,46
2020-05-07,67,56
2020-05-08,76,50
2020-05-09,77,48
2020-05-10,75,48
2020-05-11,74,49
2020-05-12,69,57
2020-05-13,85,44
2020-05-14,86,47
2020-05-15,75,51
2020-05-16,75,53
2020-05-17,71,55
2020-05-18,81,46
2020-05-19,84,46
2020-05-20,91,39
2020-05-21,85,41
2020-05-22,97,34
2020-05-23,86,38
2020-05-24,88,36
2020-05-25,79,44
2020-05-26,74,51
2020-05-27,77,45
2020-05-28,75,52
2020-05-29,76,51
2020-05-30,78,47
2020-05-31,82,51
2020-06-01,85,47
2020-06-02,83,42
2020-06-03,85,40
2020-06-04,84,43
2020-06-05,73,51
2020-06-06,79,47
2020-06-07,79,47
2020-06-08,72,51
2020-06-09,77,44
2020-06-10,70,54
2020-06-11,75,55
2020-06-12,69,60
2020-06-13,67,62
2020-06-14,69,62
2020-06-15,74,54
2020-06-16,71,55
2020-06-17,43,45
2020-06-18,43,44
2020-06-19,49,38
2020-06-20,42,44
2020-06-21,45,40
2020-06-22,73,48
2020-06-23,79,47
2020-06-24,76,50
2020-06-25,68,55
2020-06-26,74,45
2020-06-27,76,48
2020-06-28,72,51
2020-06-29,68,55
2020-06-30,75,46
2020-07-01,71,63
2020-07-02,90,39
2020-07-03,90,42
2020-07-04,85,47
2020-07-05,83,43
2020-07-06,85,43
2020-07-07,71,57
2020-07-08,74,50
2020-07-09,65,58
2020-07-10,77,47
2020-07-11,77,55
2020-07-12,73,53
2020-07-13,70,58
2020-07-14,79,53
2020-07-15,81,50
2020-07-16,84,47
2020-07-17,75,49
2020-07-18,71,55
2020-07-19,73,53
2020-07-20,69,54
2020-07-21,64,67
2020-07-22,83,51
2020-07-23,68,62
2020-07-24,77,49
2020-07-25,72,53
2020-07-26,64,63
2020-07-27,71,54
2020-07-28,81,46
2020-07-29,79,48
2020-07-30,79,48
2020-07-31,71,54
2020-08-01,74,50
2020-08-02,84,44
2020-08-03,80,48
2020-08-04,63,53
2020-08-05,70,46
2020-08-06,73,43
2020-08-07,75,41
2020-08-08,63,53
