date,betten_belegt,betten_frei
2020-04-24,80,37
2020-04-25,84,37
2020-04-26,83,39
2020-04-27,77,45
2020-04-28,84,37
2020-04-29,83,38
2020-04-30,78,39
2020-05-01,79,38
2020-05-02,79,38
2020-05-03,76,41
2020-05-04,84,32
2020-05-05,69,37
2020-05-06,80,37
2020-05-07,80,37
2020-05-08,73,44
2020-05-09,77,40
2020-05-10,82,34
2020-05-11,81,35
2020-05-12,386,31
2020-05-13,82,35
2020-05-14,73,45
2020-05-15,79,38
2020-05-16,79,38
2020-05-17,74,42
2020-05-18,73,43
2020-05-19,87,29
2020-05-20,86,30
2020-05-21,81,34
2020-05-22,81,34
2020-05-23,82,32
2020-05-24,80,36
2020-05-25,86,31
2020-05-26,83,34
2020-05-27,83,34
2020-05-28,88,29
2020-05-29,97,23
2020-05-30,82,35
2020-05-31,88,21
2020-06-01,82,37
2020-06-02,81,38
2020-06-03,81,40
2020-06-04,85,36
2020-06-05,92,23
2020-06-06,90,28
2020-06-07,89,28
2020-06-08,88,27
2020-06-09,90,25
2020-06-10,80,29
2020-06-11,83,24
2020-06-12,83,30
2020-06-13,87,26
2020-06-14,84,29
2020-06-15,87,28
2020-06-16,85,32
2020-06-17,80,35
2020-06-18,79,36
2020-06-19,85,30
2020-06-20,91,26
2020-06-21,87,32
2020-06-22,87,32
2020-06-23,82,37
2020-06-24,80,33
2020-06-25,83,34
2020-06-26,87,28
2020-06-27,91,24
2020-06-28,77,38
2020-06-29,87,33
2020-06-30,88,29
2020-07-01,93,24
2020-07-02,89,29
2020-07-03,85,30
2020-07-04,88,27
2020-07-05,83,35
2020-07-06,79,39
2020-07-07,76,42
2020-07-08,71,47
2020-07-09,91,28
2020-07-10,84,33
2020-07-11,90,27
2020-07-12,88,29
2020-07-13,87,28
2020-07-14,87,28
2020-07-15,83,33
2020-07-16,81,33
2020-07-17,76,40
2020-07-18,73,41
2020-07-19,71,43
2020-07-20,76,38
2020-07-21,83,30
2020-07-22,76,35
2020-07-23,75,36
2020-07-24,75,30
2020-07-25,75,30
2020-07-26,78,26
2020-07-27,86,19
2020-07-28,82,36
2020-07-29,75,27
2020-07-30,70,32
2020-07-31,69,36
2020-08-01,77,28
2020-08-02,78,29
2020-08-03,73,32
2020-08-04,76,31
2020-08-05,74,25
2020-08-06,78,21
