date,betten_belegt,betten_frei
2020-04-24,10,10
2020-04-25,13,7
2020-04-26,13,7
2020-04-27,14,6
2020-04-28,11,9
2020-04-29,9,11
2020-04-30,12,8
2020-05-01,15,9
2020-05-02,14,15
2020-05-03,14,15
2020-05-04,16,13
2020-05-05,9,15
2020-05-06,6,23
2020-05-07,7,22
2020-05-08,9,20
2020-05-09,5,24
2020-05-10,9,20
2020-05-11,9,20
2020-05-12,9,20
2020-05-13,6,23
2020-05-14,8,21
2020-05-15,7,22
2020-05-16,10,19
2020-05-17,13,16
2020-05-18,14,15
2020-05-19,11,18
2020-05-20,11,18
2020-05-21,11,18
2020-05-22,10,19
2020-05-23,15,14
2020-05-24,12,17
2020-05-25,13,16
2020-05-26,15,14
2020-05-27,16,13
2020-05-28,13,16
2020-05-29,10,19
2020-05-30,19,10
2020-05-31,12,17
2020-06-01,14,15
2020-06-02,18,11
2020-06-03,13,13
2020-06-04,15,11
2020-06-05,14,12
2020-06-06,16,10
2020-06-07,15,11
2020-06-08,15,11
2020-06-09,15,11
2020-06-10,15,11
2020-06-11,15,11
2020-06-12,15,11
2020-06-13,15,11
2020-06-14,15,11
2020-06-15,14,12
2020-06-16,14,12
2020-06-17,16,10
2020-06-18,14,12
2020-06-19,12,14
2020-06-20,15,11
2020-06-21,12,14
2020-06-22,15,11
2020-06-23,12,14
2020-06-24,10,16
2020-06-25,10,16
2020-06-26,10,10
2020-06-27,14,6
2020-06-28,16,4
2020-06-29,15,5
2020-06-30,13,7
2020-07-01,14,6
2020-07-02,14,6
2020-07-03,14,6
2020-07-04,12,8
2020-07-05,12,8
2020-07-06,11,9
2020-07-07,13,7
2020-07-08,11,9
2020-07-09,14,6
2020-07-10,15,5
2020-07-11,15,5
2020-07-12,14,4
2020-07-13,14,6
2020-07-14,16,4
2020-07-15,14,6
2020-07-16,14,6
2020-07-17,10,10
2020-07-18,11,9
2020-07-19,14,4
2020-07-20,12,8
2020-07-21,9,11
2020-07-22,12,8
2020-07-23,11,9
2020-07-24,13,5
2020-07-25,15,9
2020-07-26,14,8
2020-07-27,13,7
2020-07-28,7,13
2020-07-29,11,9
2020-07-30,11,9
2020-07-31,11,9
2020-08-01,13,7
2020-08-02,13,7
2020-08-03,14,6
2020-08-04,14,6
2020-08-05,15,5
2020-08-06,13,7
2020-08-07,14,6
2020-08-08,14,6
2020-08-09,13,7
2020-08-10,12,8
2020-08-11,16,4
2020-08-12,12,8
2020-08-13,14,6
2020-08-14,15,5
2020-08-15,15,5
2020-08-16,14,6
2020-08-17,14,6
2020-08-18,13,7
2020-08-19,11,9
2020-08-20,11,9
2020-08-21,15,5
2020-08-22,15,5
2020-08-23,13,7
2020-08-24,13,7
2020-08-25,10,10
2020-08-26,10,10
2020-08-27,15,5
2020-08-28,13,7
2020-08-29,13,7
2020-08-30,13,7
2020-08-31,10,10
2020-09-01,15,5
2020-09-02,16,4
2020-09-03,11,9
2020-09-04,12,8
2020-09-05,10,8
2020-09-06,14,4
2020-09-07,14,4
2020-09-08,14,4
2020-09-09,13,5
2020-09-10,13,5
2020-09-11,13,5
2020-09-12,13,5
2020-09-13,13,5
2020-09-14,13,5
2020-09-15,13,5
2020-09-16,13,5
2020-09-17,13,5
2020-09-18,17,1
2020-09-19,12,6
2020-09-20,15,3
2020-09-21,15,3
2020-09-22,13,5
2020-09-23,15,3
2020-09-24,17,1
2020-09-25,14,4
2020-09-26,14,4
2020-09-27,13,5
2020-09-28,14,6
2020-09-29,15,5
2020-09-30,13,7
2020-10-01,9,11
2020-10-02,12,8
2020-10-03,13,7
2020-10-04,11,5
2020-10-05,14,6
2020-10-06,10,10
2020-10-07,10,10
2020-10-08,13,7
2020-10-09,14,6
2020-10-10,14,6
2020-10-11,14,6
2020-10-12,13,7
2020-10-13,12,8
2020-10-14,12,8
2020-10-15,12,8
2020-10-16,12,8
2020-10-17,12,8
2020-10-18,14,6
2020-10-19,14,6
2020-10-20,13,7
2020-10-21,13,7
2020-10-22,13,7
2020-10-23,13,7
2020-10-24,13,7
2020-10-25,13,7
2020-10-26,13,7
2020-10-27,13,7
2020-10-28,13,7
2020-10-29,12,8
2020-10-30,13,7
2020-10-31,13,7
2020-11-01,13,7
2020-11-02,13,7
2020-11-03,15,5
2020-11-04,15,5
2020-11-05,15,5
2020-11-06,15,5
2020-11-07,15,5
2020-11-08,13,7
2020-11-09,14,6
2020-11-10,14,6
2020-11-11,10,10
2020-11-12,14,6
2020-11-13,12,8
2020-11-14,12,8
2020-11-15,12,8
2020-11-16,12,8
2020-11-17,13,5
2020-11-18,13,5
2020-11-19,14,4
2020-11-20,14,2
2020-11-21,14,2
2020-11-22,14,2
2020-11-23,14,2
2020-11-24,16,0
2020-11-25,15,1
2020-11-26,16,0
2020-11-27,14,2
2020-11-28,15,1
2020-11-29,15,1
2020-11-30,13,3
2020-12-01,14,2
2020-12-02,14,2
2020-12-03,15,1
2020-12-04,15,1
2020-12-05,14,2
2020-12-06,14,2
2020-12-07,15,1
2020-12-08,15,1
2020-12-09,13,3
2020-12-10,15,1
2020-12-11,14,2
2020-12-12,12,4
2020-12-13,13,3
2020-12-14,13,3
2020-12-15,16,0
2020-12-16,15,1
2020-12-17,15,1
2020-12-18,16,0
2020-12-19,15,1
2020-12-20,15,1
2020-12-21,15,1
2020-12-22,14,2
2020-12-23,14,2
2020-12-24,11,5
2020-12-25,11,5
2020-12-26,12,4
2020-12-27,15,1
2020-12-28,12,4
2020-12-29,15,1
2020-12-30,15,1
2020-12-31,13,3
2021-01-01,14,2
2021-01-02,15,1
2021-01-03,14,2
2021-01-04,14,2
2021-01-05,12,4
2021-01-06,14,2
2021-01-07,14,2
2021-01-08,14,2
2021-01-09,13,3
2021-01-10,14,2
2021-01-11,14,2
2021-01-12,14,2
2021-01-13,15,1
2021-01-14,15,1
2021-01-15,14,2
2021-01-16,14,2
2021-01-17,14,2
2021-01-18,14,2
2021-01-19,14,2
2021-01-20,14,2
2021-01-21,14,2
2021-01-22,12,4
2021-01-23,12,2
2021-01-24,11,3
2021-01-25,13,1
2021-01-26,13,1
2021-01-27,13,1
2021-01-28,12,2
2021-01-29,14,0
2021-01-30,13,1
2021-01-31,14,0
2021-02-01,13,1
2021-02-02,13,1
2021-02-03,12,2
2021-02-04,13,1
2021-02-05,12,2
2021-02-06,13,1
2021-02-07,12,2
2021-02-08,13,1
2021-02-09,12,2
2021-02-10,11,3
2021-02-11,11,3
2021-02-12,13,1
2021-02-13,13,1
2021-02-14,12,2
2021-02-15,14,0
2021-02-16,12,2
2021-02-17,13,1
2021-02-18,14,0
2021-02-19,11,3
2021-02-20,14,0
2021-02-21,14,0
2021-02-22,13,1
2021-02-23,14,0
2021-02-24,11,3
2021-02-25,13,1
2021-02-26,11,3
2021-02-27,12,2
2021-02-28,11,3
2021-03-01,13,1
2021-03-02,15,1
2021-03-03,14,2
2021-03-04,13,3
2021-03-05,13,3
2021-03-06,13,3
2021-03-07,13,3
2021-03-08,14,2
2021-03-09,15,1
2021-03-10,13,3
2021-03-11,15,1
2021-03-12,15,1
2021-03-13,14,2
2021-03-14,14,2
2021-03-15,13,3
2021-03-16,15,1
2021-03-17,13,3
2021-03-18,13,3
2021-03-19,14,2
2021-03-20,11,5
2021-03-21,11,5
2021-03-22,14,2
2021-03-23,13,3
2021-03-24,16,0
2021-03-25,12,4
2021-03-26,14,2
2021-03-27,15,1
2021-03-28,13,3
2021-03-29,14,2
2021-03-30,14,2
2021-03-31,14,2
2021-04-01,13,1
2021-04-02,13,1
2021-04-03,12,2
2021-04-04,13,1
2021-04-05,12,2
2021-04-06,12,2
2021-04-07,12,2
2021-04-08,13,1
2021-04-09,11,3
2021-04-10,11,3
2021-04-11,8,6
2021-04-12,7,7
2021-04-13,12,2
2021-04-14,10,4
2021-04-15,14,0
2021-04-16,12,2
2021-04-17,13,1
2021-04-18,11,3
2021-04-19,11,3
2021-04-20,11,3
2021-04-21,8,4
2021-04-22,11,3
2021-04-23,10,4
2021-04-24,12,2
2021-04-25,12,2
2021-04-26,12,2
2021-04-27,14,0
2021-04-28,14,0
2021-04-29,12,2
2021-04-30,13,1
2021-05-01,11,1
2021-05-02,10,2
2021-05-03,11,1
2021-05-04,9,3
2021-05-05,11,1
2021-05-06,10,2
2021-05-07,8,4
2021-05-08,9,3
2021-05-09,9,3
2021-05-10,11,1
2021-05-11,10,2
2021-05-12,10,2
2021-05-13,12,0
2021-05-14,12,0
2021-05-15,11,1
2021-05-16,11,1
2021-05-17,11,1
2021-05-18,12,0
2021-05-19,11,1
2021-05-20,12,0
2021-05-21,12,0
2021-05-22,12,0
2021-05-23,11,1
2021-05-24,12,0
2021-05-25,10,2
2021-05-26,10,2
2021-05-27,10,2
2021-05-28,11,1
2021-05-29,11,1
2021-05-30,11,1
2021-05-31,11,1
2021-06-01,11,1
2021-06-02,10,2
2021-06-03,11,1
2021-06-04,7,5
2021-06-05,9,3
2021-06-06,10,2
2021-06-07,10,2
2021-06-08,10,2
2021-06-09,8,4
2021-06-10,12,0
2021-06-11,10,2
2021-06-12,10,2
2021-06-13,11,1
2021-06-14,11,1
2021-06-15,12,0
2021-06-16,9,3
2021-06-17,7,5
2021-06-18,11,1
2021-06-19,9,3
2021-06-20,10,2
2021-06-21,11,1
2021-06-22,12,0
2021-06-23,9,3
2021-06-24,11,1
2021-06-25,12,0
2021-06-26,12,0
2021-06-27,12,0
2021-06-28,11,1
2021-06-29,10,2
2021-06-30,10,2
2021-07-01,9,5
2021-07-02,10,4
2021-07-03,10,4
2021-07-04,10,4
2021-07-05,11,3
2021-07-06,10,4
2021-07-07,10,4
2021-07-08,13,1
2021-07-09,12,2
2021-07-10,10,4
2021-07-11,8,6
2021-07-12,8,6
2021-07-13,12,2
2021-07-14,13,1
2021-07-15,12,2
2021-07-16,12,2
2021-07-17,12,2
2021-07-18,12,2
2021-07-19,8,6
2021-07-20,11,3
2021-07-21,10,4
2021-07-22,11,3
2021-07-23,8,6
2021-07-24,13,1
2021-07-25,13,1
2021-07-26,13,1
2021-07-27,13,1
2021-07-28,13,1
2021-07-29,11,3
2021-07-30,13,1
2021-07-31,13,1
2021-08-01,12,2
2021-08-02,13,1
2021-08-03,12,2
2021-08-04,12,2
2021-08-05,13,1
2021-08-06,11,3
2021-08-07,10,4
2021-08-08,9,5
2021-08-09,12,2
2021-08-10,14,0
2021-08-11,13,1
2021-08-12,13,1
2021-08-13,12,2
2021-08-14,13,1
2021-08-15,13,1
2021-08-16,11,3
2021-08-17,11,3
2021-08-18,14,0
2021-08-19,12,2
2021-08-20,13,1
2021-08-21,12,2
2021-08-22,13,1
2021-08-23,14,0
2021-08-24,14,0
2021-08-25,12,2
2021-08-26,11,3
2021-08-27,10,4
2021-08-28,12,2
2021-08-29,14,0
2021-08-30,14,0
2021-08-31,14,0
2021-09-01,14,2
2021-09-02,13,3
2021-09-03,14,2
2021-09-04,15,1
2021-09-05,11,5
2021-09-06,15,1
2021-09-07,15,1
2021-09-08,16,0
2021-09-09,15,1
2021-09-10,13,1
2021-09-11,13,1
2021-09-12,13,1
2021-09-13,13,1
2021-09-14,13,1
2021-09-15,14,0
2021-09-16,14,0
2021-09-17,14,0
2021-09-18,12,4
2021-09-19,14,2
2021-09-20,13,3
2021-09-21,16,0
2021-09-22,14,2
