date,betten_belegt,betten_frei
2020-04-24,35,13
2020-04-25,31,17
2020-04-26,30,17
2020-04-27,30,23
2020-04-28,33,19
2020-04-29,34,18
2020-04-30,29,25
2020-05-01,32,19
2020-05-02,31,20
2020-05-03,35,16
2020-05-04,36,14
2020-05-05,36,16
2020-05-06,37,18
2020-05-07,35,21
2020-05-08,30,24
2020-05-09,33,20
2020-05-10,35,19
2020-05-11,36,18
2020-05-12,34,19
2020-05-13,29,25
2020-05-14,31,22
2020-05-15,35,19
2020-05-16,32,22
2020-05-17,29,24
2020-05-18,29,23
2020-05-19,33,19
2020-05-20,34,19
2020-05-21,35,17
2020-05-22,30,19
2020-05-23,32,18
2020-05-24,35,15
2020-05-25,37,13
2020-05-26,40,14
2020-05-27,35,19
2020-05-28,35,19
2020-05-29,31,23
2020-05-30,35,19
2020-05-31,35,19
2020-06-01,33,21
2020-06-02,29,25
2020-06-03,31,23
2020-06-04,38,16
2020-06-05,38,16
2020-06-06,38,17
2020-06-07,37,18
2020-06-08,36,17
2020-06-09,35,19
2020-06-10,35,19
2020-06-11,35,19
2020-06-12,38,16
2020-06-13,30,21
2020-06-14,34,20
2020-06-15,33,21
2020-06-16,36,18
2020-06-17,38,16
2020-06-18,34,19
2020-06-19,39,14
2020-06-20,35,18
2020-06-21,35,18
2020-06-22,35,19
2020-06-23,33,20
2020-06-24,31,23
2020-06-25,33,20
2020-06-26,37,17
2020-06-27,35,16
2020-06-28,33,18
2020-06-29,33,21
2020-06-30,29,25
2020-07-01,33,18
2020-07-02,29,21
2020-07-03,29,21
2020-07-04,30,23
2020-07-05,28,24
2020-07-06,27,27
2020-07-07,30,24
2020-07-08,32,22
2020-07-09,34,20
2020-07-10,32,22
2020-07-11,26,28
2020-07-12,29,22
2020-07-13,38,16
2020-07-14,30,24
2020-07-15,29,25
2020-07-16,32,22
2020-07-17,30,24
2020-07-18,29,25
2020-07-19,27,26
2020-07-20,30,24
2020-07-21,21,33
2020-07-22,21,34
2020-07-23,28,26
2020-07-24,30,24
2020-07-25,31,23
2020-07-26,32,22
2020-07-27,33,21
2020-07-28,33,21
2020-07-29,27,27
2020-07-30,19,35
2020-07-31,27,27
2020-08-01,23,31
2020-08-02,31,23
2020-08-03,31,22
2020-08-04,24,31
2020-08-05,27,28
2020-08-06,17,38
2020-08-07,21,34
2020-08-08,26,32
2020-08-09,25,33
2020-08-10,23,32
2020-08-11,26,29
2020-08-12,28,27
2020-08-13,28,27
2020-08-14,27,28
2020-08-15,30,25
2020-08-16,27,28
2020-08-17,29,26
2020-08-18,28,27
2020-08-19,27,28
2020-08-20,24,27
2020-08-21,24,27
2020-08-22,31,29
2020-08-23,33,27
2020-08-24,26,29
2020-08-25,26,29
2020-08-26,30,25
2020-08-27,27,28
2020-08-28,23,32
2020-08-29,23,32
2020-08-30,27,28
2020-08-31,23,32
2020-09-01,27,28
2020-09-02,26,29
2020-09-03,27,28
2020-09-04,25,30
2020-09-05,26,25
2020-09-06,27,24
2020-09-07,26,29
