date,betten_belegt,betten_frei
2020-04-24,460,196
2020-04-25,454,197
2020-04-26,453,198
2020-04-27,437,209
2020-04-28,430,212
2020-04-29,443,202
2020-04-30,425,217
2020-05-01,574,247
2020-05-02,557,270
2020-05-03,548,281
2020-05-04,545,272
2020-05-05,566,271
2020-05-06,571,254
2020-05-07,572,245
2020-05-08,566,247
2020-05-09,562,230
2020-05-10,558,236
2020-05-11,558,224
2020-05-12,558,226
2020-05-13,577,207
2020-05-14,546,214
2020-05-15,560,199
2020-05-16,562,197
2020-05-17,537,214
2020-05-18,554,199
2020-05-19,545,190
2020-05-20,546,188
2020-05-21,532,193
2020-05-22,521,205
2020-05-23,515,213
2020-05-24,534,199
2020-05-25,525,207
2020-05-26,539,196
2020-05-27,549,185
2020-05-28,526,204
2020-05-29,538,195
2020-05-30,528,206
2020-05-31,510,218
2020-06-01,516,212
2020-06-02,511,225
2020-06-03,537,198
2020-06-04,537,190
2020-06-05,533,192
2020-06-06,530,193
2020-06-07,524,199
2020-06-08,520,195
2020-06-09,534,185
2020-06-10,546,175
2020-06-11,541,178
2020-06-12,526,192
2020-06-13,527,196
2020-06-14,503,210
2020-06-15,515,205
2020-06-16,530,182
2020-06-17,533,180
2020-06-18,554,156
2020-06-19,552,154
2020-06-20,541,158
2020-06-21,531,171
2020-06-22,536,170
2020-06-23,559,150
2020-06-24,536,168
2020-06-25,547,155
2020-06-26,541,160
2020-06-27,537,152
2020-06-28,537,158
2020-06-29,522,173
2020-06-30,534,170
2020-07-01,557,153
2020-07-02,561,142
2020-07-03,554,144
2020-07-04,549,138
2020-07-05,518,157
2020-07-06,513,162
2020-07-07,522,167
2020-07-08,533,150
2020-07-09,546,125
2020-07-10,545,121
2020-07-11,554,107
2020-07-12,524,128
2020-07-13,513,145
2020-07-14,525,135
2020-07-15,555,112
2020-07-16,545,125
2020-07-17,548,119
2020-07-18,544,118
2020-07-19,541,117
2020-07-20,529,133
2020-07-21,531,126
2020-07-22,545,107
2020-07-23,571,101
2020-07-24,583,92
2020-07-25,578,95
2020-07-26,562,114
2020-07-27,540,140
2020-07-28,574,113
2020-07-29,570,116
2020-07-30,553,119
2020-07-31,550,119
2020-08-01,540,135
2020-08-02,514,157
2020-08-03,521,149
2020-08-04,530,126
2020-08-05,481,151
2020-08-06,494,142
2020-08-07,486,132
2020-08-08,499,111
2020-08-09,492,117
2020-08-10,491,122
2020-08-11,496,117
2020-08-12,500,113
2020-08-13,512,101
2020-08-14,524,91
2020-08-15,520,101
2020-08-16,506,111
2020-08-17,499,117
2020-08-18,513,115
2020-08-19,498,129
2020-08-20,517,133
2020-08-21,519,126
2020-08-22,515,124
2020-08-23,505,124
2020-08-24,488,142
2020-08-25,502,137
2020-08-26,496,151
2020-08-27,496,146
2020-08-28,510,130
2020-08-29,519,121
2020-08-30,508,129
2020-08-31,491,141
2020-09-01,497,140
2020-09-02,513,128
2020-09-03,521,124
2020-09-04,512,129
2020-09-05,516,125
2020-09-06,498,141
2020-09-07,474,150
2020-09-08,483,137
2020-09-09,493,132
2020-09-10,528,116
2020-09-11,510,131
2020-09-12,517,122
2020-09-13,514,124
2020-09-14,491,146
2020-09-15,504,133
2020-09-16,515,122
2020-09-17,522,115
2020-09-18,515,120
2020-09-19,512,125
2020-09-20,521,111
2020-09-21,502,136
2020-09-22,523,115
2020-09-23,528,105
2020-09-24,525,113
2020-09-25,536,100
2020-09-26,524,86
2020-09-27,499,113
2020-09-28,499,117
2020-09-29,508,112
2020-09-30,511,113
2020-10-01,513,116
2020-10-02,518,109
2020-10-03,522,105
2020-10-04,508,114
2020-10-05,497,132
2020-10-06,534,91
2020-10-07,531,98
2020-10-08,514,115
2020-10-09,524,112
2020-10-10,512,111
2020-10-11,499,119
2020-10-12,500,124
2020-10-13,507,119
2020-10-14,507,114
2020-10-15,512,113
2020-10-16,519,109
2020-10-17,518,104
2020-10-18,522,108
2020-10-19,498,119
2020-10-20,501,129
2020-10-21,513,103
2020-10-22,523,90
2020-10-23,516,93
2020-10-24,523,88
2020-10-25,523,87
2020-10-26,510,103
2020-10-27,511,100
2020-10-28,527,85
2020-10-29,526,86
2020-10-30,516,94
2020-10-31,513,96
2020-11-01,499,107
2020-11-02,495,112
2020-11-03,502,102
2020-11-04,508,100
2020-11-05,522,89
2020-11-06,515,100
2020-11-07,511,102
2020-11-08,508,104
2020-11-09,503,105
2020-11-10,527,93
2020-11-11,546,86
2020-11-12,544,90
2020-11-13,551,79
2020-11-14,533,94
2020-11-15,520,97
2020-11-16,516,113
2020-11-17,523,110
2020-11-18,530,98
2020-11-19,536,83
2020-11-20,533,75
2020-11-21,527,80
2020-11-22,517,85
2020-11-23,518,89
2020-11-24,526,83
2020-11-25,528,76
2020-11-26,518,85
2020-11-27,522,78
2020-11-28,515,88
2020-11-29,513,90
2020-11-30,514,93
2020-12-01,521,89
2020-12-02,524,84
2020-12-03,527,77
2020-12-04,528,71
2020-12-05,510,84
2020-12-06,505,83
2020-12-07,508,80
2020-12-08,507,97
2020-12-09,531,66
2020-12-10,537,67
2020-12-11,530,70
2020-12-12,525,68
2020-12-13,525,73
2020-12-14,523,84
2020-12-15,552,54
2020-12-16,558,53
2020-12-17,555,58
2020-12-18,556,53
2020-12-19,547,53
2020-12-20,530,66
2020-12-21,537,67
2020-12-22,533,68
2020-12-23,539,64
2020-12-24,549,57
2020-12-25,522,74
2020-12-26,529,68
2020-12-27,519,75
2020-12-28,516,83
2020-12-29,520,89
2020-12-30,519,88
2020-12-31,516,88
2021-01-01,517,86
2021-01-02,525,74
2021-01-03,526,75
2021-01-04,535,70
2021-01-05,543,62
2021-01-06,545,58
2021-01-07,528,78
2021-01-08,524,80
2021-01-09,522,73
2021-01-10,507,88
2021-01-11,469,75
2021-01-12,496,100
2021-01-13,504,96
2021-01-14,514,90
2021-01-15,528,70
2021-01-16,527,78
2021-01-17,520,85
2021-01-18,513,92
2021-01-19,515,87
2021-01-20,519,82
2021-01-21,521,76
2021-01-22,525,70
2021-01-23,516,73
2021-01-24,515,76
2021-01-25,506,93
2021-01-26,522,79
2021-01-27,518,82
2021-01-28,525,70
2021-01-29,523,74
2021-01-30,525,67
2021-01-31,525,70
2021-02-01,515,86
2021-02-02,532,68
2021-02-03,531,62
2021-02-04,535,59
2021-02-05,524,67
2021-02-06,517,70
2021-02-07,522,67
2021-02-08,510,80
2021-02-09,520,77
2021-02-10,520,80
2021-02-11,521,80
2021-02-12,526,81
2021-02-13,533,74
2021-02-14,510,96
2021-02-15,507,96
2021-02-16,518,89
2021-02-17,533,77
2021-02-18,531,75
2021-02-19,531,72
2021-02-20,517,83
2021-02-21,509,91
2021-02-22,517,84
2021-02-23,508,89
2021-02-24,527,73
2021-02-25,514,88
2021-02-26,507,95
2021-02-27,512,90
2021-02-28,499,103
2021-03-01,502,99
2021-03-02,524,78
2021-03-03,515,86
2021-03-04,529,72
2021-03-05,532,74
2021-03-06,538,68
2021-03-07,539,64
2021-03-08,523,84
2021-03-09,544,58
2021-03-10,540,58
2021-03-11,535,65
2021-03-12,533,65
2021-03-13,541,59
2021-03-14,537,58
2021-03-15,537,55
2021-03-16,539,64
2021-03-17,546,61
2021-03-18,556,46
2021-03-19,552,48
2021-03-20,544,54
2021-03-21,534,63
2021-03-22,534,69
2021-03-23,533,72
2021-03-24,548,57
2021-03-25,541,59
2021-03-26,546,49
2021-03-27,566,37
2021-03-28,546,50
2021-03-29,536,51
2021-03-30,546,51
2021-03-31,547,51
2021-04-01,548,46
2021-04-02,551,47
2021-04-03,546,55
2021-04-04,536,59
2021-04-05,527,63
2021-04-06,526,65
2021-04-07,528,61
2021-04-08,522,63
2021-04-09,546,43
2021-04-10,539,52
2021-04-11,536,55
2021-04-12,538,49
2021-04-13,531,59
2021-04-14,532,59
2021-04-15,547,43
2021-04-16,536,51
2021-04-17,532,52
2021-04-18,531,50
2021-04-19,534,47
2021-04-20,545,42
2021-04-21,541,49
2021-04-22,537,51
2021-04-23,521,60
2021-04-24,521,60
2021-04-25,523,59
2021-04-26,516,63
2021-04-27,530,52
2021-04-28,551,38
2021-04-29,549,38
2021-04-30,561,30
2021-05-01,541,43
2021-05-02,530,47
2021-05-03,526,52
2021-05-04,529,47
2021-05-05,535,47
2021-05-06,540,39
2021-05-07,540,44
2021-05-08,530,48
2021-05-09,530,44
2021-05-10,527,50
2021-05-11,527,49
2021-05-12,528,43
2021-05-13,513,52
2021-05-14,508,60
2021-05-15,508,54
2021-05-16,494,65
2021-05-17,506,59
2021-05-18,509,53
2021-05-19,509,53
2021-05-20,512,52
2021-05-21,520,45
2021-05-22,523,45
2021-05-23,518,47
2021-05-24,515,50
2021-05-25,515,55
2021-05-26,515,55
2021-05-27,519,49
2021-05-28,516,46
2021-05-29,508,49
2021-05-30,501,52
2021-05-31,501,53
2021-06-01,506,57
2021-06-02,515,49
2021-06-03,522,45
2021-06-04,517,51
2021-06-05,506,60
2021-06-06,494,68
2021-06-07,502,67
2021-06-08,508,55
2021-06-09,518,48
2021-06-10,532,38
2021-06-11,530,38
2021-06-12,522,38
2021-06-13,507,51
2021-06-14,508,50
2021-06-15,518,48
2021-06-16,527,34
2021-06-17,518,44
2021-06-18,517,38
