date,betten_belegt,betten_frei
2020-04-24,460,196
2020-04-24,7,10
2020-04-25,454,197
2020-04-25,7,10
2020-04-26,453,198
2020-04-26,6,11
2020-04-27,437,209
2020-04-27,7,11
2020-04-28,430,212
2020-04-28,8,10
2020-04-29,6,12
2020-04-29,443,202
2020-04-30,425,217
2020-04-30,9,9
2020-05-01,9,9
2020-05-01,574,247
2020-05-02,11,7
2020-05-02,557,270
2020-05-03,548,281
2020-05-03,9,9
2020-05-04,545,272
2020-05-04,7,11
2020-05-05,8,10
2020-05-05,566,271
2020-05-06,7,11
2020-05-06,571,254
2020-05-07,7,11
2020-05-07,572,245
2020-05-08,566,247
2020-05-08,7,11
2020-05-09,562,230
2020-05-09,8,10
2020-05-10,558,236
2020-05-10,8,10
2020-05-11,558,224
2020-05-11,8,10
2020-05-12,558,226
2020-05-12,8,10
2020-05-13,8,10
2020-05-13,577,207
2020-05-14,546,214
2020-05-14,9,9
2020-05-15,560,199
2020-05-15,10,8
2020-05-16,562,197
2020-05-16,10,8
2020-05-17,537,214
2020-05-17,10,8
2020-05-18,554,199
2020-05-18,9,9
2020-05-19,545,190
2020-05-19,11,7
2020-05-20,546,188
2020-05-20,10,8
2020-05-21,11,7
2020-05-21,532,193
2020-05-22,521,205
2020-05-22,9,9
2020-05-23,515,213
2020-05-23,12,10
2020-05-24,10,9
2020-05-24,534,199
2020-05-25,10,9
2020-05-25,525,207
2020-05-26,539,196
2020-05-26,8,10
2020-05-27,8,10
2020-05-27,549,185
2020-05-28,526,204
2020-05-28,8,10
2020-05-29,538,195
2020-05-29,9,9
2020-05-30,8,9
2020-05-30,528,206
2020-05-31,8,9
2020-05-31,510,218
2020-06-01,516,212
2020-06-01,8,9
2020-06-02,511,225
2020-06-02,9,5
2020-06-03,537,198
2020-06-03,9,8
2020-06-04,537,190
2020-06-04,9,6
2020-06-05,533,192
2020-06-05,9,6
2020-06-06,530,193
2020-06-06,10,7
2020-06-07,524,199
2020-06-07,9,8
2020-06-08,520,195
2020-06-08,10,7
2020-06-09,534,185
2020-06-09,11,6
2020-06-10,11,6
2020-06-10,546,175
2020-06-11,11,6
2020-06-11,541,178
2020-06-12,526,192
2020-06-12,10,7
2020-06-13,527,196
2020-06-13,8,9
2020-06-14,503,210
2020-06-14,8,9
2020-06-15,6,10
2020-06-15,515,205
2020-06-16,530,182
2020-06-16,6,10
