date,betten_belegt,betten_frei
2020-04-24,189,60
2020-04-25,189,61
2020-04-26,184,64
2020-04-27,185,69
2020-04-28,187,60
2020-04-29,182,64
2020-04-30,188,58
2020-05-01,190,53
2020-05-02,180,61
2020-05-03,186,55
2020-05-04,187,59
2020-05-05,190,56
2020-05-06,192,53
2020-05-07,201,48
2020-05-08,196,53
2020-05-09,193,56
2020-05-10,201,44
2020-05-11,188,60
2020-05-12,193,55
2020-05-13,192,56
2020-05-14,195,54
2020-05-15,197,55
2020-05-16,199,49
2020-05-17,191,52
2020-05-18,192,56
2020-05-19,191,56
2020-05-20,198,51
2020-05-21,198,45
2020-05-22,206,54
2020-05-23,218,37
2020-05-24,212,45
2020-05-25,208,53
2020-05-26,209,45
2020-05-27,209,38
2020-05-28,212,37
2020-05-29,212,36
2020-05-30,217,29
2020-05-31,210,37
2020-06-01,208,39
2020-06-02,215,36
2020-06-03,216,33
2020-06-04,217,30
2020-06-05,222,29
2020-06-06,222,27
2020-06-07,223,25
2020-06-08,214,36
2020-06-09,221,29
2020-06-10,226,22
2020-06-11,227,21
2020-06-12,210,39
2020-06-13,206,38
2020-06-14,208,38
2020-06-15,203,42
2020-06-16,215,33
2020-06-17,225,25
2020-06-18,222,36
2020-06-19,219,38
2020-06-20,217,37
2020-06-21,219,35
2020-06-22,223,35
2020-06-23,227,31
2020-06-24,266,36
2020-06-25,266,36
2020-06-26,267,32
2020-06-27,262,41
2020-06-28,259,40
2020-06-29,247,52
2020-06-30,250,51
2020-07-01,260,40
2020-07-02,259,41
2020-07-03,257,39
2020-07-04,255,41
2020-07-05,253,41
2020-07-06,259,40
2020-07-07,262,39
2020-07-08,261,38
2020-07-09,256,43
2020-07-10,263,33
2020-07-11,262,32
2020-07-12,260,35
2020-07-13,251,48
2020-07-14,256,43
2020-07-15,254,44
2020-07-16,259,39
2020-07-17,256,41
2020-07-18,253,41
2020-07-19,248,47
2020-07-20,247,53
2020-07-21,246,54
2020-07-22,269,54
2020-07-23,265,57
2020-07-24,251,60
2020-07-25,256,53
2020-07-26,248,60
2020-07-27,251,60
2020-07-28,254,57
2020-07-29,251,60
2020-07-30,246,65
2020-07-31,248,63
2020-08-01,247,58
2020-08-02,242,62
2020-08-03,243,67
2020-08-04,226,50
2020-08-05,230,46
2020-08-06,234,42
2020-08-07,234,44
2020-08-08,233,45
2020-08-09,230,43
2020-08-10,228,48
2020-08-11,217,59
2020-08-12,222,54
2020-08-13,221,50
2020-08-14,231,40
2020-08-15,224,42
2020-08-16,226,40
2020-08-17,190,79
2020-08-18,187,82
2020-08-19,192,77
2020-08-20,184,73
2020-08-21,183,74
2020-08-22,183,74
2020-08-23,180,74
2020-08-24,180,77
2020-08-25,198,71
2020-08-26,198,71
2020-08-27,197,72
2020-08-28,236,33
2020-08-29,236,30
2020-08-30,234,30
2020-08-31,245,24
2020-09-01,235,34
2020-09-02,234,35
2020-09-03,228,41
2020-09-04,227,42
2020-09-05,226,40
2020-09-06,228,38
2020-09-07,221,51
2020-09-08,230,42
2020-09-09,233,39
2020-09-10,238,34
2020-09-11,230,42
2020-09-12,228,44
2020-09-13,227,42
2020-09-14,226,46
2020-09-15,226,48
2020-09-16,232,42
2020-09-17,225,49
2020-09-18,223,47
2020-09-19,222,46
2020-09-20,221,47
2020-09-21,224,46
2020-09-22,228,42
2020-09-23,231,39
2020-09-24,229,41
2020-09-25,228,42
2020-09-26,230,37
2020-09-27,229,33
2020-09-28,231,34
2020-09-29,232,33
2020-09-30,236,29
2020-10-01,236,29
2020-10-02,232,33
2020-10-03,233,29
2020-10-04,229,33
2020-10-05,236,29
2020-10-06,242,23
2020-10-07,239,26
2020-10-08,238,27
2020-10-09,235,27
2020-10-10,232,30
2020-10-11,227,35
2020-10-12,227,38
2020-10-13,217,41
2020-10-14,224,35
2020-10-15,227,31
2020-10-16,225,33
2020-10-17,221,37
2020-10-18,221,37
2020-10-19,218,40
2020-10-20,216,42
2020-10-21,218,38
2020-10-22,216,40
2020-10-23,211,41
2020-10-24,217,35
2020-10-25,217,37
2020-10-26,220,36
2020-10-27,226,30
2020-10-28,228,28
2020-10-29,227,31
2020-10-30,232,24
2020-10-31,234,24
2020-11-01,230,28
2020-11-02,225,34
2020-11-03,228,31
2020-11-04,238,21
2020-11-05,234,25
2020-11-06,234,25
2020-11-07,223,31
2020-11-08,232,22
2020-11-09,229,28
2020-11-10,231,26
2020-11-11,227,30
2020-11-12,225,32
2020-11-13,231,26
2020-11-14,229,25
2020-11-15,227,37
2020-11-16,228,39
2020-11-17,233,34
2020-11-18,230,39
2020-11-19,233,34
2020-11-20,234,33
2020-11-21,233,31
2020-11-22,227,37
2020-11-23,227,40
2020-11-24,234,33
2020-11-25,238,31
2020-11-26,234,35
2020-11-27,229,34
2020-11-28,222,38
2020-11-29,220,40
2020-11-30,225,40
2020-12-01,238,30
2020-12-02,238,30
2020-12-03,230,38
2020-12-04,226,38
2020-12-05,225,36
2020-12-06,221,40
2020-12-07,218,45
2020-12-08,227,38
2020-12-09,230,35
2020-12-10,238,27
2020-12-11,232,30
2020-12-12,231,30
2020-12-13,228,33
2020-12-14,225,40
2020-12-15,238,27
2020-12-16,243,22
2020-12-17,242,23
2020-12-18,244,20
2020-12-19,242,19
2020-12-20,242,19
2020-12-21,239,28
2020-12-22,237,30
2020-12-23,239,24
2020-12-24,237,27
2020-12-25,237,27
2020-12-26,232,32
2020-12-27,233,31
2020-12-28,234,37
2020-12-29,234,37
2020-12-30,230,40
2020-12-31,234,37
2021-01-01,232,39
2021-01-02,234,37
2021-01-03,231,40
2021-01-04,235,37
2021-01-05,237,33
2021-01-06,239,31
2021-01-07,236,34
2021-01-08,237,33
2021-01-09,234,35
2021-01-10,238,29
2021-01-11,240,28
2021-01-12,242,26
2021-01-13,244,25
2021-01-14,240,27
2021-01-15,229,39
2021-01-16,236,30
2021-01-17,235,30
2021-01-18,235,36
2021-01-19,234,37
2021-01-20,242,30
2021-01-21,246,26
2021-01-22,248,24
2021-01-23,245,24
2021-01-24,243,26
2021-01-25,243,25
2021-01-26,245,23
2021-01-27,243,26
2021-01-28,238,31
2021-01-29,241,30
2021-01-30,247,22
2021-01-31,247,21
2021-02-01,246,23
2021-02-02,243,26
2021-02-03,244,26
2021-02-04,246,24
2021-02-05,246,24
2021-02-06,248,19
2021-02-07,248,21
2021-02-08,243,27
2021-02-09,246,24
2021-02-10,241,29
2021-02-11,245,25
2021-02-12,242,28
2021-02-13,242,25
2021-02-14,239,25
2021-02-15,239,26
2021-02-16,238,27
2021-02-17,238,28
2021-02-18,243,25
2021-02-19,241,27
2021-02-20,244,21
2021-02-21,241,22
2021-02-22,233,33
2021-02-23,250,18
2021-02-24,239,27
2021-02-25,239,27
2021-02-26,243,23
2021-02-27,239,24
2021-02-28,239,26
2021-03-01,243,23
2021-03-02,243,23
2021-03-03,244,22
2021-03-04,241,24
2021-03-05,238,27
2021-03-06,239,24
2021-03-07,240,23
2021-03-08,236,29
2021-03-09,244,21
2021-03-10,243,23
2021-03-11,239,24
2021-03-12,244,23
2021-03-13,241,23
2021-03-14,235,30
2021-03-15,231,34
2021-03-16,239,26
2021-03-17,235,30
2021-03-18,239,26
2021-03-19,239,26
2021-03-20,237,25
2021-03-21,235,27
2021-03-22,240,27
2021-03-23,240,27
2021-03-24,241,26
2021-03-25,243,24
2021-03-26,238,29
2021-03-27,237,28
2021-03-28,236,28
2021-03-29,244,22
2021-03-30,245,21
2021-03-31,247,20
