date,betten_belegt,betten_frei
2020-04-24,14,8
2020-04-25,14,8
2020-04-26,7,17
2020-04-27,7,17
2020-04-28,7,17
2020-04-29,8,16
2020-04-30,4,20
2020-05-01,6,18
2020-05-02,5,19
2020-05-03,5,19
2020-05-04,10,14
2020-05-05,12,12
2020-05-06,13,11
2020-05-07,12,12
2020-05-08,12,12
2020-05-09,11,13
2020-05-10,11,13
2020-05-11,10,14
2020-05-12,10,14
2020-05-13,12,5
2020-05-14,11,6
2020-05-15,9,8
2020-05-16,10,7
2020-05-17,11,6
2020-05-18,12,5
2020-05-19,11,6
2020-05-20,10,7
2020-05-21,14,3
2020-05-22,12,5
2020-05-23,10,7
2020-05-24,9,8
2020-05-25,14,3
2020-05-26,14,3
2020-05-27,13,4
2020-05-28,13,4
2020-05-29,13,4
2020-05-30,11,6
2020-05-31,9,8
2020-06-01,8,9
2020-06-02,11,6
2020-06-03,13,4
2020-06-04,13,4
2020-06-05,1,8
2020-06-06,9,8
2020-06-07,8,9
2020-06-08,8,9
2020-06-09,12,5
2020-06-10,10,7
2020-06-11,5,12
2020-06-12,5,12
2020-06-13,7,10
2020-06-14,9,8
2020-06-15,9,8
2020-06-16,13,4
2020-06-17,13,4
2020-06-18,13,4
2020-06-19,11,6
2020-06-20,6,11
2020-06-21,9,8
2020-06-22,6,11
2020-06-23,6,11
2020-06-24,6,12
2020-06-25,11,6
2020-06-26,12,5
2020-06-27,8,9
2020-06-28,8,9
2020-06-29,9,8
2020-06-30,8,9
2020-07-01,8,9
2020-07-02,7,10
2020-07-03,10,7
2020-07-04,11,6
2020-07-05,7,9
2020-07-06,6,11
2020-07-07,6,11
2020-07-08,8,9
2020-07-09,10,7
2020-07-10,8,9
2020-07-11,10,7
2020-07-12,4,13
2020-07-13,5,12
2020-07-14,9,8
2020-07-15,11,6
2020-07-16,11,6
2020-07-17,13,4
2020-07-18,12,5
2020-07-19,12,5
2020-07-20,9,8
2020-07-21,10,7
2020-07-22,13,4
2020-07-23,9,8
2020-07-24,14,3
2020-07-25,15,2
2020-07-26,11,6
2020-07-27,11,6
2020-07-28,12,5
2020-07-29,13,4
2020-07-30,12,10
2020-07-31,12,10
2020-08-01,12,10
