date,betten_belegt,betten_frei
2020-04-24,23,12
2020-04-25,22,13
2020-04-26,22,13
2020-04-27,20,15
2020-04-28,20,15
2020-04-29,20,15
2020-04-30,27,8
2020-05-01,25,10
2020-05-02,20,15
2020-05-03,23,12
2020-05-04,23,12
2020-05-05,21,14
2020-05-06,21,14
2020-05-07,21,14
2020-05-08,21,14
2020-05-09,21,14
2020-05-10,21,14
2020-05-11,18,17
2020-05-12,18,17
2020-05-13,19,16
2020-05-14,25,10
2020-05-15,28,7
2020-05-16,26,9
2020-05-17,25,10
2020-05-18,19,16
2020-05-19,21,14
2020-05-20,18,17
2020-05-21,18,17
2020-05-22,17,13
2020-05-23,25,5
2020-05-24,15,15
2020-05-25,16,14
2020-05-26,18,12
2020-05-27,18,12
2020-05-28,21,9
2020-05-29,23,7
2020-05-30,21,9
2020-05-31,17,13
2020-06-01,18,17
2020-06-02,16,19
2020-06-03,23,12
2020-06-04,26,4
2020-06-05,28,2
2020-06-06,28,2
2020-06-07,23,7
2020-06-08,16,14
2020-06-09,27,3
2020-06-10,25,5
2020-06-11,21,9
2020-06-12,17,13
2020-06-13,17,13
2020-06-14,17,13
2020-06-15,19,11
2020-06-16,22,8
2020-06-17,20,10
2020-06-18,20,10
2020-06-19,27,3
2020-06-20,18,12
2020-06-21,16,14
2020-06-22,18,12
2020-06-23,26,4
2020-06-24,27,3
2020-06-25,24,6
2020-06-26,25,5
2020-06-27,26,4
2020-06-28,20,2
2020-06-29,21,1
2020-06-30,18,4
2020-07-01,16,6
2020-07-02,19,3
2020-07-03,16,6
2020-07-04,14,8
2020-07-05,15,7
2020-07-06,16,6
2020-07-07,17,5
2020-07-08,13,9
2020-07-09,20,2
2020-07-10,17,5
2020-07-11,17,5
2020-07-12,15,7
2020-07-13,10,12
2020-07-14,15,7
2020-07-15,15,7
2020-07-16,17,5
2020-07-17,16,6
2020-07-18,16,6
2020-07-19,16,6
2020-07-20,15,7
2020-07-21,15,7
2020-07-22,15,7
2020-07-23,14,8
2020-07-24,17,5
2020-07-25,18,4
2020-07-26,18,4
2020-07-27,19,3
2020-07-28,19,3
2020-07-29,21,1
2020-07-30,22,0
2020-07-31,21,1
2020-08-01,17,5
2020-08-02,14,8
2020-08-03,18,4
2020-08-04,14,8
2020-08-05,17,5
2020-08-06,18,4
2020-08-07,18,4
2020-08-08,17,5
2020-08-09,17,5
2020-08-10,17,5
2020-08-11,19,3
2020-08-12,19,3
2020-08-13,22,0
2020-08-14,18,4
2020-08-15,20,2
2020-08-16,19,3
2020-08-17,19,3
2020-08-18,17,5
2020-08-19,19,3
2020-08-20,18,4
2020-08-21,18,4
2020-08-22,19,3
2020-08-23,12,10
2020-08-24,13,9
2020-08-25,14,8
2020-08-26,17,5
2020-08-27,20,2
2020-08-28,18,4
2020-08-29,11,11
2020-08-30,13,9
2020-08-31,9,13
2020-09-01,9,13
2020-09-02,16,6
2020-09-03,12,10
2020-09-04,16,6
2020-09-05,17,5
2020-09-06,19,3
2020-09-07,19,3
2020-09-08,22,0
2020-09-09,21,1
2020-09-10,21,1
2020-09-11,19,3
2020-09-12,19,3
2020-09-13,17,5
2020-09-14,16,6
2020-09-15,16,6
2020-09-16,20,2
2020-09-17,20,2
2020-09-18,20,2
2020-09-19,18,4
2020-09-20,18,4
2020-09-21,17,5
2020-09-22,17,5
2020-09-23,12,10
2020-09-24,16,6
2020-09-25,16,6
2020-09-26,19,3
2020-09-27,19,3
2020-09-28,16,6
2020-09-29,17,5
2020-09-30,18,4
2020-10-01,20,2
2020-10-02,21,1
2020-10-03,20,2
2020-10-04,20,2
2020-10-05,15,7
2020-10-06,13,9
2020-10-07,13,9
2020-10-08,14,8
2020-10-09,20,2
2020-10-10,17,5
2020-10-11,21,1
2020-10-12,19,3
2020-10-13,14,8
2020-10-14,20,2
2020-10-15,16,6
2020-10-16,15,7
2020-10-17,17,5
2020-10-18,12,10
2020-10-19,9,13
2020-10-20,8,14
2020-10-21,16,6
2020-10-22,16,6
2020-10-23,17,5
2020-10-24,21,1
2020-10-25,18,4
2020-10-26,16,6
2020-10-27,18,4
2020-10-28,19,3
2020-10-29,20,2
2020-10-30,21,1
2020-10-31,17,5
2020-11-01,20,2
2020-11-02,19,3
2020-11-03,19,3
2020-11-04,22,0
2020-11-05,22,0
2020-11-06,21,1
2020-11-07,16,6
2020-11-08,14,8
2020-11-09,13,9
2020-11-10,18,4
2020-11-11,18,4
2020-11-12,20,2
2020-11-13,20,2
2020-11-14,21,1
2020-11-15,19,3
2020-11-16,15,7
2020-11-17,17,5
2020-11-18,22,0
2020-11-19,16,6
2020-11-20,19,3
2020-11-21,20,2
2020-11-22,20,2
2020-11-23,20,2
2020-11-24,17,5
2020-11-25,21,1
2020-11-26,17,5
2020-11-27,16,6
2020-11-28,22,0
2020-11-29,20,2
2020-11-30,20,2
2020-12-01,22,0
2020-12-02,22,0
2020-12-03,21,1
2020-12-04,21,1
2020-12-05,22,0
2020-12-06,19,3
2020-12-07,19,3
2020-12-08,19,3
2020-12-09,22,0
2020-12-10,22,0
2020-12-11,22,0
2020-12-12,21,1
2020-12-13,22,0
2020-12-14,21,1
2020-12-15,17,5
2020-12-16,19,3
2020-12-17,18,4
2020-12-18,22,0
2020-12-19,20,2
2020-12-20,20,2
2020-12-21,22,0
2020-12-22,21,1
2020-12-23,19,3
2020-12-24,19,3
2020-12-25,20,2
2020-12-26,19,3
2020-12-27,19,3
2020-12-28,19,3
2020-12-29,18,4
2020-12-30,21,1
2020-12-31,22,0
2021-01-01,22,0
2021-01-02,22,0
2021-01-03,20,2
2021-01-04,22,0
2021-01-05,21,1
2021-01-06,19,3
2021-01-07,18,4
2021-01-08,22,0
2021-01-09,21,1
2021-01-10,20,2
2021-01-11,22,0
2021-01-12,21,1
2021-01-13,22,0
2021-01-14,22,0
2021-01-15,22,0
2021-01-16,21,1
2021-01-17,20,2
2021-01-18,17,5
2021-01-19,19,3
2021-01-20,20,2
2021-01-21,17,5
2021-01-22,19,3
2021-01-23,21,1
2021-01-24,19,3
2021-01-25,20,2
2021-01-26,19,3
2021-01-27,18,4
2021-01-28,22,0
2021-01-29,22,0
2021-01-30,22,0
2021-01-31,18,4
2021-02-01,17,5
2021-02-02,21,1
2021-02-03,18,4
2021-02-04,21,1
2021-02-05,21,1
2021-02-06,19,3
2021-02-07,19,3
2021-02-08,19,3
2021-02-09,19,3
2021-02-10,18,4
2021-02-11,18,4
2021-02-12,19,3
2021-02-13,20,2
2021-02-14,20,2
2021-02-15,17,5
2021-02-16,19,3
2021-02-17,21,1
2021-02-18,18,4
2021-02-19,19,3
2021-02-20,15,7
2021-02-21,16,6
2021-02-22,18,4
2021-02-23,17,5
2021-02-24,17,5
2021-02-25,17,5
2021-02-26,13,9
2021-02-27,15,7
2021-02-28,12,10
2021-03-01,14,8
2021-03-02,21,1
2021-03-03,18,4
2021-03-04,19,3
2021-03-05,22,0
2021-03-06,18,4
2021-03-07,16,6
2021-03-08,13,9
2021-03-09,14,8
2021-03-10,17,5
2021-03-11,20,2
2021-03-12,20,2
2021-03-13,19,3
2021-03-14,17,5
2021-03-15,16,6
2021-03-16,13,9
2021-03-17,14,8
2021-03-18,11,11
2021-03-19,14,8
2021-03-20,17,5
2021-03-21,18,4
2021-03-22,17,5
2021-03-23,19,3
2021-03-24,21,1
2021-03-25,20,2
2021-03-26,21,1
2021-03-27,21,1
2021-03-28,19,3
2021-03-29,21,1
2021-03-30,19,3
2021-03-31,18,4
2021-04-01,22,0
2021-04-02,20,2
2021-04-03,20,2
2021-04-04,19,3
2021-04-05,17,5
2021-04-06,20,2
2021-04-07,20,2
2021-04-08,22,0
2021-04-09,21,1
2021-04-10,22,0
2021-04-11,22,0
2021-04-12,21,1
2021-04-13,16,6
2021-04-14,18,4
2021-04-15,17,5
2021-04-16,20,2
2021-04-17,18,4
2021-04-18,22,0
2021-04-19,21,1
2021-04-20,19,3
2021-04-21,22,0
2021-04-22,18,4
2021-04-23,18,4
2021-04-24,18,4
2021-04-25,21,1
2021-04-26,20,2
2021-04-27,18,4
2021-04-28,22,0
2021-04-29,22,0
2021-04-30,22,0
2021-05-01,21,1
2021-05-02,22,0
2021-05-03,21,1
2021-05-04,21,1
2021-05-05,22,0
2021-05-06,21,1
2021-05-07,17,5
