date,betten_belegt,betten_frei
2020-04-24,21,17
2020-04-25,20,18
2020-04-26,18,20
2020-04-27,18,20
2020-04-28,17,21
2020-04-29,20,18
2020-04-30,19,19
2020-05-01,20,18
2020-05-02,17,21
2020-05-03,18,20
2020-05-04,16,22
2020-05-05,20,18
2020-05-06,20,18
2020-05-07,20,18
2020-05-08,19,19
2020-05-09,17,21
2020-05-10,14,24
2020-05-11,16,22
2020-05-12,18,20
2020-05-13,18,22
2020-05-14,19,21
2020-05-15,20,20
2020-05-16,20,20
2020-05-17,19,21
2020-05-18,18,22
2020-05-19,18,22
2020-05-20,17,23
2020-05-21,15,25
2020-05-22,12,28
2020-05-23,17,23
2020-05-24,18,22
2020-05-25,20,20
2020-05-26,16,24
2020-05-27,19,21
2020-05-28,19,21
2020-05-29,18,22
2020-05-30,18,22
2020-05-31,19,21
2020-06-01,17,23
2020-06-02,20,20
2020-06-03,21,19
2020-06-04,16,24
2020-06-05,17,23
2020-06-06,19,21
2020-06-07,18,22
2020-06-08,20,20
2020-06-09,19,21
2020-06-10,22,18
2020-06-11,22,18
2020-06-12,20,20
2020-06-13,21,19
2020-06-14,19,21
2020-06-15,21,19
2020-06-16,20,20
2020-06-17,20,20
2020-06-18,21,19
2020-06-19,21,19
2020-06-20,20,20
2020-06-21,22,18
2020-06-22,22,18
2020-06-23,22,18
2020-06-24,21,19
2020-06-25,19,21
2020-06-26,19,21
2020-06-27,20,20
2020-06-28,20,20
2020-06-29,18,22
2020-06-30,19,21
2020-07-01,19,21
2020-07-02,20,20
2020-07-03,20,20
2020-07-04,18,22
2020-07-05,19,21
2020-07-06,19,21
2020-07-07,18,22
2020-07-08,18,22
2020-07-09,18,22
2020-07-10,20,20
2020-07-11,19,21
2020-07-12,19,6
2020-07-13,20,5
2020-07-14,18,7
2020-07-15,17,8
2020-07-16,17,8
2020-07-17,21,4
2020-07-18,22,3
2020-07-19,20,5
2020-07-20,17,8
2020-07-21,12,13
2020-07-22,15,10
2020-07-23,14,11
2020-07-24,12,13
2020-07-25,15,10
2020-07-26,13,12
2020-07-27,9,16
2020-07-28,15,10
2020-07-29,19,6
2020-07-30,20,5
2020-07-31,15,10
2020-08-01,14,11
2020-08-02,15,10
2020-08-03,15,10
2020-08-04,18,7
2020-08-05,16,9
2020-08-06,18,7
2020-08-07,21,4
2020-08-08,20,5
2020-08-09,21,4
2020-08-10,21,4
2020-08-11,22,3
2020-08-12,21,4
2020-08-13,20,5
2020-08-14,20,5
2020-08-15,19,6
2020-08-16,19,6
2020-08-17,19,6
2020-08-18,19,6
2020-08-19,16,9
2020-08-20,17,8
2020-08-21,17,8
2020-08-22,18,7
2020-08-23,18,7
2020-08-24,19,6
2020-08-25,18,7
2020-08-26,16,9
2020-08-27,16,9
2020-08-28,16,9
2020-08-29,17,8
2020-08-30,16,9
2020-08-31,18,7
2020-09-01,16,9
2020-09-02,17,8
2020-09-03,20,5
2020-09-04,18,7
2020-09-05,18,7
2020-09-06,16,9
2020-09-07,13,12
2020-09-08,17,8
2020-09-09,17,8
2020-09-10,18,7
2020-09-11,18,7
2020-09-12,19,6
2020-09-13,19,6
2020-09-14,19,6
2020-09-15,18,7
2020-09-16,19,6
2020-09-17,18,7
2020-09-18,21,4
2020-09-19,22,3
2020-09-20,22,3
2020-09-21,22,3
2020-09-22,21,4
2020-09-23,21,4
2020-09-24,22,3
2020-09-25,21,4
2020-09-26,20,5
2020-09-27,20,5
2020-09-28,21,4
2020-09-29,20,5
2020-09-30,18,7
2020-10-01,19,6
2020-10-02,19,6
2020-10-03,18,7
2020-10-04,18,7
2020-10-05,20,5
2020-10-06,20,5
2020-10-07,19,6
2020-10-08,19,6
2020-10-09,19,6
2020-10-10,20,5
2020-10-11,19,6
2020-10-12,20,5
2020-10-13,20,5
2020-10-14,19,6
2020-10-15,22,3
2020-10-16,22,3
2020-10-17,21,4
2020-10-18,24,1
2020-10-19,23,2
2020-10-20,24,1
2020-10-21,23,2
2020-10-22,22,3
2020-10-23,17,8
2020-10-24,18,7
2020-10-25,21,4
2020-10-26,20,5
2020-10-27,21,4
2020-10-28,21,4
2020-10-29,20,5
2020-10-30,16,9
2020-10-31,19,6
2020-11-01,20,5
2020-11-02,18,7
2020-11-03,18,7
2020-11-04,17,8
2020-11-05,16,9
2020-11-06,16,9
2020-11-07,18,7
2020-11-08,19,6
2020-11-09,20,5
2020-11-10,20,5
2020-11-11,19,6
2020-11-12,20,5
2020-11-13,20,5
2020-11-14,20,5
2020-11-15,20,5
2020-11-16,19,6
2020-11-17,21,4
2020-11-18,21,4
2020-11-19,21,4
2020-11-20,22,3
2020-11-21,21,4
2020-11-22,20,5
2020-11-23,20,5
2020-11-24,20,5
2020-11-25,19,6
2020-11-26,20,5
2020-11-27,20,5
2020-11-28,20,5
2020-11-29,19,6
2020-11-30,19,6
2020-12-01,19,6
2020-12-02,20,5
2020-12-03,20,5
2020-12-04,21,4
2020-12-05,20,5
2020-12-06,19,6
2020-12-07,21,4
2020-12-08,21,4
2020-12-09,21,4
2020-12-10,21,4
2020-12-11,21,4
2020-12-12,21,4
2020-12-13,21,4
2020-12-14,20,5
2020-12-15,22,3
2020-12-16,22,3
2020-12-17,21,4
2020-12-18,20,5
2020-12-19,20,5
2020-12-20,22,3
2020-12-21,21,4
2020-12-22,22,3
2020-12-23,21,4
2020-12-24,20,5
2020-12-25,19,6
2020-12-26,19,6
2020-12-27,19,6
2020-12-28,21,4
2020-12-29,23,2
2020-12-30,21,4
2020-12-31,22,3
2021-01-01,22,3
2021-01-02,21,4
2021-01-03,19,6
2021-01-04,19,6
2021-01-05,21,4
2021-01-06,21,4
2021-01-07,21,4
2021-01-08,22,3
2021-01-09,21,4
2021-01-10,21,4
2021-01-11,20,5
2021-01-12,20,5
2021-01-13,20,5
2021-01-14,19,6
2021-01-15,19,6
2021-01-16,20,5
2021-01-17,21,4
2021-01-18,19,6
2021-01-19,22,3
2021-01-20,20,5
2021-01-21,19,6
2021-01-22,19,6
2021-01-23,19,6
2021-01-24,20,5
2021-01-25,19,6
2021-01-26,19,6
2021-01-27,20,5
2021-01-28,23,2
2021-01-29,23,2
2021-01-30,21,4
2021-01-31,22,3
2021-02-01,22,3
2021-02-02,22,3
2021-02-03,21,4
2021-02-04,21,4
2021-02-05,19,6
2021-02-06,19,6
2021-02-07,20,5
2021-02-08,22,3
2021-02-09,24,1
2021-02-10,21,4
2021-02-11,22,3
2021-02-12,22,3
2021-02-13,22,3
2021-02-14,22,3
2021-02-15,22,3
2021-02-16,22,3
2021-02-17,21,4
2021-02-18,21,4
2021-02-19,20,5
2021-02-20,20,5
2021-02-21,21,4
2021-02-22,22,3
2021-02-23,22,3
2021-02-24,21,4
2021-02-25,21,4
2021-02-26,22,3
2021-02-27,22,3
2021-02-28,21,4
2021-03-01,21,4
2021-03-02,21,4
2021-03-03,21,4
2021-03-04,21,4
2021-03-05,20,5
2021-03-06,20,5
2021-03-07,20,5
2021-03-08,19,6
2021-03-09,19,6
2021-03-10,19,6
2021-03-11,19,6
2021-03-12,21,4
2021-03-13,21,4
2021-03-14,20,5
2021-03-15,22,3
2021-03-16,22,3
2021-03-17,21,4
2021-03-18,21,4
2021-03-19,20,5
2021-03-20,20,5
2021-03-21,22,3
2021-03-22,21,4
2021-03-23,22,3
2021-03-24,22,3
2021-03-25,21,4
2021-03-26,21,4
2021-03-27,21,4
2021-03-28,22,3
2021-03-29,24,1
2021-03-30,22,3
2021-03-31,22,3
2021-04-01,22,3
2021-04-02,22,3
2021-04-03,21,4
2021-04-04,21,4
2021-04-05,21,4
2021-04-06,20,5
2021-04-07,23,2
2021-04-08,21,4
2021-04-09,23,2
2021-04-10,23,2
2021-04-11,23,2
2021-04-12,22,3
2021-04-13,22,3
2021-04-14,22,3
2021-04-15,23,2
2021-04-16,22,3
2021-04-17,22,3
2021-04-18,21,4
2021-04-19,21,4
2021-04-20,23,2
2021-04-21,23,2
2021-04-22,23,2
2021-04-23,22,3
2021-04-24,22,3
2021-04-25,21,4
2021-04-26,21,4
2021-04-27,21,4
2021-04-28,21,4
2021-04-29,21,4
2021-04-30,21,4
2021-05-01,22,3
2021-05-02,22,3
2021-05-03,21,4
2021-05-04,22,3
2021-05-05,22,3
2021-05-06,22,3
2021-05-07,22,3
2021-05-08,23,2
2021-05-09,23,2
2021-05-10,21,4
2021-05-11,22,3
