date,betten_belegt,betten_frei
2020-04-24,20,30
2020-04-25,19,24
2020-04-26,19,24
2020-04-27,18,23
2020-04-28,19,22
2020-04-29,18,26
2020-04-30,18,24
2020-05-01,19,23
2020-05-02,15,27
2020-05-03,16,26
2020-05-04,21,23
2020-05-05,30,27
2020-05-06,30,15
2020-05-07,29,16
2020-05-08,23,14
2020-05-09,27,9
2020-05-10,27,10
2020-05-11,25,8
2020-05-12,24,9
2020-05-13,23,11
2020-05-14,21,18
2020-05-15,24,16
2020-05-16,25,18
2020-05-17,26,23
2020-05-18,37,12
2020-05-19,28,21
2020-05-20,29,20
2020-05-21,25,24
2020-05-22,23,26
2020-05-23,19,30
2020-05-24,15,34
2020-05-25,26,29
2020-05-26,25,30
2020-05-27,26,29
2020-05-28,28,27
2020-05-29,25,30
2020-05-30,26,29
2020-05-31,25,30
2020-06-01,33,22
2020-06-02,34,15
2020-06-03,31,18
2020-06-04,30,19
2020-06-05,32,17
2020-06-06,31,18
2020-06-07,30,19
2020-06-08,34,15
2020-06-09,35,14
2020-06-10,30,19
2020-06-11,27,22
2020-06-12,31,18
2020-06-13,28,21
2020-06-14,30,19
2020-06-15,32,17
2020-06-16,30,19
2020-06-17,36,13
2020-06-18,30,19
2020-06-19,32,17
2020-06-20,30,21
2020-06-21,30,20
2020-06-22,28,21
2020-06-23,28,21
2020-06-24,27,22
2020-06-25,25,20
2020-06-26,29,16
2020-06-27,29,16
2020-06-28,29,16
2020-06-29,29,14
2020-06-30,31,14
2020-07-01,33,12
2020-07-02,30,13
2020-07-03,28,15
2020-07-04,31,12
2020-07-05,31,12
2020-07-06,28,15
2020-07-07,30,14
2020-07-08,30,14
2020-07-09,30,13
2020-07-10,27,17
2020-07-11,27,17
2020-07-12,24,19
2020-07-13,23,21
2020-07-14,21,24
2020-07-15,29,16
2020-07-16,31,14
2020-07-17,31,14
2020-07-18,29,16
2020-07-19,30,17
2020-07-20,33,12
2020-07-21,27,18
2020-07-22,29,16
2020-07-23,33,13
2020-07-24,27,18
2020-07-25,24,22
2020-07-26,25,21
2020-07-27,28,17
2020-07-28,28,17
2020-07-29,31,15
2020-07-30,27,19
2020-07-31,31,15
2020-08-01,31,17
2020-08-02,30,18
2020-08-03,29,20
2020-08-04,31,23
2020-08-05,32,22
2020-08-06,36,18
2020-08-07,35,19
2020-08-08,37,17
2020-08-09,36,18
2020-08-10,35,19
2020-08-11,36,18
2020-08-12,31,23
2020-08-13,26,28
2020-08-14,31,23
2020-08-15,30,24
2020-08-16,29,25
2020-08-17,26,28
2020-08-18,34,18
2020-08-19,34,18
2020-08-20,29,23
2020-08-21,35,17
2020-08-22,32,20
2020-08-23,27,25
2020-08-24,33,19
2020-08-25,36,16
2020-08-26,35,17
2020-08-27,35,17
2020-08-28,31,21
2020-08-29,33,19
2020-08-30,33,19
2020-08-31,38,14
2020-09-01,37,15
2020-09-02,34,18
2020-09-03,35,17
2020-09-04,35,17
2020-09-05,33,19
