date,betten_belegt,betten_frei
2020-04-24,46,34
2020-04-25,49,31
2020-04-26,51,29
2020-04-27,45,34
2020-04-28,45,34
2020-04-29,47,33
2020-04-30,54,26
2020-05-01,50,24
2020-05-02,50,24
2020-05-03,51,23
2020-05-04,43,28
2020-05-05,43,28
2020-05-06,46,23
2020-05-07,45,24
2020-05-08,48,26
2020-05-09,51,23
2020-05-10,51,23
2020-05-11,50,24
2020-05-12,52,24
2020-05-13,52,22
2020-05-14,51,18
2020-05-15,52,19
2020-05-16,53,18
2020-05-17,49,22
2020-05-18,50,23
2020-05-19,50,21
2020-05-20,51,20
2020-05-21,50,21
2020-05-22,49,22
2020-05-23,50,21
2020-05-24,52,19
2020-05-25,51,20
2020-05-26,52,19
2020-05-27,53,18
2020-05-28,51,20
2020-05-29,51,20
2020-05-30,51,20
2020-05-31,51,20
2020-06-01,51,21
2020-06-02,55,16
2020-06-03,51,20
2020-06-04,50,21
2020-06-05,52,19
2020-06-06,52,19
2020-06-07,51,20
2020-06-08,53,18
2020-06-09,51,20
2020-06-10,53,18
2020-06-11,53,22
2020-06-12,52,22
2020-06-13,47,26
2020-06-14,47,26
2020-06-15,44,26
2020-06-16,44,26
2020-06-17,48,22
2020-06-18,49,22
2020-06-19,48,24
2020-06-20,48,23
2020-06-21,51,20
2020-06-22,50,21
2020-06-23,50,21
2020-06-24,50,21
2020-06-25,49,17
2020-06-26,53,13
2020-06-27,48,13
2020-06-28,48,13
2020-06-29,49,11
2020-06-30,51,14
2020-07-01,52,13
2020-07-02,56,9
2020-07-03,56,9
2020-07-04,58,7
2020-07-05,57,8
2020-07-06,57,8
2020-07-07,55,9
2020-07-08,55,10
2020-07-09,56,9
2020-07-10,56,9
2020-07-11,56,9
2020-07-12,54,11
2020-07-13,56,9
2020-07-14,55,9
2020-07-15,55,9
2020-07-16,55,9
2020-07-17,54,10
2020-07-18,52,6
2020-07-19,52,6
2020-07-20,48,10
2020-07-21,50,8
2020-07-22,49,9
2020-07-23,50,8
2020-07-24,48,10
2020-07-25,50,8
2020-07-26,49,9
2020-07-27,47,11
2020-07-28,44,14
2020-07-29,43,12
2020-07-30,40,15
2020-07-31,41,14
2020-08-01,43,12
2020-08-02,43,12
2020-08-03,46,9
2020-08-04,45,10
2020-08-05,46,9
2020-08-06,46,9
2020-08-07,47,8
2020-08-08,44,11
2020-08-09,45,10
2020-08-10,12,3
2020-08-11,12,3
2020-08-12,13,2
2020-08-13,14,1
2020-08-14,48,7
2020-08-15,48,7
2020-08-16,46,9
2020-08-17,49,6
2020-08-18,50,5
2020-08-19,48,7
2020-08-20,46,9
2020-08-21,47,8
2020-08-22,47,8
2020-08-23,45,10
2020-08-24,49,6
2020-08-25,49,6
2020-08-26,49,6
