date,betten_belegt,betten_frei
2020-04-24,10,8
2020-04-25,12,9
2020-04-26,11,10
2020-04-27,13,8
2020-04-28,14,7
2020-04-29,12,9
2020-04-30,10,11
2020-05-01,15,6
2020-05-02,13,8
2020-05-03,16,5
2020-05-04,16,5
2020-05-05,18,3
2020-05-06,12,9
2020-05-07,11,10
2020-05-08,10,11
2020-05-09,8,13
2020-05-10,10,11
2020-05-11,13,8
2020-05-12,13,8
2020-05-13,13,8
2020-05-14,11,10
2020-05-15,12,9
2020-05-16,10,11
2020-05-17,9,12
2020-05-18,9,12
2020-05-19,10,11
2020-05-20,12,9
2020-05-21,13,8
2020-05-22,12,9
2020-05-23,10,11
2020-05-24,6,15
2020-05-25,6,15
2020-05-26,12,9
2020-05-27,12,9
2020-05-28,12,9
2020-05-29,12,9
2020-05-30,14,7
2020-05-31,12,9
2020-06-01,7,14
2020-06-02,6,15
2020-06-03,6,15
2020-06-04,9,12
2020-06-05,11,10
2020-06-06,11,10
2020-06-07,13,8
2020-06-08,13,8
2020-06-09,13,8
2020-06-10,14,7
2020-06-11,15,6
2020-06-12,15,6
2020-06-13,11,10
2020-06-14,12,9
2020-06-15,12,9
2020-06-16,16,5
2020-06-17,13,8
2020-06-18,12,9
2020-06-19,9,12
2020-06-20,5,16
2020-06-21,8,13
2020-06-22,10,11
2020-06-23,14,7
2020-06-24,16,5
2020-06-25,16,5
2020-06-26,12,9
2020-06-27,13,8
2020-06-28,12,9
2020-06-29,10,11
2020-06-30,12,9
2020-07-01,11,10
2020-07-02,9,12
2020-07-03,11,10
2020-07-04,10,11
2020-07-05,13,8
2020-07-06,12,8
2020-07-07,12,8
2020-07-08,11,9
2020-07-09,16,7
2020-07-10,14,7
2020-07-11,15,6
2020-07-12,12,9
2020-07-13,15,6
2020-07-14,15,6
2020-07-15,16,5
2020-07-16,13,8
2020-07-17,16,5
2020-07-18,16,5
2020-07-19,17,5
2020-07-20,15,7
2020-07-21,15,7
2020-07-22,16,6
2020-07-23,14,7
2020-07-24,14,7
2020-07-25,13,8
2020-07-26,15,6
2020-07-27,13,8
2020-07-28,12,9
2020-07-29,15,6
2020-07-30,13,8
2020-07-31,15,6
2020-08-01,11,10
2020-08-02,11,10
2020-08-03,11,10
2020-08-04,8,13
2020-08-05,13,8
2020-08-06,14,7
2020-08-07,12,9
2020-08-08,11,10
2020-08-09,10,11
2020-08-10,12,9
2020-08-11,15,6
2020-08-12,13,8
2020-08-13,15,6
2020-08-14,15,6
2020-08-15,14,7
2020-08-16,10,11
2020-08-17,12,9
2020-08-18,11,10
2020-08-19,13,8
2020-08-20,13,8
2020-08-21,14,7
2020-08-22,12,9
2020-08-23,10,11
2020-08-24,13,8
2020-08-25,15,6
2020-08-26,13,8
2020-08-27,15,6
2020-08-28,15,6
2020-08-29,13,8
2020-08-30,14,7
2020-08-31,14,7
2020-09-01,13,8
2020-09-02,14,7
2020-09-03,16,5
2020-09-04,14,7
2020-09-05,13,8
2020-09-06,16,5
2020-09-07,13,8
2020-09-08,13,8
2020-09-09,13,8
2020-09-10,14,7
2020-09-11,11,10
2020-09-12,13,8
2020-09-13,14,7
2020-09-14,11,10
2020-09-15,11,10
2020-09-16,14,7
2020-09-17,16,5
2020-09-18,16,5
2020-09-19,14,7
2020-09-20,11,10
2020-09-21,12,9
2020-09-22,15,6
2020-09-23,14,7
2020-09-24,16,10
2020-09-25,10,16
2020-09-26,11,15
2020-09-27,13,13
2020-09-28,14,8
2020-09-29,13,9
2020-09-30,15,7
2020-10-01,11,11
2020-10-02,11,11
2020-10-03,14,8
2020-10-04,9,13
2020-10-05,11,11
2020-10-06,14,8
2020-10-07,12,10
2020-10-08,12,10
2020-10-09,13,9
2020-10-10,12,10
2020-10-11,11,11
2020-10-12,12,10
2020-10-13,13,9
