date,betten_belegt,betten_frei
2020-04-24,18,18
2020-04-25,13,23
2020-04-26,15,21
2020-04-27,17,19
2020-04-28,18,16
2020-04-29,16,20
2020-04-30,14,20
2020-05-01,12,22
2020-05-02,12,22
2020-05-03,12,22
2020-05-04,16,18
2020-05-05,14,20
2020-05-06,18,16
2020-05-07,15,19
2020-05-08,13,21
2020-05-09,14,20
2020-05-10,17,17
2020-05-11,16,18
2020-05-12,16,18
2020-05-13,14,20
2020-05-14,13,21
2020-05-15,18,16
2020-05-16,18,16
2020-05-17,14,20
2020-05-18,16,18
2020-05-19,16,18
2020-05-20,14,20
2020-05-21,14,20
2020-05-22,18,16
2020-05-23,17,17
2020-05-24,21,13
2020-05-25,20,14
2020-05-26,20,14
2020-05-27,16,18
2020-05-28,18,16
2020-05-29,19,15
2020-05-30,23,11
2020-05-31,16,18
2020-06-01,16,18
2020-06-02,20,14
2020-06-03,20,14
2020-06-04,19,15
2020-06-05,14,20
2020-06-06,20,14
2020-06-07,17,17
2020-06-08,14,20
2020-06-09,15,19
2020-06-10,21,13
2020-06-11,20,14
2020-06-12,20,14
2020-06-13,17,17
2020-06-14,15,19
2020-06-15,15,19
2020-06-16,12,22
2020-06-17,12,22
2020-06-18,17,17
2020-06-19,19,15
2020-06-20,18,16
2020-06-21,16,18
2020-06-22,19,15
2020-06-23,16,18
2020-06-24,17,17
2020-06-25,11,23
2020-06-26,14,20
2020-06-27,11,23
2020-06-28,14,20
2020-06-29,18,16
2020-06-30,17,17
2020-07-01,16,18
2020-07-02,13,21
2020-07-03,19,15
2020-07-04,18,16
2020-07-05,16,18
2020-07-06,20,14
2020-07-07,19,15
2020-07-08,19,15
2020-07-09,16,18
2020-07-10,14,20
2020-07-11,17,17
2020-07-12,16,18
2020-07-13,13,21
2020-07-14,18,16
2020-07-15,20,14
2020-07-16,17,17
2020-07-17,17,17
2020-07-18,16,18
2020-07-19,17,17
2020-07-20,20,14
2020-07-21,17,17
2020-07-22,20,14
2020-07-23,18,16
2020-07-24,17,17
2020-07-25,17,17
2020-07-26,14,20
2020-07-27,17,17
2020-07-28,19,15
2020-07-29,16,18
2020-07-30,18,16
2020-07-31,16,18
2020-08-01,19,15
2020-08-02,16,18
2020-08-03,18,16
2020-08-04,14,20
2020-08-05,18,16
2020-08-06,22,4
2020-08-07,19,7
2020-08-08,18,8
2020-08-09,13,13
2020-08-10,19,7
2020-08-11,14,12
2020-08-12,18,8
2020-08-13,21,5
2020-08-14,16,10
2020-08-15,12,14
2020-08-16,10,16
2020-08-17,19,7
2020-08-18,12,14
2020-08-19,17,9
2020-08-20,13,13
2020-08-21,16,10
2020-08-22,10,16
2020-08-23,15,11
2020-08-24,14,12
2020-08-25,18,8
2020-08-26,16,10
2020-08-27,15,11
2020-08-28,17,9
2020-08-29,12,8
2020-08-30,14,6
2020-08-31,14,12
2020-09-01,19,7
2020-09-02,17,9
2020-09-03,19,7
2020-09-04,18,8
2020-09-05,16,10
2020-09-06,15,11
2020-09-07,16,10
2020-09-08,15,11
2020-09-09,19,7
2020-09-10,14,12
2020-09-11,19,7
2020-09-12,18,8
2020-09-13,15,11
2020-09-14,17,9
2020-09-15,16,10
2020-09-16,18,8
2020-09-17,19,7
2020-09-18,22,4
2020-09-19,22,4
2020-09-20,16,10
2020-09-21,20,6
2020-09-22,21,5
2020-09-23,20,6
2020-09-24,19,7
2020-09-25,17,9
2020-09-26,12,14
2020-09-27,13,13
2020-09-28,14,12
2020-09-29,14,10
2020-09-30,17,7
2020-10-01,16,8
2020-10-02,16,8
2020-10-03,14,10
2020-10-04,14,10
2020-10-05,15,9
2020-10-06,19,5
2020-10-07,15,9
2020-10-08,19,5
2020-10-09,18,6
2020-10-10,20,4
2020-10-11,16,8
2020-10-12,19,5
2020-10-13,18,6
2020-10-14,19,5
2020-10-15,18,6
2020-10-16,17,7
2020-10-17,20,4
2020-10-18,15,9
2020-10-19,18,6
2020-10-20,15,9
2020-10-21,14,10
2020-10-22,19,5
2020-10-23,16,8
2020-10-24,17,7
2020-10-25,15,9
2020-10-26,18,6
2020-10-27,18,6
2020-10-28,20,4
2020-10-29,19,5
2020-10-30,17,7
2020-10-31,19,5
2020-11-01,19,5
2020-11-02,20,4
2020-11-03,22,2
2020-11-04,20,4
2020-11-05,18,6
2020-11-06,18,6
2020-11-07,21,3
2020-11-08,16,8
2020-11-09,20,4
2020-11-10,20,4
2020-11-11,19,5
2020-11-12,20,4
2020-11-13,15,9
2020-11-14,16,8
2020-11-15,17,7
2020-11-16,21,3
2020-11-17,22,2
2020-11-18,20,4
2020-11-19,17,7
2020-11-20,20,4
2020-11-21,16,8
2020-11-22,17,7
2020-11-23,20,4
2020-11-24,21,3
2020-11-25,18,6
2020-11-26,15,9
2020-11-27,19,5
2020-11-28,16,8
2020-11-29,14,10
2020-11-30,13,11
2020-12-01,16,8
2020-12-02,18,6
2020-12-03,21,3
2020-12-04,21,3
2020-12-05,21,3
2020-12-06,22,2
2020-12-07,18,6
2020-12-08,20,4
2020-12-09,19,5
2020-12-10,22,2
2020-12-11,18,6
2020-12-12,20,4
2020-12-13,20,4
2020-12-14,21,3
2020-12-15,22,2
2020-12-16,20,4
2020-12-17,20,4
2020-12-18,21,3
2020-12-19,20,4
2020-12-20,21,3
2020-12-21,20,4
2020-12-22,21,3
2020-12-23,19,5
2020-12-24,17,7
2020-12-25,17,7
2020-12-26,17,7
2020-12-27,17,7
2020-12-28,20,4
2020-12-29,20,4
2020-12-30,18,6
2020-12-31,21,3
2021-01-01,22,2
2021-01-02,19,5
2021-01-03,20,4
2021-01-04,20,4
2021-01-05,22,2
2021-01-06,22,2
2021-01-07,21,3
2021-01-08,21,3
2021-01-09,19,5
2021-01-10,17,7
2021-01-11,19,5
2021-01-12,21,3
2021-01-13,21,3
2021-01-14,21,3
2021-01-15,21,3
2021-01-16,21,3
2021-01-17,18,6
2021-01-18,20,4
2021-01-19,21,3
2021-01-20,19,5
2021-01-21,23,1
2021-01-22,22,2
2021-01-23,22,2
2021-01-24,19,5
2021-01-25,21,3
2021-01-26,22,2
2021-01-27,21,3
2021-01-28,14,10
2021-01-29,16,8
2021-01-30,15,9
2021-01-31,14,10
2021-02-01,14,10
2021-02-02,18,6
2021-02-03,20,4
2021-02-04,22,2
2021-02-05,19,5
2021-02-06,18,6
2021-02-07,17,7
2021-02-08,20,4
2021-02-09,22,2
2021-02-10,21,3
2021-02-11,20,4
2021-02-12,18,6
2021-02-13,18,6
2021-02-14,13,11
2021-02-15,17,7
2021-02-16,21,3
2021-02-17,19,5
2021-02-18,23,1
2021-02-19,21,3
2021-02-20,22,2
2021-02-21,20,4
2021-02-22,22,2
2021-02-23,18,6
2021-02-24,17,7
2021-02-25,19,5
2021-02-26,20,4
2021-02-27,20,4
2021-02-28,19,5
2021-03-01,19,5
2021-03-02,19,5
2021-03-03,19,5
2021-03-04,19,5
2021-03-05,19,5
2021-03-06,19,5
2021-03-07,19,5
2021-03-09,22,2
2021-03-10,21,3
2021-03-11,22,2
2021-03-12,22,2
2021-03-13,19,5
2021-03-14,19,5
2021-03-15,22,2
2021-03-16,20,4
2021-03-17,20,4
2021-03-18,19,5
2021-03-19,17,7
2021-03-20,17,7
2021-03-21,16,8
2021-03-22,20,4
2021-03-23,17,7
2021-03-24,21,3
2021-03-25,20,4
2021-03-26,16,8
2021-03-27,15,9
2021-03-28,16,8
2021-03-29,21,3
2021-03-30,21,3
2021-03-31,14,10
2021-04-01,17,7
2021-04-02,19,5
2021-04-03,16,4
2021-04-04,16,4
2021-04-05,19,1
2021-04-06,18,6
2021-04-07,20,0
2021-04-08,20,4
2021-04-09,18,6
2021-04-10,19,5
2021-04-11,18,6
2021-04-12,21,3
2021-04-13,21,3
2021-04-14,19,5
2021-04-15,19,5
2021-04-16,21,3
2021-04-17,21,3
2021-04-18,18,6
2021-04-19,21,0
2021-04-20,19,5
2021-04-21,18,6
2021-04-22,15,5
2021-04-23,16,4
2021-04-24,18,6
2021-04-25,18,6
2021-04-26,19,5
