date,betten_belegt,betten_frei
2020-04-24,18,39
2020-04-25,18,41
2020-04-26,19,42
2020-04-27,38,43
2020-04-28,39,41
2020-04-29,44,39
2020-04-30,39,41
2020-05-01,39,41
2020-05-02,39,41
2020-05-03,39,41
2020-05-04,41,39
2020-05-05,42,38
2020-05-06,40,40
2020-05-07,38,42
2020-05-08,33,47
2020-05-09,39,41
2020-05-10,37,43
2020-05-11,36,44
2020-05-12,38,42
2020-05-13,45,35
2020-05-14,39,41
2020-05-15,41,39
2020-05-16,42,38
2020-05-17,38,42
2020-05-18,36,44
2020-05-19,34,46
2020-05-20,34,46
2020-05-21,36,44
2020-05-22,33,47
2020-05-23,34,46
2020-05-24,28,52
2020-05-25,32,48
2020-05-26,36,44
2020-05-27,34,46
2020-05-28,31,49
2020-05-29,34,46
2020-05-30,30,50
2020-05-31,35,45
2020-06-01,34,46
2020-06-02,31,49
2020-06-03,37,43
2020-06-04,39,41
2020-06-05,33,47
2020-06-06,35,45
2020-06-07,36,44
2020-06-08,32,48
2020-06-09,40,40
2020-06-10,39,41
2020-06-11,47,33
2020-06-12,42,38
2020-06-13,40,40
2020-06-14,37,43
2020-06-15,35,45
2020-06-16,37,43
2020-06-17,37,43
2020-06-18,34,46
2020-06-19,39,41
2020-06-20,36,44
2020-06-21,36,44
2020-06-22,35,45
2020-06-23,43,37
2020-06-24,45,35
2020-06-25,45,35
2020-06-26,46,34
2020-06-27,44,36
2020-06-28,41,39
2020-06-29,39,41
2020-06-30,47,33
2020-07-01,46,34
2020-07-02,46,34
2020-07-03,43,37
2020-07-04,41,39
2020-07-05,40,40
2020-07-06,44,36
2020-07-07,43,37
2020-07-08,40,40
2020-07-09,39,41
2020-07-10,43,37
2020-07-11,39,41
2020-07-12,42,38
2020-07-13,43,37
2020-07-14,43,37
2020-07-15,37,43
2020-07-16,38,42
2020-07-17,38,42
2020-07-18,35,58
2020-07-19,35,58
2020-07-20,36,57
2020-07-21,41,52
2020-07-22,42,51
2020-07-23,40,53
2020-07-24,39,54
2020-07-25,31,62
2020-07-26,37,56
2020-07-27,37,56
2020-07-28,39,54
2020-07-29,35,58
2020-07-30,39,54
2020-07-31,40,68
2020-08-01,38,70
2020-08-02,36,72
2020-08-03,42,66
2020-08-04,42,33
2020-08-05,39,36
2020-08-06,43,32
2020-08-07,47,28
2020-08-08,44,31
2020-08-09,40,35
2020-08-10,38,37
2020-08-11,42,33
2020-08-12,37,38
2020-08-13,39,36
2020-08-14,40,35
2020-08-15,34,41
2020-08-16,34,41
2020-08-17,37,38
2020-08-18,39,36
2020-08-19,38,37
2020-08-20,39,36
2020-08-21,46,29
2020-08-22,41,34
2020-08-23,42,33
2020-08-24,36,39
2020-08-25,42,33
2020-08-26,43,32
2020-08-27,37,38
2020-08-28,36,39
2020-08-29,41,34
2020-08-30,41,34
2020-08-31,43,32
2020-09-01,43,32
2020-09-02,44,31
2020-09-03,44,31
2020-09-04,40,35
2020-09-05,44,31
2020-09-06,39,36
2020-09-07,42,33
2020-09-08,42,33
2020-09-09,44,31
2020-09-10,44,31
2020-09-11,46,29
2020-09-12,44,31
2020-09-13,47,28
2020-09-14,45,30
2020-09-15,44,31
2020-09-16,40,35
2020-09-17,44,31
2020-09-18,43,32
2020-09-19,37,38
2020-09-20,36,39
2020-09-21,37,38
2020-09-22,41,34
2020-09-23,49,26
2020-09-24,44,31
2020-09-25,47,28
2020-09-26,47,28
2020-09-27,44,31
2020-09-28,44,31
2020-09-29,47,28
2020-09-30,44,31
2020-10-01,41,34
2020-10-02,44,31
2020-10-03,42,33
2020-10-04,42,33
2020-10-05,46,29
2020-10-06,47,28
2020-10-07,44,31
2020-10-08,44,31
2020-10-09,45,30
2020-10-10,40,35
2020-10-11,41,34
2020-10-12,42,33
