date,betten_belegt,betten_frei
2020-04-24,41,39
2020-04-25,40,40
2020-04-26,40,40
2020-04-27,51,29
2020-04-28,50,28
2020-04-29,45,34
2020-04-30,41,39
2020-05-01,40,41
2020-05-02,34,47
2020-05-03,31,50
2020-05-04,32,49
2020-05-05,33,48
2020-05-06,35,45
2020-05-07,40,40
2020-05-08,42,39
2020-05-09,39,42
2020-05-10,36,45
2020-05-11,39,42
2020-05-12,36,45
2020-05-13,36,43
2020-05-14,35,45
2020-05-15,36,44
2020-05-16,38,43
2020-05-17,37,44
2020-05-18,39,42
2020-05-19,39,39
2020-05-20,38,43
2020-05-21,42,39
2020-05-22,37,44
2020-05-23,41,40
2020-05-24,38,43
2020-05-25,36,45
2020-05-26,41,40
2020-05-27,55,25
2020-05-28,52,28
2020-05-29,55,26
2020-05-30,55,24
2020-05-31,52,28
2020-06-01,48,32
2020-06-02,47,33
2020-06-03,45,35
2020-06-04,41,39
2020-06-05,44,36
2020-06-06,45,31
2020-06-07,44,36
2020-06-08,37,47
2020-06-09,44,40
2020-06-10,45,39
2020-06-11,40,40
2020-06-12,48,32
2020-06-13,49,31
2020-06-14,49,31
2020-06-15,48,33
2020-06-16,52,28
2020-06-17,49,30
2020-06-18,53,27
2020-06-19,54,25
2020-06-20,56,24
2020-06-21,54,25
2020-06-22,49,31
2020-06-23,51,29
2020-06-24,47,33
2020-06-25,49,31
2020-06-26,46,34
2020-06-27,44,36
2020-06-28,45,35
2020-06-29,49,30
2020-06-30,41,39
2020-07-01,42,37
2020-07-02,45,35
2020-07-03,45,35
2020-07-04,39,40
2020-07-05,46,34
2020-07-06,42,35
2020-07-07,43,34
2020-07-08,46,35
2020-07-09,38,43
2020-07-10,47,36
2020-07-11,46,37
2020-07-12,48,36
2020-07-13,40,42
2020-07-14,50,33
2020-07-15,46,38
2020-07-16,54,30
2020-07-17,62,24
2020-07-18,56,30
2020-07-19,57,29
2020-07-20,53,30
2020-07-21,50,33
2020-07-22,51,32
2020-07-23,52,31
2020-07-24,46,37
2020-07-25,42,41
2020-07-26,45,38
2020-07-27,45,38
2020-07-28,42,41
2020-07-29,43,40
2020-07-30,45,38
2020-07-31,51,32
2020-08-01,37,46
2020-08-02,41,42
2020-08-03,40,43
2020-08-04,48,27
2020-08-05,48,27
2020-08-06,51,20
2020-08-07,48,23
2020-08-08,52,19
2020-08-09,50,21
2020-08-10,47,24
2020-08-11,52,19
2020-08-12,44,27
2020-08-13,48,23
2020-08-14,50,21
2020-08-15,53,18
2020-08-16,44,27
2020-08-17,48,23
2020-08-18,48,23
2020-08-19,53,18
2020-08-20,56,15
2020-08-21,53,18
2020-08-22,51,20
2020-08-23,52,19
2020-08-24,48,23
2020-08-25,47,24
2020-08-26,43,28
2020-08-27,50,21
2020-08-28,52,19
2020-08-29,52,19
2020-08-30,51,20
2020-08-31,46,25
2020-09-01,42,29
2020-09-02,47,24
2020-09-03,45,22
2020-09-04,42,25
2020-09-05,36,31
2020-09-06,35,32
2020-09-07,35,32
2020-09-08,41,26
2020-09-09,39,28
2020-09-10,39,28
2020-09-11,45,22
2020-09-12,42,25
2020-09-13,43,24
2020-09-14,39,28
2020-09-15,33,34
2020-09-16,35,32
2020-09-17,38,29
2020-09-18,44,23
2020-09-19,37,30
2020-09-20,37,30
2020-09-21,41,26
2020-09-22,42,25
2020-09-23,44,23
2020-09-24,48,19
2020-09-25,43,24
2020-09-26,37,30
2020-09-27,33,34
2020-09-28,38,29
2020-09-29,44,23
2020-09-30,40,27
2020-10-01,46,21
2020-10-02,46,21
2020-10-03,44,23
2020-10-04,41,26
2020-10-05,35,32
2020-10-06,36,31
2020-10-07,40,27
2020-10-08,41,26
2020-10-09,41,26
2020-10-10,36,31
2020-10-11,36,32
2020-10-12,39,29
2020-10-13,34,33
2020-10-14,40,27
2020-10-15,44,23
2020-10-16,45,22
2020-10-17,41,26
2020-10-18,38,29
2020-10-19,34,33
2020-10-20,33,34
2020-10-21,41,24
2020-10-22,39,20
2020-10-23,32,20
2020-10-24,29,23
2020-10-25,35,17
2020-10-26,36,16
2020-10-27,33,19
2020-10-28,33,20
2020-10-29,32,20
2020-10-30,33,18
2020-10-31,30,21
2020-11-01,35,16
2020-11-02,30,22
2020-11-03,37,18
2020-11-04,44,11
2020-11-05,37,16
2020-11-06,33,20
2020-11-07,34,19
2020-11-08,29,24
2020-11-09,31,22
2020-11-10,35,18
2020-11-11,36,18
2020-11-12,41,14
2020-11-13,35,20
2020-11-14,37,18
2020-11-15,39,19
2020-11-16,37,21
2020-11-17,40,17
2020-11-18,35,25
2020-11-19,38,22
2020-11-20,43,17
2020-11-21,39,21
2020-11-22,32,28
2020-11-23,36,24
2020-11-24,38,22
2020-11-25,35,25
2020-11-26,38,22
2020-11-27,46,14
2020-11-28,42,18
2020-11-29,43,17
2020-11-30,40,20
2020-12-01,38,22
2020-12-02,32,28
2020-12-03,36,24
2020-12-04,35,25
2020-12-05,44,16
2020-12-06,40,20
2020-12-07,39,19
2020-12-08,38,20
2020-12-09,33,25
2020-12-10,42,17
2020-12-11,43,17
2020-12-12,41,19
2020-12-13,37,23
2020-12-14,38,22
2020-12-15,38,22
2020-12-16,42,18
2020-12-17,41,19
2020-12-18,39,21
2020-12-19,41,19
2020-12-20,40,22
2020-12-21,41,21
2020-12-22,44,18
2020-12-23,43,19
2020-12-24,40,22
2020-12-25,38,24
2020-12-26,35,27
2020-12-27,36,26
2020-12-28,39,23
2020-12-29,38,24
2020-12-30,44,19
2020-12-31,40,22
2021-01-01,42,20
2021-01-02,41,21
2021-01-03,41,21
2021-01-04,37,25
2021-01-05,42,20
2021-01-06,42,20
2021-01-07,42,20
2021-01-08,36,26
2021-01-09,40,22
2021-01-10,36,26
2021-01-11,38,26
2021-01-12,43,21
2021-01-13,44,20
2021-01-14,46,16
2021-01-15,47,15
2021-01-16,43,19
2021-01-17,41,21
2021-01-18,38,24
2021-01-19,43,19
2021-01-20,44,18
2021-01-21,40,22
2021-01-22,45,17
2021-01-23,43,19
2021-01-24,40,22
2021-01-25,37,25
2021-01-26,37,25
2021-01-27,40,22
2021-01-28,40,22
2021-01-29,34,28
2021-01-30,38,24
2021-01-31,40,22
2021-02-01,43,19
2021-02-02,33,29
2021-02-03,39,23
2021-02-04,36,26
2021-02-05,42,20
2021-02-06,42,20
2021-02-07,37,25
2021-02-08,37,25
