date,betten_belegt,betten_frei
2020-04-24,17,6
2020-04-25,13,10
2020-04-26,12,11
2020-04-27,13,10
2020-04-28,13,10
2020-04-29,9,14
2020-04-30,14,9
2020-05-01,15,8
2020-05-02,12,11
2020-05-03,11,12
2020-05-04,12,11
2020-05-05,16,7
2020-05-06,17,6
2020-05-07,16,7
2020-05-08,14,9
2020-05-09,13,10
2020-05-10,17,6
2020-05-11,19,4
2020-05-12,18,5
2020-05-13,18,5
2020-05-14,16,7
2020-05-15,16,7
2020-05-16,15,8
2020-05-17,16,7
2020-05-18,16,7
2020-05-19,14,9
2020-05-20,17,6
2020-05-21,19,4
2020-05-22,19,4
2020-05-23,14,9
2020-05-24,17,6
2020-05-25,15,8
2020-05-26,10,13
2020-05-27,12,11
2020-05-28,9,14
2020-05-29,11,12
2020-05-30,13,10
2020-05-31,11,12
2020-06-01,13,10
2020-06-02,11,12
2020-06-03,10,13
2020-06-04,7,16
2020-06-05,14,9
2020-06-06,16,7
2020-06-07,12,11
2020-06-08,18,5
2020-06-09,17,6
2020-06-10,14,9
2020-06-11,17,6
2020-06-12,13,10
2020-06-13,14,8
2020-06-14,16,7
2020-06-15,19,4
2020-06-16,16,7
2020-06-17,16,7
2020-06-18,14,9
2020-06-19,12,11
2020-06-20,16,7
2020-06-21,14,9
2020-06-22,14,9
2020-06-23,13,10
2020-06-24,16,7
2020-06-25,18,5
2020-06-26,12,11
2020-06-27,12,10
2020-06-28,12,11
2020-06-29,13,10
2020-06-30,14,5
2020-07-01,13,7
2020-07-02,15,8
2020-07-03,17,6
2020-07-04,16,7
2020-07-05,11,11
2020-07-06,11,11
2020-07-07,12,11
2020-07-08,15,8
2020-07-09,17,6
2020-07-10,16,7
2020-07-11,16,6
2020-07-12,16,6
2020-07-13,17,6
2020-07-14,16,7
2020-07-15,16,7
2020-07-16,15,8
2020-07-17,15,9
2020-07-18,15,8
2020-07-19,16,7
2020-07-20,14,9
2020-07-21,12,11
2020-07-22,15,8
2020-07-23,14,9
2020-07-24,12,11
2020-07-25,11,9
2020-07-26,12,8
2020-07-27,15,8
2020-07-28,15,8
2020-07-29,14,9
2020-07-30,16,7
2020-07-31,14,9
2020-08-01,8,15
2020-08-02,12,11
2020-08-03,13,10
2020-08-04,11,12
2020-08-05,10,13
2020-08-06,13,10
2020-08-07,19,4
2020-08-08,17,6
2020-08-09,15,8
2020-08-10,16,7
2020-08-11,16,7
2020-08-12,17,6
2020-08-13,18,5
2020-08-14,13,10
2020-08-15,17,6
2020-08-16,15,8
2020-08-17,14,9
2020-08-18,14,9
2020-08-19,15,8
2020-08-20,14,8
2020-08-21,13,10
2020-08-22,10,9
2020-08-23,12,7
2020-08-24,13,10
2020-08-25,15,8
2020-08-26,12,10
2020-08-27,15,8
2020-08-28,15,8
2020-08-29,17,6
2020-08-30,15,8
2020-08-31,14,9
2020-09-01,15,8
2020-09-02,16,7
2020-09-03,16,7
2020-09-04,16,7
2020-09-05,15,8
2020-09-06,12,11
2020-09-07,9,14
2020-09-08,9,14
2020-09-09,15,8
2020-09-10,12,11
2020-09-11,13,10
2020-09-12,15,8
2020-09-13,12,11
2020-09-14,12,11
2020-09-15,12,11
2020-09-16,17,6
2020-09-17,14,9
2020-09-18,14,9
2020-09-19,11,12
2020-09-20,11,12
2020-09-21,10,13
2020-09-22,15,8
2020-09-23,15,8
2020-09-24,15,8
