date,betten_belegt,betten_frei
2020-04-24,157,48
2020-04-25,148,83
2020-04-26,141,90
2020-04-27,138,95
2020-04-28,156,87
2020-04-29,153,89
2020-04-30,155,87
2020-05-01,152,97
2020-05-02,141,106
2020-05-03,145,102
2020-05-04,142,105
2020-05-05,151,96
2020-05-06,144,102
2020-05-07,144,103
2020-05-08,143,104
2020-05-09,139,108
2020-05-10,140,107
2020-05-11,141,106
2020-05-12,137,101
2020-05-13,143,94
2020-05-14,139,99
2020-05-15,140,98
2020-05-16,129,109
2020-05-17,130,106
2020-05-18,137,99
2020-05-19,141,95
2020-05-20,137,99
2020-05-21,149,86
2020-05-22,140,95
2020-05-23,145,90
2020-05-24,136,99
2020-05-25,136,99
2020-05-26,137,99
2020-05-27,147,89
2020-05-28,149,86
2020-05-29,151,84
2020-05-30,149,86
2020-05-31,138,97
2020-06-01,137,98
2020-06-02,135,100
2020-06-03,147,88
2020-06-04,150,85
2020-06-05,158,77
2020-06-06,152,83
2020-06-07,153,82
2020-06-08,144,90
2020-06-09,147,89
2020-06-10,144,92
2020-06-11,145,90
2020-06-12,147,101
2020-06-13,137,111
2020-06-14,140,108
2020-06-15,138,109
2020-06-16,143,106
2020-06-17,153,96
2020-06-18,152,96
2020-06-19,146,102
2020-06-20,147,101
2020-06-21,134,112
2020-06-22,142,107
2020-06-23,142,107
2020-06-24,134,115
2020-06-25,140,101
2020-06-26,135,104
2020-06-27,135,99
2020-06-28,134,105
2020-06-29,129,110
2020-06-30,131,117
2020-07-01,139,109
2020-07-02,147,103
2020-07-03,150,98
2020-07-04,136,121
2020-07-05,135,121
2020-07-06,142,115
2020-07-07,135,123
2020-07-08,130,123
2020-07-09,132,116
2020-07-10,143,105
2020-07-11,141,106
2020-07-12,142,105
2020-07-13,137,110
2020-07-14,150,97
2020-07-15,145,101
2020-07-16,146,102
2020-07-17,149,99
2020-07-18,143,106
2020-07-19,140,108
2020-07-20,148,100
2020-07-21,149,99
2020-07-22,163,102
2020-07-23,171,112
2020-07-24,181,110
2020-07-25,173,113
2020-07-26,172,114
2020-07-27,167,119
2020-07-28,177,109
2020-07-29,179,107
2020-07-30,174,112
2020-07-31,172,114
2020-08-01,169,116
2020-08-02,166,119
2020-08-03,169,117
2020-08-04,160,126
2020-08-05,174,111
2020-08-06,179,106
2020-08-07,166,119
2020-08-08,167,118
2020-08-09,161,125
2020-08-10,168,118
2020-08-11,164,122
2020-08-12,163,123
2020-08-13,170,116
2020-08-14,170,107
2020-08-15,161,116
2020-08-16,156,130
2020-08-17,156,130
2020-08-18,167,119
2020-08-19,173,113
2020-08-20,168,118
2020-08-21,166,120
2020-08-22,165,121
2020-08-23,150,136
2020-08-24,155,131
2020-08-25,175,111
2020-08-26,170,116
2020-08-27,166,120
2020-08-28,165,121
2020-08-29,162,124
2020-08-30,158,128
2020-08-31,160,126
2020-09-01,160,126
2020-09-02,177,109
2020-09-03,182,104
2020-09-04,178,108
2020-09-05,182,105
2020-09-06,168,119
2020-09-07,169,118
2020-09-08,164,123
2020-09-09,174,113
2020-09-10,181,106
2020-09-11,181,106
2020-09-12,180,107
2020-09-13,173,114
2020-09-14,175,112
2020-09-15,179,108
2020-09-16,175,112
2020-09-17,176,111
2020-09-18,166,121
2020-09-19,174,113
2020-09-20,161,126
2020-09-21,165,122
2020-09-22,175,112
2020-09-23,176,111
2020-09-24,168,119
2020-09-25,184,103
2020-09-26,162,125
2020-09-27,174,113
2020-09-28,169,118
2020-09-29,178,109
2020-09-30,180,107
2020-10-01,176,111
2020-10-02,178,109
2020-10-03,178,109
2020-10-04,170,117
2020-10-05,166,121
2020-10-06,178,109
2020-10-07,174,113
2020-10-08,169,118
2020-10-09,170,117
2020-10-10,170,117
2020-10-11,163,124
2020-10-12,156,131
2020-10-13,158,129
2020-10-14,168,119
2020-10-15,158,129
2020-10-16,165,122
2020-10-17,167,120
2020-10-18,158,129
2020-10-19,159,128
2020-10-20,163,124
2020-10-21,167,120
2020-10-22,172,115
2020-10-23,166,121
2020-10-24,172,115
2020-10-25,163,124
2020-10-26,157,130
2020-10-27,171,116
2020-10-28,163,124
2020-10-29,170,117
2020-10-30,163,124
2020-10-31,160,127
2020-11-01,165,122
2020-11-02,146,54
2020-11-03,144,55
2020-11-04,156,40
2020-11-05,163,30
2020-11-06,152,41
2020-11-07,161,34
2020-11-08,154,42
2020-11-09,145,52
2020-11-10,157,44
2020-11-11,159,40
2020-11-12,165,35
2020-11-13,159,38
2020-11-14,156,47
2020-11-15,153,42
2020-11-16,153,46
2020-11-17,151,48
2020-11-18,148,49
2020-11-19,151,43
2020-11-20,149,40
2020-11-21,153,43
2020-11-22,159,42
2020-11-23,151,45
2020-11-24,160,35
2020-11-25,163,34
2020-11-26,173,29
2020-11-27,172,28
2020-11-28,170,30
2020-11-29,168,30
2020-11-30,168,30
2020-12-01,174,31
2020-12-02,173,27
2020-12-03,168,31
2020-12-04,173,29
2020-12-05,172,27
2020-12-06,158,42
2020-12-07,154,43
2020-12-08,162,35
2020-12-09,166,31
2020-12-10,166,27
2020-12-11,156,32
2020-12-12,161,27
2020-12-13,160,30
2020-12-14,150,35
2020-12-15,156,35
