date,betten_belegt,betten_frei
2020-04-24,17,9
2020-04-25,18,8
2020-04-26,17,9
2020-04-27,19,7
2020-04-28,16,9
2020-04-29,16,9
2020-04-30,18,6
2020-05-01,17,6
2020-05-02,23,1
2020-05-03,20,4
2020-05-04,15,9
2020-05-05,14,10
2020-05-06,16,8
2020-05-07,15,9
2020-05-08,14,10
2020-05-09,15,9
2020-05-10,14,9
2020-05-11,15,9
2020-05-12,14,10
2020-05-13,19,4
2020-05-14,17,5
2020-05-15,13,9
2020-05-16,13,10
2020-05-17,16,7
2020-05-18,15,8
2020-05-19,14,9
2020-05-20,16,7
2020-05-21,16,7
2020-05-22,14,9
2020-05-23,14,9
2020-05-24,14,10
2020-05-25,12,12
2020-05-26,15,9
2020-05-27,15,9
2020-05-28,17,7
2020-05-29,17,7
2020-05-30,15,9
2020-05-31,17,7
2020-06-01,18,6
2020-06-02,20,4
2020-06-03,20,4
2020-06-04,20,4
2020-06-05,17,7
2020-06-06,17,7
2020-06-07,14,10
2020-06-08,19,5
2020-06-09,16,8
2020-06-10,19,5
2020-06-11,20,4
2020-06-12,17,7
2020-06-13,17,7
2020-06-14,19,5
2020-06-15,17,7
2020-06-16,20,4
2020-06-17,17,7
2020-06-18,21,3
2020-06-19,18,6
2020-06-20,20,4
2020-06-21,20,2
2020-06-22,17,7
2020-06-23,15,9
2020-06-24,16,8
2020-06-25,15,9
2020-06-26,17,7
2020-06-27,19,5
2020-06-28,18,6
2020-06-29,19,5
2020-06-30,19,5
2020-07-01,16,8
2020-07-02,14,10
2020-07-03,16,8
2020-07-04,13,11
2020-07-05,15,9
2020-07-06,15,9
2020-07-07,15,9
2020-07-08,20,4
2020-07-09,16,8
2020-07-10,17,7
2020-07-11,20,4
2020-07-12,14,10
2020-07-13,19,5
2020-07-14,18,6
2020-07-15,16,8
2020-07-16,14,10
2020-07-17,16,8
2020-07-18,15,9
2020-07-19,22,2
2020-07-20,19,4
2020-07-21,14,10
2020-07-22,16,9
2020-07-23,19,5
2020-07-24,16,8
2020-07-25,16,8
2020-07-26,14,10
2020-07-27,14,10
2020-07-28,15,8
2020-07-29,16,7
2020-07-30,15,8
2020-07-31,17,7
2020-08-01,17,7
2020-08-02,17,7
2020-08-03,12,14
