date,betten_belegt,betten_frei
2020-04-24,14,20
2020-04-25,17,17
2020-04-26,15,19
2020-04-27,15,19
2020-04-28,12,22
2020-04-29,16,18
2020-04-30,14,20
2020-05-01,10,24
2020-05-02,10,24
2020-05-03,8,26
2020-05-04,12,22
2020-05-05,12,22
2020-05-06,8,26
2020-05-07,9,26
2020-05-08,9,25
2020-05-09,15,19
2020-05-10,14,20
2020-05-11,12,22
2020-05-12,15,19
2020-05-13,16,18
2020-05-14,15,19
2020-05-15,16,18
2020-05-16,16,18
2020-05-17,11,23
2020-05-18,14,20
2020-05-19,13,21
2020-05-20,11,23
2020-05-21,11,23
2020-05-22,6,28
2020-05-23,8,26
2020-05-24,9,25
2020-05-25,10,26
2020-05-26,8,28
2020-05-27,9,27
2020-05-28,12,24
2020-05-29,11,11
2020-05-30,12,10
2020-05-31,13,9
2020-06-01,14,8
2020-06-02,14,8
2020-06-03,13,10
2020-06-04,15,8
2020-06-05,15,7
2020-06-06,17,5
2020-06-07,12,10
2020-06-08,12,10
2020-06-09,14,8
2020-06-10,12,10
2020-06-11,13,9
2020-06-12,13,9
2020-06-13,13,10
2020-06-14,14,9
2020-06-15,15,8
2020-06-16,14,7
2020-06-17,16,5
2020-06-18,17,4
2020-06-19,14,7
2020-06-20,12,9
2020-06-21,13,8
2020-06-22,13,8
2020-06-23,11,10
2020-06-24,11,10
2020-06-25,11,10
2020-06-26,12,9
2020-06-27,15,6
2020-06-28,12,9
2020-06-29,12,9
2020-06-30,15,6
2020-07-01,13,8
2020-07-02,10,11
2020-07-03,12,10
2020-07-04,11,10
2020-07-05,11,10
2020-07-06,13,8
2020-07-07,15,6
2020-07-08,13,8
2020-07-09,15,6
2020-07-10,13,8
2020-07-11,17,4
2020-07-12,12,4
2020-07-13,13,8
2020-07-14,14,9
2020-07-15,16,5
2020-07-16,14,7
2020-07-17,17,4
2020-07-18,17,4
2020-07-19,17,4
2020-07-20,17,4
2020-07-21,17,4
2020-07-22,15,6
2020-07-23,15,6
2020-07-24,13,11
2020-07-25,16,11
2020-07-26,17,11
2020-07-27,16,5
2020-07-28,18,3
2020-07-29,17,4
2020-07-30,13,8
2020-07-31,18,3
2020-08-01,14,7
2020-08-02,12,9
2020-08-03,10,11
2020-08-04,14,6
2020-08-05,11,9
2020-08-06,13,7
2020-08-07,15,5
2020-08-08,17,3
2020-08-09,11,9
2020-08-10,13,7
2020-08-11,17,3
2020-08-12,12,8
2020-08-13,14,6
2020-08-14,13,7
2020-08-15,16,4
2020-08-16,15,5
2020-08-17,15,5
2020-08-18,16,4
2020-08-19,15,5
2020-08-20,12,8
2020-08-21,13,7
2020-08-22,15,5
2020-08-23,11,9
2020-08-24,16,4
2020-08-25,15,5
2020-08-26,12,8
2020-08-27,15,5
2020-08-28,15,5
2020-08-29,14,6
2020-08-30,14,6
2020-08-31,14,6
2020-09-01,15,5
2020-09-02,13,7
2020-09-03,16,4
2020-09-04,16,4
2020-09-05,16,4
2020-09-06,16,4
2020-09-07,10,10
2020-09-08,10,10
2020-09-09,12,8
2020-09-10,11,9
2020-09-11,16,4
2020-09-12,10,10
2020-09-13,10,10
2020-09-14,12,8
2020-09-15,14,6
2020-09-16,11,5
2020-09-17,12,8
2020-09-18,14,6
2020-09-19,12,8
2020-09-20,12,8
2020-09-21,14,6
2020-09-22,14,6
2020-09-23,14,6
2020-09-24,13,7
2020-09-25,14,6
2020-09-26,15,5
2020-09-27,16,4
2020-09-28,14,6
2020-09-29,13,7
2020-09-30,13,7
2020-10-01,11,9
2020-10-02,10,10
2020-10-03,13,1
2020-10-04,13,1
2020-10-05,11,5
2020-10-06,11,5
2020-10-07,11,5
2020-10-08,13,3
2020-10-09,12,4
2020-10-10,10,6
2020-10-11,12,4
2020-10-12,12,4
2020-10-13,12,4
2020-10-14,14,2
2020-10-15,15,1
2020-10-16,12,1
2020-10-17,13,4
2020-10-18,13,4
2020-10-19,13,4
2020-10-20,10,6
2020-10-21,11,4
2020-10-22,11,4
2020-10-23,11,4
2020-10-24,11,4
2020-10-25,12,3
2020-10-26,11,4
2020-10-27,12,3
2020-10-28,11,4
2020-10-29,8,7
2020-10-30,12,3
2020-10-31,12,3
2020-11-01,8,7
2020-11-02,9,10
2020-11-03,11,8
2020-11-04,10,9
2020-11-05,12,7
2020-11-06,11,8
2020-11-07,10,9
2020-11-08,10,9
2020-11-09,14,6
2020-11-10,16,4
2020-11-11,14,6
2020-11-12,15,5
2020-11-13,16,4
2020-11-14,12,8
2020-11-15,15,5
2020-11-16,13,7
2020-11-17,14,6
2020-11-18,13,7
2020-11-19,13,3
2020-11-20,13,3
2020-11-21,13,3
2020-11-22,10,6
2020-11-23,12,4
2020-11-24,11,5
2020-11-25,13,3
2020-11-26,13,3
2020-11-27,14,2
2020-11-28,13,1
2020-11-29,14,0
2020-11-30,13,1
2020-12-01,13,2
2020-12-02,14,1
2020-12-03,13,1
2020-12-04,13,3
2020-12-05,12,4
2020-12-06,11,5
2020-12-07,13,3
2020-12-08,14,2
2020-12-09,13,3
2020-12-10,11,5
2020-12-11,15,1
2020-12-12,14,0
2020-12-13,14,0
2020-12-14,14,0
2020-12-15,13,1
2020-12-16,16,0
2020-12-17,15,1
2020-12-18,14,2
2020-12-19,14,2
2020-12-20,11,5
2020-12-21,10,6
2020-12-22,11,5
2020-12-23,13,3
2020-12-24,11,5
2020-12-25,13,3
2020-12-26,14,2
2020-12-27,18,2
2020-12-28,17,3
2020-12-29,20,0
2020-12-30,18,2
2020-12-31,17,3
2021-01-01,16,4
2021-01-02,12,3
2021-01-03,14,4
2021-01-04,15,4
2021-01-05,18,4
2021-01-06,16,4
2021-01-07,15,3
2021-01-08,15,3
2021-01-09,19,1
2021-01-10,18,2
2021-01-11,17,3
2021-01-12,15,5
2021-01-13,17,3
2021-01-14,19,1
2021-01-15,19,3
2021-01-16,18,4
2021-01-17,18,4
2021-01-18,19,3
2021-01-19,18,4
2021-01-20,19,3
2021-01-21,21,1
2021-01-22,20,2
2021-01-23,21,1
2021-01-24,21,1
2021-01-25,18,4
2021-01-26,18,4
2021-01-27,20,2
2021-01-28,19,3
2021-01-29,20,2
2021-01-30,16,0
2021-01-31,16,0
2021-02-01,16,0
2021-02-02,14,2
2021-02-03,16,0
2021-02-04,12,4
2021-02-05,16,0
2021-02-06,14,2
2021-02-07,16,0
2021-02-08,13,3
2021-02-09,15,1
2021-02-10,13,3
2021-02-11,15,1
2021-02-12,13,3
2021-02-13,14,2
2021-02-14,12,4
2021-02-15,12,4
2021-02-16,11,5
2021-02-17,13,3
2021-02-18,13,3
2021-02-19,15,1
2021-02-20,12,4
2021-02-21,15,1
2021-02-22,10,6
2021-02-23,12,4
2021-02-24,11,5
2021-02-25,7,9
2021-02-26,12,4
2021-02-27,12,4
2021-02-28,11,5
2021-03-01,9,7
2021-03-02,15,1
2021-03-03,11,5
2021-03-04,11,5
2021-03-05,11,5
2021-03-06,11,5
2021-03-07,9,7
2021-03-08,11,5
2021-03-09,12,4
2021-03-10,13,3
2021-03-11,13,3
2021-03-12,13,3
2021-03-13,13,3
2021-03-14,9,7
2021-03-15,6,10
2021-03-16,7,9
2021-03-17,8,8
2021-03-18,9,7
2021-03-19,8,8
2021-03-20,9,7
2021-03-21,10,6
2021-03-22,7,9
2021-03-23,14,2
2021-03-24,14,6
2021-03-25,12,8
2021-03-26,16,4
2021-03-27,18,2
2021-03-28,19,1
2021-03-29,17,1
2021-03-30,14,4
