date,betten_belegt,betten_frei
2020-04-24,62,48
2020-04-25,57,41
2020-04-26,49,54
2020-04-27,51,51
2020-04-28,55,46
2020-04-29,48,53
2020-04-30,52,53
2020-05-01,60,46
2020-05-02,60,48
2020-05-03,54,51
2020-05-04,54,52
2020-05-05,50,55
2020-05-06,58,49
2020-05-07,55,47
2020-05-08,61,40
2020-05-09,51,48
2020-05-10,46,52
2020-05-11,43,56
2020-05-12,50,49
2020-05-13,56,47
2020-05-14,47,50
2020-05-15,60,38
2020-05-16,59,39
2020-05-17,64,37
2020-05-18,58,41
2020-05-19,58,41
2020-05-20,54,44
2020-05-21,54,39
2020-05-22,56,39
2020-05-23,48,47
2020-05-24,50,45
2020-05-25,71,46
2020-05-26,75,42
2020-05-27,76,40
2020-05-28,79,35
2020-05-29,71,47
2020-05-30,82,37
2020-05-31,81,39
2020-06-01,82,38
2020-06-02,87,33
2020-06-03,78,33
2020-06-04,74,40
2020-06-05,76,41
2020-06-06,77,42
2020-06-07,85,41
2020-06-08,79,38
2020-06-09,76,41
2020-06-10,83,35
2020-06-11,84,34
2020-06-12,79,39
2020-06-13,77,40
2020-06-14,69,48
2020-06-15,75,43
2020-06-16,81,37
2020-06-17,72,45
2020-06-18,75,41
2020-06-19,84,32
2020-06-20,92,26
2020-06-21,91,29
2020-06-22,77,41
2020-06-23,81,38
2020-06-24,82,36
2020-06-25,80,38
2020-06-26,86,40
2020-06-27,85,41
2020-06-28,69,47
2020-06-29,81,44
2020-06-30,75,45
2020-07-01,80,38
2020-07-02,89,31
2020-07-03,85,35
2020-07-04,79,38
2020-07-05,78,40
2020-07-06,77,40
2020-07-07,76,41
2020-07-08,78,41
2020-07-09,74,45
2020-07-10,71,47
2020-07-11,70,56
2020-07-12,66,59
2020-07-13,67,52
2020-07-14,70,50
2020-07-15,73,45
2020-07-16,77,39
2020-07-17,71,47
2020-07-18,79,48
2020-07-19,75,52
2020-07-20,72,56
2020-07-21,78,42
2020-07-22,80,38
2020-07-23,90,30
2020-07-24,86,34
2020-07-25,83,37
2020-07-26,77,42
2020-07-27,75,44
2020-07-28,88,30
2020-07-29,69,31
2020-07-30,71,29
2020-07-31,68,32
2020-08-01,76,25
2020-08-02,64,36
2020-08-03,79,48
2020-08-04,79,38
2020-08-05,76,41
2020-08-06,76,41
2020-08-07,78,39
2020-08-08,84,33
2020-08-09,80,37
2020-08-10,85,32
2020-08-11,79,38
2020-08-12,82,35
2020-08-13,78,39
2020-08-14,81,36
2020-08-15,73,44
2020-08-16,76,41
2020-08-17,74,43
2020-08-18,80,37
2020-08-19,82,35
2020-08-20,77,40
2020-08-21,75,42
2020-08-22,73,44
2020-08-23,83,34
2020-08-24,74,43
2020-08-25,82,35
2020-08-26,83,34
2020-08-27,82,35
2020-08-28,82,35
2020-08-29,81,36
2020-08-30,86,31
2020-08-31,79,38
2020-09-01,70,47
2020-09-02,79,38
2020-09-03,81,36
2020-09-04,75,42
2020-09-05,74,43
2020-09-06,80,37
2020-09-07,81,36
2020-09-08,76,41
2020-09-09,80,37
2020-09-10,76,41
2020-09-11,82,35
2020-09-12,76,41
2020-09-13,79,38
2020-09-14,75,42
2020-09-15,77,40
2020-09-16,80,37
2020-09-17,84,33
2020-09-18,80,37
2020-09-19,84,33
2020-09-20,85,30
2020-09-21,84,32
2020-09-22,78,38
2020-09-23,81,35
2020-09-24,77,40
2020-09-25,80,37
2020-09-26,86,31
2020-09-27,85,32
2020-09-28,73,44
2020-09-29,79,38
2020-09-30,89,28
2020-10-01,83,34
2020-10-02,79,38
2020-10-03,74,43
2020-10-04,75,42
2020-10-05,77,40
2020-10-06,75,42
2020-10-07,76,41
2020-10-08,77,40
2020-10-09,81,36
2020-10-10,86,31
2020-10-11,81,36
2020-10-12,79,38
2020-10-13,74,43
2020-10-14,72,45
2020-10-15,81,36
