date,betten_belegt,betten_frei
2020-04-24,35,37
2020-04-25,40,32
2020-04-26,37,35
2020-04-27,40,32
2020-04-28,36,40
2020-04-29,32,44
2020-04-30,34,32
2020-05-01,40,27
2020-05-02,37,32
2020-05-03,40,29
2020-05-04,34,35
2020-05-05,36,33
2020-05-06,46,26
2020-05-07,36,34
2020-05-08,27,42
2020-05-09,33,35
2020-05-10,30,39
2020-05-11,37,36
2020-05-12,37,36
2020-05-13,46,28
2020-05-14,41,42
2020-05-15,46,37
2020-05-16,49,30
2020-05-17,42,38
2020-05-18,43,41
2020-05-19,43,41
2020-05-20,51,29
2020-05-21,50,29
2020-05-22,44,39
2020-05-23,44,38
2020-05-24,43,39
2020-05-25,46,36
2020-05-26,46,36
2020-05-27,50,32
2020-05-28,45,37
2020-05-29,47,36
2020-05-30,42,40
2020-05-31,43,36
2020-06-01,45,34
2020-06-02,43,39
2020-06-03,45,38
2020-06-04,43,39
2020-06-05,45,36
2020-06-06,40,37
2020-06-07,40,36
2020-06-08,41,39
2020-06-09,46,34
2020-06-10,50,30
2020-06-11,51,27
2020-06-12,48,30
2020-06-13,52,26
2020-06-14,51,27
2020-06-15,49,29
2020-06-16,49,34
2020-06-17,47,36
2020-06-18,44,39
2020-06-19,44,39
2020-06-20,49,34
2020-06-21,42,37
2020-06-22,45,37
2020-06-23,48,35
2020-06-24,46,37
2020-06-25,53,30
2020-06-26,59,24
2020-06-27,54,28
2020-06-28,55,27
2020-06-29,54,30
2020-06-30,47,33
2020-07-01,52,29
2020-07-02,51,28
2020-07-03,53,25
2020-07-04,46,31
2020-07-05,44,33
2020-07-06,44,34
2020-07-07,44,37
2020-07-08,45,36
2020-07-09,49,30
2020-07-10,52,26
2020-07-11,46,30
2020-07-12,45,31
2020-07-13,38,42
2020-07-14,50,31
2020-07-15,47,32
2020-07-16,43,39
2020-07-17,47,34
2020-07-18,50,33
2020-07-19,46,37
2020-07-20,52,31
2020-07-21,46,37
2020-07-22,63,32
2020-07-23,68,28
2020-07-24,53,35
2020-07-25,49,43
2020-07-26,60,32
2020-07-27,62,34
2020-07-28,53,42
2020-07-29,54,42
2020-07-30,58,38
2020-07-31,54,42
2020-08-01,57,39
2020-08-02,52,40
2020-08-03,55,39
2020-08-04,56,38
2020-08-05,46,46
2020-08-06,46,46
2020-08-07,55,37
2020-08-08,60,32
2020-08-09,60,32
2020-08-10,60,32
2020-08-11,56,36
2020-08-12,50,32
2020-08-13,58,24
2020-08-14,54,28
2020-08-15,52,30
2020-08-16,47,35
2020-08-17,52,30
2020-08-18,68,25
2020-08-19,57,36
2020-08-20,62,31
2020-08-21,65,28
2020-08-22,63,30
2020-08-23,67,26
2020-08-24,67,26
2020-08-25,68,25
2020-08-26,64,29
2020-08-27,66,27
2020-08-28,67,26
2020-08-29,65,28
2020-08-30,69,24
2020-08-31,66,27
2020-09-01,59,34
2020-09-02,65,28
2020-09-03,61,32
2020-09-04,60,33
2020-09-05,62,31
2020-09-06,67,26
2020-09-07,55,38
2020-09-08,62,31
2020-09-09,53,40
2020-09-10,61,32
2020-09-11,60,33
2020-09-12,66,27
2020-09-13,59,34
2020-09-14,67,26
2020-09-15,62,31
2020-09-16,61,32
2020-09-17,60,33
2020-09-18,57,36
2020-09-19,57,36
2020-09-20,51,42
2020-09-21,52,41
2020-09-22,56,41
2020-09-23,48,49
2020-09-24,49,49
2020-09-25,52,46
2020-09-26,60,38
2020-09-27,62,36
2020-09-28,59,39
2020-09-29,50,48
2020-09-30,55,43
2020-10-01,57,41
2020-10-02,57,41
2020-10-03,58,40
2020-10-04,56,42
2020-10-05,56,42
2020-10-06,49,49
2020-10-07,55,43
2020-10-08,62,36
2020-10-09,63,35
2020-10-10,61,37
2020-10-11,59,39
2020-10-12,53,45
2020-10-13,47,51
2020-10-14,42,56
2020-10-15,50,48
2020-10-16,55,43
2020-10-17,54,44
2020-10-18,56,42
2020-10-19,62,36
2020-10-20,62,36
2020-10-21,45,42
2020-10-22,55,32
2020-10-23,62,25
2020-10-24,53,34
2020-10-25,54,33
2020-10-26,49,38
2020-10-27,54,33
2020-10-28,56,30
2020-10-29,49,37
2020-10-30,48,38
2020-10-31,45,41
2020-11-01,55,42
2020-11-02,55,43
2020-11-03,56,42
2020-11-04,53,45
2020-11-05,57,41
2020-11-06,61,37
2020-11-07,56,42
2020-11-08,53,45
2020-11-09,55,43
2020-11-10,51,47
2020-11-11,58,40
2020-11-12,57,41
2020-11-13,58,40
2020-11-14,59,39
2020-11-15,56,42
2020-11-16,61,37
2020-11-17,58,40
2020-11-18,58,40
2020-11-19,55,43
2020-11-20,51,47
2020-11-21,49,49
2020-11-22,58,40
2020-11-23,53,45
2020-11-24,61,37
2020-11-25,59,39
2020-11-26,61,37
2020-11-27,61,37
2020-11-28,60,35
2020-11-29,56,39
2020-11-30,58,37
2020-12-01,56,41
2020-12-02,56,42
2020-12-03,60,38
2020-12-04,63,35
2020-12-05,61,37
2020-12-06,56,42
2020-12-07,60,38
2020-12-08,60,42
2020-12-09,66,36
2020-12-10,62,29
2020-12-11,67,23
2020-12-12,70,20
2020-12-13,67,19
2020-12-14,69,17
2020-12-15,64,19
2020-12-16,63,20
2020-12-17,63,19
2020-12-18,62,17
2020-12-19,58,15
2020-12-20,58,15
2020-12-21,58,15
2020-12-22,55,18
2020-12-23,54,19
2020-12-24,55,21
2020-12-25,51,25
2020-12-26,62,18
2020-12-27,56,23
2020-12-28,56,24
2020-12-29,62,17
2020-12-30,59,12
2020-12-31,73,2
2021-01-01,61,7
2021-01-02,61,8
2021-01-03,59,9
2021-01-04,59,11
2021-01-05,57,13
2021-01-06,53,17
2021-01-07,60,11
2021-01-08,58,12
2021-01-09,61,9
2021-01-10,56,16
2021-01-11,59,15
2021-01-12,65,10
2021-01-13,56,19
2021-01-14,60,16
2021-01-15,66,11
2021-01-16,62,13
2021-01-17,65,10
2021-01-18,62,11
2021-01-19,69,5
2021-01-20,68,8
2021-01-21,66,10
2021-01-22,64,11
2021-01-23,65,8
2021-01-24,62,13
2021-01-25,63,14
2021-01-26,64,11
2021-01-27,64,13
2021-01-28,65,9
2021-01-29,60,10
2021-01-30,58,17
2021-01-31,57,17
2021-02-01,55,19
2021-02-02,60,15
2021-02-03,68,4
2021-02-04,66,6
2021-02-05,65,9
2021-02-06,66,8
2021-02-07,58,18
2021-02-08,64,7
2021-02-09,65,7
2021-02-10,64,9
2021-02-11,63,10
2021-02-12,62,10
2021-02-13,64,9
2021-02-14,62,9
2021-02-15,63,10
2021-02-16,60,13
2021-02-17,65,8
2021-02-18,61,13
2021-02-19,58,15
2021-02-20,55,17
2021-02-21,59,13
2021-02-22,62,11
2021-02-23,52,21
2021-02-24,51,21
2021-02-25,54,19
2021-02-26,55,16
2021-02-27,56,19
2021-02-28,63,16
2021-03-01,50,22
2021-03-02,52,20
2021-03-03,58,15
2021-03-04,57,18
2021-03-05,59,17
2021-03-06,62,14
2021-03-07,56,20
2021-03-08,57,17
2021-03-09,60,15
2021-03-10,58,18
2021-03-11,64,14
2021-03-12,61,14
2021-03-13,61,14
2021-03-14,59,17
2021-03-15,58,18
2021-03-16,59,16
2021-03-17,57,17
2021-03-18,65,11
2021-03-19,61,16
2021-03-20,63,15
2021-03-21,62,15
2021-03-22,57,20
2021-03-23,58,19
2021-03-24,60,15
2021-03-25,64,12
2021-03-26,62,13
2021-03-27,66,10
2021-03-28,66,10
2021-03-29,65,10
2021-03-30,65,10
2021-03-31,67,9
2021-04-01,70,6
2021-04-02,71,6
2021-04-03,73,5
2021-04-04,68,10
2021-04-05,69,9
2021-04-06,76,5
2021-04-07,71,10
2021-04-08,75,6
2021-04-09,69,8
2021-04-10,69,10
2021-04-11,65,15
2021-04-12,68,12
2021-04-13,70,10
2021-04-14,74,6
2021-04-15,72,8
2021-04-16,68,12
2021-04-17,67,14
2021-04-18,63,15
2021-04-19,68,14
2021-04-20,68,13
2021-04-21,67,13
2021-04-22,72,8
2021-04-23,70,12
2021-04-24,75,6
2021-04-25,76,3
2021-04-26,70,10
2021-04-27,71,8
2021-04-28,69,9
2021-04-29,67,12
2021-04-30,73,8
2021-05-01,72,10
2021-05-02,73,9
2021-05-03,74,8
2021-05-04,66,15
2021-05-05,66,16
2021-05-06,74,8
2021-05-07,69,10
2021-05-08,71,10
2021-05-09,63,15
2021-05-10,60,14
2021-05-11,69,5
2021-05-12,61,13
2021-05-13,61,13
2021-05-14,58,17
2021-05-15,54,17
2021-05-16,55,16
2021-05-17,60,14
2021-05-18,64,9
2021-05-19,68,6
2021-05-20,72,6
2021-05-21,70,8
2021-05-22,64,13
2021-05-23,68,12
2021-05-24,59,20
2021-05-25,65,15
2021-05-26,65,15
2021-05-27,63,16
2021-05-28,61,15
2021-05-29,65,11
2021-05-30,65,12
2021-05-31,59,20
2021-06-01,61,18
2021-06-02,61,18
2021-06-03,58,21
2021-06-04,60,20
2021-06-05,60,20
2021-06-06,57,21
2021-06-07,51,28
2021-06-08,57,24
2021-06-09,63,18
2021-06-10,56,25
2021-06-11,62,16
2021-06-12,67,11
2021-06-13,62,15
2021-06-14,63,14
2021-06-15,61,19
2021-06-16,59,19
2021-06-17,65,13
2021-06-18,67,12
2021-06-19,63,14
2021-06-20,59,18
2021-06-21,55,21
2021-06-22,58,19
2021-06-23,58,19
2021-06-24,62,14
2021-06-25,58,18
2021-06-26,59,17
2021-06-27,58,18
2021-06-28,61,14
2021-06-29,62,15
2021-06-30,65,11
2021-07-01,63,11
2021-07-02,58,17
2021-07-03,62,17
2021-07-04,65,14
2021-07-05,74,14
2021-07-06,75,13
2021-07-07,72,17
2021-07-08,64,17
2021-07-09,71,10
2021-07-10,73,7
2021-07-11,67,12
2021-07-12,70,11
2021-07-13,69,12
2021-07-14,67,17
2021-07-15,69,15
2021-07-16,63,19
2021-07-17,65,17
2021-07-18,66,16
2021-07-19,63,17
2021-07-20,63,16
2021-07-21,65,14
2021-07-22,61,19
2021-07-23,54,19
2021-07-24,57,16
2021-07-25,58,21
2021-07-26,50,29
2021-07-27,58,15
2021-07-28,52,21
2021-07-29,47,26
2021-07-30,48,25
2021-07-31,46,27
2021-08-01,48,25
2021-08-02,53,19
2021-08-03,56,16
