date,betten_belegt,betten_frei
2020-04-24,20,39
2020-04-25,17,42
2020-04-26,19,40
2020-04-27,19,40
2020-04-28,23,36
2020-04-29,22,37
2020-04-30,23,36
2020-05-01,25,34
2020-05-02,22,37
2020-05-03,21,38
2020-05-04,20,39
2020-05-05,21,38
2020-05-06,30,29
2020-05-07,25,34
2020-05-08,21,38
2020-05-09,25,34
2020-05-10,22,37
2020-05-11,22,37
2020-05-12,29,30
2020-05-13,33,26
2020-05-14,34,25
2020-05-15,31,28
2020-05-16,30,29
2020-05-17,28,31
2020-05-18,29,30
2020-05-19,24,35
2020-05-20,24,35
2020-05-21,30,29
2020-05-22,23,36
2020-05-23,26,33
2020-05-24,26,33
2020-05-25,24,35
2020-05-26,24,35
2020-05-27,25,34
2020-05-28,29,30
2020-05-29,29,30
2020-05-30,29,30
2020-05-31,25,34
2020-06-01,25,34
2020-06-02,23,36
2020-06-03,26,33
2020-06-04,26,33
2020-06-05,22,37
2020-06-06,21,38
2020-06-07,20,39
2020-06-08,22,37
2020-06-09,22,37
2020-06-10,26,33
2020-06-11,29,30
2020-06-12,23,36
2020-06-13,26,33
2020-06-14,30,31
2020-06-15,31,30
2020-06-16,35,25
2020-06-17,27,33
2020-06-18,34,27
2020-06-19,32,29
2020-06-20,36,25
2020-06-21,26,33
2020-06-22,29,32
2020-06-23,34,25
2020-06-24,30,29
2020-06-25,24,35
2020-06-26,23,36
2020-06-27,29,30
2020-06-28,25,34
2020-06-29,27,32
2020-06-30,26,33
2020-07-01,25,37
2020-07-02,35,27
2020-07-03,29,35
2020-07-04,29,35
2020-07-05,33,24
2020-07-06,30,25
2020-07-07,32,36
2020-07-08,31,37
2020-07-09,29,39
2020-07-10,28,40
2020-07-11,26,42
2020-07-12,25,43
2020-07-13,24,44
2020-07-14,26,42
2020-07-15,23,45
2020-07-16,25,43
2020-07-17,26,42
2020-07-18,28,40
2020-07-19,24,44
2020-07-20,22,46
2020-07-21,20,48
2020-07-22,23,45
2020-07-23,32,49
2020-07-24,29,52
2020-07-25,19,48
2020-07-26,18,49
2020-07-27,18,50
2020-07-28,19,51
2020-07-29,24,42
2020-07-30,25,45
2020-07-31,27,43
2020-08-01,28,38
2020-08-02,24,42
2020-08-03,27,39
2020-08-04,27,41
2020-08-05,31,35
2020-08-06,25,41
2020-08-07,27,39
2020-08-08,25,41
2020-08-09,23,43
2020-08-10,22,44
2020-08-11,29,37
2020-08-12,23,43
2020-08-13,21,45
2020-08-14,16,50
2020-08-15,14,52
2020-08-16,16,50
2020-08-17,13,53
2020-08-18,14,52
2020-08-19,20,46
2020-08-20,21,45
2020-08-21,23,43
2020-08-22,30,36
2020-08-23,22,44
2020-08-24,22,44
2020-08-25,26,40
2020-08-26,22,44
2020-08-27,25,41
2020-08-28,29,37
2020-08-29,28,38
2020-08-30,21,45
2020-08-31,26,40
2020-09-01,25,41
2020-09-02,24,42
2020-09-03,24,42
2020-09-04,28,38
2020-09-05,27,39
2020-09-06,27,39
2020-09-07,26,40
2020-09-08,22,44
2020-09-09,17,49
2020-09-10,19,47
2020-09-11,23,43
2020-09-12,21,45
2020-09-13,22,44
2020-09-14,21,45
2020-09-15,23,43
2020-09-16,29,37
2020-09-17,32,34
2020-09-18,27,39
2020-09-19,32,34
2020-09-20,31,35
2020-09-21,30,36
2020-09-22,32,34
2020-09-23,32,39
2020-09-24,35,36
2020-09-25,33,38
2020-09-26,31,40
2020-09-27,35,36
2020-09-28,29,42
2020-09-29,28,43
2020-09-30,32,39
2020-10-01,30,41
2020-10-02,28,43
2020-10-03,31,40
2020-10-04,26,45
2020-10-05,25,46
2020-10-06,22,49
2020-10-07,21,50
2020-10-08,21,50
2020-10-09,25,46
2020-10-10,30,41
2020-10-11,27,44
2020-10-12,23,48
2020-10-13,25,46
2020-10-14,25,46
2020-10-15,25,46
2020-10-16,20,51
2020-10-17,31,40
2020-10-18,31,40
2020-10-19,23,48
2020-10-20,27,44
2020-10-21,29,42
2020-10-22,26,38
2020-10-23,25,32
2020-10-24,24,33
2020-10-25,20,37
2020-10-26,20,37
2020-10-27,17,40
2020-10-28,21,36
2020-10-29,23,34
2020-10-30,25,32
2020-10-31,26,31
2020-11-01,22,35
2020-11-02,24,33
2020-11-03,26,17
2020-11-04,27,30
2020-11-05,26,31
2020-11-06,26,19
2020-11-07,27,13
2020-11-08,22,23
2020-11-09,18,27
2020-11-10,24,21
2020-11-11,25,16
2020-11-12,27,30
2020-11-13,25,16
2020-11-14,30,11
2020-11-15,25,32
2020-11-16,23,34
2020-11-17,28,13
2020-11-18,25,16
2020-11-19,24,17
2020-11-20,24,17
2020-11-21,27,14
2020-11-22,29,12
2020-11-23,26,15
2020-11-24,30,11
2020-11-25,26,15
2020-11-26,27,14
2020-11-27,25,16
2020-11-28,27,14
2020-11-29,25,16
2020-11-30,26,15
2020-12-01,28,13
2020-12-02,30,11
2020-12-03,29,12
2020-12-04,28,13
2020-12-05,33,8
2020-12-06,35,6
2020-12-07,33,8
2020-12-08,27,14
2020-12-09,29,12
2020-12-10,28,13
2020-12-11,29,12
2020-12-12,26,15
2020-12-13,29,12
2020-12-14,31,8
2020-12-15,33,7
2020-12-16,35,6
2020-12-17,35,4
2020-12-18,33,5
2020-12-19,34,4
2020-12-20,30,8
2020-12-21,33,5
2020-12-22,33,5
2020-12-23,33,5
2020-12-24,31,7
2020-12-25,31,7
2020-12-26,21,8
2020-12-27,20,9
2020-12-28,21,8
2020-12-29,26,3
2020-12-30,23,6
2020-12-31,22,7
2021-01-01,19,10
2021-01-02,29,6
2021-01-03,29,6
2021-01-04,32,4
2021-01-05,31,4
2021-01-06,35,2
2021-01-07,32,4
2021-01-08,33,2
2021-01-09,34,2
2021-01-10,31,4
2021-01-11,33,3
2021-01-12,38,1
2021-01-13,37,1
2021-01-14,37,1
2021-01-15,36,1
2021-01-16,34,3
2021-01-17,31,6
2021-01-18,34,5
2021-01-19,33,7
2021-01-20,33,7
2021-01-21,38,2
2021-01-22,39,2
2021-01-23,37,6
2021-01-24,36,7
2021-01-25,36,7
2021-01-26,36,7
2021-01-27,34,9
2021-01-28,38,5
2021-01-29,36,6
2021-01-30,27,15
2021-01-31,27,15
2021-02-01,27,15
2021-02-02,34,6
2021-02-03,33,3
2021-02-04,28,7
2021-02-05,27,9
2021-02-06,30,6
2021-02-07,26,10
2021-02-08,27,9
2021-02-09,28,7
2021-02-10,27,8
2021-02-11,26,9
2021-02-12,30,5
2021-02-13,23,12
2021-02-14,21,14
2021-02-15,24,11
2021-02-16,33,3
2021-02-17,33,2
2021-02-18,34,2
2021-02-19,35,1
2021-02-20,30,6
2021-02-21,29,7
2021-02-22,34,1
2021-02-23,33,2
2021-02-24,35,1
2021-02-25,30,5
2021-02-26,31,4
2021-02-27,28,7
2021-02-28,28,7
2021-03-01,28,7
2021-03-02,32,3
2021-03-03,31,4
2021-03-04,31,4
2021-03-05,32,3
2021-03-06,31,4
2021-03-07,31,4
2021-03-08,30,7
2021-03-09,32,5
2021-03-10,31,4
2021-03-11,32,3
2021-03-12,32,3
2021-03-13,26,9
2021-03-14,27,8
2021-03-15,29,7
2021-03-16,30,5
2021-03-17,32,3
2021-03-18,29,6
2021-03-19,28,7
2021-03-20,25,10
2021-03-21,23,12
2021-03-22,24,11
2021-03-23,31,4
2021-03-24,35,2
2021-03-25,36,1
2021-03-26,35,1
2021-03-27,36,2
2021-03-28,36,1
2021-03-29,36,1
2021-03-30,36,1
2021-03-31,36,1
2021-04-01,33,3
2021-04-02,31,4
2021-04-03,27,8
2021-04-04,27,8
2021-04-05,25,10
2021-04-06,25,10
2021-04-07,29,7
2021-04-08,31,5
2021-04-09,31,5
2021-04-10,30,7
2021-04-11,26,11
2021-04-12,32,5
2021-04-13,32,4
2021-04-14,30,6
2021-04-15,26,10
2021-04-16,29,6
2021-04-17,29,6
2021-04-18,26,9
2021-04-19,28,7
2021-04-20,32,4
2021-04-21,33,3
2021-04-22,33,3
2021-04-23,31,5
2021-04-24,31,5
2021-04-25,30,6
2021-04-26,35,2
2021-04-27,33,3
2021-04-28,32,3
2021-04-29,32,4
2021-04-30,34,5
2021-05-01,36,3
2021-05-02,35,4
2021-05-03,36,1
2021-05-04,34,3
2021-05-05,31,5
2021-05-06,31,5
2021-05-07,32,3
2021-05-08,27,8
2021-05-09,25,10
2021-05-10,33,2
2021-05-11,31,4
2021-05-12,32,3
2021-05-13,30,6
2021-05-14,29,6
2021-05-15,26,9
2021-05-16,26,9
2021-05-17,22,13
2021-05-18,26,9
2021-05-19,20,15
2021-05-20,22,13
2021-05-21,23,12
2021-05-22,30,5
2021-05-23,24,11
2021-05-24,29,6
2021-05-25,28,7
2021-05-26,27,8
2021-05-27,23,12
2021-05-28,25,10
2021-05-29,28,7
2021-05-30,23,12
2021-05-31,24,11
2021-06-01,27,8
2021-06-02,30,5
2021-06-03,29,6
2021-06-04,28,7
2021-06-05,21,14
2021-06-06,21,14
2021-06-07,25,11
2021-06-08,28,8
2021-06-09,29,7
2021-06-10,27,8
2021-06-11,28,7
2021-06-12,24,12
2021-06-13,23,13
2021-06-14,25,11
2021-06-15,24,11
2021-06-16,27,8
2021-06-17,28,7
2021-06-18,29,6
2021-06-19,29,7
2021-06-20,26,10
2021-06-21,29,7
2021-06-22,28,8
2021-06-23,26,9
2021-06-24,29,6
2021-06-25,28,7
2021-06-26,31,5
2021-06-27,32,5
2021-06-28,30,6
2021-06-29,30,6
2021-06-30,30,6
2021-07-01,29,6
2021-07-02,30,6
2021-07-03,25,11
2021-07-04,22,14
2021-07-05,20,16
2021-07-06,25,11
2021-07-07,21,15
2021-07-08,23,13
2021-07-09,19,17
2021-07-10,23,13
2021-07-11,22,14
2021-07-12,23,13
2021-07-13,26,10
2021-07-14,26,10
2021-07-15,24,12
2021-07-16,26,10
2021-07-17,29,7
2021-07-18,28,8
2021-07-19,27,9
2021-07-20,26,10
2021-07-21,26,10
2021-07-22,29,9
2021-07-23,26,10
2021-07-24,27,9
2021-07-25,27,9
2021-07-26,23,12
2021-07-27,25,10
2021-07-28,19,16
2021-07-29,22,13
2021-07-30,20,15
2021-07-31,20,15
2021-08-01,20,15
2021-08-02,21,14
2021-08-03,24,11
2021-08-04,24,11
2021-08-05,24,11
2021-08-06,24,11
2021-08-07,25,10
2021-08-08,23,12
2021-08-09,24,11
2021-08-10,24,11
2021-08-11,18,17
2021-08-12,23,12
2021-08-13,25,10
2021-08-14,24,11
2021-08-15,26,9
2021-08-16,31,5
2021-08-17,28,8
2021-08-18,24,11
2021-08-19,29,7
2021-08-20,26,10
2021-08-21,23,13
2021-08-22,24,12
2021-08-23,25,11
2021-08-24,26,10
2021-08-25,19,17
2021-08-26,27,9
2021-08-27,24,12
2021-08-28,24,12
2021-08-29,20,16
2021-08-30,23,13
2021-08-31,25,11
2021-09-01,29,7
2021-09-02,23,13
2021-09-03,29,7
2021-09-04,22,14
2021-09-05,22,14
