date,betten_belegt,betten_frei
2020-04-24,117,25
2020-04-25,116,25
2020-04-26,116,25
2020-04-27,121,25
2020-04-28,124,25
2020-04-29,128,25
2020-04-30,123,25
2020-05-01,124,25
2020-05-02,124,25
2020-05-03,124,25
2020-05-04,124,25
2020-05-05,130,25
2020-05-06,126,25
2020-05-07,131,25
2020-05-08,127,25
2020-05-09,117,25
2020-05-10,119,25
2020-05-11,118,25
2020-05-12,119,25
2020-05-13,117,25
2020-05-14,116,25
2020-05-15,117,25
2020-05-16,118,25
2020-05-17,118,25
2020-05-18,118,20
2020-05-19,119,20
2020-05-20,112,15
2020-05-21,112,15
2020-05-22,111,15
2020-05-23,111,15
2020-05-24,111,15
2020-05-25,112,15
2020-05-26,117,15
2020-05-27,117,15
2020-05-28,121,15
2020-05-29,115,15
2020-05-30,112,15
2020-05-31,112,15
2020-06-01,117,17
2020-06-02,118,9
2020-06-03,124,7
2020-06-04,124,7
2020-06-05,126,7
2020-06-06,125,7
2020-06-07,125,7
2020-06-08,123,9
2020-06-09,131,5
2020-06-10,128,5
2020-06-11,125,5
2020-06-12,126,3
2020-06-13,117,12
2020-06-14,118,6
2020-06-15,118,6
2020-06-16,117,7
2020-06-17,120,11
2020-06-18,119,12
2020-06-19,126,2
2020-06-20,126,2
2020-06-21,125,2
2020-06-22,124,2
2020-06-23,123,5
2020-06-24,123,5
2020-06-25,123,5
2020-06-26,116,3
2020-06-27,110,5
2020-06-28,116,2
2020-06-29,112,4
2020-06-30,116,4
2020-07-01,111,6
2020-07-02,112,7
2020-07-03,110,6
2020-07-04,111,6
2020-07-05,110,6
2020-07-06,110,6
2020-07-07,104,2
2020-07-08,112,3
2020-07-09,114,3
2020-07-10,116,3
2020-07-11,115,3
2020-07-12,114,3
2020-07-13,114,3
2020-07-14,114,3
2020-07-15,114,3
2020-07-16,116,3
2020-07-17,110,8
2020-07-18,110,8
2020-07-19,110,8
2020-07-20,117,11
2020-07-21,119,11
2020-07-22,120,11
2020-07-23,118,17
2020-07-24,112,28
2020-07-25,109,17
