date,betten_belegt,betten_frei
2020-04-24,71,43
2020-04-25,70,44
2020-04-26,69,45
2020-04-27,72,42
2020-04-28,73,41
2020-04-29,70,44
2020-04-30,68,46
2020-05-01,69,45
2020-05-02,63,51
2020-05-03,72,42
2020-05-04,69,45
2020-05-05,72,42
2020-05-06,75,53
2020-05-07,85,29
2020-05-08,82,32
2020-05-09,80,34
2020-05-10,79,35
2020-05-11,71,33
2020-05-12,68,36
2020-05-13,70,44
2020-05-14,88,26
2020-05-15,71,43
2020-05-16,66,48
2020-05-17,58,56
2020-05-18,68,46
2020-05-19,69,45
2020-05-20,64,50
2020-05-21,68,46
2020-05-22,62,52
2020-05-23,56,58
2020-05-24,59,55
2020-05-25,62,52
2020-05-26,62,52
2020-05-27,59,55
2020-05-28,69,45
2020-05-29,67,47
2020-05-30,68,46
2020-05-31,60,54
2020-06-01,57,57
2020-06-02,59,55
2020-06-03,69,45
2020-06-04,75,39
2020-06-05,65,49
2020-06-06,58,56
2020-06-07,67,47
2020-06-08,63,51
2020-06-09,66,48
2020-06-10,70,44
2020-06-11,70,44
2020-06-12,67,47
2020-06-13,64,50
2020-06-14,64,50
2020-06-15,61,53
2020-06-16,64,50
2020-06-17,58,56
2020-06-18,59,55
2020-06-19,59,55
2020-06-20,65,60
2020-06-21,75,58
2020-06-22,69,57
2020-06-23,81,45
2020-06-24,69,57
2020-06-25,76,50
2020-06-26,80,46
2020-06-27,71,56
2020-06-28,71,56
2020-06-29,78,49
2020-06-30,72,54
2020-07-01,76,50
2020-07-02,77,49
2020-07-03,81,46
2020-07-04,77,50
2020-07-05,76,51
2020-07-06,73,54
2020-07-07,77,50
2020-07-08,76,51
2020-07-09,74,53
2020-07-10,73,54
2020-07-11,70,57
2020-07-12,72,55
2020-07-13,71,56
2020-07-14,71,55
2020-07-15,83,43
2020-07-16,78,48
2020-07-17,75,51
2020-07-18,80,46
2020-07-19,83,43
2020-07-20,80,46
2020-07-21,79,46
2020-07-22,82,45
2020-07-23,70,57
2020-07-24,78,49
2020-07-25,74,53
2020-07-26,73,54
2020-07-27,78,50
2020-07-28,73,55
2020-07-29,79,49
2020-07-30,82,46
2020-07-31,84,43
2020-08-01,69,58
2020-08-02,66,61
2020-08-03,80,47
2020-08-04,90,22
2020-08-05,82,27
2020-08-06,76,28
2020-08-07,75,29
2020-08-08,71,33
2020-08-09,71,33
2020-08-10,68,36
2020-08-11,79,25
2020-08-12,74,30
2020-08-13,78,27
2020-08-14,76,29
2020-08-15,75,30
2020-08-16,75,30
2020-08-17,75,30
2020-08-18,86,18
2020-08-19,86,19
2020-08-20,84,21
2020-08-21,82,23
2020-08-22,79,26
2020-08-23,75,30
2020-08-24,78,27
2020-08-25,88,17
2020-08-26,78,27
2020-08-27,86,18
2020-08-28,75,29
2020-08-29,80,24
2020-08-30,79,25
2020-08-31,80,22
2020-09-01,80,22
2020-09-02,85,18
2020-09-03,85,19
2020-09-04,77,26
2020-09-05,82,23
2020-09-06,81,24
2020-09-07,81,23
2020-09-08,86,18
2020-09-09,85,19
2020-09-10,85,19
2020-09-11,83,21
2020-09-12,79,25
2020-09-13,81,23
2020-09-14,86,18
2020-09-15,80,24
2020-09-16,78,25
2020-09-17,81,23
2020-09-18,83,21
2020-09-19,87,17
2020-09-20,90,14
2020-09-21,90,14
2020-09-22,90,14
2020-09-23,94,10
2020-09-24,93,11
2020-09-25,93,11
2020-09-26,90,13
2020-09-27,86,17
2020-09-28,88,15
2020-09-29,93,10
2020-09-30,91,12
2020-10-01,92,11
2020-10-02,86,17
2020-10-03,86,17
2020-10-04,86,17
2020-10-05,86,17
2020-10-06,82,21
2020-10-07,87,16
2020-10-08,88,15
2020-10-09,85,18
2020-10-10,86,17
2020-10-11,83,20
2020-10-12,90,13
2020-10-13,83,20
2020-10-14,80,23
2020-10-15,85,18
2020-10-16,78,25
2020-10-17,83,20
2020-10-18,82,21
2020-10-19,87,16
2020-10-20,91,12
2020-10-21,86,17
2020-10-22,91,12
2020-10-23,84,19
2020-10-24,86,17
2020-10-25,92,11
2020-10-26,90,13
2020-10-27,91,12
2020-10-28,88,15
2020-10-29,89,14
2020-10-30,87,16
2020-10-31,86,17
2020-11-01,85,18
2020-11-02,89,15
2020-11-03,92,12
2020-11-04,92,15
2020-11-05,84,23
2020-11-06,80,27
2020-11-07,69,38
2020-11-08,69,38
2020-11-09,73,34
2020-11-10,82,23
2020-11-11,79,28
2020-11-12,85,22
2020-11-13,93,14
2020-11-14,92,15
2020-11-15,89,18
2020-11-16,89,18
