date,betten_belegt,betten_frei
2020-04-24,33,16
2020-04-25,32,17
2020-04-26,33,16
2020-04-27,31,18
2020-04-28,25,24
2020-04-29,29,20
2020-04-30,29,20
2020-05-01,31,18
2020-05-02,32,17
2020-05-03,28,21
2020-05-04,27,22
2020-05-05,26,23
2020-05-06,30,19
2020-05-07,28,21
2020-05-08,27,22
2020-05-09,23,26
2020-05-10,31,18
2020-05-11,27,22
2020-05-12,27,22
2020-05-13,28,21
2020-05-14,22,25
2020-05-15,28,19
2020-05-16,30,16
2020-05-17,26,20
2020-05-18,30,15
2020-05-19,29,16
2020-05-20,31,15
2020-05-21,30,16
2020-05-22,35,21
2020-05-23,20,26
2020-05-24,19,27
2020-05-25,20,26
2020-05-26,30,16
2020-05-27,31,18
2020-05-28,24,24
2020-05-29,29,20
2020-05-30,30,19
2020-05-31,29,20
2020-06-01,29,20
2020-06-02,31,18
2020-06-03,29,20
2020-06-04,27,20
2020-06-05,28,21
2020-06-06,25,24
2020-06-07,28,21
2020-06-08,28,21
2020-06-09,33,16
2020-06-10,32,17
2020-06-11,30,19
2020-06-12,29,20
2020-06-13,32,17
2020-06-14,32,17
2020-06-15,29,20
2020-06-16,27,22
2020-06-17,26,23
2020-06-18,19,30
2020-06-19,28,21
2020-06-20,33,16
2020-06-21,32,17
2020-06-22,30,19
2020-06-23,28,21
2020-06-24,26,23
2020-06-25,26,23
2020-06-26,27,22
2020-06-27,29,20
2020-06-28,25,24
2020-06-29,23,26
2020-06-30,30,19
2020-07-01,30,19
2020-07-02,27,19
2020-07-03,26,20
2020-07-04,31,15
2020-07-05,29,17
2020-07-06,30,16
2020-07-07,27,19
2020-07-08,29,17
2020-07-09,28,18
2020-07-10,30,16
2020-07-11,34,12
2020-07-12,27,19
2020-07-13,30,16
2020-07-14,32,14
2020-07-15,29,17
2020-07-16,26,20
2020-07-17,27,19
2020-07-18,28,18
2020-07-19,27,19
2020-07-20,23,23
2020-07-21,23,23
2020-07-22,27,19
2020-07-23,23,23
2020-07-24,24,22
2020-07-25,25,21
2020-07-26,26,20
2020-07-27,27,19
2020-07-28,26,20
2020-07-29,27,19
2020-07-30,22,24
2020-07-31,25,21
2020-08-01,26,20
2020-08-02,32,14
2020-08-03,28,18
2020-08-04,29,3
2020-08-05,27,5
2020-08-06,28,4
2020-08-07,28,4
2020-08-08,26,6
2020-08-09,27,5
2020-08-10,20,12
2020-08-11,26,6
2020-08-12,16,16
2020-08-13,20,12
2020-08-14,25,7
2020-08-15,22,10
2020-08-16,25,7
2020-08-17,25,7
2020-08-18,17,15
2020-08-19,24,8
2020-08-20,26,6
2020-08-21,23,9
2020-08-22,26,6
2020-08-23,28,4
2020-08-24,27,5
2020-08-25,25,7
2020-08-26,27,5
2020-08-27,21,11
2020-08-28,16,16
2020-08-29,16,16
2020-08-30,20,12
2020-08-31,25,7
2020-09-01,20,12
2020-09-02,20,12
2020-09-03,24,8
