date,betten_belegt,betten_frei
2020-04-24,67,138
2020-04-25,68,136
2020-04-26,59,143
2020-04-27,74,109
2020-04-28,80,107
2020-04-29,81,106
2020-04-30,78,108
2020-05-01,75,111
2020-05-02,69,117
2020-05-03,70,116
2020-05-04,63,105
2020-05-05,75,111
2020-05-06,75,111
2020-05-07,72,181
2020-05-08,77,174
2020-05-09,69,183
2020-05-10,69,182
2020-05-11,66,185
2020-05-12,60,191
2020-05-13,70,180
2020-05-14,87,163
2020-05-15,81,169
2020-05-16,80,170
2020-05-17,84,166
2020-05-18,92,158
2020-05-19,93,83
2020-05-20,91,85
2020-05-21,89,87
2020-05-22,86,90
2020-05-23,90,86
2020-05-24,91,85
2020-05-25,82,84
2020-05-26,79,87
2020-05-27,81,85
2020-05-28,85,77
2020-05-29,113,89
2020-05-30,110,91
2020-05-31,113,89
2020-06-01,96,106
2020-06-02,102,100
2020-06-03,106,109
2020-06-04,112,103
2020-06-05,109,104
2020-06-06,112,102
2020-06-07,111,103
2020-06-08,106,108
2020-06-09,109,105
2020-06-10,117,96
2020-06-11,113,101
2020-06-12,110,104
2020-06-13,107,105
2020-06-14,112,100
2020-06-15,117,94
2020-06-16,111,100
2020-06-17,109,105
2020-06-18,108,106
2020-06-19,106,108
2020-06-20,102,112
2020-06-21,100,114
2020-06-22,96,119
2020-06-23,96,119
2020-06-24,106,109
2020-06-25,112,103
2020-06-26,106,109
2020-06-27,112,103
2020-06-28,104,110
2020-06-29,103,111
2020-06-30,106,108
2020-07-01,115,100
2020-07-02,112,103
2020-07-03,109,106
2020-07-04,103,112
2020-07-05,109,106
2020-07-06,101,114
2020-07-07,104,111
2020-07-08,115,100
2020-07-09,120,95
2020-07-10,122,94
2020-07-11,108,107
2020-07-12,95,120
2020-07-13,107,108
2020-07-14,113,100
2020-07-15,116,98
2020-07-16,117,97
2020-07-17,110,104
2020-07-18,113,101
2020-07-19,108,106
2020-07-20,108,106
2020-07-21,107,105
2020-07-22,117,98
2020-07-23,106,109
2020-07-24,113,99
2020-07-25,105,107
2020-07-26,101,111
2020-07-27,105,104
2020-07-28,101,109
2020-07-29,104,90
2020-07-30,100,94
2020-07-31,96,97
2020-08-01,100,93
2020-08-02,100,91
2020-08-03,99,92
2020-08-04,102,78
2020-08-05,111,47
2020-08-06,112,46
2020-08-07,108,50
2020-08-08,103,55
2020-08-09,100,58
2020-08-10,99,59
2020-08-11,109,49
2020-08-12,109,49
2020-08-13,107,51
2020-08-14,122,36
2020-08-15,112,42
2020-08-16,110,48
2020-08-17,115,43
2020-08-18,117,41
2020-08-19,117,39
2020-08-20,119,39
2020-08-21,123,35
2020-08-22,119,39
2020-08-23,112,46
2020-08-24,112,46
2020-08-25,123,35
2020-08-26,118,40
2020-08-27,106,52
2020-08-28,110,49
2020-08-29,95,63
2020-08-30,96,63
2020-08-31,105,54
2020-09-01,106,53
2020-09-02,108,51
2020-09-03,105,54
2020-09-04,105,54
2020-09-05,98,61
2020-09-06,97,62
2020-09-07,100,59
2020-09-08,106,53
2020-09-09,93,56
2020-09-10,98,51
2020-09-11,113,36
2020-09-12,95,54
2020-09-13,92,57
2020-09-14,91,58
2020-09-15,100,45
2020-09-16,112,37
2020-09-17,116,33
2020-09-18,115,34
2020-09-19,117,32
2020-09-20,106,43
2020-09-21,103,46
2020-09-22,106,43
2020-09-23,106,43
2020-09-24,108,41
2020-09-25,105,38
2020-09-26,99,44
2020-09-27,97,46
2020-09-28,100,43
2020-09-29,97,46
2020-09-30,103,40
2020-10-01,102,41
2020-10-02,109,34
2020-10-03,109,34
2020-10-04,101,42
2020-10-05,99,44
2020-10-06,99,44
2020-10-07,96,47
2020-10-08,100,43
2020-10-09,96,47
2020-10-10,93,50
2020-10-11,86,57
2020-10-12,86,57
2020-10-13,91,52
2020-10-14,95,48
2020-10-15,96,47
2020-10-16,85,58
2020-10-17,85,58
2020-10-18,83,60
2020-10-19,87,56
2020-10-20,92,51
2020-10-21,94,42
2020-10-22,95,41
2020-10-23,109,27
2020-10-24,99,36
2020-10-25,98,34
2020-10-26,93,41
2020-10-27,98,10
2020-10-28,93,14
2020-10-29,98,11
2020-10-30,94,16
2020-10-31,91,21
2020-11-01,90,22
2020-11-02,93,20
2020-11-03,90,16
2020-11-04,96,13
2020-11-05,92,17
2020-11-06,91,21
2020-11-07,103,12
2020-11-08,96,18
2020-11-09,91,21
2020-11-10,93,17
2020-11-11,91,18
2020-11-12,103,13
2020-11-13,102,11
2020-11-14,99,16
2020-11-15,97,17
2020-11-16,101,14
2020-11-17,99,16
2020-11-18,100,14
2020-11-19,94,17
2020-11-20,100,10
2020-11-21,93,16
2020-11-22,89,20
2020-11-23,91,19
2020-11-24,98,13
2020-11-25,97,13
2020-11-26,97,13
2020-11-27,97,12
2020-11-28,94,11
2020-11-29,88,17
2020-11-30,87,18
2020-12-01,85,21
2020-12-02,90,16
2020-12-03,99,8
2020-12-04,93,14
2020-12-05,94,13
2020-12-06,97,15
2020-12-07,99,13
2020-12-08,97,14
2020-12-09,98,11
2020-12-10,92,17
2020-12-11,95,13
2020-12-12,89,19
2020-12-13,88,17
2020-12-14,94,10
2020-12-15,96,8
2020-12-16,94,13
2020-12-17,93,13
2020-12-18,99,11
2020-12-19,100,12
2020-12-20,96,11
2020-12-21,93,13
2020-12-22,92,14
2020-12-23,91,17
2020-12-24,82,20
2020-12-25,78,23
2020-12-26,79,22
2020-12-27,76,26
2020-12-28,83,22
2020-12-29,88,21
2020-12-30,90,20
2020-12-31,94,14
2021-01-01,89,18
2021-01-02,88,16
2021-01-03,89,19
2021-01-04,95,15
2021-01-05,96,17
2021-01-06,98,14
2021-01-07,104,10
2021-01-08,101,14
2021-01-09,95,18
2021-01-10,93,19
2021-01-11,97,20
2021-01-12,93,26
2021-01-13,95,20
2021-01-14,97,17
2021-01-15,96,17
2021-01-16,96,18
2021-01-17,84,28
2021-01-18,97,30
2021-01-19,99,27
2021-01-20,103,22
2021-01-21,103,20
2021-01-22,108,19
2021-01-23,111,17
2021-01-24,107,19
2021-01-25,104,18
2021-01-26,103,19
2021-01-27,104,18
2021-01-28,107,17
2021-01-29,100,23
2021-01-30,99,21
2021-01-31,101,20
2021-02-01,105,18
2021-02-02,113,16
2021-02-03,114,15
2021-02-04,114,16
2021-02-05,124,12
2021-02-06,110,15
2021-02-07,111,15
2021-02-08,111,17
2021-02-09,114,15
2021-02-10,116,13
2021-02-11,109,21
2021-02-12,110,20
2021-02-13,108,19
2021-02-14,114,14
2021-02-15,98,17
2021-02-16,102,18
2021-02-17,111,14
2021-02-18,106,19
2021-02-19,109,18
2021-02-20,107,17
2021-02-21,103,21
2021-02-22,110,15
2021-02-23,105,19
2021-02-24,107,15
2021-02-25,106,19
2021-02-26,113,14
2021-02-27,107,19
2021-02-28,106,22
2021-03-01,108,16
2021-03-02,106,16
2021-03-03,107,16
2021-03-04,114,7
2021-03-05,111,13
2021-03-06,114,11
2021-03-07,111,12
2021-03-08,117,10
2021-03-09,115,12
2021-03-10,107,18
2021-03-11,107,12
2021-03-12,113,10
2021-03-13,101,22
2021-03-14,104,19
2021-03-15,106,17
2021-03-16,109,16
2021-03-17,109,13
2021-03-18,113,7
2021-03-19,110,10
2021-03-20,109,11
2021-03-21,106,14
2021-03-22,110,11
2021-03-23,110,13
2021-03-24,108,16
2021-03-25,108,13
2021-03-26,111,12
2021-03-27,110,13
2021-03-28,107,15
2021-03-29,111,13
2021-03-30,111,14
2021-03-31,118,7
2021-04-01,109,10
2021-04-02,110,10
2021-04-03,109,11
2021-04-04,109,15
2021-04-05,106,17
2021-04-06,106,17
2021-04-07,104,19
2021-04-08,119,7
2021-04-09,111,11
2021-04-10,108,14
2021-04-11,114,11
2021-04-12,111,13
2021-04-13,112,11
