date,betten_belegt,betten_frei
2020-04-24,8,7
2020-04-25,6,9
2020-04-26,8,7
2020-04-27,7,8
2020-04-28,7,8
2020-04-29,7,8
2020-04-30,9,6
2020-05-01,9,6
2020-05-02,8,7
2020-05-03,5,10
2020-05-04,6,9
2020-05-05,5,10
2020-05-06,8,7
2020-05-07,5,10
2020-05-08,5,10
2020-05-09,3,14
2020-05-10,5,10
2020-05-11,5,10
2020-05-12,4,11
2020-05-13,9,6
2020-05-14,8,7
2020-05-15,5,10
2020-05-16,7,8
2020-05-17,8,7
2020-05-18,7,9
2020-05-19,8,7
2020-05-20,8,7
2020-05-21,7,8
2020-05-22,4,11
2020-05-23,3,12
2020-05-24,8,7
2020-05-25,6,9
2020-05-26,4,11
2020-05-27,6,9
2020-05-28,8,7
2020-05-29,6,9
2020-05-30,6,9
2020-05-31,6,9
2020-06-01,8,7
2020-06-02,7,8
2020-06-03,7,8
2020-06-04,8,7
2020-06-05,9,6
2020-06-06,9,6
2020-06-07,9,6
2020-06-08,8,7
2020-06-09,7,8
2020-06-10,9,6
2020-06-11,9,6
2020-06-12,8,7
2020-06-13,7,8
2020-06-14,4,11
2020-06-15,6,9
2020-06-16,8,7
2020-06-17,7,8
2020-06-18,10,5
2020-06-19,10,5
2020-06-20,9,6
2020-06-21,9,6
2020-06-22,8,7
2020-06-23,7,8
2020-06-24,8,7
2020-06-25,9,6
2020-06-26,10,5
2020-06-27,9,7
2020-06-28,9,8
2020-06-29,8,7
2020-06-30,8,7
2020-07-01,9,6
2020-07-02,10,5
2020-07-03,8,7
2020-07-04,8,7
2020-07-05,7,8
2020-07-06,9,6
2020-07-07,8,7
2020-07-08,10,5
2020-07-09,10,5
2020-07-10,9,6
2020-07-11,5,10
2020-07-12,6,6
2020-07-13,7,10
2020-07-14,8,7
2020-07-15,9,6
2020-07-16,9,6
2020-07-17,10,5
2020-07-18,10,5
2020-07-19,7,8
2020-07-20,7,8
2020-07-21,6,9
2020-07-22,10,5
2020-07-23,7,8
2020-07-24,9,6
2020-07-25,8,7
2020-07-26,7,8
2020-07-27,9,6
2020-07-28,9,6
2020-07-29,9,6
2020-07-30,7,8
2020-07-31,7,8
2020-08-01,10,5
2020-08-02,9,6
2020-08-03,5,10
2020-08-04,10,0
2020-08-05,8,2
2020-08-06,8,2
2020-08-07,9,1
2020-08-08,8,2
2020-08-09,6,4
2020-08-10,7,3
2020-08-11,6,4
2020-08-12,2,8
2020-08-13,8,2
2020-08-14,7,3
2020-08-15,7,3
