date,betten_belegt,betten_frei
2020-04-24,29,18
2020-04-25,27,20
2020-04-26,27,20
2020-04-27,23,24
2020-04-28,24,23
2020-04-29,26,21
2020-04-30,22,25
2020-05-01,23,24
2020-05-02,25,22
2020-05-03,22,26
2020-05-04,27,21
2020-05-05,23,25
2020-05-06,29,19
2020-05-07,30,18
2020-05-08,29,19
2020-05-09,29,19
2020-05-10,22,25
2020-05-11,22,26
2020-05-12,27,20
2020-05-13,25,22
2020-05-14,29,18
2020-05-15,24,23
2020-05-16,24,23
2020-05-17,25,22
2020-05-18,26,21
2020-05-19,28,20
2020-05-20,25,21
2020-05-21,24,23
2020-05-22,18,19
2020-05-23,23,21
2020-05-24,20,24
2020-05-25,12,26
2020-05-26,16,22
2020-05-27,10,28
2020-05-28,15,23
2020-05-29,11,30
2020-05-30,12,25
2020-05-31,11,29
2020-06-01,13,31
2020-06-02,13,25
2020-06-03,15,24
2020-06-04,19,34
2020-06-05,13,20
2020-06-06,17,21
2020-06-07,14,27
2020-06-08,17,24
2020-06-09,12,26
2020-06-10,12,26
2020-06-11,12,26
2020-06-12,11,25
2020-06-13,12,26
2020-06-14,12,26
2020-06-15,16,25
2020-06-16,12,27
2020-06-17,15,25
2020-06-18,12,29
2020-06-19,12,29
2020-06-20,11,28
2020-06-21,12,27
2020-06-22,9,29
2020-06-23,9,25
2020-06-24,12,36
2020-06-25,13,35
2020-06-26,18,23
2020-06-27,18,23
2020-06-28,19,20
2020-06-29,19,18
2020-06-30,19,21
2020-07-01,18,22
2020-07-02,18,23
2020-07-03,16,25
2020-07-04,18,22
2020-07-05,12,27
2020-07-06,16,23
2020-07-07,21,18
2020-07-08,21,17
2020-07-09,21,17
2020-07-10,19,19
2020-07-11,14,24
2020-07-12,13,25
2020-07-13,15,23
2020-07-14,19,19
2020-07-15,15,23
2020-07-16,13,25
2020-07-17,16,22
2020-07-18,17,21
2020-07-19,15,23
2020-07-20,13,27
2020-07-21,16,28
2020-07-22,13,27
2020-07-23,11,29
2020-07-24,15,25
2020-07-25,16,21
2020-07-26,17,22
2020-07-27,14,23
2020-07-28,15,22
2020-07-29,13,26
2020-07-30,16,24
2020-07-31,20,20
2020-08-01,18,20
2020-08-02,24,14
2020-08-03,22,17
2020-08-04,23,15
2020-08-05,22,16
2020-08-06,23,15
2020-08-07,20,18
2020-08-08,23,15
2020-08-09,16,22
2020-08-10,18,20
2020-08-11,21,17
2020-08-12,17,21
2020-08-13,15,23
2020-08-14,14,24
2020-08-15,15,23
2020-08-16,18,17
2020-08-17,15,15
2020-08-18,23,8
2020-08-19,17,21
2020-08-20,15,23
2020-08-21,17,21
2020-08-22,24,9
2020-08-23,21,13
2020-08-24,21,17
2020-08-25,18,15
2020-08-26,22,11
2020-08-27,14,19
2020-08-28,18,20
2020-08-29,21,17
2020-08-30,15,23
2020-08-31,21,17
2020-09-01,14,24
2020-09-02,18,20
2020-09-03,17,21
2020-09-04,14,24
2020-09-05,18,20
2020-09-06,18,20
2020-09-07,14,24
2020-09-08,20,18
2020-09-09,25,13
2020-09-10,21,17
2020-09-11,22,16
2020-09-12,20,18
2020-09-13,23,15
2020-09-14,25,13
2020-09-15,17,21
2020-09-16,20,18
2020-09-17,17,21
2020-09-18,15,23
2020-09-19,15,23
2020-09-20,14,24
