date,betten_belegt,betten_frei
2020-04-24,51,126
2020-04-25,51,126
2020-04-26,51,128
2020-04-27,49,132
2020-04-28,47,134
2020-04-29,45,136
2020-04-30,44,137
2020-05-01,41,140
2020-05-02,44,137
2020-05-03,61,120
2020-05-04,52,75
2020-05-05,58,69
2020-05-06,52,75
2020-05-07,54,73
2020-05-08,52,75
2020-05-09,53,72
2020-05-10,49,76
2020-05-11,48,77
2020-05-12,47,78
2020-05-13,49,76
2020-05-14,53,72
2020-05-15,56,69
2020-05-16,49,73
2020-05-17,47,75
2020-05-18,45,71
2020-05-19,57,59
2020-05-20,49,69
2020-05-21,65,53
2020-05-22,58,60
2020-05-23,40,78
2020-05-24,44,74
2020-05-25,58,60
2020-05-26,58,56
2020-05-27,62,58
2020-05-28,63,57
2020-05-29,59,61
2020-05-30,60,60
2020-05-31,59,61
2020-06-01,56,64
2020-06-02,59,61
2020-06-03,58,62
2020-06-04,60,60
2020-06-05,57,63
2020-06-06,57,63
2020-06-07,56,64
2020-06-08,52,68
2020-06-09,53,67
2020-06-10,41,79
2020-06-11,60,60
2020-06-12,61,59
2020-06-13,46,74
2020-06-14,52,68
2020-06-15,59,61
2020-06-16,57,63
2020-06-17,57,63
2020-06-18,58,62
2020-06-19,59,61
2020-06-20,58,62
2020-06-21,60,60
2020-06-22,59,61
2020-06-23,49,71
2020-06-24,62,58
2020-06-25,63,57
2020-06-26,61,59
2020-06-27,56,64
2020-06-28,55,65
2020-06-29,60,60
2020-06-30,61,59
2020-07-01,64,56
2020-07-02,65,55
2020-07-03,61,59
2020-07-04,61,59
2020-07-05,61,59
2020-07-06,61,59
2020-07-07,58,62
2020-07-08,60,60
2020-07-09,57,63
2020-07-10,57,63
2020-07-11,57,63
2020-07-12,57,63
2020-07-13,57,63
2020-07-14,60,60
2020-07-15,64,56
2020-07-16,56,64
2020-07-17,56,64
2020-07-18,56,64
2020-07-19,56,64
2020-07-20,56,64
2020-07-21,57,58
2020-07-22,59,56
2020-07-23,58,57
2020-07-24,58,57
2020-07-25,58,57
2020-07-26,58,57
2020-07-27,58,57
2020-07-28,66,49
2020-07-29,70,45
2020-07-30,62,53
2020-07-31,63,52
2020-08-01,63,52
2020-08-02,63,52
2020-08-03,58,57
2020-08-04,65,42
2020-08-05,58,49
2020-08-06,49,58
2020-08-07,53,54
2020-08-08,52,55
2020-08-09,54,53
2020-08-10,54,53
2020-08-11,63,44
2020-08-12,55,52
2020-08-13,58,49
2020-08-14,56,51
2020-08-15,57,50
2020-08-16,57,50
2020-08-17,57,48
2020-08-18,65,40
2020-08-19,64,41
2020-08-20,64,41
2020-08-21,65,40
2020-08-22,63,42
2020-08-23,63,42
2020-08-24,60,45
2020-08-25,58,47
2020-08-26,57,48
2020-08-27,57,48
2020-08-28,64,41
2020-08-29,62,43
2020-08-30,62,43
2020-08-31,77,28
2020-09-01,67,38
2020-09-02,65,40
2020-09-03,65,40
2020-09-04,62,43
2020-09-05,62,43
2020-09-06,59,46
2020-09-07,56,49
2020-09-08,59,46
2020-09-09,60,45
2020-09-10,62,43
2020-09-11,62,43
2020-09-12,62,43
2020-09-13,65,40
2020-09-14,62,43
2020-09-15,63,42
2020-09-16,63,42
2020-09-17,71,34
2020-09-18,66,39
2020-09-19,67,38
2020-09-20,67,38
2020-09-21,67,38
2020-09-22,70,35
2020-09-23,68,37
2020-09-24,65,40
2020-09-25,69,36
2020-09-26,67,38
2020-09-27,64,41
2020-09-28,64,41
2020-09-29,63,42
2020-09-30,61,44
2020-10-01,63,42
2020-10-02,69,36
2020-10-03,68,37
2020-10-04,64,41
2020-10-05,64,41
2020-10-06,73,32
2020-10-07,63,42
2020-10-08,68,37
2020-10-09,67,38
2020-10-10,78,27
2020-10-11,73,32
2020-10-12,66,39
2020-10-13,68,37
2020-10-14,68,37
2020-10-15,68,37
2020-10-16,57,42
2020-10-17,65,34
2020-10-18,58,41
2020-10-19,59,43
2020-10-20,63,39
2020-10-21,67,30
2020-10-22,67,30
2020-10-23,60,35
2020-10-24,61,34
2020-10-25,68,27
2020-10-26,71,23
2020-10-27,65,29
2020-10-28,64,30
2020-10-29,67,29
2020-10-30,62,32
2020-10-31,62,33
2020-11-01,56,39
2020-11-02,60,36
2020-11-03,62,34
2020-11-04,63,35
2020-11-05,65,33
2020-11-06,60,38
2020-11-07,59,39
2020-11-08,55,43
2020-11-09,53,45
2020-11-10,65,33
2020-11-11,64,34
2020-11-12,67,31
2020-11-13,61,37
2020-11-14,62,36
2020-11-15,65,33
2020-11-16,60,38
2020-11-17,63,35
2020-11-18,65,33
2020-11-19,74,24
2020-11-20,76,22
2020-11-21,75,21
2020-11-22,73,25
2020-11-23,75,23
2020-11-24,78,16
2020-11-25,75,19
2020-11-26,74,20
2020-11-27,84,14
2020-11-28,81,16
2020-11-29,75,22
2020-11-30,80,17
2020-12-01,81,16
2020-12-02,77,20
2020-12-03,78,19
2020-12-04,80,14
2020-12-05,79,16
2020-12-06,73,22
2020-12-07,75,22
2020-12-08,78,19
2020-12-09,79,18
2020-12-10,80,17
2020-12-11,78,19
2020-12-12,81,16
2020-12-13,74,23
2020-12-14,74,23
2020-12-15,76,18
2020-12-16,78,18
2020-12-17,75,21
2020-12-18,70,27
2020-12-19,76,21
2020-12-20,74,23
2020-12-21,73,24
2020-12-22,73,24
2020-12-23,69,28
2020-12-24,74,23
2020-12-25,73,24
2020-12-26,75,22
2020-12-27,73,24
2020-12-28,72,25
2020-12-29,78,19
2020-12-30,77,20
2020-12-31,73,24
2021-01-01,65,27
2021-01-02,68,24
2021-01-03,69,25
2021-01-04,70,24
2021-01-05,71,23
2021-01-06,71,23
2021-01-07,69,23
