date,betten_belegt,betten_frei
2020-04-24,61,79
2020-04-25,60,80
2020-04-26,61,79
2020-04-27,65,75
2020-04-28,60,81
2020-04-29,67,83
2020-04-30,61,89
2020-05-01,58,93
2020-05-02,61,91
2020-05-03,58,93
2020-05-04,60,92
2020-05-05,60,93
2020-05-06,65,87
2020-05-07,60,90
2020-05-08,51,99
2020-05-09,55,95
2020-05-10,57,93
2020-05-11,57,93
2020-05-12,54,96
2020-05-13,46,96
2020-05-14,47,95
2020-05-15,50,94
2020-05-16,53,91
2020-05-17,50,94
2020-05-18,44,100
2020-05-19,46,98
2020-05-20,45,99
2020-05-21,48,96
2020-05-22,42,102
2020-05-23,46,98
2020-05-24,39,105
2020-05-25,41,103
2020-05-26,40,104
2020-05-27,42,102
2020-05-28,41,102
2020-05-29,44,99
2020-05-30,48,95
2020-05-31,44,98
2020-06-01,46,72
2020-06-02,48,70
2020-06-03,35,83
2020-06-04,37,81
2020-06-05,35,83
2020-06-06,32,86
2020-06-07,34,84
2020-06-08,33,85
2020-06-09,31,88
2020-06-10,29,89
2020-06-11,29,89
2020-06-12,31,87
2020-06-13,27,91
2020-06-14,24,92
2020-06-15,24,94
2020-06-16,19,88
2020-06-17,32,88
2020-06-18,31,88
2020-06-19,29,93
2020-06-20,30,92
2020-06-21,36,84
2020-06-22,33,87
2020-06-23,36,84
2020-06-24,36,84
2020-06-25,37,84
2020-06-26,37,83
2020-06-27,34,86
2020-06-28,25,94
2020-06-29,34,86
2020-06-30,36,82
2020-07-01,30,88
2020-07-02,34,86
2020-07-03,35,85
2020-07-04,37,83
2020-07-05,39,81
2020-07-06,34,86
2020-07-07,34,86
2020-07-08,35,83
2020-07-09,33,85
2020-07-10,38,80
2020-07-11,25,91
2020-07-12,38,80
2020-07-13,42,76
2020-07-14,38,80
2020-07-15,40,78
2020-07-16,36,82
2020-07-17,35,83
2020-07-18,35,83
2020-07-19,36,82
2020-07-20,36,82
2020-07-21,35,83
2020-07-22,27,82
2020-07-23,31,87
2020-07-24,30,89
2020-07-25,34,85
2020-07-26,26,93
2020-07-27,26,93
2020-07-28,33,85
2020-07-29,31,87
2020-07-30,32,85
2020-07-31,37,81
2020-08-01,46,86
2020-08-02,31,101
2020-08-03,36,82
2020-08-04,59,91
2020-08-05,99,27
2020-08-06,92,34
2020-08-07,95,31
2020-08-08,90,36
2020-08-09,89,37
2020-08-10,92,34
2020-08-11,96,30
2020-08-12,104,22
2020-08-13,106,20
2020-08-14,103,23
2020-08-15,100,26
2020-08-16,92,34
2020-08-17,94,32
2020-08-18,97,29
2020-08-19,99,27
2020-08-20,97,29
2020-08-21,100,26
2020-08-22,111,15
2020-08-23,98,19
2020-08-24,95,27
2020-08-25,96,26
2020-08-26,93,33
2020-08-27,100,26
2020-08-28,100,14
2020-08-29,91,23
2020-08-30,89,21
2020-08-31,90,26
2020-09-01,108,18
2020-09-02,103,23
2020-09-03,104,22
2020-09-04,98,28
2020-09-05,97,26
2020-09-06,95,28
2020-09-07,95,28
2020-09-08,104,19
2020-09-09,104,19
2020-09-10,105,18
2020-09-11,103,20
2020-09-12,103,19
2020-09-13,97,24
2020-09-14,99,23
2020-09-15,104,16
2020-09-16,97,25
2020-09-17,100,22
2020-09-18,102,20
2020-09-19,100,22
2020-09-20,96,23
2020-09-21,97,27
2020-09-22,101,23
2020-09-23,101,21
2020-09-24,94,28
2020-09-25,95,27
2020-09-26,97,25
2020-09-27,97,25
2020-09-28,91,32
2020-09-29,91,32
2020-09-30,94,28
2020-10-01,96,26
2020-10-02,93,29
2020-10-03,90,28
2020-10-04,100,19
2020-10-05,91,33
2020-10-06,103,21
2020-10-07,99,24
2020-10-08,96,27
2020-10-09,93,30
2020-10-10,92,31
2020-10-11,90,32
2020-10-12,86,36
2020-10-13,89,34
2020-10-14,92,31
2020-10-15,88,34
2020-10-16,93,28
2020-10-17,89,31
2020-10-18,89,31
2020-10-19,85,37
2020-10-20,85,37
2020-10-21,76,48
2020-10-22,75,47
2020-10-23,85,36
2020-10-24,93,28
2020-10-25,84,37
2020-10-26,81,43
2020-10-27,98,26
2020-10-28,103,21
2020-10-29,99,25
2020-10-30,101,23
2020-10-31,95,25
2020-11-01,90,30
2020-11-02,92,28
2020-11-03,87,35
2020-11-04,97,25
2020-11-05,93,22
2020-11-06,96,19
2020-11-07,96,26
2020-11-08,81,39
2020-11-09,84,38
2020-11-10,83,39
2020-11-11,93,29
2020-11-12,91,31
2020-11-13,89,26
2020-11-14,92,23
2020-11-15,96,18
2020-11-16,96,18
2020-11-17,97,18
2020-11-18,99,16
2020-11-19,97,18
2020-11-20,86,27
2020-11-21,95,18
2020-11-22,93,20
2020-11-23,88,25
2020-11-24,94,21
2020-11-25,94,19
2020-11-26,97,16
2020-11-27,102,13
2020-11-28,100,13
2020-11-29,92,21
2020-11-30,92,21
2020-12-01,99,15
2020-12-02,101,13
2020-12-03,101,13
2020-12-04,105,15
2020-12-05,106,26
2020-12-06,97,27
2020-12-07,107,25
2020-12-08,109,23
2020-12-09,112,20
2020-12-10,114,18
2020-12-11,113,19
2020-12-12,109,23
2020-12-13,105,27
2020-12-14,114,18
2020-12-15,116,16
2020-12-16,117,15
2020-12-17,109,25
2020-12-18,109,23
2020-12-19,109,25
2020-12-20,104,34
2020-12-21,107,31
2020-12-22,115,23
2020-12-23,115,23
2020-12-24,105,28
2020-12-25,101,26
2020-12-26,97,30
2020-12-27,97,30
2020-12-28,99,28
2020-12-29,106,21
2020-12-30,105,20
2020-12-31,97,28
2021-01-01,100,25
2021-01-02,101,24
2021-01-03,101,24
2021-01-04,97,19
2021-01-05,99,28
2021-01-06,97,28
2021-01-07,93,27
2021-01-08,92,24
2021-01-09,88,27
2021-01-10,88,27
2021-01-11,87,28
2021-01-12,87,28
2021-01-13,88,27
2021-01-14,93,22
2021-01-15,86,29
2021-01-16,86,29
2021-01-17,83,32
2021-01-18,84,31
2021-01-19,86,29
2021-01-20,91,25
2021-01-21,91,25
2021-01-22,94,25
2021-01-23,97,23
2021-01-24,92,26
2021-01-25,97,21
2021-01-26,102,20
2021-01-27,97,23
2021-01-28,94,26
2021-01-29,96,24
2021-01-30,92,26
2021-01-31,99,21
2021-02-01,102,20
2021-02-02,97,27
2021-02-03,103,23
2021-02-04,101,25
2021-02-05,100,26
2021-02-06,88,38
2021-02-07,94,29
2021-02-08,94,20
2021-02-09,102,24
2021-02-10,102,17
2021-02-11,101,13
2021-02-12,98,16
2021-02-13,96,18
2021-02-14,95,19
2021-02-15,98,21
2021-02-16,101,18
2021-02-17,100,19
2021-02-18,106,13
2021-02-19,97,10
2021-02-20,95,12
2021-02-21,93,16
2021-02-22,97,14
2021-02-23,106,20
2021-02-24,103,16
2021-02-25,106,13
2021-02-26,102,24
2021-02-27,105,21
2021-02-28,97,27
2021-03-01,102,15
2021-03-02,105,14
2021-03-03,108,20
2021-03-04,108,20
2021-03-05,106,14
2021-03-06,94,26
2021-03-07,102,21
2021-03-08,98,21
2021-03-09,107,23
2021-03-10,108,22
2021-03-11,106,20
2021-03-12,105,21
2021-03-13,99,25
2021-03-14,98,25
2021-03-15,96,23
2021-03-16,103,21
2021-03-17,106,25
2021-03-18,103,21
2021-03-19,95,28
2021-03-20,99,24
2021-03-21,102,21
2021-03-22,99,24
2021-03-23,106,24
2021-03-24,105,25
2021-03-25,104,26
2021-03-26,108,22
2021-03-27,103,13
2021-03-28,95,21
2021-03-29,98,20
2021-03-30,100,23
2021-03-31,102,22
2021-04-01,102,21
2021-04-02,99,24
2021-04-03,103,20
2021-04-04,100,23
2021-04-05,102,21
2021-04-06,101,26
2021-04-07,102,26
2021-04-08,102,22
2021-04-09,98,27
2021-04-10,103,21
2021-04-11,101,22
2021-04-12,100,20
2021-04-13,103,26
2021-04-14,110,22
2021-04-15,108,23
2021-04-16,106,25
2021-04-17,107,22
2021-04-18,93,36
2021-04-19,98,24
2021-04-20,103,28
2021-04-21,106,25
2021-04-22,110,21
2021-04-23,104,18
2021-04-24,102,19
2021-04-25,103,17
2021-04-26,112,16
2021-04-27,102,21
2021-04-28,107,16
2021-04-29,108,19
2021-04-30,106,21
2021-05-01,109,17
2021-05-02,110,16
2021-05-03,106,21
