date,betten_belegt,betten_frei
2020-04-24,81,42
2020-04-25,77,71
2020-04-26,66,71
2020-04-27,60,61
2020-04-28,68,68
2020-04-29,80,69
2020-04-30,82,68
2020-05-01,78,68
2020-05-02,73,73
2020-05-03,74,67
2020-05-04,70,69
2020-05-05,79,61
2020-05-06,79,61
2020-05-07,82,57
2020-05-08,84,54
2020-05-09,82,56
2020-05-10,72,66
2020-05-11,72,66
2020-05-12,82,56
2020-05-13,84,62
2020-05-14,84,63
2020-05-15,82,64
2020-05-16,66,57
2020-05-17,67,73
2020-05-18,55,72
2020-05-19,60,59
2020-05-20,55,62
2020-05-21,71,46
2020-05-22,46,72
2020-05-23,50,79
2020-05-24,46,83
2020-05-25,44,86
2020-05-26,55,70
2020-05-27,62,64
2020-05-28,59,63
2020-05-29,56,66
2020-05-30,60,66
2020-05-31,44,81
2020-06-01,40,83
2020-06-02,36,82
2020-06-03,45,73
2020-06-04,54,66
2020-06-05,50,69
2020-06-06,47,69
2020-06-07,53,68
2020-06-08,48,71
2020-06-09,49,68
2020-06-10,57,63
2020-06-11,57,62
2020-06-12,57,62
2020-06-13,72,58
2020-06-14,74,56
2020-06-15,59,61
2020-06-16,56,63
2020-06-17,58,61
2020-06-18,59,62
2020-06-19,61,60
2020-06-20,63,55
2020-06-21,55,61
2020-06-22,57,61
2020-06-23,64,60
2020-06-24,61,61
2020-06-25,62,57
2020-06-26,60,59
2020-06-27,56,61
2020-06-28,63,65
2020-06-29,55,66
2020-06-30,58,64
2020-07-01,60,62
2020-07-02,54,68
2020-07-03,62,61
2020-07-04,51,69
2020-07-05,45,71
2020-07-06,55,66
2020-07-07,57,64
2020-07-08,58,63
2020-07-09,58,64
2020-07-10,56,66
2020-07-11,54,68
2020-07-12,48,65
2020-07-13,55,67
2020-07-14,54,68
2020-07-15,59,63
2020-07-16,60,62
2020-07-17,60,64
2020-07-18,51,76
2020-07-19,52,67
2020-07-20,54,65
2020-07-21,66,58
2020-07-22,61,62
2020-07-23,65,57
2020-07-24,65,56
2020-07-25,57,67
2020-07-26,58,70
2020-07-27,54,77
2020-07-28,61,70
2020-07-29,60,70
2020-07-30,49,76
2020-07-31,48,75
2020-08-01,48,74
2020-08-02,45,73
2020-08-03,61,68
2020-08-04,58,61
2020-08-05,61,62
2020-08-06,62,56
2020-08-07,65,53
2020-08-08,68,50
2020-08-09,65,51
2020-08-10,69,48
2020-08-11,70,47
2020-08-12,69,48
2020-08-13,69,54
2020-08-14,69,56
2020-08-15,62,63
2020-08-16,54,69
2020-08-17,68,57
2020-08-18,72,53
2020-08-19,72,55
2020-08-20,75,52
2020-08-21,79,44
2020-08-22,75,44
2020-08-23,77,42
2020-08-24,70,53
2020-08-25,74,51
2020-08-26,76,49
2020-08-27,73,52
2020-08-28,72,53
2020-08-29,75,48
2020-08-30,62,56
2020-08-31,68,56
2020-09-01,70,55
2020-09-02,72,53
2020-09-03,74,51
2020-09-04,69,52
2020-09-05,61,60
2020-09-06,60,61
2020-09-07,64,59
2020-09-08,74,51
2020-09-09,73,52
2020-09-10,78,47
2020-09-11,70,56
2020-09-12,72,47
2020-09-13,65,54
2020-09-14,65,60
2020-09-15,75,50
2020-09-16,76,49
2020-09-17,69,56
2020-09-18,71,48
2020-09-19,67,52
2020-09-20,61,56
2020-09-21,65,56
2020-09-22,70,51
2020-09-23,68,53
2020-09-24,65,56
2020-09-25,70,52
2020-09-26,61,58
2020-09-27,52,61
2020-09-28,66,48
2020-09-29,63,51
2020-09-30,65,55
2020-10-01,69,45
2020-10-02,65,49
2020-10-03,60,54
2020-10-04,57,54
2020-10-05,58,56
2020-10-06,66,48
2020-10-07,65,49
2020-10-08,65,49
2020-10-09,67,48
2020-10-10,59,57
2020-10-11,59,60
2020-10-12,64,58
2020-10-13,70,50
2020-10-14,69,55
2020-10-15,73,51
2020-10-16,75,49
2020-10-17,71,48
2020-10-18,65,54
2020-10-19,64,62
2020-10-20,68,58
2020-10-21,67,53
2020-10-22,73,51
2020-10-23,72,52
2020-10-24,69,51
2020-10-25,66,50
2020-10-26,73,44
2020-10-27,67,50
2020-10-28,71,46
2020-10-29,70,47
2020-10-30,66,51
2020-10-31,65,52
