date,betten_belegt,betten_frei
2020-04-24,30,20
2020-04-25,31,20
2020-04-26,27,23
2020-04-27,27,23
2020-04-28,28,22
2020-04-29,31,19
2020-04-30,26,24
2020-05-01,31,19
2020-05-02,28,22
2020-05-03,33,17
2020-05-04,33,17
2020-05-05,27,21
2020-05-06,29,19
2020-05-07,33,17
2020-05-08,32,18
2020-05-09,27,23
2020-05-10,22,28
2020-05-11,23,27
2020-05-12,21,24
2020-05-13,26,23
2020-05-14,24,25
2020-05-15,27,24
2020-05-16,23,25
2020-05-17,25,24
2020-05-18,26,24
2020-05-19,24,26
2020-05-20,25,26
2020-05-21,21,29
2020-05-22,21,29
2020-05-23,24,27
2020-05-24,25,26
2020-05-25,25,25
2020-05-26,28,22
2020-05-27,28,22
2020-05-28,23,27
2020-05-29,31,22
2020-05-30,29,21
2020-05-31,20,29
2020-06-01,20,31
2020-06-02,25,26
2020-06-03,28,25
2020-06-04,30,23
2020-06-05,29,25
2020-06-06,31,23
2020-06-07,29,26
2020-06-08,32,23
2020-06-09,31,24
2020-06-10,25,28
2020-06-11,29,24
2020-06-12,27,26
2020-06-13,27,27
2020-06-14,25,27
2020-06-15,23,32
2020-06-16,32,22
2020-06-17,31,22
2020-06-18,30,24
2020-06-19,26,28
2020-06-20,28,26
2020-06-21,26,27
2020-06-22,26,24
2020-06-23,32,21
2020-06-24,35,18
2020-06-25,32,21
2020-06-26,28,25
2020-06-27,29,24
2020-06-28,26,27
2020-06-29,27,27
2020-06-30,30,25
2020-07-01,31,21
2020-07-02,30,22
2020-07-03,33,20
2020-07-04,26,28
2020-07-05,28,25
2020-07-06,30,22
2020-07-07,32,22
2020-07-08,31,25
2020-07-09,27,27
2020-07-10,28,26
2020-07-11,28,24
2020-07-12,25,29
2020-07-13,42,29
2020-07-14,43,27
2020-07-15,40,30
2020-07-16,41,27
2020-07-17,49,23
2020-07-18,45,26
2020-07-19,44,27
2020-07-20,46,28
2020-07-21,49,25
2020-07-22,43,28
2020-07-23,48,24
2020-07-24,45,24
2020-07-25,38,28
2020-07-26,39,30
2020-07-27,40,29
2020-07-28,45,28
2020-07-29,55,28
2020-07-30,45,31
2020-07-31,48,30
2020-08-01,43,33
2020-08-02,45,34
2020-08-03,48,30
2020-08-04,58,11
2020-08-05,53,16
2020-08-06,53,14
2020-08-07,54,13
2020-08-08,47,20
2020-08-09,48,19
2020-08-10,43,24
2020-08-11,47,20
2020-08-12,54,13
2020-08-13,53,14
2020-08-14,56,11
2020-08-15,55,12
2020-08-16,51,15
2020-08-17,51,15
2020-08-18,56,13
2020-08-19,58,10
2020-08-20,58,10
2020-08-21,59,9
2020-08-22,55,14
2020-08-23,54,12
2020-08-24,53,18
2020-08-25,50,21
2020-08-26,48,23
2020-08-27,60,11
2020-08-28,59,12
2020-08-29,58,12
2020-08-30,57,13
2020-08-31,60,10
2020-09-01,59,13
2020-09-02,55,17
2020-09-03,55,17
2020-09-04,62,10
2020-09-05,53,17
2020-09-06,53,19
2020-09-07,58,15
2020-09-08,58,12
2020-09-09,57,16
2020-09-10,56,15
2020-09-11,57,12
2020-09-12,62,9
2020-09-13,60,14
2020-09-14,55,17
2020-09-15,57,18
2020-09-16,53,22
2020-09-17,60,15
2020-09-18,57,18
2020-09-19,53,22
2020-09-20,57,20
2020-09-21,54,23
2020-09-22,52,25
2020-09-23,58,19
2020-09-24,61,16
2020-09-25,59,18
2020-09-26,58,19
2020-09-27,54,23
2020-09-28,56,20
2020-09-29,57,18
2020-09-30,54,21
2020-10-01,56,19
2020-10-02,60,15
2020-10-03,55,19
2020-10-04,57,17
