date,betten_belegt,betten_frei
2020-04-24,68,45
2020-04-25,70,43
2020-04-26,74,36
2020-04-27,76,35
2020-04-28,86,33
2020-04-29,90,42
2020-04-30,83,51
2020-05-01,72,49
2020-05-02,65,42
2020-05-03,63,44
2020-05-04,63,45
2020-05-05,61,52
2020-05-06,75,52
2020-05-07,75,52
2020-05-08,77,52
2020-05-09,66,43
2020-05-10,88,54
2020-05-11,84,54
2020-05-12,78,42
2020-05-13,74,47
2020-05-14,74,48
2020-05-15,72,46
2020-05-16,74,44
2020-05-17,73,45
2020-05-18,73,45
2020-05-19,72,46
2020-05-20,73,45
2020-05-21,78,40
2020-05-22,68,47
2020-05-23,69,47
2020-05-24,70,46
2020-05-25,69,49
2020-05-26,73,45
2020-05-27,77,43
2020-05-28,67,51
2020-05-29,69,44
2020-05-30,70,44
2020-05-31,75,39
2020-06-01,68,43
2020-06-02,69,45
2020-06-03,73,46
2020-06-04,62,53
2020-06-05,64,52
2020-06-06,66,50
2020-06-07,68,45
2020-06-08,67,46
2020-06-09,74,40
2020-06-10,79,40
2020-06-11,80,34
2020-06-12,81,42
2020-06-13,83,40
2020-06-14,82,41
2020-06-15,79,44
2020-06-16,66,50
2020-06-17,64,53
2020-06-18,69,44
2020-06-19,66,41
2020-06-20,70,51
2020-06-21,77,48
2020-06-22,75,47
2020-06-23,76,46
2020-06-24,72,49
2020-06-25,78,45
2020-06-26,77,45
2020-06-27,90,50
2020-06-28,90,48
2020-06-29,89,48
2020-06-30,88,66
2020-07-01,83,55
2020-07-02,79,59
2020-07-03,78,63
2020-07-04,63,53
2020-07-05,73,72
2020-07-06,75,68
2020-07-07,70,73
2020-07-08,62,77
2020-07-09,62,76
2020-07-10,63,73
2020-07-11,68,70
2020-07-12,68,71
2020-07-13,69,69
2020-07-14,69,71
2020-07-15,80,63
2020-07-16,78,62
2020-07-17,78,61
2020-07-18,75,63
2020-07-19,75,66
2020-07-20,76,63
2020-07-21,76,67
2020-07-22,77,69
2020-07-23,78,66
2020-07-24,75,69
2020-07-25,89,69
2020-07-26,90,71
2020-07-27,85,70
2020-07-28,82,70
2020-07-29,85,74
2020-07-30,93,64
2020-07-31,91,66
2020-08-01,88,69
2020-08-02,89,68
2020-08-03,84,70
2020-08-04,81,64
2020-08-05,80,65
2020-08-06,74,71
2020-08-07,78,67
2020-08-08,78,67
2020-08-09,85,60
2020-08-10,80,65
2020-08-11,84,61
2020-08-12,84,61
2020-08-13,91,54
2020-08-14,87,58
2020-08-15,86,59
2020-08-16,82,63
2020-08-17,74,71
2020-08-18,78,67
2020-08-19,83,62
2020-08-20,86,54
2020-08-21,93,47
2020-08-22,94,46
2020-08-23,93,47
2020-08-24,86,59
2020-08-25,88,57
2020-08-26,88,57
2020-08-27,87,58
2020-08-28,86,59
2020-08-29,87,58
2020-08-30,86,59
2020-08-31,86,59
2020-09-01,89,54
2020-09-02,95,48
2020-09-03,91,48
2020-09-04,88,51
2020-09-05,87,52
2020-09-06,89,50
2020-09-07,95,44
2020-09-08,92,47
2020-09-09,88,51
2020-09-10,81,58
2020-09-11,89,50
2020-09-12,88,51
2020-09-13,89,50
2020-09-14,88,51
2020-09-15,96,43
2020-09-16,93,46
2020-09-17,101,38
2020-09-18,96,43
2020-09-19,93,46
2020-09-20,100,39
2020-09-21,98,41
2020-09-22,95,44
2020-09-23,98,41
2020-09-24,89,50
2020-09-25,98,41
2020-09-26,93,47
2020-09-27,93,41
2020-09-28,86,53
2020-09-29,90,49
2020-09-30,91,48
2020-10-01,89,50
2020-10-02,90,49
2020-10-03,93,46
2020-10-04,87,52
2020-10-05,88,51
2020-10-06,85,54
2020-10-07,90,49
2020-10-08,89,50
2020-10-09,89,50
2020-10-10,91,37
2020-10-11,78,49
2020-10-12,80,54
2020-10-13,93,41
2020-10-14,94,40
2020-10-15,96,43
2020-10-16,97,42
2020-10-17,97,42
2020-10-18,95,44
2020-10-19,93,46
2020-10-20,98,41
2020-10-21,92,47
2020-10-22,88,22
2020-10-23,86,23
2020-10-24,77,28
2020-10-25,72,33
2020-10-26,81,28
2020-10-27,81,28
2020-10-28,95,14
2020-10-29,91,18
2020-10-30,87,18
2020-10-31,88,17
2020-11-01,89,16
2020-11-02,91,14
2020-11-03,94,11
2020-11-04,97,8
2020-11-05,89,16
2020-11-06,88,17
2020-11-07,85,15
2020-11-08,81,19
2020-11-09,83,19
2020-11-10,80,22
2020-11-11,78,24
2020-11-12,76,26
2020-11-13,78,24
2020-11-14,78,24
2020-11-15,84,23
2020-11-16,90,19
2020-11-17,87,22
2020-11-18,87,22
2020-11-19,85,24
2020-11-20,89,20
2020-11-21,90,19
2020-11-22,81,28
2020-11-23,77,32
2020-11-24,73,31
2020-11-25,86,18
2020-11-26,79,25
2020-11-27,82,22
2020-11-28,82,22
2020-11-29,81,23
2020-11-30,75,29
2020-12-01,83,21
2020-12-02,85,19
2020-12-03,75,29
2020-12-04,77,27
2020-12-05,82,22
2020-12-06,82,22
2020-12-07,79,25
2020-12-08,82,22
2020-12-09,87,17
2020-12-10,91,13
2020-12-11,90,14
2020-12-12,86,18
2020-12-13,82,22
2020-12-14,85,19
2020-12-15,78,26
2020-12-16,71,33
2020-12-17,73,31
2020-12-18,81,23
2020-12-19,80,24
2020-12-20,78,26
2020-12-21,78,26
2020-12-22,84,20
2020-12-23,79,25
2020-12-24,78,26
2020-12-25,78,28
2020-12-26,85,21
2020-12-27,86,20
2020-12-28,84,20
2020-12-29,79,25
2020-12-30,81,23
2020-12-31,87,17
2021-01-01,85,19
2021-01-02,87,17
2021-01-03,86,18
2021-01-04,87,17
2021-01-05,92,12
2021-01-06,81,17
2021-01-07,83,15
2021-01-08,82,16
2021-01-09,79,19
2021-01-10,88,10
2021-01-11,85,13
2021-01-12,77,25
2021-01-13,79,23
2021-01-14,82,20
2021-01-15,84,18
2021-01-16,83,19
2021-01-17,81,21
2021-01-18,80,22
2021-01-19,80,22
2021-01-20,80,22
2021-01-21,80,22
2021-01-22,74,28
2021-01-23,78,24
2021-01-24,76,26
2021-01-25,74,28
2021-01-26,73,29
2021-01-27,80,24
2021-01-28,76,26
2021-01-29,79,23
2021-01-30,81,21
2021-01-31,78,24
2021-02-01,81,21
2021-02-02,84,18
2021-02-03,85,17
2021-02-04,76,26
2021-02-05,81,21
2021-02-06,84,18
2021-02-07,83,19
2021-02-08,83,22
2021-02-09,83,22
2021-02-10,82,23
2021-02-11,85,19
2021-02-12,86,18
2021-02-13,80,24
2021-02-14,79,25
2021-02-15,80,26
2021-02-16,80,26
2021-02-17,81,23
2021-02-18,88,16
2021-02-19,82,22
2021-02-20,83,21
2021-02-21,79,25
2021-02-22,82,22
2021-02-23,76,28
2021-02-24,79,25
2021-02-25,85,19
2021-02-26,87,17
2021-02-27,82,22
2021-02-28,79,25
2021-03-01,81,23
2021-03-02,84,20
2021-03-03,84,20
2021-03-04,86,18
2021-03-05,85,19
2021-03-06,90,14
2021-03-07,86,18
2021-03-08,84,22
2021-03-09,84,22
2021-03-10,84,22
2021-03-11,89,17
2021-03-12,88,18
2021-03-13,90,16
2021-03-14,86,18
2021-03-15,86,18
2021-03-16,83,21
2021-03-17,82,22
2021-03-18,81,23
2021-03-19,82,22
2021-03-20,87,17
2021-03-21,86,16
2021-03-22,92,12
2021-03-23,92,14
2021-03-24,90,14
2021-03-25,90,10
2021-03-26,91,9
2021-03-27,88,12
2021-03-28,85,15
2021-03-29,85,15
2021-03-30,87,14
2021-03-31,87,13
2021-04-01,86,14
2021-04-02,82,18
2021-04-03,82,18
2021-04-04,76,24
2021-04-05,80,18
2021-04-06,81,17
2021-04-07,83,15
2021-04-08,85,13
2021-04-09,84,14
2021-04-10,79,17
2021-04-11,82,12
2021-04-12,82,16
2021-04-13,83,15
2021-04-14,87,10
2021-04-15,87,10
2021-04-16,88,9
2021-04-17,82,15
2021-04-18,81,16
2021-04-19,80,16
2021-04-20,84,14
2021-04-21,76,22
2021-04-22,79,19
2021-04-23,75,23
2021-04-24,72,26
2021-04-25,70,28
2021-04-26,79,19
2021-04-27,77,23
2021-04-28,80,17
2021-04-29,84,16
2021-04-30,82,18
2021-05-01,83,17
2021-05-02,84,15
2021-05-03,83,15
2021-05-04,88,10
2021-05-05,88,10
2021-05-06,85,15
2021-05-07,81,19
