date,betten_belegt,betten_frei
2020-04-24,4,6
2020-04-25,7,3
2020-04-26,10,3
2020-04-27,8,5
2020-04-28,8,5
2020-04-29,4,9
2020-04-30,5,8
2020-05-01,6,7
2020-05-02,7,6
2020-05-03,7,6
2020-05-04,5,8
2020-05-05,7,6
2020-05-06,9,4
2020-05-07,7,6
2020-05-08,5,8
2020-05-09,3,10
2020-05-10,7,6
2020-05-11,10,3
2020-05-12,6,7
2020-05-13,8,5
2020-05-14,8,7
2020-05-15,6,7
2020-05-16,7,6
2020-05-17,5,8
2020-05-18,6,7
2020-05-19,6,7
2020-05-20,7,6
2020-05-21,7,6
2020-05-22,7,6
2020-05-23,7,6
2020-05-24,7,6
2020-05-25,11,2
2020-05-26,9,4
2020-05-27,8,5
2020-05-28,9,4
2020-05-29,4,7
2020-05-30,7,6
2020-05-31,6,7
2020-06-01,4,9
2020-06-02,3,10
2020-06-03,5,8
2020-06-04,7,6
2020-06-05,6,7
2020-06-06,6,7
2020-06-07,9,4
2020-06-08,8,5
2020-06-09,9,4
2020-06-10,5,8
2020-06-11,6,7
2020-06-12,6,7
2020-06-13,10,3
2020-06-14,9,4
2020-06-15,9,4
2020-06-16,9,4
2020-06-17,10,3
2020-06-18,5,8
2020-06-19,10,3
2020-06-20,8,5
2020-06-21,7,6
2020-06-22,10,3
2020-06-23,12,1
2020-06-24,12,1
2020-06-25,12,1
2020-06-26,12,1
2020-06-27,8,5
2020-06-28,8,5
2020-06-29,8,5
2020-06-30,6,7
2020-07-01,4,7
2020-07-02,10,3
2020-07-03,5,8
2020-07-04,9,4
2020-07-05,10,3
2020-07-06,6,7
2020-07-07,6,7
2020-07-08,5,8
2020-07-09,6,7
2020-07-10,4,9
2020-07-11,5,8
2020-07-12,9,4
2020-07-13,4,9
2020-07-14,5,8
2020-07-15,7,6
2020-07-16,7,6
2020-07-17,10,3
2020-07-18,9,4
2020-07-19,6,7
2020-07-20,8,5
2020-07-21,8,5
2020-07-22,9,4
2020-07-23,11,2
2020-07-24,8,5
2020-07-25,9,4
2020-07-26,13,0
2020-07-27,7,6
2020-07-28,7,6
2020-07-29,7,6
2020-07-30,8,5
2020-07-31,6,4
2020-08-01,12,1
2020-08-02,10,3
2020-08-03,7,6
2020-08-04,10,3
2020-08-05,6,7
2020-08-06,9,4
2020-08-07,9,4
2020-08-08,9,4
2020-08-09,7,6
2020-08-10,9,4
2020-08-11,9,4
2020-08-12,8,5
2020-08-13,8,5
2020-08-14,8,5
2020-08-15,10,3
2020-08-16,7,6
2020-08-17,4,9
2020-08-18,6,7
2020-08-19,7,6
2020-08-20,7,6
2020-08-21,6,7
2020-08-22,8,5
2020-08-23,8,5
2020-08-24,8,5
2020-08-25,8,5
2020-08-26,9,4
2020-08-27,7,6
2020-08-28,6,7
2020-08-29,8,5
2020-08-30,9,4
2020-08-31,9,4
2020-09-01,7,1
2020-09-02,3,5
2020-09-03,3,5
2020-09-04,2,6
2020-09-05,2,6
2020-09-06,3,5
2020-09-07,3,5
2020-09-08,6,2
2020-09-09,6,2
2020-09-10,8,0
2020-09-11,6,2
2020-09-12,7,1
2020-09-13,7,1
2020-09-14,7,1
2020-09-15,6,2
2020-09-16,5,3
2020-09-17,7,1
2020-09-18,7,1
2020-09-19,3,5
2020-09-20,3,5
2020-09-21,2,6
2020-09-22,2,6
2020-09-23,2,6
