date,betten_belegt,betten_frei
2020-04-24,53,39
2020-04-25,40,52
2020-04-26,44,48
2020-04-27,46,46
2020-04-28,54,34
2020-04-29,51,41
2020-04-30,59,33
2020-05-01,53,39
2020-05-02,52,39
2020-05-03,48,32
2020-05-04,42,39
2020-05-05,33,39
2020-05-06,39,33
2020-05-07,41,31
2020-05-08,36,36
2020-05-09,40,32
2020-05-10,45,27
2020-05-11,42,30
2020-05-12,41,31
2020-05-13,30,42
2020-05-14,35,37
2020-05-15,42,29
2020-05-16,40,31
2020-05-17,36,36
2020-05-18,39,33
2020-05-19,45,27
2020-05-20,40,32
2020-05-21,42,31
2020-05-22,36,36
2020-05-23,36,36
2020-05-24,38,34
2020-05-25,36,36
2020-05-26,46,26
2020-05-27,47,22
2020-05-28,40,27
2020-05-29,41,26
2020-05-30,47,25
2020-05-31,43,29
2020-06-01,46,26
2020-06-02,44,28
2020-06-03,41,31
2020-06-04,39,33
2020-06-05,43,29
2020-06-06,37,35
2020-06-07,45,17
2020-06-08,44,18
2020-06-09,45,27
2020-06-10,43,29
2020-06-11,41,30
2020-06-12,39,33
2020-06-13,42,30
2020-06-14,47,25
2020-06-15,41,36
2020-06-16,45,27
2020-06-17,40,32
2020-06-18,44,28
2020-06-19,45,27
2020-06-20,45,27
2020-06-21,45,27
2020-06-22,43,29
2020-06-23,43,29
2020-06-24,39,33
2020-06-25,38,34
2020-06-26,41,31
2020-06-27,42,30
2020-06-28,42,31
2020-06-29,38,34
2020-06-30,40,32
2020-07-01,39,33
2020-07-02,45,24
2020-07-03,39,33
2020-07-04,44,26
2020-07-05,43,28
2020-07-06,40,32
2020-07-07,42,30
2020-07-08,42,30
2020-07-09,34,38
2020-07-10,39,33
2020-07-11,38,32
2020-07-12,33,37
2020-07-13,34,38
2020-07-14,38,34
2020-07-15,36,36
2020-07-16,42,20
2020-07-17,42,30
2020-07-18,44,14
2020-07-19,47,16
2020-07-20,37,33
2020-07-21,37,34
2020-07-22,53,39
2020-07-23,57,35
2020-07-24,56,26
2020-07-25,51,32
2020-07-26,53,30
2020-07-27,50,33
2020-07-28,52,33
2020-07-29,49,35
2020-07-30,49,35
2020-07-31,55,30
2020-08-01,45,39
2020-08-02,43,42
2020-08-03,51,34
2020-08-04,54,19
2020-08-05,54,19
2020-08-06,55,18
2020-08-07,53,20
2020-08-08,50,23
2020-08-09,43,30
2020-08-10,47,26
2020-08-11,52,21
2020-08-12,55,18
2020-08-13,51,22
2020-08-14,54,19
2020-08-15,50,23
2020-08-16,51,22
2020-08-17,49,24
2020-08-18,43,30
2020-08-19,46,27
2020-08-20,53,20
2020-08-21,45,28
2020-08-22,40,33
2020-08-23,45,28
2020-08-24,45,28
2020-08-25,40,32
2020-08-26,44,29
2020-08-27,48,25
2020-08-28,47,26
2020-08-29,49,24
2020-08-30,43,30
2020-08-31,47,26
2020-09-01,43,29
2020-09-02,42,30
2020-09-03,43,29
2020-09-04,40,32
2020-09-05,43,30
2020-09-06,40,32
2020-09-07,40,32
2020-09-08,48,24
2020-09-09,54,18
2020-09-10,49,23
2020-09-11,47,26
2020-09-12,45,28
2020-09-13,52,21
2020-09-14,44,29
2020-09-15,55,18
2020-09-16,59,14
2020-09-17,50,23
2020-09-18,53,20
2020-09-19,49,24
2020-09-20,55,18
2020-09-21,58,15
2020-09-22,61,12
2020-09-23,54,19
2020-09-24,58,15
2020-09-25,58,15
2020-09-26,57,16
2020-09-27,54,19
2020-09-28,57,16
2020-09-29,58,15
2020-09-30,58,15
2020-10-01,59,14
2020-10-02,55,18
2020-10-03,52,21
2020-10-04,42,31
2020-10-05,50,23
2020-10-06,54,20
2020-10-07,52,22
2020-10-08,51,23
2020-10-09,54,19
2020-10-10,51,22
2020-10-11,46,16
2020-10-12,52,21
2020-10-13,52,21
2020-10-14,55,18
2020-10-15,54,19
2020-10-16,53,20
2020-10-17,55,18
2020-10-18,50,23
2020-10-19,46,27
2020-10-20,51,22
2020-10-21,47,26
2020-10-22,52,21
2020-10-23,55,18
2020-10-24,55,18
2020-10-25,59,12
2020-10-26,60,11
2020-10-27,60,11
2020-10-28,55,16
2020-10-29,57,14
2020-10-30,56,15
