date,betten_belegt,betten_frei
2020-04-24,26,11
2020-04-25,26,11
2020-04-26,25,12
2020-04-27,23,14
2020-04-28,27,10
2020-04-29,27,10
2020-04-30,27,10
2020-05-01,26,11
2020-05-02,30,7
2020-05-03,27,10
2020-05-04,30,7
2020-05-05,29,9
2020-05-06,28,10
2020-05-07,25,13
2020-05-08,24,14
2020-05-09,26,12
2020-05-10,24,10
2020-05-11,28,6
2020-05-12,30,3
2020-05-13,27,6
2020-05-14,21,12
2020-05-15,22,11
2020-05-16,24,9
2020-05-17,23,10
2020-05-18,22,11
2020-05-19,27,6
2020-05-20,25,8
2020-05-21,26,7
2020-05-22,23,10
2020-05-23,24,9
2020-05-24,22,11
2020-05-25,27,6
2020-05-26,26,7
2020-05-27,28,5
2020-05-28,27,6
2020-05-29,20,13
2020-05-30,21,12
2020-05-31,22,11
2020-06-01,18,15
2020-06-02,21,12
2020-06-03,30,5
2020-06-04,32,3
2020-06-05,33,2
2020-06-06,27,8
2020-06-07,26,9
2020-06-08,28,7
2020-06-09,26,9
2020-06-10,24,11
2020-06-11,23,12
2020-06-12,23,12
2020-06-13,23,12
2020-06-14,22,11
2020-06-15,23,12
2020-06-16,26,9
2020-06-17,24,10
2020-06-18,30,9
2020-06-19,30,9
2020-06-20,24,15
2020-06-21,21,18
2020-06-22,23,16
2020-06-23,19,20
2020-06-24,26,13
2020-06-25,20,19
2020-06-26,23,16
2020-06-27,31,8
2020-06-28,26,13
2020-06-29,27,12
2020-06-30,28,11
2020-07-01,22,17
2020-07-02,27,13
2020-07-03,26,12
2020-07-04,31,7
2020-07-05,26,13
2020-07-06,31,9
2020-07-07,30,8
2020-07-08,32,6
2020-07-09,34,3
2020-07-10,32,6
2020-07-11,27,11
2020-07-12,27,12
2020-07-13,24,14
2020-07-14,31,7
2020-07-15,31,7
2020-07-16,22,16
2020-07-17,31,7
2020-07-18,31,7
2020-07-19,32,5
2020-07-20,31,7
2020-07-21,28,10
2020-07-22,27,11
2020-07-23,26,12
2020-07-24,33,5
2020-07-25,27,8
2020-07-26,18,24
2020-07-27,20,18
2020-07-28,29,9
2020-07-29,24,16
2020-07-30,33,7
2020-07-31,28,12
2020-08-01,21,19
2020-08-02,22,18
2020-08-03,25,15
2020-08-04,27,13
2020-08-05,29,11
2020-08-06,28,12
2020-08-07,24,15
2020-08-08,25,13
2020-08-09,18,16
2020-08-10,17,13
2020-08-11,24,10
2020-08-12,17,17
2020-08-13,29,9
2020-08-14,34,5
2020-08-15,28,12
2020-08-16,27,13
2020-08-17,26,11
2020-08-18,26,11
2020-08-19,31,6
2020-08-20,31,9
2020-08-21,28,12
2020-08-22,26,14
2020-08-23,24,16
2020-08-24,26,14
2020-08-25,30,10
2020-08-26,24,16
2020-08-27,26,14
2020-08-28,26,14
2020-08-29,20,20
2020-08-30,22,18
2020-08-31,27,10
2020-09-01,28,9
2020-09-02,24,13
2020-09-03,29,8
2020-09-04,34,3
2020-09-05,27,12
2020-09-06,20,19
2020-09-07,24,15
2020-09-08,31,7
2020-09-09,28,10
2020-09-10,27,13
2020-09-11,23,15
2020-09-12,27,13
2020-09-13,25,15
2020-09-14,23,17
2020-09-15,30,10
2020-09-16,24,16
2020-09-17,31,9
2020-09-18,27,13
2020-09-19,24,16
2020-09-20,18,22
2020-09-21,17,23
2020-09-22,20,20
2020-09-23,28,12
2020-09-24,28,12
2020-09-25,28,12
2020-09-26,32,8
2020-09-27,31,9
2020-09-28,31,9
2020-09-29,29,11
2020-09-30,33,7
2020-10-01,28,12
2020-10-02,30,10
2020-10-03,21,19
2020-10-04,22,18
2020-10-05,23,17
2020-10-06,26,14
2020-10-07,30,10
2020-10-08,28,12
2020-10-09,25,15
2020-10-10,22,18
2020-10-11,19,21
2020-10-12,18,22
2020-10-13,21,19
2020-10-14,23,17
2020-10-15,27,13
2020-10-16,29,11
2020-10-17,20,20
2020-10-18,21,19
2020-10-19,20,20
2020-10-20,24,16
2020-10-21,22,18
2020-10-22,25,15
2020-10-23,19,21
2020-10-24,20,17
2020-10-25,22,17
2020-10-26,25,12
2020-10-27,33,4
2020-10-28,33,4
2020-10-29,28,9
2020-10-30,25,12
2020-10-31,25,12
2020-11-01,28,9
2020-11-02,24,13
2020-11-03,24,13
2020-11-04,25,12
2020-11-05,25,12
2020-11-06,25,12
2020-11-07,22,15
2020-11-08,25,14
2020-11-09,22,17
2020-11-10,24,15
2020-11-11,23,16
2020-11-12,29,10
2020-11-13,26,13
2020-11-14,20,19
2020-11-15,20,19
2020-11-16,18,13
2020-11-17,27,9
2020-11-18,25,17
2020-11-19,28,14
2020-11-20,28,14
2020-11-21,23,19
2020-11-22,24,18
2020-11-23,21,21
2020-11-24,25,17
2020-11-25,24,18
2020-11-26,28,14
2020-11-27,28,14
2020-11-28,26,16
2020-11-29,27,15
2020-11-30,28,14
2020-12-01,28,14
2020-12-02,28,14
2020-12-03,24,18
