date,betten_belegt,betten_frei
2020-04-24,39,34
2020-04-25,33,40
2020-04-26,35,38
2020-04-27,34,39
2020-04-28,35,38
2020-04-29,39,31
2020-04-30,36,33
2020-05-01,35,34
2020-05-02,35,34
2020-05-03,31,38
2020-05-04,34,35
2020-05-05,33,55
2020-05-06,33,36
2020-05-07,28,21
2020-05-08,32,37
2020-05-09,28,39
2020-05-10,28,39
2020-05-11,30,37
2020-05-12,35,32
2020-05-13,37,30
2020-05-14,42,25
2020-05-15,42,25
2020-05-16,34,33
2020-05-17,37,30
2020-05-18,31,36
2020-05-19,42,25
2020-05-20,39,28
2020-05-21,35,32
2020-05-22,33,34
2020-05-23,36,31
2020-05-24,35,32
2020-05-25,38,29
2020-05-26,42,30
2020-05-27,46,26
2020-05-28,49,23
2020-05-29,44,28
2020-05-30,41,32
2020-05-31,37,36
2020-06-01,36,37
2020-06-02,39,34
2020-06-03,40,33
2020-06-04,46,27
2020-06-05,45,26
2020-06-06,47,24
2020-06-07,55,28
2020-06-08,50,34
2020-06-09,52,32
2020-06-10,54,30
2020-06-11,54,30
2020-06-12,57,27
2020-06-13,49,35
2020-06-14,48,36
2020-06-15,45,39
2020-06-16,54,30
2020-06-17,54,30
2020-06-18,53,31
2020-06-19,54,30
2020-06-20,44,40
2020-06-21,45,39
2020-06-22,50,34
2020-06-23,57,27
2020-06-24,59,25
2020-06-25,50,34
2020-06-26,55,29
2020-06-27,47,37
2020-06-28,46,38
2020-06-29,48,46
2020-06-30,51,43
2020-07-01,51,43
2020-07-02,52,42
2020-07-03,52,42
2020-07-04,48,46
2020-07-05,47,46
2020-07-06,51,43
2020-07-07,57,37
2020-07-08,60,34
2020-07-09,59,35
2020-07-10,57,37
2020-07-11,48,46
2020-07-12,49,45
2020-07-13,51,45
2020-07-14,55,45
2020-07-15,56,40
2020-07-16,53,43
2020-07-17,56,40
2020-07-18,49,47
2020-07-19,44,52
2020-07-20,49,47
2020-07-21,50,46
2020-07-22,51,45
2020-07-23,49,43
2020-07-24,57,35
2020-07-25,47,44
2020-07-26,43,48
2020-07-27,39,52
2020-07-28,47,41
2020-07-29,67,47
2020-07-30,65,50
2020-07-31,66,46
2020-08-01,55,57
2020-08-02,55,57
2020-08-03,58,54
2020-08-04,66,42
2020-08-05,63,19
2020-08-06,63,19
2020-08-07,63,19
2020-08-08,57,25
2020-08-09,59,23
2020-08-10,63,19
2020-08-11,69,13
2020-08-12,67,15
2020-08-13,71,11
2020-08-14,71,11
2020-08-15,63,19
2020-08-16,66,16
2020-08-17,63,19
2020-08-18,72,10
2020-08-19,74,8
2020-08-20,71,11
2020-08-21,71,11
2020-08-22,64,18
2020-08-23,58,24
2020-08-24,64,18
2020-08-25,71,11
2020-08-26,66,16
2020-08-27,67,15
2020-08-28,62,20
2020-08-29,61,21
2020-08-30,58,24
2020-08-31,60,22
2020-09-01,65,18
2020-09-02,69,14
2020-09-03,60,23
2020-09-04,61,22
2020-09-05,62,21
2020-09-06,68,15
2020-09-07,67,16
2020-09-08,69,14
2020-09-09,71,12
2020-09-10,68,15
2020-09-11,71,12
2020-09-12,72,11
2020-09-13,64,19
2020-09-14,63,20
2020-09-15,71,12
2020-09-16,70,13
2020-09-17,71,12
2020-09-18,68,15
2020-09-19,66,17
2020-09-20,65,18
2020-09-21,65,18
2020-09-22,66,17
2020-09-23,70,13
2020-09-24,70,27
2020-09-25,70,27
2020-09-26,71,26
2020-09-27,69,28
2020-09-28,68,29
2020-09-29,71,26
2020-09-30,74,23
2020-10-01,76,21
2020-10-02,77,20
2020-10-03,77,20
2020-10-04,74,23
2020-10-05,64,33
2020-10-06,78,19
2020-10-07,76,21
2020-10-08,76,21
2020-10-09,70,27
2020-10-10,68,29
2020-10-11,73,24
2020-10-12,67,30
2020-10-13,74,23
2020-10-14,71,26
2020-10-15,69,28
2020-10-16,74,23
2020-10-17,69,28
2020-10-18,61,36
2020-10-19,64,33
2020-10-20,72,25
2020-10-21,69,28
2020-10-22,75,12
2020-10-23,69,18
2020-10-24,63,24
2020-10-25,60,27
2020-10-26,63,24
2020-10-27,71,16
2020-10-28,74,13
2020-10-29,67,20
