date,betten_belegt,betten_frei
2020-04-24,56,44
2020-04-25,58,42
2020-04-26,57,43
2020-04-27,59,41
2020-04-28,57,44
2020-04-29,58,43
2020-04-30,59,42
2020-05-01,57,44
2020-05-02,56,44
2020-05-03,55,45
2020-05-04,58,42
2020-05-05,60,40
2020-05-06,55,45
2020-05-07,65,35
2020-05-08,61,39
2020-05-09,60,40
2020-05-10,58,42
2020-05-11,64,36
2020-05-12,65,35
2020-05-13,65,35
2020-05-14,62,39
2020-05-15,63,36
2020-05-16,59,40
2020-05-17,53,48
2020-05-18,60,41
2020-05-19,61,40
2020-05-20,62,37
2020-05-21,63,38
2020-05-22,63,38
2020-05-23,60,41
2020-05-24,56,45
2020-05-25,55,46
2020-05-26,60,40
2020-05-27,57,43
2020-05-28,57,44
2020-05-29,59,42
2020-05-30,57,44
2020-05-31,58,43
2020-06-01,58,43
2020-06-02,63,38
2020-06-03,65,36
2020-06-04,65,36
2020-06-05,67,34
2020-06-06,61,40
2020-06-07,58,43
2020-06-08,58,42
2020-06-09,60,41
2020-06-10,63,37
2020-06-11,65,36
2020-06-12,67,34
2020-06-13,62,40
2020-06-14,60,41
2020-06-15,64,38
2020-06-16,66,34
2020-06-17,63,38
2020-06-18,67,33
2020-06-19,66,35
2020-06-20,64,37
2020-06-21,65,36
2020-06-22,65,36
2020-06-23,64,37
2020-06-24,66,34
2020-06-25,63,38
2020-06-26,61,40
2020-06-27,56,45
2020-06-28,55,46
2020-06-29,59,42
2020-06-30,58,43
2020-07-01,62,39
2020-07-02,63,38
2020-07-03,63,38
2020-07-04,55,46
2020-07-05,52,49
2020-07-06,59,42
2020-07-07,59,42
2020-07-08,64,36
2020-07-09,68,33
2020-07-10,67,34
2020-07-11,61,39
2020-07-12,64,37
2020-07-13,62,38
2020-07-14,69,32
2020-07-15,69,32
2020-07-16,63,38
2020-07-17,61,40
2020-07-18,59,42
2020-07-19,60,41
2020-07-20,64,36
2020-07-21,65,34
2020-07-22,63,36
2020-07-23,61,39
2020-07-24,66,36
2020-07-25,64,37
2020-07-26,61,40
2020-07-27,67,34
2020-07-28,65,36
2020-07-29,64,37
2020-07-30,65,30
2020-07-31,64,31
2020-08-01,60,36
2020-08-02,59,38
2020-08-03,64,33
2020-08-04,67,30
2020-08-05,65,16
2020-08-06,65,16
2020-08-07,64,17
2020-08-08,61,20
2020-08-09,59,22
2020-08-10,64,17
2020-08-11,62,19
2020-08-12,59,22
2020-08-13,60,21
2020-08-14,59,22
2020-08-15,55,26
2020-08-16,54,27
2020-08-17,60,21
2020-08-18,60,21
2020-08-19,62,19
2020-08-20,61,20
2020-08-21,58,23
2020-08-22,53,28
2020-08-23,53,28
2020-08-24,59,22
2020-08-25,57,24
2020-08-26,58,23
2020-08-27,59,22
2020-08-28,58,23
2020-08-29,54,27
2020-08-30,55,26
2020-08-31,60,21
2020-09-01,60,21
2020-09-02,63,18
2020-09-03,64,17
2020-09-04,62,19
2020-09-05,62,19
2020-09-06,60,21
2020-09-07,62,19
2020-09-08,62,19
2020-09-09,58,23
2020-09-10,61,20
2020-09-11,61,20
2020-09-12,61,20
2020-09-13,59,22
2020-09-14,61,20
2020-09-15,61,20
2020-09-16,63,18
2020-09-17,64,17
2020-09-18,63,18
2020-09-19,62,16
2020-09-20,60,21
2020-09-21,63,18
2020-09-22,63,18
2020-09-23,61,20
2020-09-24,64,17
2020-09-25,63,18
2020-09-26,61,20
2020-09-27,60,21
2020-09-28,61,20
2020-09-29,65,16
2020-09-30,64,17
2020-10-01,65,16
2020-10-02,65,16
2020-10-03,66,15
2020-10-04,65,16
2020-10-05,66,15
2020-10-06,65,16
2020-10-07,46,15
2020-10-08,50,13
2020-10-09,48,13
2020-10-10,47,14
2020-10-11,48,13
2020-10-12,48,13
2020-10-13,50,11
2020-10-14,50,11
2020-10-15,49,12
2020-10-16,48,13
2020-10-17,47,14
2020-10-18,47,14
2020-10-19,47,14
2020-10-20,47,14
2020-10-21,48,13
2020-10-22,47,14
2020-10-23,65,16
2020-10-24,66,16
2020-10-25,65,17
2020-10-26,65,16
2020-10-27,64,17
2020-10-28,63,18
2020-10-29,63,18
2020-10-30,64,17
2020-10-31,64,17
2020-11-01,64,17
2020-11-02,64,17
2020-11-03,66,20
2020-11-04,64,21
2020-11-05,64,21
2020-11-06,65,20
2020-11-07,65,20
2020-11-08,61,22
2020-11-09,61,22
2020-11-10,62,20
2020-11-11,57,25
2020-11-12,62,20
2020-11-13,63,19
2020-11-14,65,17
2020-11-15,65,17
2020-11-16,66,16
2020-11-17,66,17
2020-11-18,71,11
2020-11-19,67,15
2020-11-20,69,13
2020-11-21,69,13
2020-11-22,69,13
2020-11-23,70,12
2020-11-24,64,18
2020-11-25,64,18
2020-11-26,41,21
2020-11-27,44,18
2020-11-28,41,21
2020-11-29,41,21
2020-11-30,43,19
2020-12-01,45,17
2020-12-02,46,16
2020-12-03,44,18
2020-12-04,45,17
2020-12-05,45,17
2020-12-06,45,17
2020-12-07,43,19
