date,betten_belegt,betten_frei
2020-04-24,15,0
2020-04-25,15,0
2020-04-26,14,1
2020-04-27,15,0
2020-04-28,14,1
2020-04-29,12,3
2020-04-30,14,1
2020-05-01,11,4
2020-05-02,11,4
2020-05-03,13,2
2020-05-04,13,2
2020-05-05,14,1
2020-05-06,15,0
2020-05-07,14,1
2020-05-08,14,1
2020-05-09,13,2
2020-05-10,12,3
2020-05-11,13,2
2020-05-12,13,2
2020-05-13,13,2
2020-05-14,15,0
2020-05-15,11,4
2020-05-16,13,2
2020-05-17,14,1
2020-05-18,15,0
2020-05-19,15,0
2020-05-20,15,0
2020-05-21,15,0
2020-05-22,15,0
2020-05-23,14,1
2020-05-24,13,2
2020-05-25,14,1
2020-05-26,16,0
2020-05-27,15,0
2020-05-28,14,1
2020-05-29,15,0
2020-05-30,15,0
2020-05-31,11,4
2020-06-01,12,3
2020-06-02,13,2
2020-06-03,12,3
2020-06-04,15,0
2020-06-05,15,0
2020-06-06,14,1
2020-06-07,11,4
2020-06-08,13,2
2020-06-09,15,0
2020-06-10,12,3
2020-06-11,12,3
2020-06-12,12,3
2020-06-13,15,0
2020-06-14,14,1
2020-06-15,14,1
2020-06-16,15,0
2020-06-17,15,0
2020-06-18,14,1
2020-06-19,13,2
2020-06-20,14,1
2020-06-21,14,1
2020-06-22,15,0
2020-06-23,15,0
2020-06-24,15,0
2020-06-25,14,1
2020-06-26,15,0
2020-06-27,15,0
2020-06-28,15,0
2020-06-29,15,0
2020-06-30,15,0
2020-07-01,15,0
2020-07-02,15,0
2020-07-03,15,0
2020-07-04,14,1
2020-07-05,10,5
2020-07-06,13,2
2020-07-07,14,1
2020-07-08,12,3
2020-07-09,15,0
2020-07-10,14,1
2020-07-11,15,0
2020-07-12,12,3
2020-07-13,12,3
2020-07-14,11,4
2020-07-15,13,2
2020-07-16,14,2
2020-07-17,15,0
2020-07-18,15,0
2020-07-19,15,0
2020-07-20,15,0
2020-07-21,15,0
2020-07-22,12,3
2020-07-23,13,2
2020-07-24,14,1
2020-07-25,15,0
2020-07-26,15,0
2020-07-27,13,2
2020-07-28,14,1
2020-07-29,14,1
2020-07-30,13,2
2020-07-31,14,1
2020-08-01,13,2
2020-08-02,14,1
2020-08-03,12,3
2020-08-04,14,1
2020-08-05,12,3
2020-08-06,12,3
2020-08-07,14,1
2020-08-08,13,2
2020-08-09,13,2
2020-08-10,15,0
2020-08-11,15,0
2020-08-12,12,3
2020-08-13,9,6
2020-08-14,13,2
2020-08-15,15,0
2020-08-16,15,0
2020-08-17,13,2
2020-08-18,15,0
2020-08-19,13,2
2020-08-20,13,2
2020-08-21,15,0
2020-08-22,13,2
2020-08-23,15,0
2020-08-24,14,1
2020-08-25,12,3
2020-08-26,14,1
2020-08-27,14,1
2020-08-28,14,1
2020-08-29,11,4
2020-08-30,11,4
2020-08-31,12,3
2020-09-01,14,1
2020-09-02,12,3
2020-09-03,15,0
2020-09-04,15,0
2020-09-05,15,0
2020-09-06,12,3
2020-09-07,11,4
2020-09-08,14,1
2020-09-09,14,1
2020-09-10,14,1
2020-09-11,12,3
2020-09-12,8,7
2020-09-13,8,7
2020-09-14,15,0
2020-09-15,15,0
2020-09-16,14,1
2020-09-17,14,1
2020-09-18,10,2
2020-09-19,9,3
2020-09-20,9,3
2020-09-21,9,3
2020-09-22,11,1
2020-09-23,11,1
2020-09-24,11,1
2020-09-25,12,0
2020-09-26,12,0
2020-09-27,10,2
2020-09-28,11,1
2020-09-29,10,2
2020-09-30,10,2
2020-10-01,10,2
2020-10-02,12,0
2020-10-03,11,1
2020-10-04,10,2
2020-10-05,11,1
2020-10-06,9,3
2020-10-07,8,4
2020-10-08,9,3
2020-10-09,10,2
2020-10-10,10,2
2020-10-11,9,3
2020-10-12,12,0
2020-10-13,12,0
2020-10-14,11,1
2020-10-15,11,1
2020-10-16,11,1
2020-10-17,10,2
2020-10-18,11,1
2020-10-19,11,1
2020-10-20,12,0
2020-10-21,9,3
2020-10-22,10,2
2020-10-23,12,0
2020-10-24,12,0
2020-10-25,11,1
2020-10-26,10,2
2020-10-27,10,2
2020-10-28,10,2
2020-10-29,9,3
2020-10-30,12,0
2020-10-31,10,2
2020-11-01,11,1
2020-11-02,11,1
2020-11-03,12,0
2020-11-04,7,5
2020-11-05,10,2
2020-11-06,10,2
2020-11-07,10,2
2020-11-08,12,0
2020-11-09,12,0
2020-11-10,11,1
2020-11-11,10,2
2020-11-12,9,3
2020-11-13,12,0
2020-11-14,12,0
2020-11-15,9,3
2020-11-16,12,0
2020-11-17,11,1
2020-11-18,12,0
2020-11-19,10,2
2020-11-20,12,0
2020-11-21,12,0
2020-11-22,12,0
2020-11-23,12,0
2020-11-24,11,1
2020-11-25,8,4
2020-11-26,12,0
2020-11-27,10,2
2020-11-28,11,1
2020-11-29,11,1
2020-11-30,10,2
2020-12-01,12,0
2020-12-02,10,2
2020-12-03,12,0
2020-12-04,12,0
2020-12-05,12,0
2020-12-06,11,1
2020-12-07,11,1
2020-12-08,10,2
2020-12-09,12,0
2020-12-10,11,1
2020-12-11,10,2
2020-12-12,11,1
2020-12-13,10,2
2020-12-14,7,5
2020-12-15,6,6
2020-12-16,8,4
2020-12-17,11,1
2020-12-18,10,2
2020-12-19,8,4
2020-12-20,7,5
2020-12-21,10,2
2020-12-22,12,0
2020-12-23,10,2
2020-12-24,8,4
2020-12-25,10,2
2020-12-26,7,5
2020-12-27,9,3
2020-12-28,8,4
2020-12-29,8,4
2020-12-30,8,4
2020-12-31,11,1
2021-01-01,12,0
2021-01-02,7,5
2021-01-03,12,0
2021-01-04,12,0
2021-01-05,11,1
2021-01-06,11,1
2021-01-07,12,0
2021-01-08,11,1
2021-01-09,11,1
2021-01-10,11,1
2021-01-11,9,3
2021-01-12,8,4
2021-01-13,9,3
2021-01-14,11,1
2021-01-15,5,7
2021-01-16,7,5
2021-01-17,8,4
2021-01-18,12,0
2021-01-19,12,0
2021-01-20,12,0
2021-01-21,12,0
2021-01-22,10,2
2021-01-23,10,2
2021-01-24,9,1
2021-01-25,9,3
2021-01-26,12,0
2021-01-27,10,2
2021-01-28,11,1
2021-01-29,12,0
2021-01-30,12,0
2021-01-31,12,0
2021-02-01,12,0
2021-02-02,12,0
2021-02-03,12,0
2021-02-04,10,2
2021-02-05,12,0
2021-02-06,12,0
2021-02-07,10,2
2021-02-08,7,5
2021-02-09,8,4
2021-02-10,11,1
2021-02-11,12,0
2021-02-12,12,0
2021-02-13,11,1
2021-02-14,10,2
2021-02-15,10,2
2021-02-16,11,1
2021-02-17,12,0
2021-02-18,12,0
2021-02-19,11,1
2021-02-20,11,1
2021-02-21,9,3
2021-02-22,8,4
2021-02-23,8,4
2021-02-24,7,5
2021-02-25,9,3
2021-02-26,12,0
2021-02-27,11,1
2021-02-28,11,1
2021-03-01,10,2
2021-03-02,10,2
2021-03-03,12,0
2021-03-04,11,1
2021-03-05,12,0
2021-03-06,11,1
2021-03-07,11,1
2021-03-08,11,1
2021-03-09,10,2
2021-03-10,10,2
2021-03-11,10,2
2021-03-12,8,4
2021-03-13,9,3
2021-03-14,10,2
2021-03-15,10,2
2021-03-16,9,3
2021-03-17,11,1
2021-03-18,11,1
2021-03-19,11,1
2021-03-20,12,0
2021-03-21,11,1
2021-03-22,12,0
2021-03-23,12,0
2021-03-24,12,0
2021-03-25,10,2
2021-03-26,10,2
2021-03-27,9,3
2021-03-28,10,2
2021-03-29,8,4
2021-03-30,12,0
2021-03-31,12,0
2021-04-01,12,0
2021-04-02,12,0
2021-04-03,9,3
2021-04-04,12,0
2021-04-05,12,0
2021-04-06,12,0
2021-04-07,12,0
2021-04-08,12,0
2021-04-09,12,0
2021-04-10,10,2
2021-04-11,10,2
2021-04-12,9,3
2021-04-13,12,0
2021-04-14,12,0
2021-04-15,10,2
2021-04-16,10,2
2021-04-17,9,3
2021-04-18,10,2
2021-04-19,9,1
2021-04-20,10,2
2021-04-21,11,1
2021-04-22,10,2
2021-04-23,12,0
2021-04-24,12,0
2021-04-25,12,0
2021-04-26,11,1
2021-04-27,12,0
2021-04-28,9,3
2021-04-29,12,0
2021-04-30,12,0
2021-05-01,12,0
2021-05-02,12,0
2021-05-03,12,0
2021-05-04,12,0
2021-05-05,12,0
2021-05-06,11,1
2021-05-07,9,3
2021-05-08,10,2
2021-05-09,9,3
2021-05-10,10,2
2021-05-11,10,2
2021-05-12,11,1
2021-05-13,8,4
2021-05-14,8,4
2021-05-15,10,2
2021-05-16,10,2
2021-05-17,12,0
2021-05-18,10,2
2021-05-19,9,3
2021-05-20,10,2
2021-05-21,12,0
2021-05-22,12,0
2021-05-23,11,1
2021-05-24,11,1
2021-05-25,11,1
2021-05-26,7,5
2021-05-27,9,3
2021-05-28,8,4
2021-05-29,8,4
2021-05-30,6,6
2021-05-31,7,5
2021-06-01,11,1
2021-06-02,9,1
2021-06-03,8,2
2021-06-04,10,0
2021-06-05,9,1
2021-06-06,9,1
2021-06-07,10,0
2021-06-08,10,0
2021-06-09,6,4
2021-06-10,9,1
2021-06-11,9,1
2021-06-12,9,1
2021-06-13,10,0
2021-06-14,10,0
2021-06-15,10,0
2021-06-16,10,0
2021-06-17,10,0
2021-06-18,9,1
2021-06-19,10,0
2021-06-20,9,1
2021-06-21,7,3
2021-06-22,4,6
2021-06-23,8,2
2021-06-24,5,5
2021-06-25,7,3
2021-06-26,10,0
2021-06-27,10,0
2021-06-28,9,1
2021-06-29,9,1
2021-06-30,10,0
2021-07-01,8,2
2021-07-02,9,1
2021-07-03,7,3
2021-07-04,9,1
2021-07-05,9,0
2021-07-06,7,3
2021-07-07,9,1
2021-07-08,9,1
2021-07-09,10,0
2021-07-10,10,0
2021-07-11,10,0
2021-07-12,10,0
2021-07-13,9,1
2021-07-14,10,0
2021-07-15,10,0
2021-07-16,10,0
2021-07-17,9,1
2021-07-18,8,2
2021-07-19,9,1
2021-07-20,10,0
2021-07-21,10,0
2021-07-22,10,0
2021-07-23,8,2
2021-07-24,8,2
2021-07-25,7,3
2021-07-26,9,1
2021-07-27,10,0
2021-07-28,7,3
2021-07-29,8,2
2021-07-30,7,3
2021-07-31,8,2
2021-08-01,10,0
2021-08-02,8,2
2021-08-03,10,0
2021-08-04,9,1
2021-08-05,9,1
2021-08-06,10,0
2021-08-07,10,0
2021-08-08,10,0
2021-08-09,10,0
2021-08-10,9,1
2021-08-11,10,0
2021-08-12,10,0
2021-08-13,10,0
2021-08-14,10,0
2021-08-15,10,0
2021-08-16,9,1
2021-08-17,9,1
2021-08-18,10,0
2021-08-19,9,1
2021-08-20,9,1
2021-08-21,10,0
2021-08-22,10,0
2021-08-23,9,1
2021-08-24,10,0
2021-08-25,10,0
2021-08-26,9,1
2021-08-27,10,0
2021-08-28,10,0
2021-08-29,10,0
2021-08-30,8,2
2021-08-31,10,0
2021-09-01,9,1
2021-09-02,8,2
2021-09-03,8,2
2021-09-04,8,2
2021-09-05,9,1
2021-09-06,10,0
2021-09-07,9,1
