date,betten_belegt,betten_frei
2020-04-24,47,21
2020-04-25,44,21
2020-04-26,47,23
2020-04-27,46,20
2020-04-28,41,23
2020-04-29,48,20
2020-04-30,49,20
2020-05-01,46,23
2020-05-02,46,24
2020-05-03,47,22
2020-05-04,44,25
2020-05-05,53,16
2020-05-06,49,16
2020-05-07,46,24
2020-05-08,49,15
2020-05-09,44,20
2020-05-10,44,19
2020-05-11,43,20
2020-05-12,43,20
2020-05-13,45,19
2020-05-14,43,21
2020-05-15,44,18
2020-05-16,46,16
2020-05-17,46,15
2020-05-18,45,17
2020-05-19,45,18
2020-05-20,47,16
2020-05-21,48,15
2020-05-22,46,15
2020-05-23,45,16
2020-05-24,40,20
2020-05-25,45,17
2020-05-26,47,13
2020-05-27,45,15
2020-05-28,53,13
2020-05-29,43,20
2020-05-30,38,25
2020-05-31,39,24
2020-06-01,46,17
2020-06-02,51,18
2020-06-03,48,12
2020-06-04,49,11
2020-06-05,46,13
2020-06-06,44,16
2020-06-07,44,18
2020-06-08,47,16
2020-06-09,48,15
2020-06-10,47,16
2020-06-11,46,13
2020-06-12,43,17
2020-06-13,46,13
2020-06-14,43,17
2020-06-15,45,15
2020-06-16,42,18
2020-06-17,48,11
2020-06-18,48,11
2020-06-19,48,10
2020-06-20,51,6
2020-06-21,57,6
2020-06-22,44,14
2020-06-23,47,14
2020-06-24,52,9
2020-06-25,54,7
2020-06-26,55,11
2020-06-27,51,19
2020-06-28,52,12
2020-06-29,48,17
2020-06-30,59,8
2020-07-01,58,10
2020-07-02,50,18
2020-07-03,53,15
2020-07-04,51,16
2020-07-05,54,13
2020-07-06,55,11
2020-07-07,57,9
2020-07-08,54,12
2020-07-09,50,16
2020-07-10,49,17
2020-07-11,48,20
2020-07-12,48,17
2020-07-13,49,19
2020-07-14,50,18
2020-07-15,50,18
2020-07-16,54,14
2020-07-17,51,18
2020-07-18,51,20
2020-07-19,55,14
2020-07-20,51,17
2020-07-21,47,21
2020-07-22,46,23
2020-07-23,51,16
2020-07-24,53,15
2020-07-25,53,12
2020-07-26,51,18
2020-07-27,48,21
2020-07-28,51,17
2020-07-29,57,10
2020-07-30,51,17
2020-07-31,49,19
2020-08-01,50,16
2020-08-02,50,15
2020-08-03,50,16
2020-08-04,56,11
2020-08-05,56,15
2020-08-06,55,16
2020-08-07,57,14
2020-08-08,56,13
2020-08-09,53,13
2020-08-10,60,9
2020-08-11,63,5
2020-08-12,58,11
2020-08-13,62,9
2020-08-14,55,16
2020-08-15,54,17
2020-08-16,56,15
2020-08-17,51,20
2020-08-18,48,23
2020-08-19,45,26
2020-08-20,51,20
2020-08-21,49,22
2020-08-22,49,22
2020-08-23,43,28
2020-08-24,47,24
2020-08-25,57,14
2020-08-26,54,17
2020-08-27,60,11
2020-08-28,58,13
2020-08-29,55,16
2020-08-30,57,14
2020-08-31,51,20
2020-09-01,52,19
2020-09-02,52,19
2020-09-03,54,17
2020-09-04,53,18
2020-09-05,60,11
2020-09-06,55,16
2020-09-07,52,19
2020-09-08,54,17
2020-09-09,55,17
2020-09-10,51,21
2020-09-11,53,19
2020-09-12,46,26
2020-09-13,48,23
2020-09-14,49,22
2020-09-15,52,20
2020-09-16,51,21
2020-09-17,51,21
2020-09-18,49,23
2020-09-19,49,23
2020-09-20,52,20
2020-09-21,49,23
2020-09-22,51,21
2020-09-23,55,17
2020-09-24,54,18
2020-09-25,57,15
2020-09-26,53,19
2020-09-27,48,24
2020-09-28,52,20
2020-09-29,54,18
2020-09-30,54,18
2020-10-01,53,19
2020-10-02,55,17
2020-10-03,51,20
2020-10-04,52,20
2020-10-05,56,16
2020-10-06,56,16
2020-10-07,59,13
2020-10-08,54,18
2020-10-09,58,14
2020-10-10,56,16
2020-10-11,55,17
2020-10-12,55,17
2020-10-13,56,16
2020-10-14,54,18
2020-10-15,51,21
2020-10-16,52,20
2020-10-17,51,21
2020-10-18,49,23
2020-10-19,47,25
2020-10-20,51,21
2020-10-21,53,19
2020-10-22,53,19
2020-10-23,49,23
2020-10-24,48,24
2020-10-25,46,26
2020-10-26,44,28
2020-10-27,43,29
2020-10-28,51,21
2020-10-29,51,21
2020-10-30,48,24
2020-10-31,48,24
2020-11-01,46,26
2020-11-02,51,21
2020-11-03,44,28
2020-11-04,47,25
2020-11-05,49,23
2020-11-06,50,22
2020-11-07,51,21
2020-11-08,46,26
2020-11-09,53,19
2020-11-10,44,28
2020-11-11,47,25
2020-11-12,48,24
2020-11-13,52,20
2020-11-14,47,25
2020-11-15,48,24
2020-11-16,49,23
2020-11-17,50,22
2020-11-18,49,23
2020-11-19,48,24
2020-11-20,48,24
2020-11-21,50,22
2020-11-22,48,24
2020-11-23,52,20
2020-11-24,57,15
2020-11-25,51,21
2020-11-26,53,19
2020-11-27,55,17
2020-11-28,53,19
2020-11-29,49,23
2020-11-30,51,21
2020-12-01,53,19
2020-12-02,54,18
2020-12-03,54,16
2020-12-04,58,11
2020-12-05,53,19
2020-12-06,56,16
2020-12-07,54,18
2020-12-08,52,20
2020-12-09,49,23
2020-12-10,50,22
2020-12-11,53,19
2020-12-12,48,23
2020-12-13,45,26
2020-12-14,49,23
2020-12-15,55,17
2020-12-16,52,20
2020-12-17,49,23
2020-12-18,52,20
2020-12-19,49,23
2020-12-20,46,26
2020-12-21,51,21
2020-12-22,51,21
2020-12-23,51,21
2020-12-24,49,23
