date,betten_belegt,betten_frei
2020-04-24,10,4
2020-04-24,245,86
2020-04-25,13,2
2020-04-25,247,84
2020-04-26,13,2
2020-04-26,211,119
2020-04-27,12,2
2020-04-27,229,102
2020-04-28,12,2
2020-04-28,247,84
2020-04-29,11,3
2020-04-29,256,75
2020-04-30,12,2
2020-04-30,233,94
2020-05-01,11,2
2020-05-01,230,101
2020-05-02,12,2
2020-05-02,226,105
2020-05-03,11,3
2020-05-03,224,107
2020-05-04,11,3
2020-05-04,227,104
2020-05-05,10,3
2020-05-05,237,94
2020-05-06,11,3
2020-05-06,237,94
2020-05-07,11,3
2020-05-07,240,84
2020-05-08,12,2
2020-05-08,255,69
2020-05-09,4,2
2020-05-09,256,65
2020-05-10,3,3
2020-05-10,227,94
2020-05-11,8,6
2020-05-11,238,86
2020-05-12,11,3
2020-05-12,191,82
2020-05-13,13,1
2020-05-13,189,84
2020-05-14,11,3
2020-05-14,187,86
2020-05-15,9,5
2020-05-15,188,85
2020-05-16,10,4
2020-05-16,177,112
2020-05-17,10,4
2020-05-17,189,84
2020-05-18,10,4
2020-05-18,184,89
2020-05-19,9,5
2020-05-19,187,86
2020-05-20,11,3
2020-05-20,276,129
2020-05-21,11,3
2020-05-21,264,142
2020-05-22,10,4
2020-05-22,259,147
2020-05-23,11,3
2020-05-23,266,143
2020-05-24,10,3
2020-05-24,253,156
2020-05-25,11,3
2020-05-25,261,145
2020-05-26,9,5
2020-05-26,183,90
2020-05-27,9,5
2020-05-27,189,84
2020-05-28,12,2
2020-05-28,189,84
2020-05-29,13,1
2020-05-29,180,93
2020-05-30,13,1
2020-05-30,185,88
2020-05-31,11,3
2020-05-31,174,99
2020-06-01,11,3
2020-06-01,174,99
2020-06-02,13,1
2020-06-02,176,97
2020-06-03,11,3
2020-06-03,178,95
2020-06-04,9,5
2020-06-04,182,91
2020-06-05,9,5
2020-06-05,174,99
2020-06-06,10,4
2020-06-06,173,100
2020-06-07,10,4
2020-06-07,172,101
2020-06-08,11,3
2020-06-08,171,102
2020-06-09,10,4
2020-06-09,177,96
2020-06-10,10,4
2020-06-10,179,94
2020-06-11,10,4
2020-06-11,178,95
2020-06-12,8,5
2020-06-12,173,100
2020-06-13,10,3
2020-06-13,170,103
2020-06-14,13,0
2020-06-14,172,101
2020-06-15,13,1
2020-06-15,175,98
2020-06-16,10,1
2020-06-16,180,93
2020-06-17,10,4
2020-06-17,186,87
2020-06-18,8,6
2020-06-18,183,90
2020-06-19,9,5
2020-06-19,182,91
2020-06-20,8,6
2020-06-20,174,99
2020-06-21,8,6
2020-06-21,181,91
2020-06-22,8,6
2020-06-22,183,89
2020-06-23,11,3
2020-06-23,186,87
2020-06-24,11,3
2020-06-24,179,94
2020-06-25,11,3
2020-06-25,187,86
2020-06-26,11,3
2020-06-26,197,76
2020-06-27,11,3
2020-06-27,191,82
2020-06-28,11,3
2020-06-28,189,83
2020-06-29,10,4
2020-06-29,181,91
2020-06-30,8,6
2020-06-30,200,71
