date,betten_belegt,betten_frei
2020-04-24,341,143
2020-04-25,333,147
2020-04-26,319,161
2020-04-27,339,145
2020-04-28,342,141
2020-04-29,341,143
2020-04-30,338,146
2020-05-01,340,143
2020-05-02,324,176
2020-05-03,315,184
2020-05-04,322,181
2020-05-05,336,163
2020-05-06,352,158
2020-05-07,347,149
2020-05-08,344,148
2020-05-09,339,152
2020-05-10,326,163
2020-05-11,318,154
2020-05-12,345,140
2020-05-13,338,141
2020-05-14,340,129
2020-05-15,341,142
2020-05-16,335,132
2020-05-17,323,144
2020-05-18,319,146
2020-05-19,333,139
2020-05-20,331,141
2020-05-21,339,125
2020-05-22,337,128
2020-05-23,337,136
2020-05-24,326,141
2020-05-25,336,133
2020-05-26,334,132
2020-05-27,342,127
2020-05-28,330,131
2020-05-29,335,129
2020-05-30,336,128
2020-05-31,333,127
2020-06-01,328,138
2020-06-02,326,142
2020-06-03,345,122
2020-06-04,358,109
2020-06-05,353,114
2020-06-06,346,117
2020-06-07,340,119
2020-06-08,339,120
2020-06-09,335,127
2020-06-10,341,124
2020-06-11,343,127
2020-06-12,362,106
2020-06-13,335,131
2020-06-14,326,140
2020-06-15,339,126
2020-06-16,345,120
2020-06-17,347,119
2020-06-18,344,123
2020-06-19,354,109
2020-06-20,335,122
2020-06-21,324,132
2020-06-22,326,133
2020-06-23,342,118
2020-06-24,339,127
2020-06-25,329,136
2020-06-26,318,142
2020-06-27,336,124
2020-06-28,325,132
2020-06-29,330,128
2020-06-30,332,125
2020-07-01,334,128
2020-07-02,338,126
2020-07-03,329,132
2020-07-04,328,134
2020-07-05,335,127
2020-07-06,334,126
2020-07-07,329,129
2020-07-08,335,125
2020-07-09,334,125
2020-07-10,333,127
2020-07-11,323,138
2020-07-12,335,128
2020-07-13,329,135
2020-07-14,347,124
2020-07-15,338,130
2020-07-16,358,114
2020-07-17,342,131
2020-07-18,331,131
2020-07-19,347,113
2020-07-20,334,133
2020-07-21,343,127
2020-07-22,343,128
2020-07-23,340,132
2020-07-24,355,124
2020-07-25,347,120
2020-07-26,337,134
2020-07-27,335,135
2020-07-28,336,137
2020-07-29,349,143
2020-07-30,356,137
2020-07-31,358,134
2020-08-01,348,134
2020-08-02,332,147
2020-08-03,331,155
2020-08-04,344,161
2020-08-05,355,153
2020-08-06,351,158
2020-08-07,346,151
2020-08-08,352,137
2020-08-09,343,147
2020-08-10,332,165
2020-08-11,366,136
2020-08-12,347,149
2020-08-13,360,137
2020-08-14,345,137
2020-08-15,339,140
2020-08-16,333,144
2020-08-17,344,156
2020-08-18,365,137
2020-08-19,357,147
2020-08-20,364,135
2020-08-21,378,121
2020-08-22,374,114
2020-08-23,361,126
2020-08-24,337,149
2020-08-25,366,137
2020-08-26,359,146
2020-08-27,351,149
2020-08-28,365,131
2020-08-29,356,136
2020-08-30,342,148
2020-08-31,345,152
2020-09-01,361,129
2020-09-02,355,134
2020-09-03,355,141
2020-09-04,342,140
2020-09-05,340,129
2020-09-06,336,130
2020-09-07,348,138
2020-09-08,350,143
2020-09-09,356,137
2020-09-10,372,125
2020-09-11,381,113
2020-09-12,375,112
2020-09-13,350,128
2020-09-14,336,141
2020-09-15,339,145
2020-09-16,352,133
2020-09-17,342,146
2020-09-18,348,139
2020-09-19,348,126
2020-09-20,343,130
2020-09-21,319,162
2020-09-22,352,129
2020-09-23,353,133
2020-09-24,349,132
2020-09-25,371,115
2020-09-26,364,122
2020-09-27,351,135
2020-09-28,330,209
2020-09-29,361,178
2020-09-30,371,169
2020-10-01,347,193
2020-10-02,343,191
2020-10-03,341,194
2020-10-04,336,199
2020-10-05,337,203
2020-10-06,353,185
2020-10-07,364,174
2020-10-08,361,177
2020-10-09,355,181
2020-10-10,356,180
2020-10-11,348,190
2020-10-12,349,189
