date,betten_belegt,betten_frei
2020-04-24,51,56
2020-04-25,50,58
2020-04-26,43,65
2020-04-27,46,62
2020-04-28,44,63
2020-04-29,39,68
2020-04-30,35,72
2020-05-01,43,64
2020-05-02,36,71
2020-05-03,37,70
2020-05-04,39,68
2020-05-05,42,65
2020-05-06,40,67
2020-05-07,43,64
2020-05-08,45,62
2020-05-09,42,64
2020-05-10,35,72
2020-05-11,39,68
2020-05-12,39,68
2020-05-13,43,64
2020-05-14,44,63
2020-05-15,45,62
2020-05-16,44,63
2020-05-17,43,64
2020-05-18,46,61
2020-05-19,38,69
2020-05-20,45,63
2020-05-21,44,64
2020-05-22,44,64
2020-05-23,45,63
2020-05-24,45,63
2020-05-25,43,65
2020-05-26,48,60
2020-05-27,48,60
2020-05-28,45,63
2020-05-29,45,63
2020-05-30,43,65
2020-05-31,46,62
2020-06-01,46,62
2020-06-02,50,58
2020-06-03,41,67
2020-06-04,48,60
2020-06-05,49,59
2020-06-06,50,58
2020-06-07,43,65
2020-06-08,47,61
2020-06-09,50,58
2020-06-10,49,57
2020-06-11,53,53
2020-06-12,44,64
2020-06-13,48,62
2020-06-14,38,70
2020-06-15,42,64
2020-06-16,50,56
2020-06-17,51,57
2020-06-18,52,56
2020-06-19,44,64
2020-06-20,42,66
2020-06-21,38,70
2020-06-22,40,68
2020-06-23,42,66
2020-06-24,40,68
2020-06-25,40,68
2020-06-26,42,66
2020-06-27,43,65
2020-06-28,43,65
2020-06-29,44,64
2020-06-30,44,64
2020-07-01,40,68
2020-07-02,46,62
2020-07-03,44,64
2020-07-04,50,58
2020-07-05,39,69
2020-07-06,41,67
2020-07-07,42,66
2020-07-08,39,69
2020-07-09,41,67
2020-07-10,40,68
2020-07-11,40,68
2020-07-12,40,68
2020-07-13,45,63
2020-07-14,47,61
2020-07-15,51,57
2020-07-16,44,64
2020-07-17,47,61
2020-07-18,49,59
2020-07-19,42,66
2020-07-20,50,58
2020-07-21,48,60
2020-07-22,48,60
2020-07-23,51,57
2020-07-24,47,61
2020-07-25,50,58
2020-07-26,43,65
2020-07-27,44,64
2020-07-28,47,61
2020-07-29,50,58
2020-07-30,48,60
2020-07-31,50,58
2020-08-01,58,63
2020-08-02,52,69
2020-08-03,52,69
2020-08-04,59,10
2020-08-05,51,11
2020-08-06,45,17
2020-08-07,47,14
2020-08-08,46,15
2020-08-09,46,15
2020-08-10,49,12
2020-08-11,47,14
2020-08-12,44,17
2020-08-13,43,18
2020-08-14,45,16
2020-08-15,51,10
2020-08-16,45,16
2020-08-17,46,15
2020-08-18,41,20
2020-08-19,41,20
2020-08-20,51,10
2020-08-21,46,15
2020-08-22,45,16
2020-08-23,45,16
2020-08-24,49,12
2020-08-25,49,12
2020-08-26,47,14
2020-08-27,47,14
2020-08-28,49,12
2020-08-29,42,19
2020-08-30,42,19
2020-08-31,41,20
2020-09-01,47,14
2020-09-02,44,17
2020-09-03,43,18
2020-09-04,46,15
2020-09-05,43,18
2020-09-06,46,15
2020-09-07,50,11
2020-09-08,48,13
2020-09-09,43,18
2020-09-10,42,19
2020-09-11,42,19
2020-09-12,42,19
2020-09-13,41,20
2020-09-14,40,21
2020-09-15,39,22
2020-09-16,36,25
2020-09-17,35,26
2020-09-18,39,22
2020-09-19,45,16
2020-09-20,42,19
2020-09-21,37,24
2020-09-22,32,29
2020-09-23,34,27
2020-09-24,31,30
2020-09-25,39,22
2020-09-26,41,20
2020-09-27,43,18
2020-09-28,38,23
2020-09-29,41,20
2020-09-30,42,19
2020-10-01,43,18
2020-10-02,41,20
2020-10-03,42,19
2020-10-04,36,25
2020-10-05,35,26
2020-10-06,39,22
2020-10-07,39,22
2020-10-08,43,18
2020-10-09,47,14
2020-10-10,43,18
2020-10-11,42,19
2020-10-12,37,24
2020-10-13,33,28
2020-10-14,33,28
2020-10-15,41,20
2020-10-16,40,21
2020-10-17,46,15
2020-10-18,44,17
2020-10-19,41,20
2020-10-20,42,19
2020-10-21,43,18
2020-10-22,39,22
2020-10-23,43,18
2020-10-24,42,19
2020-10-25,47,14
2020-10-26,48,13
2020-10-27,52,9
2020-10-28,43,18
2020-10-29,46,15
2020-10-30,49,12
2020-10-31,48,13
2020-11-01,52,9
2020-11-02,50,11
2020-11-03,44,17
2020-11-04,51,10
2020-11-05,48,13
2020-11-06,48,13
2020-11-07,48,13
2020-11-08,48,13
2020-11-09,46,15
2020-11-10,41,20
2020-11-11,34,27
2020-11-12,38,23
2020-11-13,43,18
2020-11-14,41,20
2020-11-15,42,19
2020-11-16,43,18
2020-11-17,41,20
2020-11-18,35,26
2020-11-19,44,17
2020-11-20,42,19
2020-11-21,48,13
2020-11-22,49,12
2020-11-23,45,16
2020-11-24,45,16
2020-11-25,43,18
2020-11-26,40,21
2020-11-27,51,14
2020-11-28,56,9
2020-11-29,46,19
2020-11-30,54,11
2020-12-01,54,11
2020-12-02,50,15
2020-12-03,53,12
2020-12-04,57,8
2020-12-05,60,5
2020-12-06,51,14
2020-12-07,55,10
2020-12-08,58,7
2020-12-09,58,7
2020-12-10,55,10
2020-12-11,58,7
2020-12-12,50,15
2020-12-13,51,14
2020-12-14,55,10
2020-12-15,55,10
2020-12-16,55,10
2020-12-17,55,10
2020-12-18,55,10
2020-12-19,53,12
2020-12-20,53,12
2020-12-21,52,13
2020-12-22,52,13
2020-12-23,52,11
2020-12-24,51,12
2020-12-25,52,9
2020-12-26,54,7
2020-12-27,54,7
2020-12-28,56,5
2020-12-29,55,6
2020-12-30,57,4
2020-12-31,57,4
2021-01-01,56,5
2021-01-02,54,7
2021-01-03,56,5
2021-01-04,63,4
2021-01-05,56,11
2021-01-06,56,11
2021-01-07,55,12
2021-01-08,55,12
2021-01-09,49,18
2021-01-10,50,17
2021-01-11,56,5
2021-01-12,55,6
2021-01-13,52,9
2021-01-14,54,7
2021-01-15,56,5
2021-01-16,49,12
2021-01-17,53,8
2021-01-18,57,4
2021-01-19,57,4
2021-01-20,57,4
2021-01-21,56,5
2021-01-22,58,3
2021-01-23,53,8
2021-01-24,54,7
2021-01-25,54,7
2021-01-26,53,8
2021-01-27,56,5
2021-01-28,48,13
2021-01-29,56,5
2021-01-30,53,8
2021-01-31,49,12
2021-02-01,52,9
2021-02-02,54,7
2021-02-03,52,9
2021-02-04,54,7
2021-02-05,56,5
2021-02-06,53,8
2021-02-07,56,5
2021-02-08,54,7
2021-02-09,55,6
2021-02-10,56,5
2021-02-11,55,6
2021-02-12,52,9
2021-02-13,54,7
2021-02-14,56,5
2021-02-15,50,11
2021-02-16,45,16
2021-02-17,47,14
2021-02-18,52,9
2021-02-19,49,12
2021-02-20,49,12
2021-02-21,51,10
2021-02-22,54,7
2021-02-23,52,9
2021-02-24,53,8
2021-02-25,53,8
2021-02-26,51,10
2021-02-27,48,13
2021-02-28,48,13
2021-03-01,54,7
2021-03-02,52,9
2021-03-03,46,15
2021-03-04,50,11
2021-03-05,50,11
2021-03-06,47,14
2021-03-07,48,13
2021-03-08,49,12
2021-03-09,48,13
2021-03-10,50,11
2021-03-11,45,16
2021-03-12,49,12
2021-03-13,51,10
2021-03-14,43,18
2021-03-15,46,15
2021-03-16,53,8
2021-03-17,47,14
2021-03-18,49,12
2021-03-19,49,12
2021-03-20,55,6
2021-03-21,56,5
2021-03-22,54,7
2021-03-23,54,7
2021-03-24,56,5
2021-03-25,55,6
2021-03-26,53,8
2021-03-27,56,5
2021-03-28,48,13
2021-03-29,48,13
2021-03-30,54,7
2021-03-31,54,7
2021-04-01,54,7
2021-04-02,50,11
2021-04-03,55,6
2021-04-04,52,9
2021-04-05,55,6
2021-04-06,57,4
2021-04-07,59,2
2021-04-08,56,5
2021-04-09,53,8
2021-04-10,54,7
2021-04-11,50,11
2021-04-12,49,12
2021-04-13,52,9
2021-04-14,53,8
2021-04-15,47,14
2021-04-16,50,11
2021-04-17,52,9
2021-04-18,51,10
2021-04-19,55,6
2021-04-20,53,8
2021-04-21,52,9
2021-04-22,52,9
2021-04-23,48,13
2021-04-24,51,10
2021-04-25,44,16
2021-04-26,43,18
2021-04-27,48,13
2021-04-28,50,11
2021-04-29,49,12
2021-04-30,51,10
2021-05-01,52,9
2021-05-02,50,11
2021-05-03,51,10
2021-05-04,52,9
2021-05-05,53,8
2021-05-06,55,6
2021-05-07,51,10
2021-05-08,56,5
2021-05-09,52,9
2021-05-10,47,14
2021-05-11,55,6
2021-05-12,56,5
2021-05-13,57,4
2021-05-14,51,10
2021-05-15,49,12
2021-05-16,51,10
2021-05-17,53,8
2021-05-18,51,10
2021-05-19,57,4
2021-05-20,52,9
2021-05-21,55,6
2021-05-22,56,5
2021-05-23,53,8
2021-05-24,51,10
2021-05-25,50,11
2021-05-26,51,10
2021-05-27,48,13
2021-05-28,47,14
2021-05-29,52,9
2021-05-30,47,14
2021-05-31,48,13
2021-06-01,50,11
2021-06-02,48,13
2021-06-03,54,7
2021-06-04,53,8
2021-06-05,54,7
2021-06-06,51,10
2021-06-07,50,11
2021-06-08,48,7
2021-06-09,41,14
2021-06-10,40,15
2021-06-11,46,9
2021-06-12,46,9
2021-06-13,44,11
2021-06-14,51,4
2021-06-15,51,4
2021-06-16,49,6
2021-06-17,43,12
2021-06-18,46,9
2021-06-19,44,11
2021-06-20,43,12
2021-06-21,43,12
2021-06-22,50,5
2021-06-23,49,6
2021-06-24,43,12
2021-06-25,41,14
2021-06-26,44,11
2021-06-27,36,19
2021-06-28,41,14
2021-06-29,47,8
2021-06-30,53,2
2021-07-01,47,8
2021-07-02,46,9
2021-07-03,48,7
2021-07-04,44,11
2021-07-05,40,15
2021-07-06,40,15
2021-07-07,50,5
2021-07-08,51,4
2021-07-09,50,5
2021-07-10,46,9
2021-07-11,44,11
2021-07-12,48,7
2021-07-13,48,7
2021-07-14,44,11
2021-07-15,49,6
2021-07-16,45,10
2021-07-17,45,10
2021-07-18,46,9
2021-07-19,51,4
2021-07-20,52,3
2021-07-21,47,8
2021-07-22,46,9
2021-07-23,49,6
2021-07-24,51,4
2021-07-25,52,3
2021-07-26,49,6
2021-07-27,51,4
2021-07-28,49,6
2021-07-29,49,6
2021-07-30,49,6
2021-07-31,49,6
2021-08-01,50,5
2021-08-02,51,4
2021-08-03,49,6
2021-08-04,47,8
2021-08-05,46,24
2021-08-06,46,24
2021-08-07,52,18
2021-08-08,51,19
2021-08-09,49,21
2021-08-10,50,20
2021-08-11,55,15
2021-08-12,59,11
2021-08-13,57,13
2021-08-14,56,14
2021-08-15,52,18
2021-08-16,58,12
2021-08-17,53,17
2021-08-18,55,15
2021-08-19,61,9
2021-08-20,54,16
2021-08-21,54,16
2021-08-22,43,27
2021-08-23,44,26
2021-08-24,44,26
2021-08-25,46,24
2021-08-26,47,23
2021-08-27,44,26
2021-08-28,53,17
2021-08-29,48,22
2021-08-30,47,23
2021-08-31,38,32
2021-09-01,40,30
2021-09-02,43,27
2021-09-03,43,27
2021-09-04,42,28
2021-09-05,47,23
2021-09-06,48,22
2021-09-07,45,25
2021-09-08,54,16
2021-09-09,52,18
2021-09-10,51,19
2021-09-11,44,26
2021-09-12,46,24
2021-09-13,42,28
2021-09-14,55,15
2021-09-15,60,10
2021-09-16,57,13
2021-09-17,57,13
2021-09-18,55,15
2021-09-19,53,17
2021-09-20,54,16
2021-09-21,45,25
2021-09-22,54,16
2021-09-23,52,18
2021-09-24,52,18
2021-09-25,55,15
2021-09-26,57,13
2021-09-27,50,20
2021-09-28,52,18
2021-09-29,54,16
2021-09-30,53,17
2021-10-01,49,21
2021-10-02,46,24
2021-10-03,49,21
2021-10-04,47,23
2021-10-05,43,27
2021-10-06,48,22
2021-10-07,47,23
2021-10-08,47,23
2021-10-09,44,20
2021-10-10,48,16
2021-10-11,51,13
2021-10-12,50,14
2021-10-13,49,15
2021-10-14,49,15
2021-10-15,55,9
2021-10-16,54,10
2021-10-17,52,12
2021-10-18,47,17
2021-10-19,51,13
2021-10-20,52,12
2021-10-21,54,10
2021-10-22,52,12
2021-10-23,50,14
2021-10-24,52,12
2021-10-25,51,13
2021-10-26,41,23
2021-10-27,48,16
2021-10-28,47,17
2021-10-29,48,16
2021-10-30,47,17
2021-10-31,42,22
2021-11-01,42,22
2021-11-02,46,18
2021-11-03,50,14
2021-11-04,42,22
2021-11-05,46,18
2021-11-06,52,12
2021-11-07,50,14
2021-11-08,49,15
2021-11-09,42,22
2021-11-10,46,18
2021-11-11,49,15
2021-11-12,48,16
2021-11-13,46,18
2021-11-14,49,15
2021-11-15,50,14
2021-11-16,51,13
2021-11-17,53,11
2021-11-18,49,15
2021-11-19,49,15
2021-11-20,49,15
2021-11-21,49,15
2021-11-22,49,15
2021-11-23,52,12
2021-11-24,55,9
2021-11-25,52,12
2021-11-26,58,6
2021-11-27,58,6
2021-11-28,55,9
2021-11-29,47,17
2021-11-30,46,18
2021-12-01,46,18
2021-12-02,55,9
2021-12-03,57,7
2021-12-04,57,7
2021-12-05,57,7
2021-12-06,53,11
2021-12-07,57,7
2021-12-08,56,8
2021-12-09,60,4
2021-12-10,55,9
2021-12-11,55,9
2021-12-12,55,9
2021-12-13,55,9
2021-12-14,54,10
2021-12-15,53,11
2021-12-16,55,9
2021-12-17,49,15
2021-12-18,49,15
2021-12-19,49,15
2021-12-20,43,21
2021-12-21,46,18
2021-12-22,46,18
2021-12-23,45,19
2021-12-24,45,19
2021-12-25,45,19
2021-12-26,45,19
2021-12-27,51,13
2021-12-28,47,17
2021-12-29,50,14
2021-12-30,44,20
2021-12-31,44,20
2022-01-01,44,20
2022-01-02,44,20
2022-01-03,44,20
2022-01-04,44,20
2022-01-05,46,18
2022-01-06,46,18
2022-01-07,53,11
2022-01-08,53,11
2022-01-09,53,11
2022-01-10,49,15
2022-01-11,49,15
2022-01-12,53,11
2022-01-13,46,18
2022-01-14,49,15
2022-01-15,49,15
2022-01-16,49,15
2022-01-17,38,26
2022-01-18,45,19
2022-01-19,47,17
2022-01-20,50,14
2022-01-21,40,24
2022-01-22,40,24
2022-01-23,40,24
2022-01-24,41,23
2022-01-25,40,24
2022-01-26,44,20
2022-01-27,47,17
2022-01-28,46,18
2022-01-29,46,18
2022-01-30,46,18
2022-01-31,44,20
2022-02-01,51,13
2022-02-02,46,18
2022-02-03,48,16
2022-02-04,52,12
2022-02-05,52,12
2022-02-06,48,16
2022-02-07,42,22
2022-02-08,47,17
2022-02-09,56,8
2022-02-10,53,11
2022-02-11,51,13
2022-02-12,51,13
2022-02-13,51,13
2022-02-14,52,12
2022-02-15,47,17
2022-02-16,48,16
2022-02-17,54,10
2022-02-18,57,7
2022-02-19,57,7
2022-02-20,57,7
2022-02-21,47,17
2022-02-22,55,9
2022-02-23,53,11
2022-02-24,53,11
2022-02-25,55,9
2022-02-26,55,9
