date,betten_belegt,betten_frei
2020-04-24,28,13
2020-04-25,29,12
2020-04-26,19,22
2020-04-27,19,22
2020-04-28,28,13
2020-04-29,28,13
2020-04-30,28,13
2020-05-01,28,13
2020-05-02,24,17
2020-05-03,21,20
2020-05-04,24,17
2020-05-05,25,18
2020-05-06,31,22
2020-05-07,34,18
2020-05-08,31,22
2020-05-09,34,20
2020-05-10,36,18
2020-05-11,32,22
2020-05-12,38,16
2020-05-13,34,20
2020-05-14,35,19
2020-05-15,31,23
2020-05-16,36,18
2020-05-17,38,16
2020-05-18,37,17
2020-05-19,30,22
2020-05-20,40,14
2020-05-21,37,17
2020-05-22,30,24
2020-05-23,30,16
2020-05-24,29,17
2020-05-25,32,14
2020-05-26,37,16
2020-05-27,40,14
2020-05-28,40,14
2020-05-29,39,15
2020-05-30,31,11
2020-05-31,34,8
2020-06-01,30,12
2020-06-02,26,16
2020-06-03,28,10
2020-06-04,23,15
2020-06-05,26,12
2020-06-06,27,11
2020-06-07,24,10
2020-06-08,22,16
2020-06-09,22,16
2020-06-10,26,16
2020-06-11,27,11
2020-06-12,22,16
2020-06-13,24,10
2020-06-14,17,17
2020-06-15,24,16
2020-06-16,26,14
2020-06-17,23,15
2020-06-18,24,14
2020-06-19,25,13
2020-06-20,26,12
2020-06-21,23,11
2020-06-22,23,11
2020-06-23,27,7
2020-06-24,29,9
2020-06-25,27,11
2020-06-26,30,8
2020-06-27,22,10
2020-06-28,24,10
2020-06-29,29,11
2020-06-30,30,8
2020-07-01,31,6
2020-07-02,29,8
2020-07-03,30,7
2020-07-04,27,7
2020-07-05,26,8
2020-07-06,28,12
2020-07-07,25,10
2020-07-08,26,10
2020-07-09,27,10
2020-07-10,24,14
2020-07-11,26,8
2020-07-12,24,10
2020-07-13,27,13
2020-07-14,28,12
2020-07-15,30,8
2020-07-16,30,8
2020-07-17,30,10
2020-07-18,25,9
2020-07-19,22,12
2020-07-20,27,13
2020-07-21,25,15
2020-07-22,32,19
2020-07-23,28,24
2020-07-24,27,24
2020-07-25,23,23
2020-07-26,23,23
2020-07-27,27,25
2020-07-28,33,19
2020-07-29,37,15
2020-07-30,37,15
2020-07-31,34,17
2020-08-01,24,22
2020-08-02,27,19
2020-08-03,34,18
2020-08-04,34,28
2020-08-05,32,18
2020-08-06,31,19
2020-08-07,35,15
2020-08-08,32,14
2020-08-09,31,14
2020-08-10,32,18
2020-08-11,36,14
2020-08-12,35,15
2020-08-13,39,11
2020-08-14,38,12
2020-08-15,35,11
2020-08-16,37,9
2020-08-17,35,15
2020-08-18,42,8
2020-08-19,37,13
2020-08-20,36,14
2020-08-21,36,14
2020-08-22,30,16
2020-08-23,29,17
2020-08-24,33,17
2020-08-25,38,12
2020-08-26,39,11
2020-08-27,39,11
2020-08-28,39,11
2020-08-29,31,19
2020-08-30,31,19
2020-08-31,33,17
2020-09-01,34,16
2020-09-02,36,14
2020-09-03,40,10
2020-09-04,41,9
2020-09-05,35,15
2020-09-06,37,13
2020-09-07,41,9
2020-09-08,40,10
2020-09-09,42,8
2020-09-10,36,14
2020-09-11,35,15
2020-09-12,39,11
2020-09-13,37,13
2020-09-14,36,14
2020-09-15,34,16
2020-09-16,34,16
2020-09-17,38,8
2020-09-18,31,15
2020-09-19,30,16
2020-09-20,28,18
2020-09-21,26,20
2020-09-22,29,17
2020-09-23,32,14
2020-09-24,31,15
2020-09-25,35,11
2020-09-26,34,12
2020-09-27,28,18
2020-09-28,29,17
2020-09-29,31,15
2020-09-30,30,16
2020-10-01,36,14
2020-10-02,40,10
2020-10-03,37,9
2020-10-04,33,13
2020-10-05,37,13
2020-10-06,37,13
2020-10-07,39,11
2020-10-08,40,10
2020-10-09,41,9
2020-10-10,32,14
2020-10-11,30,16
2020-10-12,31,19
2020-10-13,35,15
2020-10-14,37,13
2020-10-15,33,17
2020-10-16,35,15
2020-10-17,32,18
2020-10-18,25,21
2020-10-19,23,27
2020-10-20,32,18
2020-10-21,26,24
2020-10-22,31,19
2020-10-23,26,24
2020-10-24,30,20
