date,betten_belegt,betten_frei
2020-04-24,85,40
2020-04-25,85,40
2020-04-26,88,37
2020-04-27,77,48
2020-04-28,79,43
2020-04-29,71,52
2020-04-30,71,52
2020-05-01,76,49
2020-05-02,77,48
2020-05-03,76,48
2020-05-04,70,57
2020-05-05,76,51
2020-05-06,83,42
2020-05-07,86,32
2020-05-08,90,32
2020-05-09,78,44
2020-05-10,84,38
2020-05-11,79,43
2020-05-12,90,32
2020-05-13,86,35
2020-05-14,85,35
2020-05-15,89,32
2020-05-16,84,36
2020-05-17,80,40
2020-05-18,80,40
2020-05-19,78,42
2020-05-20,77,43
2020-05-21,85,35
2020-05-22,81,35
2020-05-23,88,34
2020-05-24,81,39
2020-05-25,79,41
2020-05-26,78,43
2020-05-27,89,35
2020-05-28,90,33
2020-05-29,83,38
2020-05-30,78,42
2020-05-31,79,41
2020-06-01,74,46
2020-06-02,76,44
2020-06-03,83,37
2020-06-04,86,35
2020-06-05,82,39
2020-06-06,75,43
2020-06-07,66,52
2020-06-08,77,40
2020-06-09,69,47
2020-06-10,80,36
2020-06-11,76,40
2020-06-12,65,51
2020-06-13,75,46
2020-06-14,74,48
2020-06-15,75,46
2020-06-16,72,48
2020-06-17,84,36
2020-06-18,95,25
2020-06-19,81,39
2020-06-20,75,46
2020-06-21,71,54
2020-06-22,84,41
2020-06-23,83,42
2020-06-24,77,49
2020-06-25,81,38
2020-06-26,90,31
2020-06-27,82,39
2020-06-28,87,33
2020-06-29,93,23
2020-06-30,93,24
2020-07-01,94,20
2020-07-02,85,30
2020-07-03,95,38
2020-07-04,91,43
2020-07-05,80,47
2020-07-06,90,39
2020-07-07,88,39
2020-07-08,91,34
2020-07-09,88,35
2020-07-10,84,43
2020-07-11,84,39
2020-07-12,81,41
2020-07-13,88,33
2020-07-14,94,28
2020-07-15,91,36
2020-07-16,92,35
2020-07-17,78,49
2020-07-18,75,51
2020-07-19,78,42
2020-07-20,70,52
2020-07-21,77,42
2020-07-22,68,37
2020-07-23,91,28
2020-07-24,84,42
2020-07-25,88,37
2020-07-26,84,50
2020-07-27,78,59
2020-07-28,80,58
2020-07-29,87,49
2020-07-30,87,50
2020-07-31,81,50
2020-08-01,85,39
2020-08-02,89,30
2020-08-03,89,35
2020-08-04,88,35
2020-08-05,78,45
2020-08-06,90,29
2020-08-07,89,30
2020-08-08,84,35
2020-08-09,82,37
2020-08-10,87,32
2020-08-11,87,32
2020-08-12,92,27
2020-08-13,90,29
2020-08-14,89,30
2020-08-15,89,30
2020-08-16,85,34
2020-08-17,83,36
2020-08-18,88,31
2020-08-19,88,34
2020-08-20,84,38
2020-08-21,83,39
2020-08-22,82,40
2020-08-23,79,43
2020-08-24,86,36
2020-08-25,86,34
2020-08-26,90,30
2020-08-27,86,34
2020-08-28,90,30
2020-08-29,86,34
2020-08-30,93,27
2020-08-31,89,25
2020-09-01,90,24
2020-09-02,80,35
2020-09-03,78,38
2020-09-04,78,38
2020-09-05,81,35
2020-09-06,79,37
2020-09-07,73,43
2020-09-08,73,43
2020-09-09,78,38
2020-09-10,76,40
2020-09-11,83,33
2020-09-12,82,34
2020-09-13,82,34
2020-09-14,80,36
2020-09-15,86,30
2020-09-16,80,36
2020-09-17,81,35
2020-09-18,77,39
2020-09-19,73,43
2020-09-20,71,45
2020-09-21,78,38
2020-09-22,86,30
2020-09-23,88,28
2020-09-24,86,30
2020-09-25,85,31
2020-09-26,82,34
2020-09-27,67,49
2020-09-28,69,47
2020-09-29,82,34
2020-09-30,79,37
2020-10-01,81,35
2020-10-02,92,24
2020-10-03,81,35
2020-10-04,81,35
2020-10-05,87,29
2020-10-06,87,29
2020-10-07,88,28
2020-10-08,86,30
2020-10-09,84,32
2020-10-10,88,28
2020-10-11,83,33
2020-10-12,82,34
2020-10-13,81,35
2020-10-14,83,33
2020-10-15,83,33
2020-10-16,78,38
2020-10-17,80,36
2020-10-18,77,39
2020-10-19,75,41
2020-10-20,77,39
2020-10-21,88,28
2020-10-22,81,35
2020-10-23,88,28
2020-10-24,81,35
2020-10-25,79,37
2020-10-26,76,40
2020-10-27,84,29
2020-10-28,85,28
2020-10-29,86,27
2020-10-30,90,23
2020-10-31,84,29
2020-11-01,76,37
2020-11-02,80,33
2020-11-03,85,24
2020-11-04,83,25
2020-11-05,80,29
2020-11-06,83,26
2020-11-07,86,23
2020-11-08,81,28
2020-11-09,74,35
2020-11-10,86,23
2020-11-11,90,19
2020-11-12,87,22
2020-11-13,86,23
2020-11-14,85,24
2020-11-15,87,22
2020-11-16,82,26
2020-11-17,87,21
2020-11-18,94,14
2020-11-19,89,16
2020-11-20,90,15
2020-11-21,87,18
2020-11-22,78,27
2020-11-23,80,25
2020-11-24,89,17
2020-11-25,82,24
2020-11-26,91,15
2020-11-27,91,15
2020-11-28,78,26
2020-11-29,77,27
2020-11-30,78,28
2020-12-01,83,23
2020-12-02,84,22
2020-12-03,91,15
2020-12-04,91,16
2020-12-05,80,27
2020-12-06,78,29
2020-12-07,85,22
2020-12-08,86,21
2020-12-09,88,19
2020-12-10,89,18
2020-12-11,89,17
2020-12-12,87,18
2020-12-13,90,15
2020-12-14,91,14
2020-12-15,93,12
2020-12-16,88,17
2020-12-17,94,11
2020-12-18,93,12
2020-12-19,93,12
2020-12-20,83,22
2020-12-21,82,23
2020-12-22,78,27
2020-12-23,85,20
2020-12-24,81,24
2020-12-25,77,28
2020-12-26,85,20
2020-12-27,85,20
2020-12-28,88,17
2020-12-29,83,23
2020-12-30,85,20
2020-12-31,81,21
2021-01-01,86,16
2021-01-02,87,15
2021-01-03,80,22
2021-01-04,88,14
2021-01-05,88,14
2021-01-06,90,14
2021-01-07,90,14
2021-01-08,95,12
2021-01-09,86,18
2021-01-10,87,17
2021-01-11,81,23
2021-01-12,89,16
2021-01-13,93,12
2021-01-14,96,10
2021-01-15,91,14
2021-01-16,90,14
2021-01-17,85,19
2021-01-18,86,18
2021-01-19,87,19
2021-01-20,89,18
2021-01-21,88,19
2021-01-22,87,20
2021-01-23,89,17
2021-01-24,86,19
2021-01-25,84,22
2021-01-26,93,14
2021-01-27,89,18
2021-01-28,89,18
2021-01-29,89,18
2021-01-30,90,17
2021-01-31,90,17
2021-02-01,96,13
2021-02-02,98,11
2021-02-03,96,13
2021-02-04,93,16
2021-02-05,91,18
2021-02-06,93,14
2021-02-07,89,18
2021-02-08,89,18
2021-02-09,88,19
2021-02-10,93,15
2021-02-11,94,13
2021-02-12,91,14
2021-02-13,89,16
2021-02-14,58,17
2021-02-15,63,14
2021-02-16,67,10
2021-02-17,67,10
2021-02-18,60,17
2021-02-19,66,11
2021-02-20,55,22
2021-02-21,53,24
2021-02-22,55,22
2021-02-23,85,22
2021-02-24,91,16
2021-02-25,91,16
2021-02-26,91,16
2021-02-27,96,9
2021-02-28,86,19
2021-03-01,89,18
2021-03-02,90,17
2021-03-03,92,14
2021-03-04,89,17
2021-03-05,84,22
2021-03-06,83,21
2021-03-07,80,24
2021-03-08,91,15
2021-03-09,88,18
2021-03-10,93,13
2021-03-11,94,14
2021-03-12,86,20
2021-03-13,88,17
2021-03-14,78,23
2021-03-15,92,16
2021-03-16,90,18
2021-03-17,91,17
2021-03-18,96,11
2021-03-19,93,14
2021-03-20,92,14
2021-03-21,93,13
2021-03-22,96,10
2021-03-23,97,8
2021-03-24,92,13
2021-03-25,95,12
2021-03-26,94,13
2021-03-27,93,13
2021-03-28,92,13
2021-03-29,89,16
2021-03-30,91,15
2021-03-31,89,15
2021-04-01,88,17
2021-04-02,86,18
2021-04-03,90,14
2021-04-04,90,14
2021-04-05,87,17
2021-04-06,85,17
2021-04-07,91,11
2021-04-08,93,8
2021-04-09,85,17
2021-04-10,84,17
2021-04-11,81,20
2021-04-12,84,18
2021-04-13,87,15
2021-04-14,88,16
2021-04-15,90,15
2021-04-16,92,13
2021-04-17,86,17
2021-04-18,91,12
2021-04-19,92,16
2021-04-20,95,13
2021-04-21,94,14
2021-04-22,94,16
2021-04-23,95,16
2021-04-24,93,18
2021-04-25,97,14
2021-04-26,95,16
2021-04-27,98,13
2021-04-28,97,13
2021-04-29,95,15
2021-04-30,91,20
2021-05-01,88,18
2021-05-02,89,17
2021-05-03,89,21
2021-05-04,95,15
2021-05-05,93,15
2021-05-06,95,14
2021-05-07,97,10
2021-05-08,93,12
2021-05-09,90,15
2021-05-10,86,18
2021-05-11,94,11
2021-05-12,95,10
2021-05-13,90,15
2021-05-14,86,19
2021-05-15,89,14
2021-05-16,88,14
2021-05-17,90,13
2021-05-18,90,13
2021-05-19,89,14
2021-05-20,88,15
2021-05-21,91,13
2021-05-22,93,8
2021-05-23,87,14
2021-05-24,87,15
2021-05-25,90,13
2021-05-26,84,19
2021-05-27,86,17
2021-05-28,78,23
2021-05-29,80,19
2021-05-30,79,20
2021-05-31,91,11
2021-06-01,89,13
2021-06-02,89,13
2021-06-03,87,15
2021-06-04,92,10
2021-06-05,93,9
2021-06-06,86,16
2021-06-07,83,20
2021-06-08,88,15
2021-06-09,88,14
2021-06-10,86,16
2021-06-11,82,21
2021-06-12,92,11
2021-06-13,84,14
2021-06-14,82,18
2021-06-15,89,12
2021-06-16,91,12
2021-06-17,91,12
2021-06-18,92,11
2021-06-19,96,7
2021-06-20,82,21
2021-06-21,83,20
2021-06-22,88,15
2021-06-23,82,21
2021-06-24,89,14
