date,betten_belegt,betten_frei
2020-04-24,24,26
2020-04-25,25,23
2020-04-26,24,20
2020-04-27,24,22
2020-04-28,25,23
2020-04-29,22,15
2020-04-30,24,13
2020-05-01,21,16
2020-05-02,17,29
2020-05-03,18,28
2020-05-04,19,27
2020-05-05,22,24
2020-05-06,19,27
2020-05-07,25,19
2020-05-08,24,22
2020-05-09,22,27
2020-05-10,20,26
2020-05-11,25,22
2020-05-12,27,20
2020-05-13,22,25
2020-05-14,23,24
2020-05-15,25,22
2020-05-16,25,22
2020-05-17,19,28
2020-05-18,21,27
2020-05-19,28,20
2020-05-20,27,20
2020-05-21,20,27
2020-05-22,20,27
2020-05-23,20,27
2020-05-24,17,30
2020-05-25,16,31
2020-05-26,18,29
2020-05-27,26,21
2020-05-28,22,25
2020-05-29,23,24
2020-05-30,33,24
2020-05-31,27,30
2020-06-01,27,30
2020-06-02,33,24
2020-06-03,30,17
2020-06-04,32,15
2020-06-05,28,19
2020-06-06,26,21
2020-06-07,26,21
2020-06-08,28,19
2020-06-09,28,19
2020-06-10,28,19
2020-06-11,24,23
2020-06-12,23,24
2020-06-13,22,25
2020-06-14,20,26
2020-06-15,26,21
2020-06-16,27,20
2020-06-17,33,14
2020-06-18,23,24
2020-06-19,25,22
2020-06-20,17,30
2020-06-21,21,26
2020-06-22,28,19
2020-06-23,27,20
2020-06-24,27,20
2020-06-25,27,20
2020-06-26,24,23
2020-06-27,24,23
2020-06-28,26,21
2020-06-29,28,19
2020-06-30,32,15
2020-07-01,29,18
2020-07-02,31,16
2020-07-03,30,17
2020-07-04,28,19
2020-07-05,27,20
2020-07-06,28,19
2020-07-07,29,18
2020-07-08,30,17
2020-07-09,26,21
2020-07-10,26,21
2020-07-11,27,20
2020-07-12,26,21
2020-07-13,28,19
2020-07-14,28,19
2020-07-15,24,23
2020-07-16,28,21
2020-07-17,33,14
2020-07-18,29,18
2020-07-19,25,21
2020-07-20,27,19
2020-07-21,24,23
2020-07-22,24,23
2020-07-23,27,20
2020-07-24,29,18
2020-07-25,28,19
2020-07-26,25,22
2020-07-27,30,17
2020-07-28,30,19
2020-07-29,30,17
2020-07-30,27,20
2020-07-31,27,20
2020-08-01,26,21
2020-08-02,28,19
2020-08-03,27,20
2020-08-04,27,18
2020-08-05,29,18
2020-08-06,30,17
2020-08-07,28,19
2020-08-08,27,20
2020-08-09,27,20
2020-08-10,29,13
2020-08-11,31,11
2020-08-12,26,16
2020-08-13,25,17
2020-08-14,24,22
2020-08-15,27,19
2020-08-16,29,17
2020-08-17,28,18
2020-08-18,28,18
2020-08-19,27,19
2020-08-20,25,21
2020-08-21,29,17
2020-08-22,27,19
2020-08-23,21,25
2020-08-24,28,18
2020-08-25,28,18
2020-08-26,27,19
2020-08-27,26,20
2020-08-28,26,20
2020-08-29,26,20
2020-08-30,26,20
2020-08-31,25,21
2020-09-01,25,21
2020-09-02,26,20
2020-09-03,25,21
2020-09-04,27,19
2020-09-05,27,19
2020-09-06,23,23
2020-09-07,28,18
2020-09-08,32,14
2020-09-09,33,13
2020-09-10,29,17
