date,betten_belegt,betten_frei
2020-04-24,27,12
2020-04-25,35,11
2020-04-26,35,11
2020-04-27,33,12
2020-04-28,30,15
2020-04-29,38,6
2020-04-30,36,10
2020-05-01,38,8
2020-05-02,35,11
2020-05-03,34,11
2020-05-04,38,11
2020-05-05,37,9
2020-05-06,38,8
2020-05-07,38,8
2020-05-08,34,12
2020-05-09,31,17
2020-05-10,31,18
2020-05-11,31,16
2020-05-12,32,14
2020-05-13,37,13
2020-05-14,39,11
2020-05-15,36,13
2020-05-16,35,15
2020-05-17,34,15
2020-05-18,36,14
2020-05-19,35,13
2020-05-20,38,11
2020-05-21,35,12
2020-05-22,34,14
2020-05-23,32,9
2020-05-24,34,9
2020-05-25,37,8
2020-05-26,38,8
2020-05-27,38,12
2020-05-28,36,14
2020-05-29,38,12
2020-05-30,37,12
2020-05-31,37,16
2020-06-01,39,14
2020-06-02,43,7
2020-06-03,39,10
2020-06-04,33,16
2020-06-05,39,10
2020-06-06,38,10
2020-06-07,34,15
2020-06-08,39,11
2020-06-09,41,9
2020-06-10,38,11
2020-06-11,40,9
2020-06-12,41,7
2020-06-13,40,8
2020-06-14,37,11
2020-06-15,37,10
2020-06-16,38,10
2020-06-17,37,11
2020-06-18,41,7
2020-06-19,40,8
2020-06-20,38,8
2020-06-21,38,10
2020-06-22,37,10
2020-06-23,34,11
2020-06-24,36,13
2020-06-25,34,11
2020-06-26,38,8
2020-06-27,35,9
2020-06-28,37,11
2020-06-29,40,10
2020-06-30,41,7
2020-07-01,36,11
2020-07-02,32,15
2020-07-03,39,10
2020-07-04,40,9
2020-07-05,40,8
2020-07-06,40,11
2020-07-07,36,13
2020-07-08,41,11
2020-07-09,43,10
2020-07-10,39,9
2020-07-11,38,9
2020-07-12,38,8
2020-07-13,39,8
2020-07-14,40,7
2020-07-15,41,8
2020-07-16,39,10
2020-07-17,38,12
2020-07-18,41,8
2020-07-19,33,15
2020-07-20,33,15
2020-07-21,37,12
2020-07-22,40,9
2020-07-23,38,11
2020-07-24,42,7
2020-07-25,38,11
2020-07-26,39,6
2020-07-27,34,11
2020-07-28,35,10
2020-07-29,36,8
2020-07-30,37,8
2020-07-31,34,11
2020-08-01,31,14
2020-08-02,31,14
2020-08-03,32,11
2020-08-04,30,12
2020-08-05,27,18
2020-08-06,29,16
2020-08-07,30,15
2020-08-08,34,11
2020-08-09,31,14
2020-08-10,31,14
2020-08-11,36,10
2020-08-12,36,8
2020-08-13,35,9
2020-08-14,33,11
2020-08-15,30,12
2020-08-16,27,16
2020-08-17,30,13
2020-08-18,33,10
2020-08-19,34,9
2020-08-20,34,11
2020-08-21,33,12
2020-08-22,26,17
2020-08-23,29,16
2020-08-24,32,13
2020-08-25,29,16
2020-08-26,30,15
2020-08-27,35,10
2020-08-28,35,10
2020-08-29,35,10
2020-08-30,32,13
