date,betten_belegt,betten_frei
2020-04-24,66,27
2020-04-25,68,25
2020-04-26,66,36
2020-04-27,59,35
2020-04-28,66,33
2020-04-29,70,21
2020-04-30,79,19
2020-05-01,69,18
2020-05-02,72,16
2020-05-03,69,18
2020-05-04,72,16
2020-05-05,76,17
2020-05-06,71,26
2020-05-07,70,24
2020-05-08,68,23
2020-05-09,75,13
2020-05-10,64,17
2020-05-11,58,23
2020-05-12,60,37
2020-05-13,65,26
2020-05-14,73,20
2020-05-15,70,18
2020-05-16,73,14
2020-05-17,67,19
2020-05-18,67,15
2020-05-19,70,12
2020-05-20,70,10
2020-05-21,67,17
2020-05-22,62,33
2020-05-23,70,15
2020-05-24,63,23
2020-05-25,69,15
2020-05-26,66,25
2020-05-27,62,33
2020-05-28,66,20
2020-05-29,63,22
2020-05-30,66,18
2020-05-31,69,14
2020-06-01,71,14
2020-06-02,71,12
2020-06-03,74,14
2020-06-04,66,22
2020-06-05,76,12
2020-06-06,70,17
2020-06-07,64,27
2020-06-08,66,19
2020-06-09,65,27
2020-06-10,63,25
2020-06-11,70,19
2020-06-12,71,19
2020-06-13,63,31
2020-06-14,68,21
2020-06-15,67,20
2020-06-16,71,18
2020-06-17,74,14
2020-06-18,74,15
2020-06-19,70,21
2020-06-20,69,16
2020-06-21,73,16
2020-06-22,74,14
2020-06-23,75,11
2020-06-24,72,20
2020-06-25,69,19
2020-06-26,74,11
2020-06-27,69,13
2020-06-28,70,18
2020-06-29,71,17
2020-06-30,74,12
2020-07-01,76,11
2020-07-02,76,12
2020-07-03,69,19
2020-07-04,70,24
2020-07-05,76,19
2020-07-06,80,24
2020-07-07,70,28
2020-07-08,71,22
2020-07-09,74,21
2020-07-10,71,24
2020-07-11,69,27
2020-07-12,72,26
2020-07-13,67,31
2020-07-14,65,33
2020-07-15,70,22
2020-07-16,71,18
2020-07-17,77,15
2020-07-18,67,22
2020-07-19,68,22
2020-07-20,71,26
2020-07-21,71,26
2020-07-22,75,13
2020-07-23,70,22
2020-07-24,70,19
2020-07-25,74,18
2020-07-26,73,19
2020-07-27,68,24
2020-07-28,69,19
2020-07-29,71,18
2020-07-30,73,17
2020-07-31,73,18
2020-08-01,69,16
2020-08-02,69,19
2020-08-03,71,19
2020-08-04,72,19
2020-08-05,65,20
2020-08-06,65,25
2020-08-07,73,16
2020-08-08,70,18
2020-08-09,66,21
2020-08-10,73,16
2020-08-11,75,17
2020-08-12,81,11
