date,betten_belegt,betten_frei
2020-04-24,39,17
2020-04-25,37,19
2020-04-26,37,19
2020-04-27,41,15
2020-04-28,40,16
2020-04-29,36,20
2020-04-30,38,18
2020-05-01,40,16
2020-05-02,38,18
2020-05-03,37,17
2020-05-04,41,13
2020-05-05,39,17
2020-05-06,32,22
2020-05-07,33,20
2020-05-08,37,16
2020-05-09,31,22
2020-05-10,29,23
2020-05-11,27,25
2020-05-12,21,31
2020-05-13,27,25
2020-05-14,23,30
2020-05-15,31,22
2020-05-16,34,18
2020-05-17,24,28
2020-05-18,27,25
2020-05-19,29,26
2020-05-20,30,25
2020-05-21,28,28
2020-05-22,34,24
2020-05-23,28,26
2020-05-24,26,28
2020-05-25,30,21
2020-05-26,34,19
2020-05-27,35,18
2020-05-28,34,19
2020-05-29,37,15
2020-05-30,28,24
2020-05-31,27,25
2020-06-01,26,26
2020-06-02,27,25
2020-06-03,21,31
2020-06-04,26,26
2020-06-05,16,36
2020-06-06,33,19
2020-06-07,32,20
2020-06-08,31,22
2020-06-09,33,19
2020-06-10,35,19
2020-06-11,34,17
2020-06-12,30,22
2020-06-13,32,20
2020-06-14,37,16
2020-06-15,37,16
2020-06-16,34,18
2020-06-17,27,25
2020-06-18,27,25
2020-06-19,28,25
2020-06-20,29,24
2020-06-21,18,34
2020-06-22,26,27
2020-06-23,26,16
2020-06-24,38,15
2020-06-25,25,17
2020-06-26,27,15
2020-06-27,36,21
2020-06-28,32,24
2020-06-29,35,17
2020-06-30,36,15
2020-07-01,41,11
2020-07-02,42,10
2020-07-03,30,10
2020-07-04,36,16
2020-07-05,32,19
2020-07-06,33,19
2020-07-07,36,18
2020-07-08,32,21
2020-07-09,36,19
2020-07-10,35,20
2020-07-11,32,21
2020-07-12,35,18
2020-07-13,35,16
2020-07-14,37,15
2020-07-15,44,9
2020-07-16,33,20
2020-07-17,30,24
2020-07-18,13,17
2020-07-19,15,25
2020-07-20,32,22
2020-07-21,33,19
2020-07-22,26,18
2020-07-23,39,13
2020-07-24,35,18
2020-07-25,30,21
2020-07-26,36,18
2020-07-27,33,19
2020-07-28,45,15
2020-07-29,35,17
2020-07-30,34,18
2020-07-31,36,16
2020-08-01,32,20
2020-08-02,36,18
2020-08-03,36,16
2020-08-04,31,21
2020-08-05,28,24
2020-08-06,30,22
2020-08-07,25,27
2020-08-08,34,18
2020-08-09,27,25
2020-08-10,32,22
2020-08-11,39,15
2020-08-12,37,15
2020-08-13,38,14
2020-08-14,38,14
2020-08-15,38,14
2020-08-16,39,13
2020-08-17,32,15
2020-08-18,37,15
2020-08-19,33,19
2020-08-20,30,22
2020-08-21,24,28
2020-08-22,33,19
2020-08-23,26,26
2020-08-24,28,24
2020-08-25,25,27
2020-08-26,27,25
2020-08-27,33,19
2020-08-28,33,19
2020-08-29,28,22
2020-08-30,29,23
2020-08-31,29,23
2020-09-01,34,18
2020-09-02,31,21
2020-09-03,40,12
2020-09-04,41,11
2020-09-05,28,24
2020-09-06,27,25
2020-09-07,31,21
2020-09-08,35,17
2020-09-09,36,16
2020-09-10,32,20
2020-09-11,31,21
2020-09-12,31,21
2020-09-13,30,22
2020-09-14,33,19
2020-09-15,26,26
2020-09-16,34,18
2020-09-17,36,16
2020-09-18,27,25
2020-09-19,27,25
2020-09-20,28,24
2020-09-21,31,21
2020-09-22,25,27
2020-09-23,28,24
2020-09-24,27,25
2020-09-25,36,16
2020-09-26,32,20
2020-09-27,38,14
2020-09-28,38,14
2020-09-29,39,13
2020-09-30,41,11
2020-10-01,32,20
2020-10-02,34,18
2020-10-03,27,25
2020-10-04,30,22
2020-10-05,30,22
2020-10-06,38,14
2020-10-07,42,10
2020-10-08,38,14
2020-10-09,37,15
2020-10-10,38,14
2020-10-11,38,14
2020-10-12,37,15
2020-10-13,36,16
2020-10-14,34,18
2020-10-15,39,13
2020-10-16,27,25
2020-10-17,30,22
2020-10-18,30,22
2020-10-19,38,14
2020-10-20,36,16
2020-10-21,33,14
2020-10-22,31,16
2020-10-23,35,12
2020-10-24,37,10
2020-10-25,40,7
2020-10-26,40,7
2020-10-27,37,10
2020-10-28,32,15
2020-10-29,31,16
2020-10-30,40,7
2020-10-31,36,11
2020-11-01,38,9
2020-11-02,43,4
2020-11-03,40,7
2020-11-04,43,4
2020-11-05,38,9
2020-11-06,32,15
2020-11-07,31,16
2020-11-08,30,17
2020-11-09,37,10
2020-11-10,39,8
2020-11-11,32,15
2020-11-12,35,12
2020-11-13,40,7
2020-11-14,37,10
2020-11-15,36,11
2020-11-16,38,9
2020-11-17,40,5
2020-11-18,35,10
2020-11-19,40,5
2020-11-20,37,8
2020-11-21,37,8
2020-11-22,36,9
2020-11-23,37,8
2020-11-24,36,9
2020-11-25,42,3
2020-11-26,41,4
2020-11-27,39,6
2020-11-28,38,7
2020-11-29,37,8
2020-11-30,33,12
2020-12-01,35,10
2020-12-02,41,6
2020-12-03,40,5
2020-12-04,40,5
2020-12-05,38,7
2020-12-06,37,8
2020-12-07,34,11
2020-12-08,41,4
2020-12-09,41,4
2020-12-10,40,5
2020-12-11,43,2
2020-12-12,43,2
2020-12-13,39,6
2020-12-14,37,8
2020-12-15,31,14
2020-12-16,33,12
2020-12-17,34,9
2020-12-18,39,4
2020-12-19,39,4
2020-12-20,38,5
2020-12-21,37,6
2020-12-22,35,8
2020-12-23,38,5
2020-12-24,37,6
2020-12-25,36,7
2020-12-26,35,8
2020-12-27,36,7
2020-12-28,37,6
2020-12-29,32,11
2020-12-30,40,3
2020-12-31,39,4
2021-01-01,38,5
2021-01-02,38,5
2021-01-03,38,5
2021-01-04,39,4
2021-01-05,33,10
2021-01-06,33,10
2021-01-07,34,9
2021-01-08,36,7
2021-01-09,35,8
2021-01-10,34,9
2021-01-11,35,6
2021-01-12,33,8
2021-01-13,36,7
2021-01-14,32,11
2021-01-15,35,8
2021-01-16,37,6
2021-01-17,32,11
2021-01-18,33,10
2021-01-19,31,12
2021-01-20,34,9
2021-01-21,38,5
2021-01-22,34,9
2021-01-23,30,13
2021-01-24,32,9
2021-01-25,32,11
2021-01-26,33,10
2021-01-27,34,9
2021-01-28,32,11
2021-01-29,28,15
2021-01-30,24,19
2021-01-31,30,13
2021-02-01,29,14
2021-02-02,30,13
2021-02-03,36,7
