date,betten_belegt,betten_frei
2020-04-24,124,35
2020-04-25,126,34
2020-04-26,124,36
2020-04-27,122,38
2020-04-28,127,34
2020-04-29,132,29
2020-04-30,128,33
2020-05-01,130,31
2020-05-02,129,32
2020-05-03,121,42
2020-05-04,119,45
2020-05-05,124,36
2020-05-06,130,33
2020-05-07,125,38
2020-05-08,129,33
2020-05-09,127,35
2020-05-10,127,35
2020-05-11,116,49
2020-05-12,115,49
2020-05-13,120,45
2020-05-14,111,55
2020-05-15,118,47
2020-05-16,120,44
2020-05-17,112,53
2020-05-18,114,57
2020-05-19,114,57
2020-05-20,126,45
2020-05-21,128,128
2020-05-22,121,47
2020-05-23,127,42
2020-05-24,124,46
2020-05-25,117,44
2020-05-26,119,51
2020-05-27,117,54
2020-05-28,123,43
2020-05-29,119,44
2020-05-30,122,42
2020-05-31,119,39
2020-06-01,119,39
2020-06-02,114,43
2020-06-03,120,37
2020-06-04,125,35
2020-06-05,130,29
2020-06-06,128,33
2020-06-07,122,36
2020-06-08,113,48
2020-06-09,105,51
2020-06-10,115,41
2020-06-11,115,41
2020-06-12,123,32
2020-06-13,130,25
2020-06-14,127,28
2020-06-15,121,32
2020-06-16,128,30
2020-06-17,130,28
2020-06-18,134,23
2020-06-19,131,26
2020-06-20,134,24
2020-06-21,132,28
2020-06-22,128,30
2020-06-23,134,23
2020-06-24,130,25
2020-06-25,132,25
2020-06-26,132,25
2020-06-27,130,33
2020-06-28,128,30
2020-06-29,125,34
2020-06-30,127,31
2020-07-01,137,22
2020-07-02,133,29
2020-07-03,133,29
2020-07-04,133,31
2020-07-05,121,41
2020-07-06,118,43
2020-07-07,129,36
2020-07-08,127,37
2020-07-09,133,30
2020-07-10,126,30
2020-07-11,126,30
2020-07-12,126,30
2020-07-13,122,34
2020-07-14,133,24
2020-07-15,129,27
2020-07-16,131,23
2020-07-17,131,23
2020-07-18,124,30
2020-07-19,124,28
2020-07-20,127,25
2020-07-21,130,21
2020-07-22,135,20
2020-07-23,134,19
2020-07-24,128,28
2020-07-25,126,30
2020-07-26,126,30
2020-07-27,119,35
2020-07-28,119,35
2020-07-29,131,28
2020-07-30,125,33
2020-07-31,128,28
2020-08-01,125,31
2020-08-02,118,36
2020-08-03,118,36
2020-08-04,128,29
2020-08-05,127,28
2020-08-06,126,29
2020-08-07,121,35
2020-08-08,118,47
2020-08-09,118,47
2020-08-10,110,46
2020-08-11,118,38
2020-08-12,124,33
2020-08-13,124,28
2020-08-14,130,30
2020-08-15,126,40
2020-08-16,119,47
2020-08-17,113,51
2020-08-18,122,45
2020-08-19,123,43
2020-08-20,122,44
2020-08-21,131,36
2020-08-22,127,31
2020-08-23,127,31
2020-08-24,112,55
2020-08-25,123,43
2020-08-26,129,39
2020-08-27,133,37
2020-08-28,131,38
2020-08-29,127,39
2020-08-30,126,40
2020-08-31,129,37
2020-09-01,127,37
2020-09-02,131,32
2020-09-03,132,30
2020-09-04,127,41
2020-09-05,130,36
2020-09-06,129,35
2020-09-07,131,34
2020-09-08,133,33
2020-09-09,127,39
2020-09-10,130,38
2020-09-11,128,39
2020-09-12,131,36
2020-09-13,125,42
2020-09-14,125,40
2020-09-15,131,33
2020-09-16,133,32
2020-09-17,128,34
2020-09-18,131,34
2020-09-19,127,34
2020-09-20,130,32
2020-09-21,128,36
2020-09-22,129,34
2020-09-23,121,46
2020-09-24,130,37
2020-09-25,130,37
2020-09-26,133,35
2020-09-27,128,36
2020-09-28,120,43
2020-09-29,116,50
2020-09-30,121,43
2020-10-01,43,43
2020-10-02,47,39
2020-10-03,47,39
2020-10-04,47,39
2020-10-05,46,40
2020-10-06,50,36
2020-10-07,49,37
2020-10-08,48,38
2020-10-09,48,38
2020-10-10,48,38
2020-10-11,48,38
2020-10-12,44,42
2020-10-13,47,39
2020-10-14,47,39
2020-10-15,44,42
2020-10-16,45,41
2020-10-17,47,39
2020-10-18,43,43
2020-10-19,44,42
2020-10-20,39,47
2020-10-21,42,44
2020-10-22,47,39
2020-10-23,45,41
2020-10-24,41,45
2020-10-25,41,45
2020-10-26,43,43
2020-10-27,44,42
2020-10-28,44,42
2020-10-29,48,38
2020-10-30,48,38
2020-10-31,42,44
2020-11-01,43,43
2020-11-02,45,41
2020-11-03,43,43
2020-11-04,43,43
2020-11-05,44,42
2020-11-06,42,44
2020-11-07,42,44
2020-11-08,42,44
2020-11-09,120,12
2020-11-10,121,14
2020-11-11,120,15
2020-11-12,122,13
2020-11-13,121,14
2020-11-14,120,10
2020-11-15,125,7
2020-11-16,119,13
2020-11-17,121,10
2020-11-18,120,14
2020-11-19,120,15
2020-11-20,115,17
2020-11-21,117,15
2020-11-22,117,14
2020-11-23,118,15
2020-11-24,127,6
2020-11-25,130,5
2020-11-26,127,8
2020-11-27,122,13
2020-11-28,123,12
2020-11-29,121,14
2020-11-30,121,14
2020-12-01,126,9
2020-12-02,125,10
2020-12-03,121,14
2020-12-04,120,15
2020-12-05,121,14
2020-12-06,113,22
2020-12-07,113,22
2020-12-08,119,16
2020-12-09,124,11
2020-12-10,117,18
2020-12-11,120,15
2020-12-12,114,21
2020-12-13,120,15
2020-12-14,120,15
2020-12-15,119,16
2020-12-16,119,16
2020-12-17,119,16
2020-12-18,119,16
2020-12-19,123,12
2020-12-20,118,17
2020-12-21,120,15
2020-12-22,116,19
2020-12-23,114,21
2020-12-24,120,15
2020-12-25,114,21
2020-12-26,119,16
2020-12-27,123,12
2020-12-28,122,13
