date,betten_belegt,betten_frei
2020-04-24,67,47
2020-04-25,69,45
2020-04-26,67,47
2020-04-27,67,47
2020-04-28,75,39
2020-04-29,80,34
2020-04-30,83,31
2020-05-01,80,34
2020-05-02,77,37
2020-05-03,77,37
2020-05-04,73,41
2020-05-05,85,29
2020-05-06,84,30
2020-05-07,84,30
2020-05-08,79,35
2020-05-09,82,62
2020-05-10,64,50
2020-05-11,64,50
2020-05-12,75,39
2020-05-13,79,35
2020-05-14,74,40
2020-05-15,82,32
2020-05-16,75,39
2020-05-17,71,43
2020-05-18,78,36
2020-05-19,80,34
2020-05-20,81,33
2020-05-21,75,39
2020-05-22,79,35
2020-05-23,81,33
2020-05-24,71,43
2020-05-25,68,46
2020-05-26,83,31
2020-05-27,86,28
2020-05-28,80,34
2020-05-29,85,29
2020-05-30,82,32
2020-05-31,84,30
2020-06-01,88,26
2020-06-02,84,30
2020-06-03,92,22
2020-06-04,91,23
2020-06-05,87,27
2020-06-06,80,34
2020-06-07,80,34
2020-06-08,80,34
2020-06-09,92,22
2020-06-10,87,27
2020-06-11,86,28
2020-06-12,89,25
2020-06-13,91,23
2020-06-14,79,35
2020-06-15,77,37
2020-06-16,86,28
2020-06-17,92,22
2020-06-18,90,24
2020-06-19,92,22
2020-06-20,86,28
2020-06-21,86,28
2020-06-22,80,34
2020-06-23,86,28
2020-06-24,83,31
2020-06-25,81,33
2020-06-26,86,28
2020-06-27,90,26
2020-06-28,79,35
2020-06-29,78,36
2020-06-30,95,19
2020-07-01,93,21
2020-07-02,93,21
2020-07-03,93,21
2020-07-04,89,25
2020-07-05,86,28
2020-07-06,85,29
2020-07-07,89,25
2020-07-08,90,24
2020-07-09,88,26
2020-07-10,87,27
2020-07-11,94,20
2020-07-12,93,21
2020-07-13,89,25
2020-07-14,96,18
2020-07-15,95,16
2020-07-16,98,15
2020-07-17,93,19
2020-07-18,93,24
2020-07-19,88,28
2020-07-20,94,20
2020-07-21,95,19
2020-07-22,97,17
2020-07-23,103,25
2020-07-24,109,19
2020-07-25,106,22
2020-07-26,94,34
2020-07-27,98,31
2020-07-28,101,28
2020-07-29,102,26
2020-07-30,101,27
2020-07-31,94,34
2020-08-01,99,29
2020-08-02,93,35
2020-08-03,90,38
2020-08-04,88,39
2020-08-05,94,33
2020-08-06,92,35
2020-08-07,91,25
2020-08-08,89,29
2020-08-09,86,30
2020-08-10,75,41
2020-08-11,87,29
2020-08-12,92,26
2020-08-13,89,27
2020-08-14,86,30
2020-08-15,88,27
2020-08-16,88,25
2020-08-17,89,28
2020-08-18,97,21
2020-08-19,86,30
2020-08-20,81,33
2020-08-21,88,26
2020-08-22,80,32
2020-08-23,76,35
2020-08-24,76,35
2020-08-25,87,24
2020-08-26,91,22
2020-08-27,92,22
2020-08-28,88,24
2020-08-29,91,21
2020-08-30,84,28
2020-08-31,89,23
2020-09-01,88,24
2020-09-02,89,23
