date,betten_belegt,betten_frei
2020-04-24,6,6
2020-04-25,6,6
2020-04-26,6,6
2020-04-27,9,5
2020-04-28,7,7
2020-04-29,7,5
2020-04-30,7,6
2020-05-01,7,6
2020-05-02,7,6
2020-05-03,7,6
2020-05-04,7,6
2020-05-05,3,9
2020-05-06,7,7
2020-05-07,7,9
2020-05-08,5,9
2020-05-09,5,9
2020-05-10,5,9
2020-05-11,5,6
2020-05-12,4,6
2020-05-13,7,2
2020-05-14,5,7
2020-05-15,4,6
2020-05-16,4,7
2020-05-17,4,7
2020-05-18,8,5
2020-05-19,5,7
2020-05-20,5,6
2020-05-21,6,5
2020-05-22,6,5
2020-05-23,6,5
2020-05-24,6,5
2020-05-25,6,5
2020-05-26,6,5
2020-05-27,5,6
2020-05-28,7,4
2020-05-29,7,4
2020-05-30,7,4
2020-05-31,7,4
2020-06-01,7,4
2020-06-02,7,4
2020-06-03,7,4
2020-06-04,7,4
2020-06-05,8,3
2020-06-06,6,5
2020-06-07,7,4
2020-06-08,8,3
2020-06-09,6,5
2020-06-10,7,4
2020-06-11,7,4
2020-06-12,4,7
2020-06-13,4,7
2020-06-14,4,7
2020-06-15,4,7
2020-06-16,8,2
2020-06-17,8,2
2020-06-18,8,2
2020-06-19,6,3
2020-06-20,7,2
2020-06-21,5,4
2020-06-22,6,5
2020-06-23,6,5
2020-06-24,6,4
2020-06-25,7,3
2020-06-26,7,3
2020-06-27,6,4
2020-06-28,6,4
2020-06-29,6,4
2020-06-30,5,5
2020-07-01,4,6
2020-07-02,7,3
2020-07-03,4,6
2020-07-04,5,5
2020-07-05,8,5
2020-07-06,10,0
2020-07-07,7,3
2020-07-08,8,2
2020-07-09,8,2
2020-07-10,8,2
2020-07-11,8,2
2020-07-12,9,1
2020-07-13,7,2
2020-07-14,8,2
2020-07-15,8,2
2020-07-16,7,3
2020-07-17,6,4
2020-07-18,6,4
2020-07-19,6,2
2020-07-20,5,4
2020-07-21,8,3
2020-07-22,8,3
2020-07-23,4,5
2020-07-24,8,3
2020-07-25,8,3
2020-07-26,8,3
2020-07-27,8,3
2020-07-28,7,4
2020-07-29,6,5
2020-07-30,7,4
2020-07-31,7,4
2020-08-01,6,5
2020-08-02,6,5
2020-08-03,4,7
2020-08-04,3,7
2020-08-05,5,5
2020-08-06,4,6
2020-08-07,7,3
2020-08-08,7,3
2020-08-09,8,2
2020-08-10,6,4
2020-08-11,6,4
2020-08-12,2,8
2020-08-13,5,5
2020-08-14,7,3
2020-08-15,7,3
2020-08-16,7,3
2020-08-17,7,3
2020-08-18,5,5
2020-08-19,8,2
2020-08-20,7,3
2020-08-21,7,3
2020-08-22,6,4
2020-08-23,6,4
2020-08-24,5,5
2020-08-25,5,5
2020-08-26,4,6
2020-08-27,5,5
2020-08-28,2,8
2020-08-29,5,5
2020-08-30,7,3
2020-08-31,5,5
2020-09-01,8,2
2020-09-02,6,4
2020-09-03,7,3
2020-09-04,7,3
2020-09-05,7,3
2020-09-06,7,3
2020-09-07,8,2
2020-09-08,9,1
2020-09-09,9,1
2020-09-10,8,2
2020-09-11,6,4
2020-09-12,6,4
2020-09-13,6,4
2020-09-14,6,4
2020-09-15,6,4
2020-09-16,6,4
2020-09-17,9,1
2020-09-18,8,2
2020-09-19,8,2
2020-09-20,8,2
2020-09-21,7,3
2020-09-22,7,3
2020-09-23,6,4
2020-09-24,6,4
2020-09-25,4,6
2020-09-26,9,1
2020-09-27,9,1
2020-09-28,9,1
2020-09-29,6,4
2020-09-30,6,4
2020-10-01,7,3
2020-10-02,7,3
2020-10-03,7,3
2020-10-04,7,3
2020-10-05,5,5
2020-10-06,5,5
2020-10-07,5,5
2020-10-08,3,7
2020-10-09,4,6
2020-10-10,4,6
2020-10-11,4,6
2020-10-12,3,7
2020-10-13,5,5
2020-10-14,9,1
2020-10-15,10,0
2020-10-16,8,2
2020-10-17,7,3
2020-10-18,7,3
2020-10-19,8,2
2020-10-20,6,4
2020-10-21,5,5
2020-10-22,5,5
2020-10-23,5,5
2020-10-24,5,5
2020-10-25,5,5
2020-10-26,6,4
2020-10-27,9,1
2020-10-28,9,1
